Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final GI (%)
1,1,1.0,0,3,30.0,30.0,0,0.0,0.0,4.0,2.22,0.06,52.89,9,0.2,11,17.3,90.99
1,1,1.0,0,3,30.0,30.0,0,0.0,0.0,4.0,2.54,0.06,52.74,3,0.2,11,19.82,80.35
1,7,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,22,0.44,11,20.54,75.77
1,7,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,29,0.44,11,20.54,84.54
1,7,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,11,20.54,77.85
1,7,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,17,0.44,4,20.54,94.46
1,7,1.0,1,6,56.0,28.0,0,0.0,0.0,8.0,0.0,0.4,65.0,22,0.0,11,26.68,70.46
1,7,1.0,1,6,56.0,28.0,0,0.0,0.0,8.0,8.48,0.4,65.0,4,0.0,11,25.77,83.68
1,7,1.0,1,6,56.0,28.0,0,0.0,0.0,8.0,16.95,0.4,65.0,4,0.0,11,24.28,130.88
1,7,1.0,1,6,56.0,28.0,0,0.0,0.0,8.0,25.43,0.4,65.0,4,0.0,11,24.07,136.58
1,7,1.0,1,6,56.0,28.0,0,0.0,0.0,8.0,9.04,0.4,65.0,4,0.0,0,24.57,88.47
1,7,1.0,1,6,56.0,28.0,0,0.0,0.0,8.0,10.17,0.4,65.0,4,0.0,0,24.57,98.5
1,7,1.0,0,3,35.0,35.0,0,0.0,0.0,9.0,2.25,0.02,64.71,14,0.5,11,29.01,115.9
1,7,1.0,0,3,35.0,35.0,0,0.0,0.0,9.0,3.32,0.02,60.53,14,0.5,8,26.95,109.7
1,7,1.0,0,3,35.0,35.0,0,0.0,0.0,9.0,4.07,0.02,65.74,14,0.5,8,29.05,125.1
1,11,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,22,0.44,11,20.54,94.39
1,11,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,11,20.54,84.2
1,11,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,26,0.44,11,20.54,102.03
1,11,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,28,0.44,11,20.54,94.1
1,11,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,0.0,0.13,55.0,22,1.11,11,25.02,56.41
1,11,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,2.0,0.13,55.0,4,1.11,11,25.09,65.5
1,11,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,4.0,0.13,55.0,4,1.11,11,25.0,72.85
1,11,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,6.0,0.13,55.0,4,1.11,11,23.99,81.34
1,11,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,8.0,0.13,55.0,4,1.11,11,22.32,87.63
1,11,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,12.0,0.13,55.0,4,1.11,11,21.14,98.63
1,11,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,18.0,0.13,55.0,4,1.11,11,20.4,125.3
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,0.0,0.06,69.2,22,0.3,11,18.4,103.46
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,11,0.3,7,18.4,108.12
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,12,0.3,9,18.4,93.04
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,5,0.3,9,18.4,100.42
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,11,0.3,9,18.4,72.98
1,5,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,20,0.44,11,20.54,69.2
1,5,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,20,0.44,11,20.54,46.8
1,5,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,20,0.44,11,20.54,52.5
1,5,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,20,0.44,11,20.54,60.0
1,5,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,20,0.44,11,20.54,59.0
1,5,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,10,20.54,52.5
1,5,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,10,20.54,50.2
1,5,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,10,20.54,51.8
1,5,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,10,20.54,51.5
1,5,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,29,0.44,10,20.54,57.7
1,5,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,29,0.44,10,20.54,63.6
1,5,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,29,0.44,10,20.54,60.5
1,5,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,29,0.44,10,20.54,74.6
3,7,0.75,1,6,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,22,0.44,11,20.54,103.98
3,7,0.75,1,6,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,4,0.44,11,20.54,116.85
1,11,1.0,0,6,30.0,30.0,0,0.0,0.0,6.0,0.0,0.12,66.11,22,2.57,11,17.58,97.57
1,11,1.0,0,6,30.0,30.0,0,0.0,0.0,6.0,5.0,0.12,60.76,0,2.57,11,27.17,114.51
1,11,1.0,0,6,30.0,30.0,0,0.0,0.0,6.0,10.0,0.12,61.18,0,2.57,11,14.51,127.95
1,11,1.0,0,6,30.0,30.0,0,0.0,0.0,6.0,20.0,0.12,58.78,0,2.57,11,16.71,139.78
1,11,1.0,0,6,30.0,30.0,0,0.0,0.0,6.0,1.0,0.12,61.96,7,2.57,11,26.72,120.96
1,12,1.0,0,6,28.0,28.0,0,0.0,0.0,4.0,0.0,0.06,62.06,22,0.36,11,17.91,92.19
1,12,1.0,0,6,28.0,28.0,0,0.0,0.0,4.0,10.0,0.06,58.69,27,0.36,11,18.23,89.94
1,11,1.0,0,5,56.0,56.0,0,0.0,0.0,11.0,0.0,0.1,56.03,22,0.84,11,25.17,64.17
1,11,1.0,0,5,56.0,56.0,0,0.0,0.0,11.0,10.0,0.1,55.0,29,0.79,11,25.18,105.63
1,11,1.0,0,5,56.0,56.0,0,0.0,0.0,11.0,10.0,0.1,55.0,15,0.79,11,25.67,98.2
1,11,1.0,0,5,56.0,56.0,0,0.0,0.0,11.0,10.0,0.1,55.0,2,0.79,11,25.44,101.85
1,1,1.0,0,3,30.0,30.0,1,40.0,20.0,4.0,0.0,0.06,53.59,22,0.79,11,32.46,86.01
1,1,1.0,0,3,30.0,30.0,1,40.0,20.0,4.0,0.0,0.06,58.78,22,1.02,11,23.95,101.86
1,1,1.0,0,3,30.0,30.0,1,40.0,20.0,4.0,12.5,0.06,58.67,25,0.78,11,23.95,103.33
1,1,1.0,0,3,30.0,30.0,1,40.0,20.0,4.0,12.5,0.06,58.67,20,0.78,11,23.95,87.77
1,1,1.0,0,6,35.0,35.0,1,30.0,30.0,2.0,0.0,0.06,67.6,22,0.38,11,17.43,139.53
1,1,1.0,0,6,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,66.1,23,0.38,1,13.98,136.4
1,11,1.0,0,6,50.0,50.0,0,0.0,0.0,5.0,0.0,0.1,58.0,22,0.69,11,25.0,93.06
1,11,1.0,0,6,50.0,50.0,0,0.0,0.0,5.0,10.0,0.1,62.49,4,0.42,11,25.94,99.34
1,11,1.0,0,6,50.0,50.0,0,0.0,0.0,5.0,10.0,0.1,62.49,29,0.42,11,25.94,98.21
1,11,1.0,0,6,50.0,50.0,0,0.0,0.0,5.0,20.0,0.1,59.46,4,0.36,13,17.95,102.41
1,1,1.0,0,5,34.0,34.0,0,0.0,0.0,6.0,0.0,0.06,65.0,22,0.27,11,11.37,103.21
1,1,1.0,0,5,34.0,34.0,0,0.0,0.0,6.0,10.0,0.06,65.0,27,0.26,11,11.37,97.4
1,1,1.0,0,5,34.0,34.0,0,0.0,0.0,6.0,10.29,0.06,65.0,27,0.26,2,11.37,120.31
1,1,1.0,0,5,34.0,34.0,0,0.0,0.0,6.0,14.57,0.06,65.0,27,0.26,2,11.37,111.0
1,1,1.0,0,6,35.0,0.0,0,0.0,0.0,6.0,0.0,0.06,69.2,22,0.25,11,18.43,98.34
1,1,1.0,0,6,35.0,0.0,0,0.0,0.0,6.0,16.22,0.06,61.69,11,0.25,8,18.43,108.14
1,1,1.0,0,6,35.0,0.0,0,0.0,0.0,6.0,4.0,0.06,68.85,27,0.25,11,18.43,100.55
1,1,1.0,0,6,35.0,0.0,0,0.0,0.0,6.0,16.22,0.06,61.69,11,0.25,11,18.43,78.42
1,11,1.0,0,4,50.0,34.9,0,2.05,50.0,9.0,0.0,0.1,60.0,22,1.37,11,31.01,120.71
1,11,1.0,0,4,50.0,29.8,0,2.02,49.0,9.0,2.0,0.1,60.0,8,1.42,11,30.06,127.02
1,11,1.0,0,4,50.0,31.3,0,2.02,49.0,9.0,4.0,0.1,60.0,8,1.4,11,30.33,137.88
1,11,1.0,0,6,50.0,50.0,0,0.0,0.0,9.0,0.0,0.1,55.0,22,0.3,11,25.0,93.14
1,11,1.0,0,6,50.0,50.0,0,0.0,0.0,9.0,10.0,0.1,60.23,4,0.3,11,25.94,99.55
1,11,1.0,0,6,50.0,50.0,0,0.0,0.0,9.0,20.0,0.1,59.72,4,0.3,13,17.95,102.26
1,11,1.0,0,6,50.0,50.0,0,0.0,0.0,9.0,20.5,0.1,59.72,4,0.3,13,17.95,104.72
1,11,1.0,0,6,50.0,50.0,0,0.0,0.0,9.0,21.0,0.1,59.72,4,0.3,13,17.95,103.74
1,11,1.0,0,6,50.0,50.0,0,0.0,0.0,9.0,22.0,0.1,59.97,4,0.3,13,18.43,105.95
1,9,1.0,0,4,91.0,64.2,0,0.0,0.0,13.0,0.0,0.25,60.0,22,0.91,11,20.0,77.68
1,9,1.0,0,4,91.0,70.2,0,0.0,0.0,13.0,12.5,0.25,60.0,4,0.93,11,20.0,107.14
1,9,1.0,0,4,91.0,70.2,0,0.0,0.0,13.0,12.5,0.25,60.0,10,0.93,11,20.0,90.54
