Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final TC (%)
1,1,1.0,0,7,26.0,26.0,0,0.0,0.0,2.0,0.0,0.05,65.0,20,0.57,10,15.0,30.59
1,1,1.0,0,7,26.0,26.0,0,0.0,0.0,2.0,3.8,0.05,65.0,16,0.57,4,15.0,29.85
1,1,1.0,0,7,26.0,26.0,0,0.0,0.0,2.0,7.3,0.05,65.0,16,0.57,4,15.0,29.48
1,1,1.0,0,7,26.0,26.0,0,0.0,0.0,2.0,8.9,0.05,65.0,16,0.57,4,15.0,32.03
1,12,1.0,0,0,14.0,14.0,0,0.0,0.0,2.0,13.0,0.0,59.3,11,0.1,10,45.58,40.0
1,12,1.0,0,0,14.0,14.0,0,0.0,0.0,2.0,23.0,0.0,56.9,11,0.1,10,40.99,34.2
1,19,0.75,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,20,0.44,10,20.54,25.91
1,19,0.75,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,0,0.44,10,20.54,26.46
1,19,0.75,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,2,0.44,10,20.54,18.71
1,19,0.75,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,25,0.44,10,20.54,24.29
1,19,0.75,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,20,0.44,10,20.54,25.9
1,19,0.75,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,14,0.44,10,20.54,24.14
1,19,0.75,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,19,0.44,10,20.54,24.42
1,19,0.75,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,19,0.44,10,20.54,26.0
1,19,0.75,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,19,0.44,10,20.54,24.94
1,7,0.75,0,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,20,0.44,10,20.54,29.64
1,7,0.75,0,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,3,0.44,10,20.54,34.97
3,18,0.0,1,5,60.0,0.0,2,0.0,0.0,5.0,0.0,0.22,64.99,20,0.0,10,15.04,33.2
3,18,0.0,1,5,60.0,0.0,2,0.0,0.0,5.0,10.0,0.22,62.76,3,0.0,10,13.04,37.74
3,18,0.0,1,5,60.0,0.0,2,0.0,0.0,5.0,10.0,0.22,60.65,3,0.0,10,14.48,34.51
3,18,0.0,1,5,60.0,0.0,2,0.0,0.0,7.0,0.0,0.17,60.0,20,0.0,10,12.36,34.84
3,18,0.0,1,5,60.0,0.0,2,0.0,0.0,7.0,10.0,0.17,59.0,3,0.0,10,13.3,38.24
3,18,0.0,1,5,60.0,0.0,2,0.0,0.0,7.0,10.0,0.17,58.0,3,0.0,10,11.44,36.25
0,12,1.0,0,3,56.0,0.0,1,0.0,0.0,0.0,1.94,0.02,55.0,17,0.35,5,30.4,36.07
0,12,1.0,0,3,56.0,0.0,1,0.0,0.0,0.0,6.94,0.02,55.0,17,0.35,5,34.04,38.47
0,12,1.0,0,3,56.0,0.0,1,0.0,0.0,0.0,16.94,0.02,55.0,17,0.0,5,29.04,38.5
1,1,1.0,0,3,35.0,35.0,0,0.0,0.0,5.0,0.0,0.06,60.0,20,0.2,10,22.1,29.93
1,1,1.0,0,3,35.0,35.0,0,0.0,0.0,5.0,10.0,0.06,60.0,21,0.2,10,18.2,29.21
1,1,1.0,0,3,35.0,35.0,0,0.0,0.0,5.0,10.0,0.06,60.0,25,0.2,10,19.1,28.2
0,12,1.0,0,7,60.0,0.0,0,0.0,0.0,5.7,0.0,0.1,58.0,20,0.0,10,33.0,40.69
0,12,1.0,0,7,60.0,0.0,0,0.0,0.0,5.7,2.5,0.1,58.0,15,0.0,10,34.36,39.18
0,12,1.0,0,7,60.0,0.0,0,0.0,0.0,5.7,5.0,0.1,58.0,15,0.0,10,34.71,37.31
0,12,1.0,0,7,60.0,0.0,0,0.0,0.0,5.7,7.5,0.1,58.0,15,0.0,10,33.91,35.84
0,12,1.0,0,7,60.0,0.0,0,0.0,0.0,5.3,10.0,0.1,58.0,15,0.0,10,35.05,34.84
0,19,1.0,1,5,36.0,36.0,0,0.0,0.0,0.0,0.0,0.09,60.0,20,0.52,10,14.17,10.54
0,19,1.0,1,5,36.0,36.0,0,0.0,0.0,0.0,5.15,0.08,60.0,9,0.28,10,14.17,15.75
0,19,1.0,1,5,36.0,36.0,0,0.0,0.0,0.0,9.49,0.07,60.0,9,0.74,10,14.17,18.09
0,19,1.0,1,5,36.0,36.0,0,0.0,0.0,0.0,12.1,0.08,60.0,9,0.98,10,14.17,15.76
0,19,1.0,1,5,36.0,36.0,0,0.0,0.0,0.0,17.63,0.07,60.0,9,0.72,10,14.17,13.66
0,19,1.0,1,5,36.0,36.0,0,0.0,0.0,0.0,5.2,0.09,60.0,25,0.52,10,14.17,15.23
0,19,1.0,1,5,36.0,36.0,0,0.0,0.0,0.0,8.26,0.1,60.0,25,0.74,10,14.17,13.74
0,19,1.0,1,5,36.0,36.0,0,0.0,0.0,0.0,9.99,0.07,60.0,25,0.74,10,14.17,15.58
0,19,1.0,1,5,36.0,36.0,0,0.0,0.0,0.0,15.17,0.08,60.0,25,0.95,10,14.17,12.56
0,19,1.0,1,5,36.0,36.0,0,0.0,0.0,0.0,5.8,0.09,60.0,9,0.52,11,14.17,17.98
0,19,1.0,1,5,36.0,36.0,0,0.0,0.0,0.0,10.8,0.07,60.0,9,0.74,11,14.17,24.4
0,19,1.0,1,5,36.0,36.0,0,0.0,0.0,0.0,15.94,0.07,60.0,9,0.95,11,14.17,18.08
0,19,1.0,1,5,36.0,36.0,0,0.0,0.0,0.0,19.66,0.09,60.0,9,0.73,11,14.17,14.51
3,7,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,20,0.44,10,20.54,15.48
3,7,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,11,0.44,10,20.54,14.76
3,7,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,11,0.44,10,20.54,15.04
3,7,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,11,0.44,10,20.54,13.53
3,7,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,10,20.54,15.9
3,7,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,10,20.54,12.96
3,0,0.75,2,5,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,20,0.44,10,20.54,19.03
3,0,0.75,2,5,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,3,0.44,10,20.54,21.31
1,14,1.0,0,6,44.0,44.0,1,20.0,20.0,6.0,0.0,0.27,68.45,20,0.46,10,12.59,27.21
1,14,1.0,0,6,44.0,44.0,1,20.0,20.0,6.0,5.89,0.28,66.71,3,0.45,10,13.37,29.53
1,14,1.0,0,6,44.0,44.0,1,20.0,20.0,6.0,11.86,0.28,67.58,3,0.44,10,14.22,30.69
1,14,1.0,0,6,44.0,44.0,1,20.0,20.0,6.0,21.41,0.28,65.41,3,0.43,10,14.81,30.83
1,10,0.75,0,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,20,0.44,10,20.54,32.1
1,10,0.75,0,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,1,0.44,10,20.54,30.49
1,10,0.75,0,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,22,0.44,10,20.54,31.57
1,6,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,20,0.44,10,20.54,24.08
1,6,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,28,0.44,10,20.54,31.34
1,6,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,8,0.44,10,20.54,26.73
1,19,0.75,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,20,0.44,10,20.54,30.16
1,19,0.75,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,25,0.44,10,20.54,27.61
1,19,0.75,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,23,0.44,10,20.54,26.12
1,19,0.75,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,10,20.54,27.14
