Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final EC (ms_cm)
1,11,1.0,0,3,35.0,35.0,0,0.0,0.0,9.0,1.82,0.02,64.16,17,0.5,10,32.02,5.21
1,11,1.0,0,3,35.0,35.0,0,0.0,0.0,9.0,2.57,0.02,64.07,17,0.5,10,30.34,4.68
1,11,1.0,0,3,35.0,35.0,0,0.0,0.0,9.0,3.32,0.02,60.53,17,0.5,10,26.95,3.4
1,11,1.0,0,3,35.0,35.0,0,0.0,0.0,9.0,4.07,0.02,65.74,17,0.5,10,29.05,3.47
1,21,0.75,0,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,12,20.54,2.6
1,21,0.75,0,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,31,0.44,12,20.54,5.01
1,21,0.75,0,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,29,0.44,12,20.54,3.29
1,21,0.75,0,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,32,0.44,12,20.54,3.0
1,21,1.0,0,7,56.0,56.0,1,0.0,0.0,11.0,0.0,0.13,55.0,24,1.11,12,25.02,4.64
1,21,1.0,0,7,56.0,56.0,1,0.0,0.0,11.0,2.0,0.13,55.0,5,1.11,12,25.09,4.05
1,21,1.0,0,7,56.0,56.0,1,0.0,0.0,11.0,4.0,0.13,55.0,5,1.11,12,25.0,3.7
1,21,1.0,0,7,56.0,56.0,1,0.0,0.0,11.0,6.0,0.13,55.0,5,1.11,12,23.99,3.18
1,21,1.0,0,7,56.0,56.0,1,0.0,0.0,11.0,8.0,0.13,55.0,5,1.11,12,22.32,2.86
1,21,1.0,0,7,56.0,56.0,1,0.0,0.0,11.0,12.0,0.13,55.0,5,1.11,12,21.14,2.6
1,21,1.0,0,7,56.0,56.0,1,0.0,0.0,11.0,18.0,0.13,55.0,5,1.11,12,20.4,2.48
3,11,0.0,2,8,82.0,0.0,2,0.0,0.0,15.0,1.38,5.46,63.7,22,0.0,12,15.4,4.02
3,11,0.0,2,8,82.0,0.0,2,0.0,0.0,15.0,9.64,5.46,63.7,5,0.0,11,17.51,3.53
1,9,0.75,0,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,22,0.44,12,20.54,5.6
1,9,0.75,0,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,22,0.44,12,20.54,5.38
1,9,0.75,0,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,22,0.44,12,20.54,5.19
1,9,0.75,0,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,33,0.44,11,20.54,3.57
1,9,0.75,0,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,33,0.44,11,20.54,2.94
1,9,0.75,0,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,33,0.44,11,20.54,2.53
1,9,0.75,0,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,33,0.44,11,20.54,2.37
3,11,0.75,1,8,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,12,20.54,2.78
3,11,0.75,1,8,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,5,0.44,12,20.54,3.0
3,16,0.0,1,0,50.0,0.0,2,0.0,0.0,9.0,0.0,0.06,60.6,24,0.0,12,22.5,3.08
3,16,0.0,1,0,50.0,0.0,2,0.0,0.0,9.0,25.49,0.06,60.1,13,0.0,12,23.4,3.28
1,21,1.0,0,8,30.0,30.0,0,0.0,0.0,6.0,0.0,0.12,66.11,24,2.57,12,17.58,1.81
1,21,1.0,0,8,30.0,30.0,0,0.0,0.0,6.0,5.0,0.12,60.76,1,2.57,12,27.17,2.22
1,21,1.0,0,8,30.0,30.0,0,0.0,0.0,6.0,10.0,0.12,61.18,1,2.57,12,14.51,2.4
1,21,1.0,0,8,30.0,30.0,0,0.0,0.0,6.0,20.0,0.12,58.78,1,2.57,12,16.71,2.53
1,21,1.0,0,8,30.0,30.0,0,0.0,0.0,6.0,1.0,0.12,61.96,9,2.57,12,26.72,2.22
1,22,1.0,0,8,28.0,28.0,0,0.0,0.0,4.0,0.0,0.06,62.06,24,0.36,12,17.91,1.89
1,22,1.0,0,8,28.0,28.0,0,0.0,0.0,4.0,10.0,0.06,58.69,31,0.36,12,18.23,2.22
1,1,1.0,0,3,30.0,30.0,1,40.0,20.0,4.0,0.0,0.06,53.59,24,0.79,12,32.46,1.41
1,1,1.0,0,3,30.0,30.0,1,40.0,20.0,4.0,0.0,0.06,58.78,24,1.02,12,23.95,0.99
1,1,1.0,0,3,30.0,30.0,1,40.0,20.0,4.0,12.5,0.06,58.67,28,0.78,12,23.95,1.73
1,1,1.0,0,3,30.0,30.0,1,40.0,20.0,4.0,12.5,0.06,58.67,22,0.78,12,23.95,1.72
3,10,0.0,2,8,26.0,0.0,2,0.0,0.0,7.0,0.0,1.2,65.0,24,0.0,12,22.46,2.71
3,10,0.0,2,8,26.0,0.0,2,0.0,0.0,7.0,15.68,1.2,65.0,5,0.0,12,24.97,2.63
3,10,0.0,2,8,26.0,0.0,2,0.0,0.0,7.0,31.36,1.2,65.0,5,0.0,12,26.48,2.66
3,10,0.75,2,8,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,5,0.44,12,20.54,2.79
1,1,1.0,0,8,35.0,35.0,1,30.0,30.0,2.0,0.0,0.06,67.6,24,0.38,12,17.43,1.77
1,1,1.0,0,8,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,65.79,25,0.38,12,14.84,2.46
