Material_Main,Period (d),Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_3,Additive_2,Additive_1,Material_3,Additive_4,Material_2,Compost volume (m3),V1_Ventilation Type,V4_Ventilation Day,Application Rate (%DW),V3_Ventilation Duration (min),Initial C/N (%),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
0,20.0,0.0,15.0,1.0,0,4,11,27,4,1,13,0.06,1.0,20.0,0.0,5.0,29.35,0.84,60.22,49.66
10,42.0,0.0,0.0,1.0,0,4,11,27,4,1,9,0.1,0.0,42.0,0.0,0.0,30.0,0.35,60.0,15.15
10,42.0,0.0,0.0,1.0,0,4,11,8,4,1,9,0.1,0.0,42.0,2.5,0.0,30.0,0.35,60.0,16.12
10,42.0,0.0,0.0,1.0,0,4,11,8,4,1,9,0.1,0.0,42.0,5.0,0.0,30.0,0.35,60.0,16.94
10,42.0,0.0,0.0,1.0,0,4,11,8,4,1,9,0.1,0.0,42.0,10.0,0.0,30.0,0.35,60.0,20.46
10,42.0,0.0,0.0,1.0,0,4,11,8,4,1,9,0.096,0.0,42.0,15.0,0.0,30.0,0.35,60.0,19.19
10,42.0,0.0,0.0,1.0,0,4,11,8,4,1,9,0.088,0.0,42.0,20.0,0.0,30.0,0.35,60.0,19.79
7,30.0,3.0,0.0,0.0,1,4,11,27,4,1,13,0.1458,2.0,0.0,0.0,0.0,20.0,0.0,64.01128,22.39
7,30.0,3.0,0.0,0.0,1,4,11,27,4,1,13,0.1458,2.0,0.0,0.0,0.0,25.0,0.0,62.25712,21.38
7,30.0,3.0,0.0,0.0,1,4,11,27,4,1,13,0.1458,2.0,0.0,0.0,0.0,30.0,0.0,62.23512,21.49
10,56.0,6.22222,0.0,1.0,0,4,11,27,4,1,13,0.1,2.0,0.0,0.0,0.0,24.8781,0.0,64.08,51.47
10,56.0,6.22222,0.0,1.0,0,4,11,28,4,1,13,0.1,2.0,0.0,15.0,0.0,22.8873,0.0,69.61546,64.64
10,56.0,6.22222,0.0,1.0,0,4,11,2,4,1,13,0.1,2.0,0.0,10.0,0.0,26.366,0.0,64.04,63.1
10,56.0,6.22222,0.0,1.0,0,4,12,2,4,1,13,0.1,2.0,0.0,25.0,0.0,24.4799,0.0,66.896,68.47
0,21.0,0.0,0.0,1.0,0,4,11,27,4,1,5,0.06,0.0,21.0,0.0,0.0,11.5,0.21,55.0,32.42
0,21.0,0.0,0.0,1.0,0,4,11,17,4,1,5,0.06,0.0,21.0,20.0,0.0,14.7,0.21,55.0,23.55
0,21.0,0.0,0.0,1.0,0,4,11,17,4,1,5,0.06,0.0,21.0,20.0,0.0,14.0,0.21,55.0,19.67
0,31.0,15.5,0.0,1.0,0,4,11,27,4,1,13,0.06,0.0,31.0,0.0,0.0,14.2,0.09384,65.4,48.8
0,31.0,15.5,0.0,1.0,0,4,11,27,4,1,13,0.06,0.0,31.0,0.0,0.0,14.2,0.15639,65.4,50.7
0,31.0,15.5,20.0,1.0,0,4,11,27,4,1,13,0.06,1.0,31.0,0.0,10.0,14.2,0.28151,65.4,53.1
10,48.0,0.0,0.0,1.0,0,4,11,27,4,1,3,0.045,0.0,48.0,0.0,0.0,17.07927,0.3279,50.0,67.56
7,48.0,0.0,0.0,1.0,0,4,11,27,4,1,3,0.045,0.0,48.0,0.0,0.0,17.32857,0.34666,50.0,60.2
9,48.0,0.0,0.0,1.0,0,4,11,27,4,1,3,0.045,0.0,48.0,0.0,0.0,19.33299,0.38698,50.0,60.06
8,35.0,7.0,0.0,1.0,0,4,11,27,4,1,13,0.06,0.0,35.0,0.0,0.0,10.57997,0.2,72.1,52.59
8,35.0,7.0,0.0,1.0,0,4,11,30,4,1,13,0.06,0.0,35.0,10.0,0.0,11.30095,0.2,72.1,50.31
8,35.0,7.0,0.0,1.0,0,4,11,4,4,1,13,0.06,0.0,35.0,10.0,0.0,10.89254,0.2,72.1,48.7
8,35.0,7.0,0.0,1.0,0,4,3,30,4,1,13,0.06,0.0,35.0,12.5,0.0,11.19228,0.2,72.1,49.24
8,35.0,7.0,0.0,1.0,0,4,3,4,4,1,13,0.06,0.0,35.0,12.5,0.0,11.3794,0.2,72.1,47.73
10,21.0,21.0,0.0,1.0,0,4,11,27,4,1,13,1.2096,0.0,21.0,0.0,0.0,19.9,0.24,59.81,49.2
10,21.0,21.0,0.0,1.0,0,4,11,27,4,1,0,1.2096,0.0,21.0,0.0,0.0,19.9,0.24,60.21,44.46
5,105.0,1.0,0.0,1.0,1,4,11,27,4,1,5,0.055,2.0,0.0,0.0,0.0,53.2,0.0,67.97,49.18
5,105.0,1.0,0.0,1.0,1,4,11,26,4,1,5,0.055,2.0,0.0,4.2,0.0,54.9,0.0,67.97,49.13
5,105.0,1.0,0.0,1.0,1,4,11,26,4,1,5,0.055,2.0,0.0,4.2,0.0,53.7,0.0,66.24,44.24
5,105.0,1.0,0.0,1.0,1,4,11,26,4,1,5,0.055,2.0,0.0,4.2,0.0,52.0,0.0,65.74,43.93
5,105.0,1.0,0.0,1.0,1,4,11,3,4,1,5,0.055,2.0,0.0,4.2,0.0,51.1,0.0,65.24,48.71
5,105.0,1.0,0.0,1.0,1,4,11,3,4,1,5,0.055,2.0,0.0,4.2,0.0,54.0,0.0,67.97,44.74
5,105.0,1.0,0.0,1.0,1,4,11,3,4,1,5,0.055,2.0,0.0,4.2,0.0,53.5,0.0,66.24,44.62
7,15.0,1.0,0.0,1.0,0,4,11,27,4,1,8,0.018,0.0,15.0,0.0,0.0,12.88,0.9532,65.03,10.33
7,47.34274,6.04906,0.0,1.0,0,4,11,2,4,1,8,1.1,0.0,23.02984,4.28852,3.78427,22.41885,0.24986,65.11557,15.82
7,47.34274,6.04906,0.0,1.0,0,4,11,2,4,1,8,1.1,0.0,23.02984,4.28852,3.78427,22.41885,0.24986,65.11557,17.17
7,47.34274,6.04906,0.0,1.0,0,4,11,2,4,1,8,1.1,0.0,23.02984,4.28852,3.78427,22.41885,0.24986,65.11557,16.54
7,47.34274,6.04906,0.0,1.0,0,4,11,2,4,1,8,1.1,0.0,23.02984,4.28852,3.78427,22.41885,0.24986,65.11557,11.61
7,15.0,1.0,0.0,1.0,0,4,11,2,4,1,8,0.018,0.0,15.0,29.0,0.0,39.93,0.91149,63.43,12.7
5,32.0,16.0,0.0,1.0,0,4,11,27,9,1,10,0.1,0.0,32.0,0.0,17.5,20.0,0.60345,61.1,22.76
5,32.0,16.0,0.0,1.0,0,4,11,27,9,1,10,0.1,0.0,32.0,0.0,15.0,30.0,0.66778,53.5,7.81
5,32.0,16.0,0.0,1.0,0,4,11,27,9,1,10,0.1,0.0,32.0,0.0,6.0,40.0,0.15341,48.5,17.58
5,32.0,16.0,0.0,1.0,0,4,11,27,9,1,1,0.1,0.0,32.0,0.0,7.5,23.0,0.387,74.7,34.26
5,32.0,16.0,0.0,1.0,0,4,11,27,9,1,1,0.1,0.0,32.0,0.0,17.5,30.0,0.79723,65.6,21.27
5,32.0,16.0,0.0,1.0,0,4,11,27,9,1,1,0.1,0.0,32.0,0.0,9.5,40.0,0.40073,53.0,7.04
5,32.0,16.0,0.0,1.0,0,4,11,27,4,1,13,0.1,0.0,32.0,0.0,6.0,41.28,0.12341,47.5,10.57
5,45.0,6.42857,0.0,0.0,0,4,11,27,4,1,13,0.06,2.0,0.0,0.0,0.0,23.8,0.0,63.49171,43.0
5,45.0,6.42857,0.0,0.0,0,4,11,27,4,1,13,0.06,2.0,0.0,0.0,0.0,30.6,0.0,62.1828,39.6
10,70.0,17.5,0.0,1.0,0,4,11,27,4,1,13,1.2096,2.0,0.0,0.0,0.0,17.26269,0.0,63.6,54.8
10,47.34274,6.04906,0.0,1.0,0,4,11,27,4,1,13,1.1,0.0,23.02984,4.28852,3.78427,22.41885,0.24986,65.11557,54.2
10,47.34274,6.04906,0.0,1.0,0,4,11,27,4,1,13,1.1,0.0,23.02984,4.28852,3.78427,22.41885,0.24986,65.11557,53.7
10,47.34274,6.04906,0.0,1.0,0,4,11,27,4,1,13,1.1,0.0,23.02984,4.28852,3.78427,22.41885,0.24986,65.11557,52.2
10,47.34274,6.04906,20.0,1.0,0,4,11,27,4,1,13,1.1,1.0,23.02984,4.28852,3.78427,22.41885,0.24986,65.11557,56.3
0,31.0,0.0,0.0,1.0,0,4,11,27,4,1,13,0.01,0.0,31.0,0.0,0.0,16.5,0.43,83.0,40.0
0,31.0,0.0,0.0,1.0,0,4,11,27,4,1,13,0.01,0.0,31.0,0.0,0.0,16.5,0.21,83.0,45.0
7,31.0,0.0,0.0,1.0,0,4,11,27,4,1,13,0.01,0.0,31.0,0.0,0.0,6.1,0.48,71.0,22.0
7,31.0,0.0,0.0,1.0,0,4,11,27,4,1,13,0.01,0.0,31.0,0.0,0.0,6.1,0.23,71.0,24.0
7,47.34274,6.04906,0.0,1.0,0,4,11,2,4,1,13,1.1,0.0,23.02984,4.28852,3.78427,22.41885,0.24986,65.11557,28.0
7,47.34274,6.04906,0.0,1.0,0,4,11,2,4,1,13,1.1,0.0,23.02984,4.28852,3.78427,22.41885,0.24986,65.11557,33.0
10,30.0,7.5,5.0,1.0,0,4,11,27,4,1,13,0.06,1.0,30.0,0.0,25.0,17.86175,0.48,65.9,58.4
10,30.0,7.5,5.0,1.0,0,4,11,30,4,1,13,0.06,1.0,30.0,10.0,25.0,18.73469,0.48,69.59,56.6
10,30.0,7.5,5.0,1.0,0,4,3,30,4,1,13,0.06,1.0,30.0,10.2,25.0,17.73301,0.48,69.59,56.3
10,30.0,7.5,5.0,1.0,0,4,3,30,4,1,13,0.06,1.0,30.0,5.2,25.0,17.80952,0.48,69.59,58.0
7,25.0,12.5,30.0,1.0,0,4,11,27,2,1,13,0.06,1.0,25.0,0.0,30.0,20.0,0.08242,65.0,24.3
7,25.0,12.5,30.0,1.0,0,4,11,27,2,1,13,0.06,1.0,25.0,0.0,30.0,20.0,0.82645,65.0,54.47
7,25.0,12.5,30.0,1.0,0,4,11,27,2,1,13,0.06,1.0,25.0,0.0,30.0,20.0,1.64384,65.0,45.7
10,54.0,7.71429,0.0,0.0,1,4,11,27,4,1,13,0.13,2.0,0.0,0.0,0.0,26.81932,0.0,64.08,58.0
10,54.0,7.71429,0.0,0.0,1,4,11,4,4,1,13,0.13,2.0,0.0,15.0,0.0,22.47066,0.0,66.13546,54.2
10,54.0,7.71429,0.0,0.0,1,4,11,4,4,1,13,0.13,2.0,0.0,15.0,0.0,22.47066,0.0,66.13546,53.8
10,54.0,7.71429,0.0,0.0,1,4,11,27,4,1,13,0.13,2.0,0.0,0.0,0.0,26.81932,0.0,64.08,55.4
10,54.0,7.71429,0.0,0.0,1,4,11,28,4,1,13,0.13,2.0,0.0,6.0,0.0,27.25406,0.0,63.28,52.1
10,54.0,7.71429,0.0,0.0,1,4,11,28,4,1,13,0.13,2.0,0.0,6.0,0.0,27.25406,0.0,63.28,51.8
8,45.0,5.0,720.0,1.0,0,4,11,27,4,1,13,0.12,1.0,45.0,0.0,20.0,22.85936,0.504,65.0,16.32
8,45.0,5.0,720.0,1.0,0,4,11,28,4,1,13,0.12,1.0,45.0,5.0,20.0,25.82089,0.48,65.0,17.17
8,45.0,5.0,720.0,1.0,0,4,11,28,4,1,13,0.12,1.0,45.0,1.0,20.0,24.44737,0.48,65.0,18.95
8,45.0,5.0,720.0,1.0,0,4,11,36,4,1,13,0.12,1.0,45.0,1.0,20.0,24.44737,0.48,65.0,15.14
8,45.0,5.0,720.0,1.0,0,4,11,13,4,1,13,0.12,1.0,45.0,3.0,20.0,24.55118,0.48,65.0,16.54
8,45.0,5.0,720.0,1.0,0,4,11,22,4,1,13,0.12,1.0,45.0,3.0,20.0,24.55118,0.48,65.0,17.15
8,45.0,5.0,720.0,1.0,0,4,11,4,4,1,13,0.12,1.0,45.0,5.0,20.0,25.82089,0.48,65.0,22.42
8,35.0,7.0,0.0,1.0,0,4,11,27,4,1,13,0.06,0.0,35.0,0.0,0.0,11.37,0.1,72.86,49.9
8,35.0,7.0,0.0,1.0,0,4,11,27,4,1,13,0.06,0.0,35.0,0.0,0.0,11.37,0.2,72.86,47.7
8,35.0,7.0,0.0,1.0,0,4,11,27,4,1,13,0.06,0.0,35.0,0.0,0.0,11.37,0.3,72.86,43.8
