Material_Main,Period (d),Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_3,Additive_2,Additive_1,Material_3,Additive_4,Material_2,Compost volume (m3),V1_Ventilation Type,V4_Ventilation Day,Application Rate (%DW),V3_Ventilation Duration (min),Initial C/N (%),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
0,60.0,12.0,0.0,1.0,0,4,11,4,4,1,13,0.045,0.0,60.0,11.35,0.0,19.0,0.44,60.0,51.0
0,60.0,12.0,0.0,1.0,0,4,11,4,4,1,13,0.045,0.0,60.0,10.35,0.0,22.0,0.66,60.0,54.0
0,60.0,12.0,0.0,1.0,0,4,11,4,4,1,13,0.045,0.0,60.0,11.35,0.0,19.0,0.22,65.0,42.0
0,60.0,12.0,0.0,1.0,0,4,11,4,4,1,13,0.045,0.0,60.0,10.35,0.0,22.0,0.44,65.0,56.0
0,60.0,12.0,0.0,1.0,0,4,11,4,4,1,13,0.045,0.0,60.0,11.35,0.0,16.0,0.66,65.0,51.0
0,60.0,12.0,0.0,1.0,0,4,11,4,4,1,13,0.045,0.0,60.0,9.35,0.0,22.0,0.22,70.0,47.0
0,60.0,12.0,0.0,1.0,0,4,11,4,4,1,13,0.045,0.0,60.0,9.35,0.0,16.0,0.44,70.0,36.0
0,60.0,12.0,0.0,1.0,0,4,11,4,4,1,13,0.045,0.0,60.0,9.35,0.0,19.0,0.66,70.0,50.0
1,28.0,0.0,0.0,1.0,0,4,11,27,4,1,5,0.01,0.0,28.0,0.0,0.0,11.0,0.28,69.0,23.5
1,28.0,0.0,0.0,1.0,0,4,11,27,4,1,6,0.01,0.0,28.0,0.0,0.0,11.0,0.28,63.0,20.6
1,28.0,0.0,0.0,1.0,0,4,11,27,4,1,6,0.01,0.0,28.0,0.0,0.0,11.0,0.28,66.0,21.8
1,28.0,0.0,0.0,1.0,0,4,11,27,4,1,8,0.01,0.0,28.0,0.0,0.0,14.7,0.28,65.0,16.8
1,28.0,0.0,0.0,1.0,0,4,11,27,4,1,8,0.01,0.0,28.0,0.0,0.0,12.9,0.28,67.0,19.2
1,28.0,0.0,0.0,1.0,0,4,11,2,4,1,5,0.01,0.0,28.0,25.0,0.0,16.7,0.28,65.0,8.9
1,28.0,0.0,0.0,1.0,0,4,11,2,4,1,5,0.01,0.0,28.0,14.28571,0.0,14.0,0.28,67.0,13.4
1,28.0,0.0,0.0,1.0,0,4,11,27,4,1,13,0.01,0.0,28.0,0.0,0.0,14.0,0.28,65.0,29.5
1,28.0,0.0,0.0,1.0,0,4,11,27,4,1,2,0.01,0.0,28.0,0.0,0.0,12.1,0.28,65.0,18.6
10,37.0,9.25,5.0,1.0,0,4,11,27,4,1,13,0.06,1.0,37.0,0.0,25.0,14.5,0.24,65.0,43.0
10,37.0,9.25,5.0,1.0,0,4,11,27,4,1,13,0.06,1.0,37.0,0.0,25.0,18.09524,0.48,65.0,50.0
10,37.0,9.25,5.0,1.0,0,4,11,27,4,1,13,0.06,1.0,37.0,0.0,25.0,20.73684,0.72,65.0,53.0
10,37.0,9.25,5.0,1.0,0,4,11,27,4,1,13,0.06,1.0,37.0,0.0,25.0,18.09524,0.24,70.0,41.0
10,37.0,9.25,5.0,1.0,0,4,11,27,4,1,13,0.06,1.0,37.0,0.0,25.0,21.10526,0.48,70.0,55.0
10,37.0,9.25,5.0,1.0,0,4,11,27,4,1,13,0.06,1.0,37.0,0.0,25.0,14.66667,0.72,70.0,50.0
10,37.0,9.25,5.0,1.0,0,4,11,27,4,1,13,0.06,1.0,37.0,0.0,25.0,21.52632,0.24,75.0,46.0
10,37.0,9.25,5.0,1.0,0,4,11,27,4,1,13,0.06,1.0,37.0,0.0,25.0,14.70833,0.48,75.0,34.0
10,37.0,9.25,5.0,1.0,0,4,11,27,4,1,13,0.06,1.0,37.0,0.0,25.0,17.90476,0.72,75.0,49.0
10,37.0,9.25,0.0,1.0,0,4,11,27,4,1,13,0.06,0.0,37.0,0.0,0.0,14.7,0.24,64.1,42.7
10,37.0,9.25,0.0,1.0,0,4,11,27,4,1,13,0.06,0.0,37.0,0.0,0.0,18.3,0.48,65.2,51.0
