Material_Main,Turning times,Period (d),V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_3,Additive_2,Additive_1,Material_2,Additive_4,Material_3,Compost volume (m3),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Initial GI (%),Initial pH,Initial C/N (%),Initial Moisture Content (%),Final GI (%)
10,13.0,26.0,0.0,1.0,0,4,11,27,13,1,4,0.05,0.0,26.0,0.0,0.0,0.57,38.0,7.60664,15.0,65.0,82.0
10,13.0,26.0,0.0,1.0,0,4,6,20,13,1,4,0.05,0.0,26.0,0.0,3.8,0.57,43.0,7.41084,15.0,65.0,96.0
10,13.0,26.0,0.0,1.0,0,4,6,20,13,1,4,0.05,0.0,26.0,0.0,7.3,0.57,42.0,6.61538,15.0,65.0,100.0
10,13.0,26.0,0.0,1.0,0,4,6,20,13,1,4,0.05,0.0,26.0,0.0,8.9,0.57,44.0,6.40734,15.0,65.0,76.0
10,6.42857,45.0,720.0,1.0,0,4,11,27,13,1,4,0.09,1.0,45.0,30.0,0.0,7.56254,14.6939,6.5,12.93902,65.0,82.6531
10,6.42857,45.0,720.0,1.0,0,4,11,28,13,1,4,0.09,1.0,45.0,30.0,16.87764,7.06051,3.67347,6.1,11.15335,65.0,79.5918
10,6.42857,45.0,720.0,1.0,0,4,11,8,13,1,4,0.09,1.0,45.0,30.0,15.47117,6.65557,22.9592,7.2,10.95636,65.0,81.7347
10,6.42857,45.0,720.0,1.0,0,4,11,4,13,1,4,0.09,1.0,45.0,30.0,15.47117,7.34153,32.449,6.2,9.83607,65.0,84.7959
10,7.5,45.0,720.0,1.0,0,4,11,27,13,1,4,0.09,1.0,35.0,30.0,0.0,2.6,14.9055,6.28722,12.9607,65.0,84.3683
10,7.5,45.0,720.0,1.0,0,4,11,15,13,1,4,0.09,1.0,35.0,30.0,0.65,2.6,17.1611,7.1357,11.7281,65.0,82.1126
10,7.5,45.0,720.0,1.0,0,4,11,25,13,1,4,0.09,1.0,35.0,30.0,0.65,2.6,15.8077,7.42357,14.0483,65.0,85.7217
10,7.5,45.0,720.0,1.0,0,4,11,25,13,1,4,0.09,1.0,35.0,30.0,0.65,2.6,11.2964,6.98414,12.0181,65.0,63.165
10,7.5,45.0,720.0,1.0,0,4,11,25,13,1,4,0.09,1.0,35.0,30.0,1.95,2.6,9.04075,6.92358,12.5619,65.0,60.9107
3,0.0,56.0,0.0,1.0,0,4,13,23,8,1,4,0.02,1.0,56.0,0.0,1.94326,0.35,4.70588,6.50999,30.4041,55.0,85.6
3,0.0,56.0,0.0,1.0,0,4,13,23,8,1,4,0.02,1.0,56.0,0.0,6.94326,0.35,2.05882,6.29485,34.0404,55.0,119.5
3,7.0,35.0,0.0,1.0,0,4,11,27,13,1,4,0.06,0.0,60.0,0.0,0.0,0.2,38.3,5.01,22.1,60.0,122.9
3,7.0,35.0,0.0,1.0,0,4,11,30,13,1,4,0.06,0.0,60.0,0.0,10.0,0.2,43.9,4.43,18.2,60.0,103.3
3,7.0,35.0,0.0,1.0,0,4,11,4,13,1,4,0.06,0.0,60.0,0.0,10.0,0.2,45.1,4.28,19.1,60.0,94.5
10,9.33333,28.0,0.0,1.0,0,4,11,27,13,1,4,0.06,0.0,28.0,0.0,0.0,0.25,20.6726,8.56091,24.8,52.2,116.83
10,9.33333,28.0,0.0,1.0,0,4,6,20,13,1,4,0.06,0.0,28.0,0.0,3.72823,0.25,18.7371,8.08092,24.8,52.2,106.765
10,9.33333,28.0,0.0,1.0,0,4,6,20,13,1,4,0.06,0.0,28.0,0.0,3.78398,0.25,21.6779,8.04706,24.8,52.2,108.157
10,0.0,60.0,0.0,1.0,0,4,11,27,8,1,4,0.1,0.0,60.0,0.0,0.0,0.0,21.01046,9.0061,33.0,58.0,74.9231
10,0.0,60.0,0.0,1.0,0,4,11,8,8,1,4,0.1,0.0,60.0,0.0,2.5,0.0,19.12098,9.00741,34.3643,58.0,75.6934
10,0.0,60.0,0.0,1.0,0,4,11,8,8,1,4,0.1,0.0,60.0,0.0,5.0,0.0,18.18098,8.9963,34.7059,58.0,84.7699
10,0.0,60.0,0.0,1.0,0,4,11,8,8,1,4,0.1,0.0,60.0,0.0,7.5,0.0,21.61748,8.9,33.9089,58.0,82.5414
10,0.0,60.0,0.0,1.0,0,4,11,8,8,1,4,0.1,0.0,60.0,0.0,10.0,0.0,15.0381,8.84815,35.0474,58.0,84.2347
10,7.8,39.0,0.0,1.0,0,4,11,27,13,1,4,0.06,0.0,39.0,0.0,0.0,0.355,54.4441,8.23826,20.7524,72.008,89.82
10,7.8,39.0,0.0,1.0,0,4,6,20,13,1,4,0.06,0.0,39.0,0.0,1.0,0.35,36.1111,8.10403,20.7524,69.03,99.54
10,7.8,39.0,0.0,1.0,0,4,11,13,13,1,4,0.06,0.0,39.0,0.0,5.98571,0.24016,53.8882,6.68792,20.7524,70.448,69.87
10,7.8,39.0,0.0,1.0,0,4,8,31,13,1,4,0.06,0.0,39.0,0.0,1.4,0.306,26.3889,7.7349,20.7524,69.81,118.24
10,7.8,39.0,0.0,1.0,0,4,8,4,13,1,4,0.06,0.0,39.0,0.0,4.25,0.2285,40.8333,6.84899,20.7524,70.542,107.42
10,8.75,35.0,0.0,1.0,0,4,11,27,13,1,4,0.06,0.0,35.0,0.0,0.0,0.38,68.0323,7.24574,20.3,70.4,116.28
10,8.75,35.0,0.0,1.0,0,4,6,20,13,1,4,0.06,0.0,35.0,0.0,4.56,0.38,66.1456,7.82614,16.91483,68.877,108.464
10,8.75,35.0,0.0,1.0,0,4,1,20,13,1,4,0.06,0.0,35.0,0.0,6.48,0.38,80.7008,7.85682,16.22887,69.817,124.906
7,6.0481,44.97885,0.0,0.0,2,4,11,27,13,1,4,0.74985,2.0,31.30906,6.87009,4.49092,1.05353,27.33179,7.55315,21.87084,63.23219,53.4975
7,6.0481,44.97885,0.0,0.0,2,4,11,2,13,1,4,0.74985,2.0,31.30906,6.87009,4.49092,1.05353,27.33179,7.55315,21.87084,63.23219,52.9064
8,0.0,56.0,0.0,1.0,0,4,11,27,13,1,4,0.13,2.0,0.0,0.0,0.0,0.0,41.69798,8.03025,25.0236,66.93481,56.41
8,0.0,56.0,0.0,1.0,0,4,11,8,13,1,4,0.13,2.0,0.0,0.0,2.0,0.0,41.69798,8.03025,25.2437,66.93481,63.78
8,0.0,56.0,0.0,1.0,0,4,11,8,13,1,4,0.13,2.0,0.0,0.0,4.0,0.0,42.07495,7.93505,27.68296,66.86481,74.46
8,0.0,56.0,0.0,1.0,0,4,11,8,13,1,4,0.13,2.0,0.0,0.0,6.0,0.0,36.89036,7.60611,27.80003,65.84713,85.47
8,0.0,56.0,0.0,1.0,0,4,11,8,13,1,4,0.13,2.0,0.0,0.0,10.0,0.0,27.47561,7.05387,28.84589,60.99778,93.15
7,0.25,45.0,30.0,1.0,0,4,11,27,4,1,0,2.4,1.0,45.0,17.0,0.0,6.67,18.9917,7.87459,30.4875,55.0,98.9221
7,0.25,45.0,30.0,1.0,0,4,11,8,4,1,0,2.4,1.0,45.0,17.0,0.44444,6.67,19.4087,7.73601,29.153,55.0,120.626
7,0.25,45.0,30.0,1.0,0,4,11,8,4,1,0,2.4,1.0,45.0,17.0,0.44444,6.67,16.9045,7.7218,31.2883,55.0,114.157
3,7.5,30.0,0.0,1.0,0,4,11,27,4,1,4,0.06,0.0,30.0,0.0,0.0,0.2,9.74889,6.1837,20.0,60.59701,93.0576
3,7.5,30.0,0.0,1.0,0,4,6,20,4,1,4,0.06,0.0,30.0,0.0,2.1383,0.2,17.1344,4.77333,22.76333,61.81118,100.295
3,7.5,30.0,0.0,1.0,0,4,11,4,4,1,4,0.06,0.0,30.0,0.0,3.20088,0.2,6.49926,4.41037,21.50538,62.39118,106.056
3,7.5,30.0,0.0,1.0,0,4,11,10,4,1,4,0.06,0.0,30.0,0.0,2.216,0.2,9.45347,5.00148,23.97465,60.53118,90.9897
3,7.5,30.0,0.0,1.0,0,4,11,16,4,1,4,0.06,0.0,30.0,0.0,2.53615,0.2,9.15805,5.58222,25.31765,60.53118,80.3545
10,4.25,34.0,360.0,1.0,0,4,11,27,8,1,0,0.06,1.0,34.0,30.0,0.0,0.0,21.4231,8.26949,20.8683,60.0,75.7692
10,4.25,34.0,360.0,1.0,0,4,11,38,8,1,0,0.06,1.0,34.0,30.0,7.5,0.0,36.4231,7.98373,19.9837,60.0,84.5385
10,4.25,34.0,360.0,1.0,0,4,11,4,8,1,0,0.06,1.0,34.0,30.0,7.5,0.0,16.4615,7.86487,20.2439,60.0,77.8462
10,4.25,34.0,360.0,1.0,0,4,6,20,8,1,0,0.06,1.0,34.0,30.0,7.5,0.0,45.4231,7.18207,20.2959,60.0,94.4615
10,7.0,56.0,0.0,1.0,1,4,11,27,8,1,3,0.4,0.0,28.0,0.0,0.0,5e-05,1.14007,7.98471,22.43201,65.0,70.4558
10,7.0,56.0,0.0,1.0,1,4,11,2,8,1,3,0.4,0.0,28.0,0.0,8.4771,5e-05,1.14007,8.02,24.87619,65.0,83.6808
10,7.0,56.0,0.0,1.0,1,4,11,2,8,1,3,0.4,0.0,28.0,0.0,16.95419,5e-05,1.14007,7.90706,22.65348,65.0,130.879
