Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),CH4-C loss (%)
5,1.0,0,1,0,15.0,15.0,0.0,29.0,4,0.018,0.90506,63.17,24.41,1.92582,0,47.00927,0,0.49167,0.2855
5,1.0,0,1,0,15.0,15.0,0.0,29.0,4,0.018,0.88629,62.39,27.43,1.84851,0,50.70463,0,0.49167,0.32892
5,1.0,0,1,0,15.0,15.0,0.0,29.0,4,0.018,0.89127,62.6,28.06,1.81596,0,50.95584,0,0.49167,0.30074
5,1.0,0,1,0,15.0,15.0,0.0,29.0,4,0.018,0.8765,61.97,16.31,2.06009,0,33.60007,0,0.49167,0.34662
5,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,4,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,0.30362
4,6.42857,0,0,0,45.0,0.0,0.0,0.0,5,0.06,0.0,65.87741,23.8,1.79,0,42.59,0,0.08333,0.22
4,6.42857,0,0,0,45.0,0.0,0.0,0.0,5,0.06,0.0,64.63467,30.6,1.45,0,44.38,0,0.08333,0.19
7,17.5,0,1,0,70.0,0.0,0.0,0.0,5,1.2096,0.0,63.6,17.26269,2.12625,0,36.7048,0,0.43648,0.24
7,17.5,0,1,0,70.0,70.0,0.0,0.0,5,1.2096,0.18,63.6,17.26269,2.12625,0,36.7048,0,0.25684,0.32
7,17.5,0,1,0,70.0,70.0,0.0,0.0,5,1.2096,0.36,63.6,17.26269,2.12625,0,36.7048,0,0.25684,0.09
7,17.5,0,1,0,70.0,70.0,0.0,0.0,5,1.2096,0.54,63.6,17.26269,2.12625,0,36.7048,0,0.25684,0.01
7,5.24451,0,1,4,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,1,39.17911,0,0.47904,0.03
0,0.0,0,1,0,31.0,31.0,0.0,0.0,5,0.01,0.43,83.0,16.5,2.60606,0,43.0,0,0.492,0.08564
0,0.0,0,1,0,31.0,31.0,0.0,0.0,5,0.01,0.21,83.0,16.5,2.60606,0,43.0,0,0.492,0.17394
5,0.0,0,1,0,31.0,31.0,0.0,0.0,5,0.01,0.48,71.0,6.1,5.77049,0,35.2,0,0.492,0.03724
5,0.0,0,1,0,31.0,31.0,0.0,0.0,5,0.01,0.23,71.0,6.1,5.77049,0,35.2,0,0.492,0.03629
5,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,0.00574
5,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,0.00447
6,5.0,0,1,7,45.0,45.0,20.0,0.0,5,0.12,0.94745,65.0,20.62762,2.14963,1,38.92499,0,0.4168,0.14
6,5.0,0,1,7,45.0,45.0,20.0,5.0,5,0.12,1.71576,65.0,21.9187,2.37593,1,37.1463,9,0.3489,0.06
6,5.0,0,1,7,45.0,45.0,20.0,1.0,5,0.12,0.92403,65.0,20.62762,2.05396,1,38.65892,9,0.4418,0.05
6,5.0,0,1,7,45.0,45.0,20.0,1.0,5,0.12,0.92403,65.0,20.62762,2.05396,1,38.65892,13,0.4418,0.02
6,5.0,0,1,7,45.0,45.0,20.0,3.0,5,0.12,0.93795,65.0,21.10208,2.04396,1,38.4367,5,0.49078,0.04
6,5.0,0,1,7,45.0,45.0,20.0,3.0,5,0.12,0.93795,65.0,21.10208,2.04396,1,38.4367,8,0.49078,0.08
6,5.0,0,1,7,45.0,45.0,20.0,5.0,5,0.12,1.71576,65.0,21.9187,2.37593,1,37.1463,1,0.3489,0.04
6,7.0,0,1,0,35.0,35.0,0.0,0.0,5,0.06,0.3,72.86,11.37,2.68,0,30.45,0,0.667,0.4
0,0.0,2,0,0,133.0,0.0,0.0,0.0,5,0.178,0.0,67.374,23.74058,1.37,0,46.61,0,0.68961,0.002
0,0.0,2,0,0,133.0,0.0,0.0,2.4,5,0.1845,0.0,67.374,21.69058,1.33,0,46.61,10,0.71861,0.0007
0,0.0,2,0,0,133.0,0.0,0.0,2.4,5,0.1845,0.0,67.374,21.69058,1.38,0,46.61,10,0.70092,0.0007
0,0.0,2,0,0,133.0,0.0,0.0,2.4,5,0.1845,0.0,67.374,21.69058,1.23,0,46.61,10,0.70092,0.0003
0,0.0,2,0,0,133.0,0.0,0.0,2.4,5,0.1845,0.0,67.374,21.69058,1.42,0,47.11,12,0.70092,0.0017
0,0.0,2,0,0,133.0,0.0,0.0,2.4,5,0.1845,0.0,67.374,21.69058,1.2,0,46.61,12,0.70092,0.0012
0,0.0,2,0,0,133.0,0.0,0.0,2.4,5,0.1845,0.0,67.374,21.69058,1.22,0,46.61,12,0.70092,0.0017
0,0.0,1,0,0,90.0,0.0,0.0,0.0,4,0.02069,0.0,68.6,22.8,1.272,0,45.836,0,0.69316,0.05
0,0.0,1,0,0,90.0,0.0,0.0,0.0,4,0.02069,0.0,68.65,23.71,1.142,0,45.42,0,0.58005,0.03
