Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),NH3-N loss (%)
8,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,28,0.47904,27.44832
9,7.8,0,1,0,39.0,39.0,0.0,0.0,5,0.06,0.48,69.55,20.7524,1.976,0,39.24,0,0.48697,23.2
9,7.8,0,1,0,39.0,39.0,0.0,0.0,5,0.06,0.48,69.55,20.7524,1.976,0,39.24,15,0.50441,9.6
9,7.8,0,1,0,39.0,39.0,0.0,0.0,5,0.06,0.48,69.55,20.7524,1.976,0,39.24,8,0.50441,7.1
9,7.8,0,1,0,39.0,39.0,0.0,0.0,5,0.06,0.48,69.55,20.7524,1.976,0,39.24,23,0.50441,8.46
9,7.8,0,1,0,39.0,39.0,0.0,0.0,5,0.06,0.48,69.55,20.7524,1.976,0,39.24,1,0.50441,5.45
9,0.0,0,1,0,26.0,26.0,0.0,0.0,4,0.0212,0.91133,61.8,16.5,2.86133,0,47.21194,0,0.72264,34.9
9,0.0,0,1,0,26.0,26.0,0.0,0.56,4,0.0212,0.90955,61.8,23.69151,2.98895,0,28.39828,16,0.72406,15.0
9,8.75,0,1,0,35.0,35.0,0.0,0.0,5,0.06,0.38,70.4,20.3,2.09,0,42.4,0,0.59696,31.32
9,8.75,0,1,0,35.0,35.0,0.0,4.56,5,0.06,0.38,69.19,18.59005,2.17362,0,38.04212,15,0.61861,21.79
9,8.75,0,1,0,35.0,35.0,0.0,6.48,5,0.06,0.38,69.19,16.00383,2.40973,0,35.36664,15,0.63764,14.21
9,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,4,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,9.7
9,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,4,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,20,0.47904,9.3
9,5.24451,0,1,2,45.00543,23.95271,3.71964,4.61917,4,1.07218,0.65641,64.22697,21.36486,2.05673,1,39.17911,4,0.47904,2.147
9,5.24451,0,1,2,45.00543,23.95271,3.71964,4.61917,4,1.07218,0.65641,64.22697,21.36486,2.05673,1,39.17911,6,0.47904,5.739
9,5.24451,0,1,2,45.00543,23.95271,3.71964,4.61917,4,1.07218,0.65641,64.22697,21.36486,2.05673,1,39.17911,0,0.47904,3.462
0,0.0,0,1,0,15.0,15.0,0.0,0.0,5,0.17,0.2885,70.5,26.0,1.59,0,41.34,0,0.27647,19.81132
0,0.0,0,1,0,15.0,15.0,0.0,3.62976,5,0.17,0.29038,71.0,21.946,1.44,0,35.0364,11,0.27941,13.54167
0,0.0,0,1,0,15.0,15.0,0.0,7.30994,5,0.17,0.2924,71.5,22.256,1.55,0,35.202,11,0.28235,11.6129
0,0.0,0,1,0,15.0,15.0,0.0,9.97672,5,0.17,0.26605,69.0,30.0,1.36,0,40.8,11,0.28529,9.12409
0,0.0,0,1,0,15.0,15.0,0.0,0.0,5,0.17,0.26377,70.0,20.576,1.72,0,33.8986,0,0.29735,10.75581
0,0.0,0,1,0,15.0,15.0,0.0,13.09719,5,0.17,0.28166,71.8,21.36,1.66,0,39.2746,11,0.29624,10.84337
0,0.0,0,1,0,15.0,15.0,0.0,24.36647,5,0.17,0.26201,69.6,20.47669,1.58,0,39.2212,11,0.29541,15.50633
0,0.0,0,1,0,15.0,15.0,0.0,37.59079,5,0.17,0.26947,70.3,23.68712,1.47,0,43.71257,11,0.294,16.66667
0,0.0,0,1,0,15.0,6.0,0.0,0.0,5,0.17,0.28948,70.6,19.81,1.59,0,34.55,0,0.27647,16.03774
0,0.0,0,1,0,15.0,6.0,0.0,3.10479,5,0.17,0.28882,70.8,19.81,1.57,0,33.974,24,0.279,14.96815
0,0.0,0,1,0,15.0,6.0,0.0,3.43688,5,0.17,0.28171,70.1,19.81,1.55,0,34.55,24,0.27934,13.54839
0,0.0,0,1,0,15.0,6.0,0.0,3.68545,5,0.17,0.27867,69.8,19.81,1.55,0,34.55,24,0.27958,15.16129
0,0.0,0,1,0,15.0,15.0,0.0,0.0,5,0.17,0.27765,71.5,20.576,1.62,0,34.264,0,0.29735,14.81481
0,0.0,0,1,0,15.0,15.0,0.0,3.66885,5,0.17,0.28276,72.3,22.406,1.35,0,35.202,24,0.30041,16.66667
0,0.0,0,1,0,15.0,15.0,0.0,7.0174,5,0.17,0.27016,71.3,22.776,1.31,0,35.202,24,0.30346,12.9771
0,0.0,0,1,0,15.0,15.0,0.0,10.35227,5,0.17,0.26561,71.1,22.776,1.25,0,35.202,24,0.30652,13.2
9,7.0,1,0,0,70.0,0.0,0.0,0.0,5,1.2,0.0,68.70741,18.89189,2.20375,0,32.6561,0,0.34258,35.3
9,7.0,1,0,0,70.0,0.0,0.0,3.3,5,1.2,0.0,68.89741,18.89189,2.18773,0,31.98075,1,0.37108,28.0
9,7.0,1,0,0,70.0,0.0,0.0,6.6,5,1.2,0.0,68.08741,18.89189,2.03991,0,33.16227,1,0.30532,21.2
9,7.0,1,0,0,70.0,0.0,0.0,9.9,5,1.2,0.0,65.52171,18.89189,2.22663,0,36.87905,1,0.38456,16.8
9,7.0,1,0,0,70.0,0.0,0.0,13.2,5,1.2,0.0,66.91171,18.89189,2.3715,0,37.25713,1,0.39214,14.8
9,7.0,1,0,0,70.0,0.0,0.0,16.5,5,1.2,0.0,65.34171,18.89189,2.37925,0,37.90571,1,0.38537,8.3
7,2.16667,0,1,6,13.0,13.0,20.0,0.0,4,0.06,0.72,55.0,12.8125,3.2,1,41.0,0,0.73518,12.84
8,2.0,0,1,0,22.0,22.0,0.0,2.0,4,0.0035,0.5806,59.4,13.73426,2.14,0,30.45546,8,0.67843,16.2936
8,2.0,0,1,0,22.0,22.0,0.0,2.0,4,0.0035,0.5956,57.5,15.49294,2.15,0,33.38463,8,0.67735,18.7427
8,2.0,0,1,0,22.0,22.0,0.0,0.0,4,0.0035,0.49494,58.2,14.76885,2.13,0,30.45546,0,0.67843,33.8826
7,0.25,0,1,5,45.0,45.0,17.0,0.0,2,2.4,6.67,55.0,30.4875,1.09466,1,33.3734,0,0.41667,17.965
7,0.25,0,1,5,45.0,45.0,17.0,0.44444,2,2.4,6.67,55.0,29.153,1.12653,1,32.8418,4,0.41667,3.22179
7,0.25,0,1,5,45.0,45.0,17.0,0.44444,2,2.4,6.67,55.0,31.2883,1.03964,1,32.5285,4,0.41667,5.63813
7,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,2,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,10.351
7,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,2,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,20,0.47904,2.046
7,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,2,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,20,0.47904,2.362
3,7.5,0,1,0,30.0,30.0,0.0,0.0,2,0.06,0.2,60.59701,20.0,1.9,0,38.0,0,0.54849,24.9
3,7.5,0,1,0,30.0,30.0,0.0,2.1383,2,0.06,0.2,58.46543,23.31472,2.05157,0,42.68316,15,0.58551,12.6
3,7.5,0,1,0,30.0,30.0,0.0,3.20088,2,0.06,0.2,58.46543,23.31472,2.06657,0,42.68316,1,0.58551,15.3
3,7.5,0,1,0,30.0,30.0,0.0,2.216,2,0.06,0.2,58.46543,23.31472,2.05157,0,42.68316,5,0.58551,8.9
3,7.5,0,1,0,30.0,30.0,0.0,2.53615,2,0.06,0.2,58.46543,23.31472,2.05157,0,42.68316,11,0.58551,8.9
3,2.11111,0,1,0,19.0,19.0,0.0,0.0,2,0.0306,10.0,70.0,26.38728,1.73,0,45.65,0,0.82879,16.5467
3,2.11111,0,1,0,19.0,19.0,0.0,3.0,2,0.0306,10.0,70.0,26.38728,1.73,0,45.65,20,0.82879,12.879
3,2.11111,0,1,0,19.0,19.0,0.0,6.9,2,0.3946,10.0,70.0,26.34783,1.61,0,42.42,18,0.78782,12.879
3,2.11111,0,1,0,19.0,19.0,0.0,9.9,2,0.3946,10.0,70.0,26.34783,1.61,0,42.42,20,0.76493,2.9862
9,9.33333,1,0,0,112.0,42.0,0.0,0.0,4,0.28,0.2569,65.4,25.0,1.4,0,43.93961,0,0.42092,21.4
9,9.33333,1,0,0,112.0,42.0,0.0,2.94985,4,0.28,0.26221,66.1,25.0,1.6,0,44.09714,20,0.42642,20.7
9,9.33333,1,0,0,112.0,0.0,0.0,0.0,4,1.0664,0.0,64.9,17.22075,3.4,0,38.19286,0,0.74535,18.4
9,9.33333,1,0,0,112.0,0.0,0.0,2.8169,4,1.0664,0.0,64.5,18.53975,3.1,0,37.99286,20,0.7441,19.7
3,3.88889,0,1,0,35.0,35.0,0.0,2.25,4,0.02,0.5,66.647,29.0076,1.72104,0,41.4847,13,0.57359,27.1028
3,3.88889,0,1,0,35.0,35.0,0.0,1.8209,4,0.02,0.5,64.24035,32.0229,1.73107,0,41.7283,13,0.51128,0.46729
3,3.88889,0,1,0,35.0,35.0,0.0,2.5709,4,0.02,0.5,65.43,30.3435,1.66133,0,41.1493,13,0.51435,10.42991
3,3.88889,0,1,0,35.0,35.0,0.0,3.3209,4,0.02,0.5,66.486,26.9466,1.81193,0,41.2947,13,0.57359,17.37382
3,3.88889,0,1,0,35.0,35.0,0.0,4.0709,4,0.02,0.5,66.033,29.0458,1.66134,0,41.4847,13,0.57048,29.17756
9,6.66667,0,1,10,40.0,30.0,30.0,0.0,5,0.1604,7.69231,64.54545,16.53936,2.34,1,38.7021,0,0.69974,26.0
9,6.66667,0,1,10,40.0,30.0,30.0,6.0,5,0.1604,7.31707,63.55556,16.39658,2.31,1,37.8761,1,0.55501,11.8
9,6.66667,0,1,10,40.0,30.0,30.0,15.0,5,0.09105,6.81818,62.06897,15.97083,2.41,1,38.4897,21,0.33485,21.5
9,6.66667,0,1,10,40.0,30.0,30.0,1.46082,5,0.1604,7.79221,65.17413,16.34774,2.34,1,38.2537,21,0.65431,20.2
3,1.0,0,1,0,24.0,24.0,0.0,2.56049,1,0.03,0.76104,63.5,20.5,2.67561,0,33.15268,25,0.36,12.86
3,1.0,0,1,0,24.0,24.0,0.0,0.0,1,0.03,0.76815,63.5,20.5,2.67561,0,33.15268,0,0.356,10.23
3,5.24451,0,1,1,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,1,39.17911,28,0.47904,9.64912
3,5.24451,0,1,1,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,1,39.17911,14,0.47904,13.4503
8,5.09091,0,1,0,56.0,56.0,0.0,0.0,5,0.13,1.11111,55.0,25.02125,1.80435,1,45.1471,0,0.5,1.02
8,5.09091,0,1,0,56.0,56.0,0.0,2.0,5,0.13,1.11111,55.0,25.08996,1.84239,1,46.2255,0,0.5,0.2
8,5.09091,0,1,0,56.0,56.0,0.0,4.0,5,0.13,1.11111,55.0,25.00167,1.8587,1,46.4706,0,0.5,0.11
8,5.09091,0,1,0,56.0,56.0,0.0,6.0,5,0.13,1.11111,55.0,23.99361,1.95109,1,46.8137,0,0.5,0.11
8,5.09091,0,1,0,56.0,56.0,0.0,8.0,5,0.13,1.11111,55.0,22.31769,2.11957,1,47.3039,0,0.5,0.06
8,5.09091,0,1,0,56.0,56.0,0.0,12.0,5,0.13,1.11111,55.0,21.13909,2.27717,1,48.1373,0,0.5,0.04
8,5.09091,0,1,0,56.0,56.0,0.0,18.0,5,0.13,1.11111,55.0,20.40002,2.42935,1,49.5588,0,0.5,0.02
3,1.0,0,1,0,25.0,25.0,0.0,0.0,5,0.03,0.82386,66.0,17.0,3.16471,0,53.8,0,0.357,21.2
3,1.0,0,1,0,25.0,25.0,0.0,2.22035,5,0.03,0.80596,66.0,15.01995,2.80922,0,33.59435,19,0.36493,32.8
3,1.0,0,1,0,25.0,25.0,0.0,1.82166,5,0.03,0.80912,66.0,15.01995,2.80922,0,34.97808,19,0.3635,12.6
3,1.0,0,1,0,25.0,25.0,0.0,1.42297,5,0.03,0.8123,66.0,15.01995,2.80922,0,34.97808,19,0.36208,3.5
4,1.86486,1,0,0,69.0,0.0,0.0,0.0,1,0.08,0.0,80.7,20.37805,0.82,0,16.71,0,0.47273,11.4
4,1.86486,1,0,0,69.0,0.0,0.0,3.0,1,0.08,0.0,80.7,22.76667,0.9,0,20.49,0,0.47273,8.13793
4,1.86486,1,0,0,69.0,0.0,0.0,4.0,1,0.08,0.0,80.7,19.47368,0.95,0,18.5,21,0.47273,4.22508
4,1.86486,1,0,0,69.0,0.0,0.0,3.0,1,0.08,0.0,80.7,22.13253,0.83,0,18.37,21,0.47273,7.9278
9,8.75,0,1,0,35.0,35.0,0.0,0.0,5,0.06,0.3,69.2,18.4,2.04,0,37.48,0,0.60796,32.5
9,8.75,0,1,0,35.0,35.0,0.0,1.504,5,0.06,0.3,69.2,18.4,2.04,0,37.48,8,0.58703,14.5
9,8.75,0,1,0,35.0,35.0,0.0,1.504,5,0.06,0.3,69.2,18.4,2.04,0,37.48,23,0.58703,16.0
9,8.75,0,1,0,35.0,35.0,0.0,1.504,5,0.06,0.3,69.2,18.4,2.04,0,37.48,1,0.58703,13.3
9,8.75,0,1,0,35.0,35.0,0.0,1.504,5,0.06,0.3,69.2,18.4,2.04,0,37.48,8,0.58703,5.9
9,5.0,0,1,0,30.0,30.0,0.0,0.0,5,0.12,2.56621,66.11478,17.57895,1.94767,0,33.4,0,0.575,1.6
9,5.0,0,1,0,30.0,30.0,0.0,5.0,5,0.12,2.56621,66.49348,19.48477,1.94767,0,29.89034,21,0.58474,1.184
9,5.0,0,1,0,30.0,30.0,0.0,10.0,5,0.12,2.56621,65.03548,20.32877,1.94767,0,35.6945,21,0.59448,0.864
9,5.0,0,1,0,30.0,30.0,0.0,20.0,5,0.12,2.56621,60.77,18.56896,1.94767,0,36.82746,21,0.61397,0.688
9,5.0,0,1,0,30.0,30.0,0.0,1.0,5,0.12,2.56621,64.62448,25.61489,1.94767,0,29.67784,21,0.57695,0.848
9,7.0,0,1,0,28.0,28.0,0.0,0.0,6,0.06,0.36,62.06,17.91,1.95,0,34.9245,0,0.7402,13.18
9,7.0,0,1,0,28.0,28.0,0.0,10.0,6,0.06,0.36,58.69,18.23,1.96,0,35.7308,1,0.78068,11.36
3,7.5,0,1,4,30.0,30.0,40.0,0.0,5,0.06,0.3444,53.59,32.46,1.1,1,35.52,0,0.64438,23.17
3,7.5,0,1,4,30.0,30.0,40.0,0.0,5,0.06,0.52357,59.14902,22.72871,1.73399,1,36.07717,0,0.58322,14.5
3,7.5,0,1,4,30.0,30.0,40.0,2.54,5,0.06,0.5724,58.6187,22.71149,1.72699,1,35.97951,11,0.57909,12.31
3,7.5,0,1,4,30.0,30.0,40.0,2.54,5,0.06,0.5724,58.6187,22.71149,1.72699,1,35.97951,20,0.57909,20.84
9,3.71429,2,0,0,26.0,0.0,0.0,0.0,5,1.2,0.0,65.0,22.46154,1.69,0,37.96,0,0.375,26.82
9,3.71429,2,0,0,26.0,0.0,0.0,15.67944,5,1.2,0.0,65.0,24.96689,1.51,0,37.7,0,0.39375,21.65
9,3.71429,2,0,0,26.0,0.0,0.0,31.35889,5,1.2,0.0,65.0,26.48227,1.41,0,37.34,0,0.4125,7.31
9,3.71429,2,0,0,26.0,0.0,0.0,47.03833,5,1.2,0.0,65.0,29.88889,1.35,0,40.35,0,0.43125,5.47
9,17.5,0,1,5,35.0,35.0,30.0,0.0,5,0.06,0.38,67.6,17.4312,2.22446,1,38.775,0,0.45893,29.26
9,17.5,0,1,5,35.0,35.0,30.0,0.408,5,0.06,0.38,61.42,14.83745,2.06768,1,30.6791,22,0.40863,16.11
9,17.5,0,1,5,35.0,35.0,30.0,0.408,5,0.06,0.38,62.73,16.20429,2.16937,1,35.1531,2,0.41283,30.93
9,17.5,0,1,5,35.0,35.0,30.0,0.408,5,0.06,0.38,65.81,13.97506,2.27531,1,31.7976,22,0.43143,16.12
9,5.6,0,1,0,28.0,28.0,0.0,0.0,5,0.06,0.48,57.54093,19.25,2.13,0,38.5,0,0.53267,24.95
9,5.6,0,1,0,28.0,28.0,0.0,2.44988,5,0.06,0.48,55.20379,20.96213,2.14833,0,42.9042,8,0.53821,11.23
9,5.6,0,1,0,28.0,28.0,0.0,2.45195,5,0.06,0.48,55.20379,20.96213,2.15,0,42.9042,8,0.53821,22.85
9,5.6,0,1,0,28.0,28.0,0.0,4.35435,5,0.06,0.48,55.84379,20.86543,2.16833,0,43.0472,23,0.54251,26.71
8,5.66667,0,1,0,34.0,34.0,0.0,0.0,5,0.06,0.27211,65.0,11.37,2.18513,0,37.37812,0,0.58333,31.52
8,5.66667,0,1,0,34.0,34.0,0.0,10.0,5,0.06,0.26291,65.0,11.37,2.15071,0,36.96312,1,0.60375,21.26
8,5.66667,0,1,0,34.0,34.0,0.0,10.28571,5,0.06,0.26265,65.0,11.37,2.16358,0,36.96312,1,0.60433,16.22
8,5.66667,0,1,0,34.0,34.0,0.0,14.57143,5,0.06,0.2589,65.0,11.37,2.19286,0,37.31912,1,0.61308,14.88
9,5.83333,0,1,0,35.0,35.0,0.0,0.0,5,0.06,0.25,69.2,18.43351,2.03653,0,37.5404,0,0.60529,32.5
9,5.83333,0,1,0,35.0,35.0,0.0,0.856,5,0.06,0.25,69.21,18.43351,2.03653,0,37.5404,8,0.66417,14.5
9,5.83333,0,1,0,35.0,35.0,0.0,4.0,5,0.06,0.25,69.21,18.43351,2.03653,0,37.5404,1,0.64394,20.3
9,5.83333,0,1,0,35.0,35.0,0.0,0.856,5,0.06,0.25,69.21,18.43351,2.03653,0,37.5404,8,0.66417,12.4
7,5.55556,0,1,0,50.0,34.6,0.0,0.0,5,0.1,0.312,60.0,31.0074,1.52371,0,42.64511,0,0.5,36.3
7,5.55556,0,1,0,50.0,34.6,0.0,2.0,5,0.1,0.262,60.0,30.0553,1.53458,0,44.7689,4,0.5,33.2
7,5.55556,0,1,0,50.0,28.8,0.0,4.0,5,0.1,0.272,60.0,30.3317,1.65677,0,44.20042,4,0.5,26.6
7,5.55556,0,1,0,50.0,33.8,0.0,6.0,5,0.1,0.272,60.0,30.5467,1.60643,0,45.91928,4,0.5,20.4
7,5.55556,0,1,0,50.0,34.0,0.0,8.0,5,0.1,0.18,60.0,31.0381,1.45139,0,43.86004,4,0.5,14.9
7,5.55556,0,1,0,50.0,24.2,0.0,10.0,5,0.1,0.125,60.0,30.7924,1.47792,0,42.02367,4,0.5,10.7
9,5.55556,0,1,0,50.0,50.0,0.0,0.0,5,0.1,0.3,55.0,25.0,2.084,0,52.1,0,0.54517,2.49315
9,5.55556,0,1,0,50.0,50.0,0.0,10.0,5,0.1,0.3,59.866,26.39749,1.96662,0,43.81105,0,0.4992,1.56621
9,5.55556,0,1,0,50.0,50.0,0.0,20.0,5,0.1,0.3,60.907,21.42811,2.10632,0,44.83815,0,0.46474,0.86301
9,5.55556,0,1,0,50.0,50.0,0.0,20.5,5,0.1,0.3,60.907,22.01853,2.10632,0,44.83815,0,0.46474,0.83105
9,5.55556,0,1,0,50.0,50.0,0.0,21.0,5,0.1,0.3,60.907,22.01853,2.10632,0,44.83815,0,0.46474,0.67656
9,5.55556,0,1,0,50.0,50.0,0.0,22.0,5,0.1,0.3,60.907,22.01853,2.10632,0,44.83815,0,0.46474,0.58067
8,4.85714,0,1,0,34.0,34.0,0.0,0.0,4,0.005,0.03367,67.6,33.5,1.46,0,42.91,0,0.55,8.7
8,4.85714,0,1,0,34.0,34.0,0.0,7.73359,4,0.005,0.03367,67.3,33.52459,1.22,0,40.9,19,0.4291,7.87
8,4.85714,0,1,0,34.0,34.0,0.0,7.12828,4,0.005,0.03367,66.8,33.1129,1.24,0,41.06,9,0.4566,6.6
8,4.85714,0,1,0,34.0,34.0,0.0,6.05043,4,0.005,0.03367,66.0,31.5303,1.32,0,41.62,19,0.54307,3.5
7,7.0,0,1,0,91.0,7.6,0.0,0.0,5,0.25,0.01275,60.0,20.0,1.99,0,39.8,0,0.46988,12.9281
7,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,9.06668
7,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,7,0.47904,4.30644
7,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,2.61249
7,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,10.7421
7,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,7.72635
7,7.0,0,1,0,91.0,30.0,0.0,12.5,5,0.25,0.41755,60.0,25.0,1.82,0,45.5,7,0.41667,3.65344
7,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,2.32943
7,7.0,0,1,0,91.0,7.6,0.0,0.0,5,0.25,0.01275,60.0,30.0,1.67,0,50.1,0,0.4951,7.81575
7,7.0,0,1,0,91.0,30.0,0.0,12.5,5,0.25,0.41755,60.0,30.0,1.63,0,48.9,0,0.43077,4.11289
7,7.0,0,1,0,91.0,30.0,0.0,12.5,5,0.25,0.41755,60.0,30.0,1.7,0,51.0,7,0.43077,3.05309
7,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,2.04637
0,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,23.37209
0,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,22,0.47904,14.48837
0,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,28,0.47904,16.25581
0,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,22,0.47904,19.37209
0,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,9.98214
0,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,22,0.47904,13.01724
0,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,28,0.47904,11.78571
0,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,22,0.47904,10.94737
0,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,4,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,6.04167
