Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),N2O-N loss (%)
8,21.0,0,1,0,21.0,21.0,0.0,0.0,5,1.2096,0.24,59.81,19.9,1.91,0,38.1,0,0.42876,2.3
8,21.0,0,1,0,21.0,21.0,0.0,0.0,0,1.2096,0.24,60.21,19.9,1.79,0,35.6,0,0.42876,1.24
5,6.42857,0,0,0,45.0,0.0,0.0,0.0,5,0.06,0.0,65.87741,23.8,1.79,0,42.59,0,0.08333,0.41
5,6.42857,0,0,0,45.0,0.0,0.0,0.0,5,0.06,0.0,64.63467,30.6,1.45,0,44.38,0,0.08333,0.09
8,17.5,0,1,0,70.0,0.0,0.0,0.0,5,1.2096,0.0,63.6,17.26269,2.12625,0,36.7048,0,0.43648,1.4
8,17.5,0,1,0,70.0,70.0,0.0,0.0,5,1.2096,0.18,63.6,17.26269,2.12625,0,36.7048,0,0.25684,1.2
8,17.5,0,1,0,70.0,70.0,0.0,0.0,5,1.2096,0.36,63.6,17.26269,2.12625,0,36.7048,0,0.25684,1.7
0,0.0,0,1,0,31.0,31.0,0.0,0.0,5,0.01,0.43,83.0,16.5,2.60606,0,43.0,0,0.492,0.10748
0,0.0,0,1,0,31.0,31.0,0.0,0.0,5,0.01,0.21,83.0,16.5,2.60606,0,43.0,0,0.492,0.11495
6,0.0,0,1,0,31.0,31.0,0.0,0.0,5,0.01,0.48,71.0,6.1,5.77049,0,35.2,0,0.492,0.0821
6,0.0,0,1,0,31.0,31.0,0.0,0.0,5,0.01,0.23,71.0,6.1,5.77049,0,35.2,0,0.492,0.1254
6,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,0.0394
6,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,0.1567
8,7.5,0,1,1,30.0,30.0,25.0,10.2,5,0.06,0.48,64.389,17.73301,2.06,1,36.53,14,0.5991,2.0
8,7.5,0,1,1,30.0,30.0,25.0,5.2,5,0.06,0.48,62.90879,17.80952,2.1,1,37.4,14,0.60408,2.0
7,5.0,0,1,8,45.0,45.0,20.0,0.0,5,0.12,0.94745,65.0,20.62762,2.14963,1,38.92499,0,0.4168,1.92
7,5.0,0,1,8,45.0,45.0,20.0,5.0,5,0.12,1.71576,65.0,21.9187,2.37593,1,37.1463,13,0.3489,1.1
7,5.0,0,1,8,45.0,45.0,20.0,1.0,5,0.12,0.92403,65.0,20.62762,2.05396,1,38.65892,13,0.4418,0.79
7,5.0,0,1,8,45.0,45.0,20.0,1.0,5,0.12,0.92403,65.0,20.62762,2.05396,1,38.65892,17,0.4418,2.48
7,5.0,0,1,8,45.0,45.0,20.0,3.0,5,0.12,0.93795,65.0,21.10208,2.04396,1,38.4367,7,0.49078,2.29
7,5.0,0,1,8,45.0,45.0,20.0,3.0,5,0.12,0.93795,65.0,21.10208,2.04396,1,38.4367,11,0.49078,0.5
7,5.0,0,1,8,45.0,45.0,20.0,5.0,5,0.12,1.71576,65.0,21.9187,2.37593,1,37.1463,1,0.3489,1.64
8,0.0,0,1,0,50.0,50.0,0.0,0.0,5,0.1,0.3,60.0,25.0,1.79369,0,45.68891,0,0.59489,0.79
8,0.0,0,1,0,50.0,50.0,0.0,10.0,5,0.1,0.3,60.0,25.0,1.68726,0,43.74646,0,0.59489,0.3
8,0.0,0,1,0,50.0,50.0,0.0,10.0,5,0.1,0.3,60.0,25.0,1.68726,0,43.74646,19,0.59489,0.39
8,0.0,0,1,0,50.0,50.0,0.0,20.0,5,0.1,0.3,60.0,25.0,1.84627,0,43.27641,0,0.54132,0.19
7,7.0,0,1,0,35.0,35.0,0.0,0.0,5,0.06,0.1,72.86,11.37,2.68,0,30.45,0,0.667,0.8
7,7.0,0,1,0,35.0,35.0,0.0,0.0,5,0.06,0.2,72.86,11.37,2.68,0,30.45,0,0.667,0.6
7,7.0,0,1,0,35.0,35.0,0.0,0.0,5,0.06,0.3,72.86,11.37,2.68,0,30.45,0,0.667,0.6
8,9.33333,0,1,0,28.0,28.0,0.0,0.0,5,0.06,0.25,52.2,24.8,2.23,0,41.27,0,0.51248,1.5
8,9.33333,0,1,0,28.0,28.0,0.0,1.82956,5,0.06,0.25,58.02882,20.79943,2.22788,0,42.90273,7,0.58992,1.4
8,9.33333,0,1,0,28.0,28.0,0.0,1.82956,5,0.06,0.25,58.02882,20.79943,2.25502,0,42.90273,7,0.58992,1.0
8,9.33333,0,1,0,28.0,28.0,0.0,1.82956,5,0.06,0.25,58.02882,20.79943,2.2751,0,42.90273,7,0.58992,0.3
8,9.33333,0,1,0,28.0,28.0,0.0,1.82956,5,0.06,0.25,58.02882,20.79943,2.31124,0,42.90273,7,0.58992,0.3
8,9.33333,0,1,0,28.0,28.0,0.0,1.82956,5,0.06,0.25,58.32282,21.00843,2.35657,0,42.90273,7,0.58895,0.3
0,0.0,2,0,0,133.0,0.0,0.0,0.0,5,0.178,0.0,67.374,23.74058,1.37,0,46.61,0,0.68961,0.003
0,0.0,2,0,0,133.0,0.0,0.0,2.4,5,0.1845,0.0,67.374,21.69058,1.33,0,46.61,14,0.71861,0.016
0,0.0,2,0,0,133.0,0.0,0.0,2.4,5,0.1845,0.0,67.374,21.69058,1.38,0,46.61,14,0.70092,0.017
0,0.0,2,0,0,133.0,0.0,0.0,2.4,5,0.1845,0.0,67.374,21.69058,1.23,0,46.61,14,0.70092,0.053
0,0.0,2,0,0,133.0,0.0,0.0,2.4,5,0.1845,0.0,67.374,21.69058,1.42,0,47.11,16,0.70092,0.001
0,0.0,2,0,0,133.0,0.0,0.0,2.4,5,0.1845,0.0,67.374,21.69058,1.2,0,46.61,16,0.70092,0.003
0,0.0,2,0,0,133.0,0.0,0.0,2.4,5,0.1845,0.0,67.374,21.69058,1.22,0,46.61,16,0.70092,0.001
0,0.0,1,0,0,90.0,0.0,0.0,0.0,5,0.02069,0.0,66.971,18.867,1.204,0,45.46,0,0.87008,0.22
0,0.0,1,0,0,90.0,0.0,0.0,0.0,4,0.02069,0.0,68.6,22.8,1.272,0,45.836,0,0.69316,0.43
0,0.0,1,0,0,90.0,0.0,0.0,0.0,4,0.02069,0.0,68.65,23.71,1.142,0,45.42,0,0.58005,0.17
