Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),N2O-N loss (%)
8,5.6,0,1,0,28.0,28.0,0.0,0.0,5,0.06,0.48,57.54093,19.25,2.13,0,38.5,0,0.53267,0.34
8,5.6,0,1,0,28.0,28.0,0.0,2.44988,5,0.06,0.48,55.20379,20.96213,2.14833,0,42.9042,7,0.53821,0.38
8,5.6,0,1,0,28.0,28.0,0.0,2.45195,5,0.06,0.48,55.20379,20.96213,2.15,0,42.9042,7,0.53821,0.47
8,5.6,0,1,0,28.0,28.0,0.0,4.35435,5,0.06,0.48,55.84379,20.86543,2.16833,0,43.0472,15,0.54251,0.39
7,5.66667,0,1,0,34.0,34.0,0.0,0.0,5,0.06,0.27211,65.0,11.37,2.18513,0,37.37812,0,0.58333,0.88
7,5.66667,0,1,0,34.0,34.0,0.0,10.0,5,0.06,0.26291,65.0,11.37,2.15071,0,36.96312,1,0.60375,0.6
7,5.66667,0,1,0,34.0,34.0,0.0,10.28571,5,0.06,0.26265,65.0,11.37,2.16358,0,36.96312,1,0.60433,0.25
7,5.66667,0,1,0,34.0,34.0,0.0,14.57143,5,0.06,0.2589,65.0,11.37,2.19286,0,37.31912,1,0.61308,0.13
8,5.83333,0,1,0,35.0,35.0,0.0,0.0,5,0.06,0.25,69.2,18.43351,2.03653,0,37.5404,0,0.60529,1.5
8,5.83333,0,1,0,35.0,35.0,0.0,0.856,5,0.06,0.25,69.21,18.43351,2.03653,0,37.5404,7,0.66417,1.4
8,5.83333,0,1,0,35.0,35.0,0.0,4.0,5,0.06,0.25,69.21,18.43351,2.03653,0,37.5404,1,0.64394,1.4
8,5.83333,0,1,0,35.0,35.0,0.0,0.856,5,0.06,0.25,69.21,18.43351,2.03653,0,37.5404,7,0.66417,2.0
6,5.55556,0,1,0,50.0,34.6,0.0,0.0,5,0.1,0.312,60.0,31.0074,1.52371,0,42.64511,0,0.5,2.05
6,5.55556,0,1,0,50.0,34.6,0.0,2.0,5,0.1,0.262,60.0,30.0553,1.53458,0,44.7689,4,0.5,2.01
6,5.55556,0,1,0,50.0,28.8,0.0,4.0,5,0.1,0.272,60.0,30.3317,1.65677,0,44.20042,4,0.5,1.53
6,5.55556,0,1,0,50.0,33.8,0.0,6.0,5,0.1,0.272,60.0,30.5467,1.60643,0,45.91928,4,0.5,1.42
6,5.55556,0,1,0,50.0,34.0,0.0,8.0,5,0.1,0.18,60.0,31.0381,1.45139,0,43.86004,4,0.5,1.24
6,5.55556,0,1,0,50.0,24.2,0.0,10.0,5,0.1,0.125,60.0,30.7924,1.47792,0,42.02367,4,0.5,0.75
8,5.55556,0,1,0,50.0,50.0,0.0,0.0,5,0.1,0.3,55.0,25.0,2.084,0,52.1,0,0.54517,0.78311
8,5.55556,0,1,0,50.0,50.0,0.0,10.0,5,0.1,0.3,59.866,26.39749,1.96662,0,43.81105,0,0.4992,0.29833
8,5.55556,0,1,0,50.0,50.0,0.0,20.0,5,0.1,0.3,60.907,21.42811,2.10632,0,44.83815,0,0.46474,0.19711
8,5.55556,0,1,0,50.0,50.0,0.0,20.5,5,0.1,0.3,60.907,22.01853,2.10632,0,44.83815,0,0.46474,0.18645
8,5.55556,0,1,0,50.0,50.0,0.0,21.0,5,0.1,0.3,60.907,22.01853,2.10632,0,44.83815,0,0.46474,0.17047
8,5.55556,0,1,0,50.0,50.0,0.0,22.0,5,0.1,0.3,60.907,22.01853,2.10632,0,44.83815,0,0.46474,0.17047
8,0.0,0,0,0,84.0,0.0,0.0,0.0,5,0.12,0.0,81.0,12.2,3.86,0,46.9,0,0.35789,0.55
8,0.0,0,0,0,84.0,0.0,0.0,0.0,5,0.12,0.0,75.8,15.3,3.18,0,48.8,0,0.37259,0.57
1,0.0,0,0,0,84.0,0.0,0.0,0.0,5,0.12,0.0,77.3,22.3,2.16,0,48.2,0,0.34361,0.06
1,0.0,0,0,0,84.0,0.0,0.0,0.0,5,0.12,0.0,77.0,20.1,2.25,0,45.3,0,0.35833,0.03
1,0.0,0,0,0,84.0,0.0,0.0,0.0,0,0.12,0.0,80.0,29.9,1.82,0,54.5,0,0.35875,0.01
1,0.0,0,0,0,84.0,0.0,0.0,22.28321,5,0.12,0.0,84.1,16.9,2.26,0,38.3,0,0.35901,0.12
1,0.0,0,0,0,84.0,0.0,0.0,9.53373,5,0.12,0.0,80.7,20.5,2.21,0,45.3,0,0.35838,0.02
1,0.0,0,0,0,84.0,0.0,0.0,15.84383,5,0.12,0.0,81.5,21.3,2.03,0,42.5,0,0.35766,0.07
1,0.0,0,1,0,28.0,28.0,0.0,0.0,5,0.01,0.28,69.0,11.0,3.7,0,40.7,0,0.24194,0.01619
1,0.0,0,1,0,28.0,28.0,0.0,0.0,3,0.01,0.28,63.0,11.0,3.7,0,40.7,0,0.27027,0.01181
1,0.0,0,1,0,28.0,28.0,0.0,0.0,3,0.01,0.28,66.0,11.0,3.7,0,40.7,0,0.25735,0.01812
1,0.0,0,1,0,28.0,28.0,0.0,0.0,4,0.01,0.28,65.0,14.7,2.85034,0,41.9,0,0.28571,0.02763
1,0.0,0,1,0,28.0,28.0,0.0,0.0,4,0.01,0.28,67.0,12.9,3.2093,0,41.4,0,0.26515,0.04223
1,0.0,0,1,0,28.0,28.0,0.0,25.0,5,0.01,0.28,65.0,16.7,2.93413,0,49.0,0,0.28571,0.01279
1,0.0,0,1,0,28.0,28.0,0.0,14.28571,5,0.01,0.28,67.0,14.0,3.24286,0,45.4,0,0.26515,0.01041
1,0.0,0,1,0,28.0,28.0,0.0,0.0,5,0.01,0.28,65.0,14.0,2.95714,0,41.4,0,0.28571,0.00707
1,0.0,0,1,0,28.0,28.0,0.0,0.0,1,0.01,0.28,65.0,12.1,3.34711,0,40.5,0,0.28571,0.00779
8,9.25,0,1,0,37.0,37.0,0.0,0.0,5,0.06,0.24,64.1,14.7,2.36,0,34.8,0,0.56418,1.6
8,9.25,0,1,0,37.0,37.0,0.0,0.0,5,0.06,0.24,71.3,18.4,2.06,0,38.0,0,0.59329,1.5
8,9.25,0,1,0,37.0,37.0,0.0,0.0,5,0.06,0.24,75.7,21.2,1.93,0,40.9,0,0.48326,2.1
8,31.0,0,1,0,31.0,30.0,0.0,1.2324,5,0.95,0.312,69.47,13.16342,2.57,0,33.83,0,0.63,0.54
8,7.0,1,0,0,70.0,0.0,0.0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.43603,0.81
8,7.0,1,1,0,70.0,0.0,0.0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.43603,0.96
8,14.0,1,0,0,70.0,0.0,0.0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.45903,1.05
8,14.0,1,1,0,70.0,0.0,0.0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.45903,1.07
