Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TC loss (%)
8,7.0,1,0,0,70.0,0.0,0.0,13.2,8,1.2,0.0,66.91171,18.89189,2.3715,0,37.25713,2,0.39214,55.1
8,7.0,1,0,0,70.0,0.0,0.0,16.5,8,1.2,0.0,65.34171,18.89189,2.37925,0,37.90571,2,0.38537,42.2
8,8.75,0,1,0,35.0,35.0,0.0,0.0,8,0.06,0.3,69.2,18.4,2.04,0,37.48,0,0.60796,64.9
8,8.75,0,1,0,35.0,35.0,0.0,1.504,8,0.06,0.3,69.2,18.4,2.04,0,37.48,6,0.58703,63.1
8,8.75,0,1,0,35.0,35.0,0.0,1.504,8,0.06,0.3,69.2,18.4,2.04,0,37.48,14,0.58703,60.6
8,8.75,0,1,0,35.0,35.0,0.0,1.504,8,0.06,0.3,69.2,18.4,2.04,0,37.48,2,0.58703,58.5
8,8.75,0,1,0,35.0,35.0,0.0,1.504,8,0.06,0.3,69.2,18.4,2.04,0,37.48,6,0.58703,42.9
8,7.0,0,1,0,28.0,28.0,0.0,0.0,9,0.06,0.36,62.06,17.91,1.95,0,34.9245,0,0.7402,35.76
8,7.0,0,1,0,28.0,28.0,0.0,10.0,9,0.06,0.36,58.69,18.23,1.96,0,35.7308,2,0.78068,31.91
6,5.66667,0,1,0,34.0,34.0,0.0,0.0,8,0.06,0.27211,65.0,11.37,2.18513,0,37.37812,0,0.58333,55.95
6,5.66667,0,1,0,34.0,34.0,0.0,10.0,8,0.06,0.26291,65.0,11.37,2.15071,0,36.96312,2,0.60375,50.26
6,5.66667,0,1,0,34.0,34.0,0.0,10.28571,8,0.06,0.26265,65.0,11.37,2.16358,0,36.96312,2,0.60433,49.66
6,5.66667,0,1,0,34.0,34.0,0.0,14.57143,8,0.06,0.2589,65.0,11.37,2.19286,0,37.31912,2,0.61308,49.64
8,5.83333,0,1,0,35.0,35.0,0.0,0.0,8,0.06,0.25,69.2,18.43351,2.03653,0,37.5404,0,0.60529,64.9
8,5.83333,0,1,0,35.0,35.0,0.0,0.856,8,0.06,0.25,69.21,18.43351,2.03653,0,37.5404,6,0.66417,63.1
8,5.83333,0,1,0,35.0,35.0,0.0,4.0,8,0.06,0.25,69.21,18.43351,2.03653,0,37.5404,2,0.64394,54.0
8,5.83333,0,1,0,35.0,35.0,0.0,0.856,8,0.06,0.25,69.21,18.43351,2.03653,0,37.5404,6,0.66417,42.2
5,5.55556,0,1,0,50.0,34.6,0.0,0.0,8,0.1,0.312,60.0,31.0074,1.52371,0,42.64511,0,0.5,54.2
5,5.55556,0,1,0,50.0,34.6,0.0,2.0,8,0.1,0.262,60.0,30.0553,1.53458,0,44.7689,4,0.5,52.1
5,5.55556,0,1,0,50.0,28.8,0.0,4.0,8,0.1,0.272,60.0,30.3317,1.65677,0,44.20042,4,0.5,48.8
5,5.55556,0,1,0,50.0,33.8,0.0,6.0,8,0.1,0.272,60.0,30.5467,1.60643,0,45.91928,4,0.5,42.3
5,5.55556,0,1,0,50.0,34.0,0.0,8.0,8,0.1,0.18,60.0,31.0381,1.45139,0,43.86004,4,0.5,39.5
5,5.55556,0,1,0,50.0,24.2,0.0,10.0,8,0.1,0.125,60.0,30.7924,1.47792,0,42.02367,4,0.5,38.7
8,5.55556,0,1,0,50.0,50.0,0.0,0.0,8,0.1,0.3,55.0,25.0,2.084,0,52.1,0,0.54517,19.4242
8,5.55556,0,1,0,50.0,50.0,0.0,10.0,8,0.1,0.3,59.866,26.39749,1.96662,0,43.81105,0,0.4992,12.303
8,5.55556,0,1,0,50.0,50.0,0.0,20.0,8,0.1,0.3,60.907,21.42811,2.10632,0,44.83815,0,0.46474,11.9394
8,5.55556,0,1,0,50.0,50.0,0.0,20.5,8,0.1,0.3,60.907,22.01853,2.10632,0,44.83815,0,0.46474,11.2121
8,5.55556,0,1,0,50.0,50.0,0.0,21.0,8,0.1,0.3,60.907,22.01853,2.10632,0,44.83815,0,0.46474,9.51515
8,5.55556,0,1,0,50.0,50.0,0.0,22.0,8,0.1,0.3,60.907,22.01853,2.10632,0,44.83815,0,0.46474,9.18182
5,7.0,0,1,0,91.0,7.6,0.0,0.0,8,0.25,0.01275,60.0,20.0,1.99,0,39.8,0,0.46988,63.5179
5,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,8,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,57.0893
5,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,8,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,5,0.47904,59.3214
5,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,8,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,46.2857
5,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,8,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,63.4286
5,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,8,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,54.8571
5,7.0,0,1,0,91.0,30.0,0.0,12.5,8,0.25,0.41755,60.0,25.0,1.82,0,45.5,5,0.41667,57.9821
5,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,8,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,46.8214
5,7.0,0,1,0,91.0,7.6,0.0,0.0,8,0.25,0.01275,60.0,30.0,1.67,0,50.1,0,0.4951,65.3036
5,7.0,0,1,0,91.0,30.0,0.0,12.5,8,0.25,0.41755,60.0,30.0,1.63,0,48.9,0,0.43077,58.9643
