material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,TN loss  (%)
5,-1.0,-1.0,-1.0,-1.0,4.8,11,42,1,7.9
3,2.52,-1.0,63.739999999999995,-1.0,6.83,9,42,4,22.8
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,42,0,17.599999999999998
3,1.59,41.34,70.0,26.0,8.8,0,42,4,24.6
3,1.44,-1.0,-1.0,-1.0,8.8,0,42,3,15.1
3,1.55,-1.0,-1.0,-1.0,8.6,0,42,3,15.5
3,1.3599999999999999,40.8,-1.0,30.0,8.7,0,42,3,12.1
3,1.59,39.75000000000001,-1.0,25.000000000000004,8.6,0,42,4,21.0
3,1.5699999999999998,39.25,-1.0,25.000000000000004,8.6,0,42,1,15.5
3,1.55,38.75000000000001,-1.0,25.000000000000004,8.6,0,42,1,16.7
3,1.55,38.75000000000001,-1.0,25.000000000000004,8.9,0,42,1,15.5
3,1.6199999999999999,40.5,-1.0,25.000000000000004,9.1,0,42,4,20.200000000000003
3,1.35,33.75,-1.0,25.000000000000004,9.0,0,42,1,17.1
3,1.31,32.75000000000001,-1.0,25.000000000000004,8.7,0,42,1,14.7
3,1.25,31.250000000000007,-1.0,25.000000000000004,8.7,0,42,1,16.0
3,2.1,38.934000000000005,-1.0,18.54,-1.0,9,42,4,40.1
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,42,3,36.4
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,42,3,34.300000000000004
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,42,3,28.1
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,42,3,21.7
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,42,3,11.5
5,0.83,27.3,71.67999999999999,32.89156626506024,-1.0,11,42,4,40.699999999999996
5,0.8210000000000001,27.800000000000004,-1.0,33.8611449451888,-1.0,11,42,3,38.3
5,0.807,28.7,-1.0,35.56381660470879,-1.0,11,42,3,32.2
5,0.7939999999999999,29.5,-1.0,37.15365239294711,-1.0,11,42,3,26.700000000000003
5,0.782,30.2,-1.0,38.61892583120204,-1.0,11,42,3,20.4
5,0.7230000000000001,30.7,-1.0,42.46196403872752,-1.0,11,42,3,14.6
5,1.7999999999999998,48.0,-1.0,26.666666666666668,8.0,11,42,4,23.400000000000002
5,-1.0,-1.0,-1.0,-1.0,-1.0,11,42,3,0.8999999999999999
5,-1.0,-1.0,-1.0,-1.0,-1.0,11,42,3,0.414
5,-1.0,-1.0,-1.0,-1.0,-1.0,11,42,3,0.5499999999999999
5,-1.0,-1.0,-1.0,-1.0,-1.0,11,42,3,0.4
5,-1.0,-1.0,58.199999999999996,-1.0,7.7,11,42,4,44.7
5,-1.0,-1.0,-1.0,-1.0,5.52688,11,42,1,24.8
5,-1.0,-1.0,-1.0,-1.0,6.33333,11,42,1,28.1
5,2.1,42.00000000000001,70.89999999999999,20.0,7.04,11,42,4,24.4
5,2.0,42.0,71.7,21.0,7.28,11,42,3,9.2
5,1.7000000000000002,42.50000000000001,68.30000000000001,25.0,7.25,11,42,3,8.5
1,1.73,45.6,70.0,26.4,6.3,11,42,4,49.1
1,1.73,-1.0,-1.0,-1.0,-1.0,11,42,0,40.5
1,1.6099999999999999,-1.0,-1.0,-1.0,6.2,11,42,1,18.9
2,1.4500000000000002,40.1,66.5,27.7,7.85,11,42,4,15.2
2,1.4500000000000002,-1.0,-1.0,-1.0,-1.0,11,42,3,10.5
2,1.4500000000000002,-1.0,-1.0,-1.0,-1.0,11,42,3,9.0
2,1.4500000000000002,-1.0,-1.0,-1.0,-1.0,11,42,3,4.2
3,1.4000000000000001,-1.0,65.4,-1.0,7.1,9,23,4,42.8
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,23,0,41.4
3,3.4000000000000004,-1.0,64.9,-1.0,6.9,9,23,4,46.5483787203244
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,23,0,34.8142452731276
3,2.8000000000000003,-1.0,65.0,-1.0,7.9,9,42,4,36.6851
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,42,3,26.2983
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,42,3,16.5746
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,42,3,12.5967
3,2.4,37.0,65.0,15.416666666666666,6.82846,9,34,4,53.1
3,-1.0,-1.0,-1.0,-1.0,6.00631,9,34,3,36.199999999999996
3,-1.0,-1.0,-1.0,-1.0,6.2,9,34,3,46.5
3,-1.0,-1.0,-1.0,-1.0,6.1,9,34,3,41.5
2,1.4000000000000001,37.4,65.0,26.714285714285715,-1.0,11,42,4,19.53
2,1.4000000000000001,-1.0,-1.0,-1.0,-1.0,11,42,3,22.53
2,1.4000000000000001,-1.0,-1.0,-1.0,-1.0,11,42,3,20.849999999999998
2,1.4000000000000001,-1.0,-1.0,-1.0,-1.0,11,42,3,19.400000000000002
2,1.4000000000000001,-1.0,-1.0,-1.0,-1.0,11,42,3,16.259999999999998
2,1.4000000000000001,-1.0,-1.0,-1.0,-1.0,11,42,3,14.85
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,42,4,19.5
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,42,0,18.5
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,42,0,17.599999999999998
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,42,0,16.3
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,42,0,18.3
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,42,0,14.899999999999999
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,42,0,15.5
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,42,0,15.299999999999999
5,2.32,45.81,55.00000000000001,25.0,7.4,11,42,4,6.03
5,-1.0,-1.0,-1.0,-1.0,7.8,11,42,3,4.15
5,-1.0,-1.0,-1.0,-1.0,7.8,11,42,3,2.7
5,-1.0,-1.0,-1.0,-1.0,8.0,11,42,3,3.16
5,-1.0,-1.0,-1.0,-1.0,8.0,11,42,3,2.44
5,-1.0,-1.0,-1.0,-1.0,8.1,11,42,3,2.21
5,-1.0,-1.0,-1.0,-1.0,8.2,11,42,3,2.08
6,0.8200000000000001,-1.0,80.7,-1.0,-1.0,11,42,4,24.0506329113924
6,0.8999999999999999,-1.0,-1.0,-1.0,-1.0,11,42,3,17.2413793103448
6,0.95,-1.0,-1.0,-1.0,-1.0,11,42,1,11.639344262295099
6,0.83,-1.0,-1.0,-1.0,-1.0,11,42,2,18.099999999999998
3,2.04,37.48,69.2,18.4,-1.0,9,6,4,37.5
3,2.04,37.48,69.2,18.4,-1.0,9,6,1,18.8
3,2.04,37.48,69.2,18.4,-1.0,9,6,1,20.8
3,2.04,37.48,69.2,18.4,-1.0,9,6,1,17.6
3,2.04,37.48,69.2,18.4,-1.0,9,6,1,9.8
3,2.6,40.0,63.7,-1.0,6.5,9,42,4,30.73
3,-1.0,-1.0,-1.0,-1.0,6.5,9,42,3,20.73
3,2.76,39.800000000000004,65.0,14.420289855072465,-1.0,9,42,4,34.150000000000006
3,2.7,40.9,-1.0,15.148148148148147,-1.0,9,42,3,29.07
3,1.3,29.25,89.8,22.5,7.84,0,42,4,15.0
3,-1.0,-1.0,-1.0,-1.0,7.68,0,42,3,10.8
3,1.96,38.8245,62.06,19.91,7.5,9,41,4,20.29
3,1.29,35.68,58.69,18.23,7.75,9,41,3,13.03
3,2.04,38.71,67.60000000000001,18.97549019607843,7.8,9,4,4,32.01
3,-1.0,-1.0,-1.0,-1.0,6.7,9,4,3,20.32
3,-1.0,-1.0,-1.0,-1.0,8.0,9,4,3,33.29
3,-1.0,-1.0,-1.0,-1.0,7.2,9,4,1,19.580000000000002
3,2.0,38.5,60.0,19.25,7.1,9,4,4,31.5
3,-1.0,-1.0,-1.0,-1.0,6.6,9,4,1,15.82
3,-1.0,-1.0,-1.0,-1.0,6.7,9,4,1,27.47
3,-1.0,-1.0,-1.0,-1.0,8.35,9,4,1,32.42
3,2.6,46.6,50.0,17.923076923076923,5.7,7,42,4,23.400000000000002
3,-1.0,-1.0,-1.0,-1.0,5.6,7,42,0,13.05
3,-1.0,-1.0,-1.0,-1.0,-1.0,7,42,0,16.78
5,-1.0,-1.0,65.0,11.37,7.78,11,4,4,37.08
5,-1.0,-1.0,65.0,-1.0,-1.0,11,4,3,28.22
3,2.04,37.480000000000004,69.19999999999999,18.372549019607842,8.2,9,42,4,37.5
3,-1.0,-1.0,-1.0,-1.0,8.0,9,42,1,18.8
3,-1.0,-1.0,-1.0,-1.0,7.25,9,42,3,24.8
3,-1.0,-1.0,-1.0,-1.0,6.75,9,42,1,15.5
3,-1.0,-1.0,60.0,30.0,6.53,7,34,4,41.19
3,-1.0,-1.0,60.0,30.0,6.85,7,34,3,38.64
3,-1.0,-1.0,60.0,30.0,6.46,7,34,3,31.45
