material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,CH4-C loss (%)
3,-1.0,43.0,-1.0,-1.0,-1.0,0,27,3,0.18
3,2.04,37.48,69.2,18.4,-1.0,8,4,4,1.7
3,2.04,37.48,69.2,18.4,-1.0,8,4,1,1.8
3,2.04,37.48,69.2,18.4,-1.0,8,4,1,0.7
3,2.04,37.48,69.2,18.4,-1.0,8,4,1,0.6
3,2.04,37.48,69.2,18.4,-1.0,8,4,1,0.5
4,2.4,31.3,67.71000000000001,13.041666666666666,7.82,10,27,4,0.3
4,2.53,35.4,66.08000000000001,13.992094861660078,8.01,10,27,3,0.28300000000000003
3,1.96,38.8245,62.06,19.91,7.5,8,26,4,1.55
3,1.29,35.68,58.69,18.23,7.75,8,26,3,1.17
3,1.69,37.96,65.0,22.461538461538463,7.56,8,27,4,0.076
4,-1.0,-1.0,65.0,11.37,7.78,10,3,4,1.1199999999999999
4,-1.0,-1.0,65.0,-1.0,-1.0,10,3,3,0.64
3,2.04,37.480000000000004,69.19999999999999,18.372549019607842,8.2,8,27,4,1.7000000000000002
3,-1.0,-1.0,-1.0,-1.0,8.0,8,27,1,1.7999999999999998
3,-1.0,-1.0,-1.0,-1.0,7.25,8,27,3,0.4
3,-1.0,-1.0,-1.0,-1.0,6.75,8,27,1,1.0999999999999999
3,-1.0,-1.0,60.0,30.0,6.53,6,21,4,0.33999999999999997
3,-1.0,-1.0,60.0,30.0,6.85,6,21,3,0.31
3,-1.0,-1.0,60.0,30.0,6.46,6,21,3,0.24
3,-1.0,-1.0,60.0,30.0,6.52,6,21,3,0.25
3,-1.0,-1.0,60.0,30.0,6.5,6,21,3,0.19
3,-1.0,-1.0,60.0,30.0,6.55,6,21,3,0.16999999999999998
3,2.084,52.1,55.00000000000001,25.0,7.75,8,27,4,4.72
3,-1.0,-1.0,-1.0,-1.0,8.2,8,27,3,2.82
3,-1.0,-1.0,-1.0,-1.0,-1.0,8,27,3,2.59
4,1.79,30.630000000000003,60.0,20.0,8.0,10,3,4,0.89
4,1.79,30.630000000000003,60.0,20.0,8.0,10,3,3,0.37
4,1.79,30.630000000000003,60.0,20.0,8.0,10,3,1,0.26
4,1.79,30.630000000000003,60.0,20.0,8.0,10,3,2,0.57
3,1.2,32.11446740858506,60.0,26.76205617382088,7.8,6,2,4,0.049
3,10.4,30.176565008025683,60.0,2.9015927892332387,7.8,6,2,3,0.05
3,2.845139718825504,33.99239543726235,60.0,2.536745928153907,7.8,6,2,3,0.028
3,2.845139718825504,1.45,60.22,7.53,7.8456135058307,0,3,4,0.15
3,2.845139718825504,1.45,60.22,7.53,7.8456135058307,0,3,4,0.13
3,2.845139718825504,1.45,60.22,7.53,7.8456135058307,0,3,4,0.21
3,-1.0,-1.0,-1.0,-1.0,7.6,0,3,4,0.43
3,-1.0,-1.0,-1.0,-1.0,7.6,0,3,3,0.15
3,-1.0,-1.0,-1.0,-1.0,7.6,0,3,3,0.06
4,5.36,32.9,-1.0,6.15,6.99,10,21,4,1.66
4,1.98,35.36,-1.0,18.08,7.32,10,21,4,1.69
4,1.34,37.77,-1.0,28.17,7.64,10,21,4,0.93
4,1.05,40.18,-1.0,38.36,7.97,10,21,4,0.34
