material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,NH3-N loss  (%)
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,53,3,21.2
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,53,3,16.8
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,53,3,14.799999999999999
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,53,3,8.3
3,3.2,41.0,55.00000000000001,12.812499999999998,8.2,7,25,4,12.839999999999998
5,-1.0,-1.0,58.199999999999996,-1.0,7.7,11,53,4,33.900000000000006
5,-1.0,-1.0,-1.0,-1.0,5.52688,11,53,1,16.455000000000002
5,-1.0,-1.0,-1.0,-1.0,6.33333,11,53,1,21.6259069767442
3,1.0774193548387097,33.4,55.00000000000001,31.0,7.7,7,53,4,18.0
3,1.1206896551724137,32.5,55.00000000000001,29.0,7.7,7,53,3,5.6000000000000005
1,1.9,38.0,-1.0,20.0,6.23506,11,53,4,24.9
1,-1.0,-1.0,-1.0,-1.0,4.81275,11,53,1,12.6
1,-1.0,-1.0,-1.0,-1.0,4.42231,11,53,3,15.299999999999999
1,-1.0,-1.0,-1.0,-1.0,5.6,11,53,1,8.9
1,1.73,45.6,70.0,26.4,6.3,11,53,4,16.5467
1,1.73,-1.0,-1.0,-1.0,-1.0,11,53,0,12.879
1,1.6099999999999999,-1.0,-1.0,-1.0,6.2,11,53,1,2.9862
3,1.8680998,48.5705948,58.099999999999994,26.0,8.38,9,53,4,33.01
3,1.7369735000000002,-1.0,-1.0,-1.0,8.35,9,53,3,28.939999999999998
3,1.5455498,-1.0,-1.0,-1.0,8.22,9,53,3,21.279999999999998
3,1.4885897000000001,-1.0,-1.0,-1.0,8.2,9,53,3,17.39
3,1.4000000000000001,-1.0,65.4,-1.0,7.1,9,25,4,21.4
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,25,0,20.7
3,3.4000000000000004,-1.0,64.9,-1.0,6.9,9,25,4,18.4
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,25,0,19.7
3,2.4,37.0,65.0,15.416666666666666,6.82846,9,43,4,26.0
3,-1.0,-1.0,-1.0,-1.0,6.00631,9,43,3,11.799999999999999
3,-1.0,-1.0,-1.0,-1.0,6.2,9,43,3,21.5
3,-1.0,-1.0,-1.0,-1.0,6.1,9,43,3,20.200000000000003
1,-1.0,-1.0,63.5,20.5,6.03,11,53,4,12.86
1,-1.0,-1.0,-1.0,-1.0,6.0,11,53,1,10.23
1,2.33,49.43,43.61,28.8,4.92,11,53,4,50.89999999999999
1,2.33,-1.0,-1.0,-1.0,-1.0,11,53,3,9.87
5,2.32,45.81,55.00000000000001,25.0,7.4,11,53,4,1.02
5,-1.0,-1.0,-1.0,-1.0,7.8,11,53,3,0.2
5,-1.0,-1.0,-1.0,-1.0,7.8,11,53,3,0.11
5,-1.0,-1.0,-1.0,-1.0,8.0,11,53,3,0.11
5,-1.0,-1.0,-1.0,-1.0,8.0,11,53,3,0.06
5,-1.0,-1.0,-1.0,-1.0,8.1,11,53,3,0.04
5,-1.0,-1.0,-1.0,-1.0,8.2,11,53,3,0.02
1,3.1647058823529415,53.800000000000004,66.0,17.0,6.35433,11,53,4,21.2
1,-1.0,-1.0,-1.0,-1.0,7.07177,11,53,1,32.800000000000004
1,-1.0,-1.0,-1.0,-1.0,5.79375,11,53,1,12.6
1,-1.0,-1.0,-1.0,-1.0,5.2108,11,53,1,3.5000000000000004
6,0.8200000000000001,-1.0,80.7,-1.0,-1.0,11,53,4,11.4
6,0.8999999999999999,-1.0,-1.0,-1.0,-1.0,11,53,3,8.13793103448276
6,0.95,-1.0,-1.0,-1.0,-1.0,11,53,1,4.22508196721311
6,0.83,-1.0,-1.0,-1.0,-1.0,11,53,2,7.9278
3,2.04,37.48,69.2,18.4,-1.0,9,5,4,32.5
3,2.04,37.48,69.2,18.4,-1.0,9,5,1,14.5
3,2.04,37.48,69.2,18.4,-1.0,9,5,1,16.0
3,2.04,37.48,69.2,18.4,-1.0,9,5,1,13.3
3,2.04,37.48,69.2,18.4,-1.0,9,5,1,5.9
3,1.8800000000000001,45.0,58.099999999999994,23.93617021276596,8.18689,9,53,4,20.3
3,-1.0,-1.0,-1.0,-1.0,8.07761,9,53,3,13.819999999999999
3,-1.0,-1.0,-1.0,-1.0,8.02036,9,53,3,10.57
3,-1.0,-1.0,-1.0,-1.0,7.92272,9,53,3,9.8
3,1.9,33.4,65.0,17.578947368421055,7.28,9,53,4,1.6
3,-1.0,-1.0,-1.0,-1.0,6.6,9,53,3,1.184
3,-1.0,-1.0,-1.0,-1.0,6.58,9,53,3,0.864
3,-1.0,-1.0,-1.0,-1.0,6.35,9,53,3,0.688
3,-1.0,-1.0,-1.0,-1.0,7.05,9,53,1,0.8480000000000001
3,1.96,38.8245,62.06,19.91,7.5,9,52,4,13.18
3,1.29,35.68,58.69,18.23,7.75,9,52,3,11.360000000000001
1,1.0999999999999999,35.52,53.59,32.46,-1.0,11,53,4,32.7
1,-1.0,-1.0,-1.0,-1.0,-1.0,11,53,0,20.3721
1,-1.0,-1.0,-1.0,-1.0,-1.0,11,53,0,30.0186
3,1.69,37.96,65.0,22.461538461538463,7.56,9,53,4,26.82
3,1.51,37.7,-1.0,-1.0,8.03,9,53,3,21.65
3,1.41,37.34,-1.0,-1.0,8.17,9,53,3,7.31
3,1.35,40.35,-1.0,-1.0,8.33,9,53,3,5.47
3,2.04,38.71,67.60000000000001,18.97549019607843,7.8,9,4,4,29.26
3,-1.0,-1.0,-1.0,-1.0,6.7,9,4,3,16.11
3,-1.0,-1.0,-1.0,-1.0,8.0,9,4,3,30.930000000000003
3,-1.0,-1.0,-1.0,-1.0,7.2,9,4,1,16.12
3,2.0,38.5,60.0,19.25,7.1,9,4,4,24.95
3,-1.0,-1.0,-1.0,-1.0,6.6,9,4,1,11.23
3,-1.0,-1.0,-1.0,-1.0,6.7,9,4,1,22.85
3,-1.0,-1.0,-1.0,-1.0,8.35,9,4,1,26.71
3,2.8899999999999997,47.9,53.800000000000004,16.6,7.9,7,43,4,15.67
5,-1.0,-1.0,65.0,11.37,7.78,11,4,4,31.52
5,-1.0,-1.0,65.0,-1.0,-1.0,11,4,3,21.26
3,2.04,37.480000000000004,69.19999999999999,18.372549019607842,8.2,9,53,4,32.5
3,-1.0,-1.0,-1.0,-1.0,8.0,9,53,1,14.499999999999998
3,-1.0,-1.0,-1.0,-1.0,7.25,9,53,3,20.3
3,-1.0,-1.0,-1.0,-1.0,6.75,9,53,1,12.4
3,-1.0,-1.0,60.0,30.0,6.53,7,43,4,36.3
3,-1.0,-1.0,60.0,30.0,6.85,7,43,3,33.2
3,-1.0,-1.0,60.0,30.0,6.46,7,43,3,26.6
3,-1.0,-1.0,60.0,30.0,6.52,7,43,3,20.4
