material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,TC loss  (%)
3,2.6599999999999997,39.900000000000006,65.0,15.000000000000002,7.60664,6,8,4,50.0
3,2.6599999999999997,39.900000000000006,65.0,15.000000000000002,7.41084,6,8,1,53.0
3,2.6599999999999997,39.900000000000006,65.0,15.000000000000002,6.61538,6,8,1,55.0
3,2.6599999999999997,39.900000000000006,65.0,15.000000000000002,6.40734,6,8,1,43.0
3,3.56,37.0,60.0,10.393258426966293,8.70526,5,58,4,43.6
3,3.49,37.46,60.0,10.73352435530086,8.66,5,58,3,36.4
3,2.96,45.879999999999995,60.0,15.499999999999998,8.55,5,58,3,39.7
1,1.79,39.6,60.0,22.1,5.01,7,8,4,54.1
1,1.98,36.0,60.0,18.2,4.43,7,8,3,63.9
1,1.89,36.0,60.0,19.1,4.28,7,8,3,64.2
3,2.04,37.48,69.2,18.4,-1.0,6,10,4,64.9
3,2.04,37.48,69.2,18.4,-1.0,6,10,1,63.1
3,2.04,37.48,69.2,18.4,-1.0,6,10,1,60.6
3,2.04,37.48,69.2,18.4,-1.0,6,10,1,58.5
3,2.04,37.48,69.2,18.4,-1.0,6,10,1,42.9
3,1.96,38.8245,62.06,19.91,7.5,6,57,4,35.76
3,1.29,35.68,58.69,18.23,7.75,6,57,3,31.91
3,-1.0,-1.0,60.0,30.0,6.85,5,48,3,52.1
3,-1.0,-1.0,60.0,30.0,6.46,5,48,3,48.8
3,-1.0,-1.0,60.0,30.0,6.52,5,48,3,42.3
3,-1.0,-1.0,60.0,30.0,6.5,5,48,3,39.5
3,-1.0,-1.0,60.0,30.0,6.55,5,48,3,38.7
4,1.79,30.630000000000003,60.0,20.0,8.0,7,8,4,49.3
4,1.79,30.630000000000003,60.0,20.0,8.0,7,8,3,48.1
4,1.79,30.630000000000003,60.0,20.0,8.0,7,8,1,49.7
4,1.79,30.630000000000003,60.0,20.0,8.0,7,8,2,50.2
