material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,CO2-C loss  (%)
3,1.9,39.4,63.7,20.7,-1.0,8,3,4,44.8
3,2.35,35.2,70.8,15.0,-1.0,8,3,4,42.4
3,2.09,37.6,74.0,18.0,-1.0,8,3,4,37.2
1,1.62783702546793,37.60803895591647,70.41410691099998,19.3,8.229921299999999,5,16,4,4.3
1,1.945071978134596,40.76967000000003,72.23015,16.5,8.407800000000002,5,16,4,11.5
4,3.429619129819451,48.2148584870605,68.01053073299998,9.7,8.005500000000001,7,16,4,1.0
4,10.55498413132694,109.7096596614362,70.47662691099998,1.1,7.878200000000001,7,16,4,2.5
2,1.600055591679602,49.67930962877031,67.083902445,27.6,8.404335099999997,9,16,4,11.8
2,2.052572523400631,42.24108200000001,69.16357691100004,15.9,8.587500000000007,9,16,4,19.4
2,1.129394193548386,45.15684560216009,61.1196911,45.73283859,8.700322100000001,9,16,4,11.3
2,1.094549999999999,45.49517656612528,61.1196911,45.73283859,8.029766300000004,9,16,4,0.6851181
2,1.061999999999999,49.1061951276102,61.1196911,45.73283859,7.9837663,9,16,4,0.4537795
0,1.953652916146291,42.67959,71.54517691100001,16.6911889913,8.409600000000001,1,16,4,3.3647198000000005
1,1.596672949000001,38.32088,66.33926602099997,22.0299561305,8.286905300000003,2,16,4,1.1
2,1.627669102837413,45.65442935034804,70.0,27.21518987,8.413299999999998,9,16,4,26.1351351
3,3.136499238011697,57.63553406774943,64.1,15.0,8.6,3,16,4,14.383837599999998
3,1.93902570746793,48.63280999999998,65.2,18.0,8.5,3,16,4,2.81352
3,1.746728479551725,46.81319999999999,63.7,21.0,8.3,3,16,4,23.4937472
3,1.746039471201894,35.94349064965198,71.3,18.0,8.5,3,16,4,12.836362000000003
3,1.539086739,49.3241,70.6,21.0,8.3,3,16,4,19.7118768
3,2.940102766666668,49.92088997262183,70.8,15.0,8.7,3,16,4,15.9794859
3,1.521131949,40.64224125290024,75.7,21.0,8.4,3,16,4,12.1351527
3,3.139144433333334,67.0719317986079,76.8,15.0,8.6,3,16,4,7.176819500000001
3,1.761788268201893,47.95800387470997,74.0,18.0,8.6,3,16,4,13.334464
