material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,N2O-N loss  (%)
3,2.04,37.480000000000004,69.19999999999999,18.372549019607842,8.2,8,35,4,1.5
3,-1.0,-1.0,-1.0,-1.0,8.0,8,35,1,1.4000000000000001
3,-1.0,-1.0,-1.0,-1.0,7.25,8,35,3,1.4000000000000001
3,-1.0,-1.0,-1.0,-1.0,6.75,8,35,1,2.0
3,-1.0,-1.0,60.0,30.0,6.53,6,29,4,2.0500000000000003
3,-1.0,-1.0,60.0,30.0,6.85,6,29,3,2.01
3,-1.0,-1.0,60.0,30.0,6.46,6,29,3,1.53
3,-1.0,-1.0,60.0,30.0,6.52,6,29,3,1.4200000000000002
3,-1.0,-1.0,60.0,30.0,6.5,6,29,3,1.24
3,-1.0,-1.0,60.0,30.0,6.55,6,29,3,0.75
3,2.084,52.1,55.00000000000001,25.0,7.75,8,35,4,0.8699999999999999
3,-1.0,-1.0,-1.0,-1.0,8.2,8,35,3,0.32
3,-1.0,-1.0,-1.0,-1.0,-1.0,8,35,3,0.19
4,1.79,30.630000000000003,60.0,20.0,8.0,10,3,4,0.77
4,1.79,30.630000000000003,60.0,20.0,8.0,10,3,3,0.56
4,1.79,30.630000000000003,60.0,20.0,8.0,10,3,1,0.6
4,1.79,30.630000000000003,60.0,20.0,8.0,10,3,2,0.45
3,1.2,32.11446740858506,60.0,26.76205617382088,7.8,6,2,4,0.024
3,10.4,30.176565008025683,60.0,2.9015927892332387,7.8,6,2,3,0.016
3,2.845139718825504,33.99239543726235,60.0,2.536745928153907,7.8,6,2,3,0.006
3,-1.0,-1.0,-1.0,-1.0,7.6,0,3,4,2.83
3,-1.0,-1.0,-1.0,-1.0,7.6,0,3,3,8.34
3,-1.0,-1.0,-1.0,-1.0,7.6,0,3,3,13.05
3,-1.0,-1.0,-1.0,-1.0,-1.0,8,29,4,0.72
3,-1.0,-1.0,-1.0,-1.0,-1.0,8,29,0,0.73
3,-1.0,-1.0,-1.0,-1.0,-1.0,8,29,3,0.45
3,-1.0,-1.0,-1.0,-1.0,-1.0,8,29,2,0.55
3,2.1,29.7,65.4,14.2,9.1,0,29,4,0.74
3,2.1,29.7,65.4,14.2,9.1,0,29,4,0.83
3,2.1,29.7,65.4,14.2,9.1,0,29,4,0.93
4,2.68,30.45,72.1,11.361940298507461,7.72,10,3,4,0.88
4,2.68,30.45,72.1,11.361940298507461,7.72,10,3,1,1.11
4,2.68,30.45,72.1,11.361940298507461,7.72,10,3,1,0.6
4,2.68,30.45,72.1,11.361940298507461,7.72,10,3,2,0.24
4,2.68,30.45,72.1,11.361940298507461,7.72,10,3,2,0.23
3,1.91,38.1,59.81,19.9,7.3,8,3,4,2.3
3,1.79,35.6,60.21,19.9,7.89,8,24,4,1.24
4,-1.0,-1.0,-1.0,-1.0,-1.0,10,21,4,1.14
4,-1.0,-1.0,-1.0,-1.0,-1.0,10,21,0,0.74
4,-1.0,-1.0,-1.0,-1.0,-1.0,10,21,0,0.94
4,-1.0,-1.0,-1.0,-1.0,-1.0,10,21,0,0.43
3,1.52,35.65,66.56369999999994,23.5,8.3,0,35,4,3.858664622950818
3,1.04,23.81,65.05469999999998,22.9,7.2,0,35,1,3.693426211418883
3,1.02,23.61,65.68179999999995,22.3,8.3,0,35,3,3.589958731325205
3,1.03,23.81,67.50139999999998,23.1,7.5,0,35,2,3.752533588468062
3,1.0,37.16,62.35080000000001,37.2,8.2,0,19,4,4.246585810387455
3,0.82,29.73,71.84760000000004,36.1,7.0,0,19,1,7.25940596996086
3,0.8,29.73,55.0916,37.1,8.0,0,19,3,6.738176572432398
3,0.81,29.73,70.15879691100002,36.6,7.3,0,19,2,7.271405969960861
3,0.85,40.41,75.57460000000005,47.5,7.7,0,15,4,7.111570361724421
3,0.7,32.33,64.245593822,45.9,6.7,0,15,1,8.678158609770234
3,0.68,32.33,73.95100000000004,47.5,7.6,0,15,3,6.56482163701004
3,0.69,32.33,73.87280000000001,46.7,6.9,0,15,2,6.660621637010041
3,1.52,35.65,68.08669999999992,23.5,8.3,0,35,4,3.796994622950818
3,1.0,37.16,62.35080000000001,37.2,8.2,0,19,4,4.246585810387455
3,0.85,40.41,75.57460000000005,47.5,7.7,0,15,4,7.111570361724421
3,1.04,23.81,67.32379999999998,22.9,7.2,0,35,3,3.774133588468063
3,0.82,29.73,71.84760000000004,36.1,7.0,0,19,3,7.25940596996086
3,0.7,32.33,64.245593822,45.9,6.7,0,15,3,8.678158609770234
3,1.02,23.61,66.84099999999994,22.3,8.3,0,35,3,3.535958731325205
3,0.8,29.73,55.0916,37.1,8.0,0,19,3,6.738176572432398
3,0.68,32.33,73.95100000000004,47.5,7.6,0,15,3,6.56482163701004
3,1.03,23.81,67.50139999999998,23.1,7.5,0,35,3,3.752533588468062
3,0.81,29.73,70.15879691100002,36.6,7.3,0,19,3,7.271405969960861
