,Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial TN (%),Initial C/N (%),Initial pH
Material_Main,1.714126462429932,0.16622986093551598,0.00914309944827282,0.001447553610066079,0.006861381248976604,0.0,0.003821217748431877,0.19574292299236262,0.0,0.21852408815276234,0.0,0.06279706571148827,0.015790797331640235,0.18703944488192256,0.006517955731913474,0.21996041681691614,0.11462638234256468,0.13414412651478733,0.10883140787481853,0.16072917252492464,0.046299957092488346,0.06477001931628779
Turning times,0.16622986093551603,0.940987557232039,0.00936170902644273,0.0,0.0,0.0,0.02277852468399983,0.15230321611382774,0.0,0.05082776643266363,0.0,0.02726240816147964,0.25312968881620895,0.1422621572305075,0.009581313405374778,0.1138109851245723,0.03370832956245398,0.07923460032249072,0.1674811248789638,0.06396040037448208,0.07815234906572677,0.15177753708043706
V2_Ventilation Interval (min),0.009143099448272816,0.00936170902644273,0.08546399594395433,0.0,0.001073696577568186,0.0,0.0,0.01962048795133725,0.0,0.003111559069899367,0.0,0.00297339162130478,0.0,0.006179358850888671,0.0,0.006198344469963783,0.01448310012292948,0.013069808564459575,0.003913131211418185,0.02945898648252348,0.011065428911275797,0.009081831459033185
M1_is Enclosed,0.001447553610066079,0.0,0.0,0.004119103084615006,0.0,0.0,0.0,0.0030229899821549193,0.0,0.0020665459878195153,0.0,0.005401824288905826,0.0,0.0005884015806077225,0.0,0.0,0.0,0.0,0.0016646913752601505,0.004706933384343907,0.005731234212888218,0.0
 Composting Method,0.006861381248976602,0.0,0.0010736965775681863,0.0,0.14029701969713812,0.0,0.00470039865695639,0.0015312892496687602,0.0,0.0044506359304740985,0.0,0.012380261281350413,0.0,0.05906870440249589,0.0,0.0,0.015123817716204893,0.0119327273968279,0.03668771132057861,0.002369433375752117,0.0053041133222086895,0.004860864403734126
Additive_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Additive_2,0.0038212177484318786,0.022778524683999827,0.0,0.0,0.004700398656956393,0.0,0.23832783264173302,0.0053039361906628835,0.0,0.012986610533715604,0.0,0.0068402388067812635,0.007218758551179491,0.020198051632845642,0.00041464167982851866,0.0043127858468064864,0.01807687385774494,0.028750825153014078,0.03178773112327025,0.005990169200356426,0.0069122004653817334,0.008497276348381808
Additive_1,0.19574292299236268,0.15230321611382777,0.019620487951337258,0.0030229899821549193,0.0015312892496687602,0.0,0.0053039361906628835,1.134727258115128,0.0,0.04191864996066963,0.0,0.028914655195647575,0.03298147904864235,0.06028001546192266,0.011812615342211494,0.05393697672760182,0.057684896711711404,0.08684118257791336,0.038501292333886696,0.06799258780238814,0.027794207302610518,0.08391305838216867
Material_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Material_2,0.2185240881527623,0.05082776643266361,0.0031115590698993683,0.002066545987819516,0.0044506359304740985,0.0,0.012986610533715604,0.041918649960669616,0.0,0.8578764410346328,0.0,0.0299317708038033,0.005429147521530254,0.17601619417433012,0.007830274499495884,0.08840466608721903,0.13838673226171214,0.12926282347010262,0.06319330931113368,0.04499424065947033,0.0592040393397074,0.05149549329557233
Additive_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Period (d),0.06279706571148827,0.02726240816147963,0.002973391621304778,0.005401824288905825,0.012380261281350415,0.0,0.006840238806781263,0.028914655195647575,0.0,0.02993177080380329,0.0,0.22939603883212278,0.009667164994189213,0.037781384085899844,0.010382236013678664,0.02082839645472569,0.02918998081643658,0.02958023099714712,0.06783806309596362,0.03069626008741006,0.019770819786271904,0.05367264717128228
V1_Ventilation Type,0.015790797331640245,0.25312968881620895,0.0,0.0,0.0,0.0,0.007218758551179494,0.03298147904864235,0.0,0.005429147521530252,0.0,0.009667164994189206,0.5925735420366021,0.07956937647914877,0.001450018999423451,0.051641998866138836,0.01294083460804407,0.03492430047322717,0.06895682425028972,0.02741835154907,0.008553360756374797,0.02578819344593447
V4_Ventilation Day,0.18703944488192256,0.14226215723050747,0.006179358850888668,0.000588401580607723,0.05906870440249589,0.0,0.020198051632845646,0.06028001546192268,0.0,0.17601619417433012,0.0,0.03778138408589984,0.07956937647914879,1.3957517491324714,0.0018303720222008757,0.18530306594307708,0.31110930983493623,0.07963307109586008,0.05821042508087394,0.09396724924897304,0.07069804596397421,0.08690782399858567
V3_Ventilation Duration (min),0.006517955731913474,0.009581313405374773,0.0,0.0,0.0,0.0,0.000414641679828519,0.011812615342211496,0.0,0.007830274499495882,0.0,0.010382236013678662,0.001450018999423451,0.0018303720222008755,0.16579646724430055,0.0037319313457358613,0.0028402301564848078,0.026370816552152728,0.009186574550541903,0.025803396377010387,0.030004744553082434,0.00621686223775306
Application Rate (%DW),0.21996041681691605,0.11381098512457234,0.006198344469963784,0.0,0.0,0.0,0.004312785846806484,0.053936976727601824,0.0,0.08840466608721903,0.0,0.020828396454725694,0.05164199886613887,0.18530306594307708,0.0037319313457358644,1.3265134083948649,0.05725420197679331,0.15375231187053182,0.11512262706127073,0.10810137638821703,0.07200981660566967,0.16947647227177934
Compost volume (m3),0.11462638234256471,0.03370832956245398,0.01448310012292948,0.0,0.015123817716204892,0.0,0.018076873857744945,0.05768489671171142,0.0,0.1383867322617122,0.0,0.029189980816436593,0.012940834608044065,0.31110930983493623,0.002840230156484808,0.057254201976793304,1.0408545612887887,0.19732554169456643,0.04419750314874541,0.018192299379302015,0.2178357107841367,0.21227979591438206
V5_Ventilation rate (L/min/kg iniDW),0.13414412651478738,0.0792346003224907,0.01306980856445957,0.0,0.011932727396827898,0.0,0.028750825153014074,0.08684118257791339,0.0,0.12926282347010262,0.0,0.029580230997147114,0.034924300473227164,0.0796330710958601,0.02637081655215273,0.15375231187053176,0.19732554169456634,1.2856449732613195,0.10004067123607772,0.06857148294502871,0.019180366297333468,0.2168343930696445
Initial Moisture Content (%),0.10883140787481857,0.16748112487896397,0.003913131211418186,0.0016646913752601505,0.0366877113205786,0.0,0.03178773112327024,0.038501292333886696,0.0,0.06319330931113368,0.0,0.0678380630959636,0.06895682425028977,0.058210425080873936,0.009186574550541903,0.11512262706127072,0.044197503148745425,0.10004067123607774,0.804712159024077,0.04177363417254414,0.05794748583017549,0.06524348373250335
Initial TN (%),0.16072917252492464,0.06396040037448208,0.02945898648252348,0.004706933384343907,0.0023694333757521167,0.0,0.005990169200356423,0.06799258780238812,0.0,0.04499424065947031,0.0,0.030696260087410058,0.02741835154907,0.09396724924897303,0.02580339637701038,0.10810137638821701,0.01819229937930202,0.06857148294502874,0.04177363417254412,0.6471377703084512,0.09715406013622063,0.07734199254162373
Initial C/N (%),0.04629995709248835,0.07815234906572677,0.011065428911275797,0.005731234212888219,0.005304113322208695,0.0,0.006912200465381733,0.027794207302610514,0.0,0.05920403933970742,0.0,0.019770819786271904,0.008553360756374797,0.07069804596397418,0.030004744553082444,0.07200981660566967,0.2178357107841366,0.019180366297333475,0.05794748583017549,0.09715406013622063,0.6704725864439506,0.049609131214079887
