Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),CH4-C loss (%)
1,0,1,28.0,0,28.0,0.0,0,25.0,5,0.01,0.28,65.0,16.7,2.93413,0,49.0,3,0.28571,0.0009
1,0,1,28.0,0,28.0,0.0,0,14.28571,5,0.01,0.28,67.0,14.0,3.24286,0,45.4,3,0.26515,0.0024
1,0,1,28.0,0,28.0,0.0,0,0.0,5,0.01,0.28,65.0,14.0,2.95714,0,41.4,3,0.28571,0.00567
1,0,1,28.0,0,28.0,0.0,0,0.0,1,0.01,0.28,65.0,12.1,3.34711,0,40.5,3,0.28571,0.04746
7,0,1,31.0,0,30.0,0.0,1,2.94793,5,0.95,0.312,69.47,13.16342,2.57,0,33.83,3,0.63,0.17
0,0,1,35.0,0,35.0,0.0,8,0.0,4,0.1559,0.408,66.03,21.96203,1.817,0,39.905,3,0.70071,0.31
0,0,1,35.0,0,35.0,0.0,8,0.0,4,0.2984,0.408,65.69,21.51131,1.813,0,39.0,3,0.72895,0.34
0,0,1,35.0,0,35.0,0.0,8,0.0,4,0.5697,0.408,66.14,21.64477,1.796,0,38.874,3,0.75396,0.41
7,1,0,70.0,0,0.0,0.0,9,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,3,0.44854,0.14
7,1,1,70.0,0,0.0,0.0,9,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,3,0.44854,0.22
7,1,0,70.0,0,0.0,0.0,5,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,3,0.44854,0.25
7,1,1,70.0,0,0.0,0.0,5,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,3,0.44854,0.36
