Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TN loss (%)
3,0,1,35.0,0,35.0,0.0,5,10.0,11,0.06,0.2,60.0,19.1,1.89,0,36.099,49,0.5489,37.5
6,0,1,28.0,11,28.0,30.0,9,0.0,11,0.07772,0.42417,63.0,32.06504,1.23,1,39.44,5,0.57256,38.0
6,0,1,28.0,11,28.0,30.0,9,0.0,7,0.07772,0.25427,60.0,33.03604,1.11,1,36.67,5,0.72065,38.0
6,0,1,28.0,11,28.0,30.0,9,0.18,11,0.07772,0.34376,61.0,31.89256,1.21,1,38.59,19,0.73765,38.0
6,0,1,28.0,11,28.0,30.0,9,0.06,7,0.07772,0.34898,62.0,30.96721,1.22,1,37.78,19,0.73765,13.0
10,0,1,28.0,0,28.0,0.0,3,0.0,11,0.06,0.25,52.2,24.8,2.23,0,55.304,5,0.75279,43.9
10,0,1,28.0,0,28.0,0.0,3,3.72823,11,0.06,0.25,52.2,24.8,2.23,0,55.304,26,0.72069,22.3
10,0,1,28.0,0,28.0,0.0,3,3.78398,11,0.06,0.25,52.2,24.8,2.23,0,55.304,26,0.72069,20.2
10,0,1,39.0,0,39.0,0.0,5,0.0,11,0.06,0.4775,69.16,20.7524,2.01339,0,40.3878,5,0.46523,31.51
10,0,1,39.0,0,39.0,0.0,5,2.16,11,0.06,0.43902,68.07,20.7524,2.011,0,40.45,26,0.45384,13.15
10,0,1,39.0,0,39.0,0.0,5,2.16,11,0.06,0.43902,68.07,20.7524,2.011,0,40.45,18,0.45384,11.5
10,0,1,39.0,0,39.0,0.0,5,2.16,11,0.06,0.43902,68.07,20.7524,2.011,0,40.45,19,0.45384,10.69
10,0,1,39.0,0,39.0,0.0,5,2.16,11,0.06,0.43902,68.07,20.7524,2.011,0,40.45,7,0.45384,7.59
10,0,1,35.0,0,35.0,0.0,4,0.0,11,0.06,0.38,70.4,20.3,2.09,0,42.4,5,0.56533,33.01
10,0,1,35.0,0,35.0,0.0,4,4.56,11,0.06,0.38,69.19,24.12664,2.17362,0,36.54298,26,0.47339,31.48
10,0,1,35.0,0,35.0,0.0,4,6.48,11,0.06,0.38,64.34,19.18944,2.40973,0,35.94666,26,0.57893,28.63
10,1,0,56.0,0,21.0,0.0,5,0.0,7,0.4,0.333,66.4,18.896,0.98034,0,35.0599,5,0.285,36.8
10,1,0,56.0,0,21.0,0.0,5,8.53343,7,0.4,0.333,64.9,24.62328,0.96855,0,40.08871,5,0.2938,26.4
10,1,0,56.0,0,21.0,0.0,5,16.52893,7,0.4,0.333,63.7,29.28051,1.00688,0,38.4775,5,0.30319,16.5
10,1,0,56.0,0,21.0,0.0,5,23.93612,7,0.4,0.333,62.4,35.84302,1.03636,0,37.07556,5,0.31319,12.7
10,0,1,44.44706,0,22.85922,3.69595,6,4.90157,7,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,5,0.47538,27.8
10,0,1,44.44706,0,22.85922,3.69595,6,4.90157,7,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,32,0.47538,13.3
10,0,1,51.0,2,51.0,0.25,1,16.5,7,0.0318,0.3,60.6289,29.44298,2.4529,1,43.62491,42,0.38889,11.069
10,0,1,51.0,2,51.0,0.25,1,10.25,7,0.0318,0.9567,64.9057,17.68159,2.51066,1,38.81203,14,0.35271,6.384
10,0,1,51.0,2,51.0,0.25,1,0.0,7,0.0318,2.69317,61.8868,27.80193,2.24044,1,43.97257,5,0.46184,14.682
7,0,1,44.44706,0,22.85922,3.69595,14,4.90157,11,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,56,0.47538,16.0
7,0,1,44.44706,0,22.85922,3.69595,14,4.90157,11,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,38,0.47538,53.0
7,0,1,44.44706,0,22.85922,3.69595,14,4.90157,11,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,41,0.47538,26.0
7,0,1,44.44706,0,22.85922,3.69595,14,4.90157,11,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,54,0.47538,42.0
0,2,0,134.0,0,0.0,0.0,5,0.0,11,1.92422,0.0,62.63,17.9,1.4,0,25.06,5,0.51969,22.39929
0,2,0,134.0,0,0.0,0.0,5,10.0,11,2.19409,0.0,65.46,17.8,1.33,0,23.674,16,0.45577,20.7
0,2,0,134.0,0,0.0,0.0,5,17.8,11,2.21016,0.0,64.61,18.9,1.32,0,24.948,16,0.45246,17.09545
0,2,0,44.44706,0,22.85922,3.69595,5,4.90157,11,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,16,0.47538,24.38837
0,2,0,134.0,0,0.0,0.0,5,9.9,11,1.93464,0.0,64.12,20.1,1.29,0,25.929,46,0.51689,12.70853
0,2,0,44.44706,0,22.85922,3.69595,5,4.90157,11,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,46,0.47538,15.03571
0,2,0,44.44706,0,22.85922,3.69595,5,4.90157,11,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,46,0.47538,21.34472
8,0,1,16.0,0,16.0,0.0,0,0.0,7,0.1,0.233,61.7,16.64286,2.8,0,46.6,5,0.278,22.49666
8,0,1,14.0,0,14.0,0.0,0,10.0,7,0.1,0.233,64.2,18.2,2.5,0,45.5,12,0.305,10.31193
10,0,1,18.0,0,18.0,0.0,2,0.0,7,0.012,0.31,63.74,12.79248,2.52,0,28.33709,5,0.33333,22.8
10,0,1,18.0,0,18.0,0.0,2,3.0,7,0.012,0.31,63.74,13.20878,2.54,0,30.08601,50,0.33333,17.6
0,0,1,15.0,0,15.0,0.0,0,0.0,11,0.17,0.2885,70.5,26.0,1.59,0,41.34,5,0.27647,24.57547
0,0,1,15.0,0,15.0,0.0,0,3.62976,11,0.17,0.29038,71.0,22.806,1.44,0,35.202,31,0.27941,15.09375
0,0,1,15.0,0,15.0,0.0,0,7.30994,11,0.17,0.2924,71.5,22.672,1.55,0,35.202,31,0.28235,15.4871
0,0,1,15.0,0,15.0,0.0,0,9.97672,11,0.17,0.26605,69.0,30.0,1.36,0,40.8,31,0.28529,12.09124
0,0,1,15.0,0,15.0,0.0,0,0.0,11,0.17,0.26377,70.0,20.576,1.72,0,35.4024,5,0.29735,15.91628
0,0,1,15.0,0,15.0,0.0,0,13.09719,11,0.17,0.28166,71.8,21.90347,1.66,0,39.0012,36,0.29624,16.07952
0,0,1,15.0,0,15.0,0.0,0,24.36647,11,0.17,0.26201,69.6,20.47669,1.58,0,38.84124,36,0.29541,17.38228
0,0,1,15.0,0,15.0,0.0,0,37.59079,11,0.17,0.26947,70.3,21.56782,1.47,0,41.87506,36,0.294,21.42857
0,0,1,15.0,0,6.0,0.0,0,0.0,11,0.17,0.28948,70.6,21.8154,1.59,0,36.11016,5,0.27647,20.97044
0,0,1,15.0,0,6.0,0.0,0,3.10479,11,0.17,0.28882,70.8,21.8154,1.57,0,36.11016,34,0.279,15.50064
0,0,1,15.0,0,6.0,0.0,0,3.43688,11,0.17,0.28171,70.1,21.8154,1.55,0,36.68616,34,0.27934,16.72387
0,0,1,15.0,0,6.0,0.0,0,3.68545,11,0.17,0.27867,69.8,22.71956,1.55,0,36.68616,34,0.27958,15.46387
0,0,1,15.0,0,15.0,0.0,0,0.0,11,0.17,0.27765,71.5,21.946,1.62,0,34.264,5,0.29735,20.20988
0,0,1,15.0,0,15.0,0.0,0,3.66885,11,0.17,0.28276,72.3,22.406,1.35,0,35.202,34,0.30041,17.13333
0,0,1,15.0,0,15.0,0.0,0,7.0174,11,0.17,0.27016,71.3,22.776,1.31,0,35.202,34,0.30346,14.74046
0,0,1,15.0,0,15.0,0.0,0,10.35227,11,0.17,0.26561,71.1,22.776,1.25,0,35.202,34,0.30652,16.0
10,1,0,70.0,0,0.0,0.0,10,0.0,11,1.2,0.0,65.02,18.89189,2.208,0,33.38564,5,0.24997,40.1
10,1,0,70.0,0,0.0,0.0,10,3.3,11,1.2,0.0,68.97,18.89189,1.80463,0,31.82848,49,0.24997,36.4
10,1,0,70.0,0,0.0,0.0,10,6.6,11,1.2,0.0,69.44,18.89189,1.82607,0,32.88195,49,0.44095,34.3
10,1,0,70.0,0,0.0,0.0,10,9.9,11,1.2,0.0,67.53171,18.89189,2.09809,0,35.55327,49,0.44095,28.1
10,1,0,70.0,0,0.0,0.0,10,13.2,11,1.2,0.0,67.61171,18.89189,2.30369,0,39.93713,49,0.42921,21.7
10,1,0,70.0,0,0.0,0.0,10,16.5,11,1.2,0.0,69.26171,18.89189,2.32571,0,38.57293,49,0.41511,11.5
8,0,1,44.44706,0,22.85922,3.69595,0,4.90157,0,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,5,0.47538,40.7
8,0,1,42.0,0,21.0,0.0,0,3.5,0,0.4,0.14467,61.138,33.86114,0.821,0,27.8,5,0.505,38.3
8,0,1,42.0,0,21.0,0.0,0,10.6,0,0.4,0.14467,61.168,35.56382,0.807,0,28.7,5,0.515,32.2
8,0,1,42.0,0,21.0,0.0,0,17.7,0,0.4,0.16615,62.868,37.15365,0.794,0,29.5,5,0.525,26.7
8,0,1,42.0,0,21.0,0.0,0,24.7,0,0.4,0.42159,64.158,38.61893,0.782,0,30.2,5,0.535,20.4
8,0,1,42.0,0,21.0,0.0,0,31.8,0,0.4,0.60315,60.479,42.46196,0.723,0,30.7,5,0.545,14.6
8,0,1,22.0,0,22.0,0.0,11,2.0,7,0.0035,0.5886,57.9,16.2456,2.13,0,34.47944,17,0.7047,3.76
8,0,1,22.0,0,22.0,0.0,11,2.0,7,0.0035,0.5646,58.2,16.3106,2.05,0,33.2588,17,0.67843,4.01
8,0,1,22.0,0,22.0,0.0,11,2.0,7,0.0035,0.5566,59.4,13.74741,2.14,0,29.7751,17,0.67843,24.8
8,0,1,22.0,0,22.0,0.0,11,2.0,7,0.0035,0.62296,57.5,14.80479,2.15,0,32.66908,17,0.78719,28.1
8,0,1,22.0,0,22.0,0.0,11,0.0,7,0.0035,0.50594,58.2,15.5116,2.13,0,31.97213,5,0.67843,44.7
8,0,1,16.0,0,16.0,0.0,3,0.0,7,0.045,0.51546,70.9,20.0,2.1,0,42.0,5,0.44444,24.4
8,0,1,16.0,0,16.0,0.0,3,14.0,7,0.045,0.53004,71.7,21.0,2.0,0,42.0,5,0.44444,9.2
8,0,1,16.0,0,16.0,0.0,3,14.0,7,0.045,0.47319,68.3,25.0,1.7,0,42.5,5,0.44444,8.5
3,0,1,19.0,0,19.0,0.0,9,0.0,4,0.0306,10.0,70.0,26.38728,1.73,0,45.65,5,0.70659,49.1
3,0,1,19.0,0,19.0,0.0,9,3.0,4,0.0306,10.0,70.0,26.38728,1.73,0,45.65,30,0.70668,40.5
3,0,1,19.0,0,19.0,0.0,9,6.9,4,0.2746,10.0,70.0,26.34783,1.61,0,42.42,28,0.66312,40.5
3,0,1,19.0,0,19.0,0.0,9,9.9,4,0.2746,10.0,70.0,26.34783,1.61,0,42.42,30,0.62991,18.9
10,0,1,35.0,8,35.0,10.0,6,2.38663,4,0.187,5.96659,58.1,26.0,1.8681,1,48.57059,30,0.2139,33.01
10,0,1,35.0,8,35.0,10.0,6,14.31981,4,0.187,5.96659,58.1,26.0,1.73697,1,45.16131,56,0.2139,28.94
10,0,1,35.0,8,35.0,10.0,6,26.25298,4,0.187,5.96659,58.1,26.0,1.54555,1,40.18429,56,0.2139,21.28
10,0,1,44.44706,8,22.85922,3.69595,6,4.90157,4,1.22038,0.66439,64.03324,21.34763,2.07399,1,39.62259,56,0.47538,17.39
5,1,0,35.0,0,0.0,0.0,7,3.01629,11,1.0,0.0,66.8467,25.29375,1.6298,0,39.43344,30,0.2,15.2
5,1,0,35.0,0,0.0,0.0,7,6.06463,11,1.0,0.0,67.0219,25.66656,1.62781,0,38.72296,13,0.2,10.5
5,1,0,35.0,0,0.0,0.0,7,8.86923,11,1.0,0.0,66.1752,25.30316,1.62185,0,38.17798,13,0.2,9.0
5,1,0,35.0,0,0.0,0.0,7,11.87687,11,1.0,0.0,66.3211,24.56283,1.62384,0,38.70892,13,0.2,4.2
10,1,0,112.0,0,42.0,0.0,12,0.0,7,0.377,0.2569,65.4,25.4,1.4,0,44.30604,5,0.47365,42.8
10,1,0,44.44706,0,22.85922,3.69595,12,4.90157,7,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,32,0.47538,41.4
10,1,0,112.0,0,0.0,0.0,12,0.0,7,1.02941,0.0,64.9,16.45575,3.4,0,38.19286,5,0.82524,46.54838
10,1,0,112.0,0,0.0,0.0,12,2.8169,7,1.02941,0.0,64.5,16.45575,3.1,0,37.99286,32,0.82524,34.81425
7,0,1,54.0,0,54.0,0.0,7,0.0,11,0.2055,0.05,65.0,25.0,1.98794,0,43.00048,5,0.57539,53.83
7,0,1,54.0,0,54.0,0.0,7,5.0,11,0.07718,0.05,65.0,25.0,1.86968,0,43.48908,0,0.57539,47.08
10,1,1,44.44706,0,22.85922,3.69595,8,4.90157,7,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,5,0.47538,36.8405
10,1,1,56.0,0,28.0,0.0,8,8.4771,7,0.4,5e-05,65.0,22.41908,1.52655,0,40.343,5,0.29355,26.4139
10,1,1,56.0,0,28.0,0.0,8,16.95419,7,0.4,5e-05,65.0,22.71355,2.06146,0,39.6865,5,0.3021,16.5561
10,1,1,56.0,0,28.0,0.0,8,25.43129,7,0.4,4e-05,65.0,18.73096,2.1686,0,40.0574,5,0.31065,12.5751
10,1,1,56.0,0,28.0,0.0,8,9.04224,7,0.4,5e-05,65.0,23.44908,1.64084,0,39.3605,5,0.29412,12.7014
10,1,1,56.0,0,28.0,0.0,8,9.60738,7,0.4,5e-05,65.0,23.44908,1.64084,0,39.3605,5,0.29469,9.85783
10,1,1,56.0,0,28.0,0.0,8,10.17252,7,0.4,5e-05,65.0,23.44908,1.64084,0,39.3605,5,0.29526,18.3255
3,0,1,35.0,0,35.0,0.0,9,2.25,7,0.02,0.5,62.57135,29.0076,1.65319,0,43.42961,24,0.49253,44.2829
3,0,1,35.0,0,35.0,0.0,9,1.8209,7,0.02,0.5,65.10795,32.0229,1.55359,0,41.79471,24,0.46657,0.2907
3,0,1,35.0,0,35.0,0.0,9,2.5709,7,0.02,0.5,65.79135,30.3435,1.56629,0,41.99891,24,0.44721,19.0891
3,0,1,35.0,0,35.0,0.0,9,3.3209,7,0.02,0.5,61.283,26.9466,1.74389,0,42.97901,24,0.45386,27.3256
3,0,1,35.0,0,35.0,0.0,9,4.0709,7,0.02,0.5,65.7516,29.0458,1.56629,0,41.99891,24,0.45322,47.9651
10,0,1,40.0,10,30.0,30.0,6,0.0,11,0.11343,7.69231,64.54545,16.53936,2.34,1,38.7021,5,0.74199,53.1
10,0,1,40.0,10,30.0,30.0,6,6.0,11,0.11343,7.31707,63.55556,16.39658,2.31,1,37.8761,49,0.5264,36.2
10,0,1,40.0,10,30.0,30.0,6,15.0,11,0.09105,6.81818,62.06897,15.97083,2.41,1,38.4897,44,0.314,46.5
10,0,1,40.0,10,30.0,30.0,6,1.46082,11,0.11343,7.79221,65.17413,16.34774,2.34,1,38.2537,55,0.73956,41.5
5,1,0,28.0,0,0.0,0.0,4,0.0,11,1.0,0.0,65.0,26.71429,1.4,0,37.4,5,0.1,19.53
5,1,0,28.0,0,0.0,0.0,4,6.0,11,1.0,0.0,60.45,25.89243,1.4,0,43.4955,5,0.10575,22.53
5,1,0,28.0,0,0.0,0.0,4,18.0,11,1.0,0.0,61.24963,23.4077,1.4,0,41.49463,5,0.11726,20.85
5,1,0,28.0,0,0.0,0.0,4,30.0,11,1.0,0.0,60.5,23.4077,1.4,0,40.90948,5,0.12877,19.4
5,1,0,28.0,0,0.0,0.0,4,42.0,11,1.0,0.0,65.127,23.4077,1.4,0,40.90948,5,0.14028,16.26
5,1,0,44.44706,0,22.85922,3.69595,4,4.90157,11,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,5,0.47538,14.85
10,0,1,28.0,0,28.0,0.0,4,0.0,7,1.8,0.20354,63.2432,22.15723,2.16761,0,36.18254,5,0.66833,19.5
10,0,1,28.0,0,28.0,0.0,4,0.69203,7,1.8,0.20761,64.0541,21.20235,2.00958,0,33.92139,51,0.67,18.5
8,0,1,56.0,0,56.0,0.0,11,0.0,11,0.13,1.11111,55.0,25.02125,1.80435,1,45.1471,5,0.5,6.03
8,0,1,56.0,0,56.0,0.0,11,2.0,11,0.13,1.11111,55.0,25.08996,1.84239,1,46.2255,5,0.5,4.15
8,0,1,56.0,0,56.0,0.0,11,4.0,11,0.13,1.11111,55.0,25.00167,1.8587,1,46.4706,5,0.5,2.7
8,0,1,56.0,0,56.0,0.0,11,6.0,11,0.13,1.11111,55.0,23.99361,1.95109,1,46.8137,5,0.5,3.16
8,0,1,56.0,0,56.0,0.0,11,8.0,11,0.13,1.11111,55.0,22.31769,2.11957,1,47.3039,5,0.5,2.44
8,0,1,56.0,0,56.0,0.0,11,12.0,11,0.13,1.11111,55.0,21.13909,2.27717,1,48.1373,5,0.5,2.21
8,0,1,56.0,0,56.0,0.0,11,18.0,11,0.13,1.11111,55.0,20.40002,2.42935,1,49.5588,5,0.5,2.08
4,1,0,44.44706,0,22.85922,3.69595,18,4.90157,2,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,5,0.47538,24.05063
4,1,0,69.0,0,0.0,0.0,18,3.0,2,0.08,0.0,80.7,22.76667,0.9,0,20.49,5,0.47273,17.24138
4,1,0,44.44706,0,22.85922,3.69595,18,4.90157,2,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,52,0.47538,11.63934
4,1,0,44.44706,0,22.85922,3.69595,18,4.90157,2,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,52,0.47538,18.1
10,0,1,35.0,0,35.0,0.0,4,0.0,11,0.06,0.3,69.2,18.4,2.04,0,37.48,5,0.59726,37.5
10,0,1,35.0,0,35.0,0.0,4,0.4968,11,0.06,0.3,69.2,18.4,2.04,0,37.48,18,0.58526,18.8
10,0,1,35.0,0,35.0,0.0,4,0.4968,11,0.06,0.3,69.2,18.4,2.04,0,37.48,19,0.58526,20.8
10,0,1,35.0,0,35.0,0.0,4,0.4968,11,0.06,0.3,69.2,18.4,2.04,0,37.48,7,0.58526,17.6
10,0,1,35.0,0,35.0,0.0,4,0.4968,11,0.06,0.3,69.2,18.4,2.04,0,37.48,18,0.58526,9.8
10,2,0,82.0,0,0.0,0.0,15,1.37741,7,5.456,0.0,63.7,15.4,2.60573,0,40.1283,30,0.3684,30.73
10,2,0,82.0,0,0.0,0.0,15,9.64187,7,5.456,0.0,63.7,17.51,2.44091,0,42.7403,5,0.3794,20.73
10,0,1,50.0,8,50.0,10.0,7,2.5,4,0.18,6.25,60.0,17.6,2.66347,1,46.87707,30,0.22222,32.19
10,0,1,50.0,8,50.0,10.0,7,2.5,4,0.18,6.25,60.0,24.0,1.99045,1,47.7708,30,0.22222,20.8
10,0,1,50.0,8,50.0,10.0,7,2.5,4,0.18,6.25,60.0,32.4,1.55129,1,50.2618,30,0.22222,13.65
10,0,1,50.0,8,50.0,10.0,7,2.5,4,0.18,6.25,60.0,40.3,1.24328,1,50.10418,30,0.22222,7.66
10,0,1,50.0,8,50.0,10.0,7,2.5,4,0.18,6.25,60.0,24.0,2.05575,1,47.51757,49,0.22222,20.8
10,0,1,50.0,8,50.0,10.0,7,5.0,4,0.18,6.25,60.0,24.4,2.05575,1,47.51757,49,0.22222,13.82
10,0,1,50.0,8,50.0,10.0,7,7.5,4,0.18,6.25,60.0,24.1,2.04392,1,48.8507,49,0.22222,10.57
10,0,1,50.0,8,50.0,10.0,7,10.0,4,0.18,6.25,60.0,24.1,2.04953,1,48.08526,49,0.22222,9.8
10,0,1,35.0,8,35.0,10.0,5,2.5,4,0.18,6.25,60.0,27.0,1.8811,1,50.7897,56,0.22222,33.01
10,0,1,35.0,8,35.0,10.0,5,9.23077,4,0.18,6.25,60.0,26.0,1.76278,1,45.83228,56,0.22222,28.94
10,0,1,35.0,8,35.0,10.0,5,16.92308,4,0.18,6.25,60.0,26.3,1.55575,1,40.91622,56,0.22222,21.28
10,0,1,35.0,8,35.0,10.0,5,24.61538,4,0.18,6.25,60.0,25.3,1.48814,1,37.64994,56,0.22222,17.39
10,1,0,81.0,0,0.0,0.0,20,0.0,7,16.0,0.0,65.0,14.42029,2.76,0,39.8,5,1.17979,34.15
10,1,0,81.0,0,0.0,0.0,21,8.8,7,16.0,0.0,65.0,15.14815,2.7,0,40.9,5,1.18519,29.07
0,1,0,50.0,0,0.0,0.0,9,0.0,0,0.06,0.0,60.6,22.5,1.30392,0,29.33824,5,0.43333,15.0
0,1,0,50.0,0,0.0,0.0,9,25.49,0,0.06,0.0,60.1,23.4,1.2193,0,28.53158,16,0.47667,10.8
10,0,1,28.0,0,28.0,0.0,4,0.0,12,0.06,0.36,62.06,17.91,1.95,0,34.9245,5,0.7402,20.29
10,0,1,28.0,0,28.0,0.0,4,10.0,12,0.06,0.36,58.69,18.23,1.96,0,35.7308,49,0.78068,13.03
8,0,1,56.0,0,56.0,0.0,11,10.0,11,0.1,0.86778,55.0,25.17972,1.80701,0,45.5,56,0.5,28.8
8,0,1,56.0,0,56.0,0.0,11,10.0,11,0.1,0.86778,55.0,25.67343,1.77226,0,45.5,25,0.5,28.3
8,0,1,56.0,0,56.0,0.0,11,10.0,11,0.1,0.86778,55.0,25.43875,1.78861,0,45.5,3,0.5,28.42
3,0,1,30.0,4,30.0,40.0,4,0.0,11,0.06,0.3444,53.59,32.46,1.1,1,35.52,5,0.73872,31.94
3,0,1,30.0,4,30.0,40.0,4,0.0,11,0.06,6.69609,61.283,28.85188,1.67387,1,47.3961,5,0.40351,24.55
3,0,1,30.0,4,30.0,40.0,4,0.0,11,0.06,6.57073,61.283,28.85188,1.72987,1,47.2991,43,0.40351,22.86
3,0,1,30.0,4,30.0,40.0,4,0.0,11,0.06,6.57073,61.283,28.85188,1.72987,1,47.2991,30,0.40351,32.13
10,0,1,35.0,5,35.0,30.0,2,0.0,11,0.06,0.38,67.6,17.4312,2.22446,1,38.775,5,0.60134,32.01
10,0,1,35.0,5,35.0,30.0,2,0.408,11,0.06,0.38,65.46,14.83745,2.06768,1,30.6791,40,0.54465,20.32
10,0,1,35.0,5,35.0,30.0,2,0.408,11,0.06,0.38,69.52,16.20429,2.16937,1,35.1531,8,0.53386,33.29
10,0,1,35.0,5,35.0,30.0,2,0.408,11,0.06,0.38,68.756,13.97506,2.27531,1,31.7976,40,0.56773,19.58
10,0,1,28.0,0,28.0,0.0,5,0.0,11,0.06,0.48,57.54093,19.25,2.13,0,38.5,5,0.53267,31.5
