Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),CO2-C loss (%)
0,1,0,64.0,0,0.0,0.0,0,0.0,5,1.1,0.0,74.27405,23.07538,2.04892,0,45.63272,0,0.15591,5.167
0,1,1,64.0,0,0.0,0.0,0,0.0,5,1.1,0.0,74.27405,23.07538,2.04892,0,45.63272,0,0.15591,9.629
0,1,1,64.0,0,0.0,0.0,8,0.0,5,1.1,0.0,74.27405,23.07538,2.04892,0,45.63272,0,0.15591,12.943
0,1,1,44.44706,5,22.85922,3.69595,8,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,1,39.62259,0,0.47538,13.648
4,0,1,30.0,4,30.0,10.0,3,0.0,5,0.1,0.00833,60.0,41.11596,0.77987,1,32.0651,0,0.5,13.9
4,0,1,30.0,4,30.0,10.0,3,10.0,5,0.1,0.00833,60.0,38.25338,0.78831,1,30.1556,1,0.5,13.9
4,0,1,30.0,4,30.0,10.0,3,10.0,5,0.1,0.00833,60.0,42.9974,0.77338,1,33.2532,0,0.5,13.7
0,0,1,20.0,0,20.0,0.0,0,0.0,5,0.06,0.21,60.22,29.35,1.45,0,42.38,0,0.66843,40.99
0,0,1,20.0,1,20.0,10.0,0,0.0,5,0.06,0.42,60.22,29.35,1.45,1,42.38,0,0.66843,36.4
0,0,1,20.0,2,20.0,5.0,0,0.0,5,0.06,0.84,60.22,29.35,1.45,1,42.38,0,0.66843,32.5
0,0,1,21.0,0,21.0,0.0,0,0.0,5,0.06,0.21,55.0,11.5,2.34,0,26.8,0,0.25926,28.58548
0,0,1,21.0,0,21.0,0.0,0,20.0,5,0.06,0.21,55.0,14.7,2.52,0,36.1,3,0.25926,18.60004
0,0,1,21.0,0,21.0,0.0,0,20.0,5,0.06,0.21,55.0,14.0,2.52,0,35.3,3,0.25926,16.72771
0,0,1,31.0,0,31.0,0.0,2,0.0,5,0.06,0.09384,65.4,14.2,2.1,0,29.7,0,0.51333,31.5
0,0,1,31.0,0,31.0,0.0,2,0.0,5,0.06,0.15639,65.4,14.2,2.1,0,29.7,0,0.51333,46.1
0,0,1,31.0,3,31.0,10.0,2,0.0,5,0.06,0.28151,65.4,14.2,2.1,1,29.7,0,0.51333,40.9
5,0,1,35.0,0,35.0,0.0,4,0.0,5,0.06,0.2,72.1,10.57997,2.77826,0,29.3939,0,0.646,39.47
5,0,1,35.0,0,35.0,0.0,4,10.0,5,0.06,0.2,72.1,11.30095,2.59565,0,29.3333,5,0.646,36.49
5,0,1,35.0,0,35.0,0.0,4,10.0,5,0.06,0.2,72.1,10.89254,2.6837,0,29.2323,9,0.646,33.38
5,0,1,35.0,0,35.0,0.0,4,12.5,5,0.06,0.2,72.1,11.19228,2.68042,0,30.0,5,0.646,35.91
5,0,1,35.0,0,35.0,0.0,4,12.5,5,0.06,0.2,72.1,11.3794,2.67717,0,30.4646,9,0.646,31.42
6,0,1,21.0,0,21.0,0.0,1,0.0,5,1.2096,0.24,59.81,19.9,1.91,0,38.1,0,0.66843,48.02
6,0,1,21.0,0,21.0,0.0,1,0.0,0,1.2096,0.24,60.21,19.9,1.79,0,35.6,0,0.66843,43.43
3,0,0,45.0,0,0.0,0.0,6,0.0,5,0.06,0.0,64.33,23.8,1.79,0,42.59,0,0.08333,30.3
3,0,0,45.0,0,0.0,0.0,6,0.0,5,0.06,0.0,62.94,30.6,1.45,0,44.38,0,0.08333,25.0
0,0,1,31.0,0,31.0,0.0,0,0.0,5,0.01,0.43,83.0,16.5,2.60606,0,43.0,0,0.492,21.6763
0,0,1,31.0,0,31.0,0.0,0,0.0,5,0.01,0.21,83.0,16.5,2.60606,0,43.0,0,0.492,19.7495
4,0,1,31.0,0,31.0,0.0,0,0.0,5,0.01,0.48,71.0,6.1,5.77049,0,35.2,0,0.492,22.5
4,0,1,31.0,0,31.0,0.0,0,0.0,5,0.01,0.23,71.0,6.1,5.77049,0,35.2,0,0.492,19.8077
4,0,1,44.44706,0,22.85922,3.69595,0,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,0,0.47538,12.4038
4,0,1,44.44706,0,22.85922,3.69595,0,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,0,0.47538,11.3942
6,1,0,54.0,0,0.0,0.0,6,0.0,5,0.13,0.0,67.214,15.77638,1.63086,0,38.52771,0,0.71093,37.9
6,1,0,54.0,0,0.0,0.0,6,15.0,5,0.13,0.0,61.36171,20.40841,2.12066,0,39.34399,4,0.42336,34.8
6,1,0,54.0,0,0.0,0.0,6,15.0,5,0.13,0.0,61.36171,20.40841,2.12066,0,39.34399,4,0.42336,33.6
6,1,0,54.0,0,0.0,0.0,6,0.0,5,0.13,0.0,67.214,15.77638,1.63086,0,38.52771,0,0.71093,39.1
6,1,0,54.0,0,0.0,0.0,6,6.0,5,0.13,0.0,61.88,26.65188,1.6495,0,42.54203,6,0.48136,36.5
6,1,0,54.0,0,0.0,0.0,6,6.0,5,0.13,0.0,61.88,26.65188,1.6495,0,42.54203,6,0.48136,36.0
0,0,1,44.44706,0,22.85922,3.69595,0,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,0,0.47538,3.25563
0,0,1,44.44706,0,22.85922,3.69595,0,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,0,0.47538,3.86842
5,0,1,35.0,0,35.0,0.0,4,0.0,5,0.06,0.1,72.86,11.37,2.68,0,30.45,0,0.667,41.0
5,0,1,35.0,0,35.0,0.0,4,0.0,5,0.06,0.2,72.86,11.37,2.68,0,30.45,0,0.667,35.4
