Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),Final GI (%)
3,0,1,30.0,0,30.0,0.0,4,0.0,2,0.06,0.2,60.59701,20.0,1.9,0,38.0,6,0.50325,93.0576
3,0,1,30.0,0,30.0,0.0,4,2.1383,2,0.06,0.2,53.94105,17.30066,2.7751,0,37.7404,20,0.43963,100.295
3,0,1,30.0,0,30.0,0.0,4,3.20088,2,0.06,0.2,54.98105,19.0771,2.27541,0,40.8224,34,0.47439,106.056
3,0,1,30.0,0,30.0,0.0,4,2.216,2,0.06,0.2,53.94105,17.30066,2.7751,0,37.7404,11,0.43963,90.9897
3,0,1,30.0,0,30.0,0.0,4,2.53615,2,0.06,0.2,54.98105,19.0771,2.24241,0,40.8224,4,0.47058,80.3545
8,0,1,34.0,10,34.0,30.0,8,0.0,3,0.06,0.0,60.0,20.8683,2.83121,1,59.08254,6,0.55892,75.7692
8,0,1,34.0,10,34.0,30.0,8,7.5,3,0.06,0.0,60.0,19.9837,2.93429,1,58.63797,36,0.53853,84.5385
8,0,1,34.0,10,34.0,30.0,8,7.5,3,0.06,0.0,60.0,20.2439,2.8646,1,57.99068,34,0.53853,77.8462
8,0,1,34.0,10,34.0,30.0,8,7.5,3,0.06,0.0,60.0,20.2959,2.9372,1,59.61312,20,0.53853,94.4615
8,1,1,44.44706,0,22.85922,3.69595,8,4.90157,3,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,6,0.47538,70.4558
8,1,1,56.0,0,28.0,0.0,8,8.4771,3,0.4,5e-05,65.0,22.41908,1.52655,0,40.343,6,0.29355,83.6808
8,1,1,56.0,0,28.0,0.0,8,16.95419,3,0.4,5e-05,65.0,22.71355,2.06146,0,39.6865,6,0.3021,130.879
8,1,1,56.0,0,28.0,0.0,8,9.04224,3,0.4,5e-05,65.0,23.44908,1.64084,0,39.3605,6,0.29412,88.4688
8,1,1,56.0,0,28.0,0.0,8,10.17252,3,0.4,5e-05,65.0,23.44908,1.64084,0,39.3605,6,0.29526,98.5016
3,0,1,35.0,0,35.0,0.0,9,2.25,3,0.02,0.5,62.57135,29.0076,1.65319,0,43.42961,17,0.49253,115.9
3,0,1,35.0,0,35.0,0.0,9,3.3209,3,0.02,0.5,61.283,26.9466,1.74389,0,42.97901,17,0.45386,109.7
3,0,1,35.0,0,35.0,0.0,9,4.0709,3,0.02,0.5,65.7516,29.0458,1.56629,0,41.99891,17,0.45322,125.1
8,0,1,40.0,11,30.0,30.0,6,0.0,5,0.11343,7.69231,64.54545,16.53936,2.34,1,38.7021,6,0.74199,94.3868
8,0,1,40.0,11,30.0,30.0,6,6.0,5,0.11343,7.31707,63.55556,16.39658,2.31,1,37.8761,34,0.5264,84.1981
8,0,1,40.0,11,30.0,30.0,6,15.0,5,0.09105,6.81818,62.06897,15.97083,2.41,1,38.4897,31,0.314,102.028
8,0,1,40.0,11,30.0,30.0,6,1.46082,5,0.11343,7.79221,65.17413,16.34774,2.34,1,38.2537,35,0.73956,94.1038
6,0,1,56.0,0,56.0,0.0,11,0.0,5,0.13,1.11111,55.0,25.02125,1.80435,1,45.1471,6,0.5,56.41
6,0,1,56.0,0,56.0,0.0,11,2.0,5,0.13,1.11111,55.0,25.08996,1.84239,1,46.2255,6,0.5,65.5
6,0,1,56.0,0,56.0,0.0,11,4.0,5,0.13,1.11111,55.0,25.00167,1.8587,1,46.4706,6,0.5,72.85
6,0,1,56.0,0,56.0,0.0,11,6.0,5,0.13,1.11111,55.0,23.99361,1.95109,1,46.8137,6,0.5,81.34
6,0,1,56.0,0,56.0,0.0,11,8.0,5,0.13,1.11111,55.0,22.31769,2.11957,1,47.3039,6,0.5,87.63
6,0,1,56.0,0,56.0,0.0,11,12.0,5,0.13,1.11111,55.0,21.13909,2.27717,1,48.1373,6,0.5,98.63
6,0,1,56.0,0,56.0,0.0,11,18.0,5,0.13,1.11111,55.0,20.40002,2.42935,1,49.5588,6,0.5,125.3
8,0,1,35.0,0,35.0,0.0,4,0.0,5,0.06,0.3,69.2,18.4,2.04,0,37.48,6,0.59726,103.463
8,0,1,35.0,0,35.0,0.0,4,0.4968,5,0.06,0.3,69.2,18.4,2.04,0,37.48,13,0.58526,108.116
8,0,1,35.0,0,35.0,0.0,4,0.4968,5,0.06,0.3,69.2,18.4,2.04,0,37.48,14,0.58526,93.0356
8,0,1,35.0,0,35.0,0.0,4,0.4968,5,0.06,0.3,69.2,18.4,2.04,0,37.48,7,0.58526,100.415
8,0,1,35.0,0,35.0,0.0,4,0.4968,5,0.06,0.3,69.2,18.4,2.04,0,37.48,13,0.58526,72.9821
8,0,1,50.0,9,50.0,10.0,8,2.38663,2,0.18,5.96659,58.1,25.76524,1.55,1,45.15829,24,0.22222,69.2
8,0,1,50.0,9,50.0,10.0,7,2.5,2,0.18,6.25,60.0,17.6,2.66347,1,46.87707,24,0.22222,46.8
8,0,1,50.0,9,50.0,10.0,7,2.5,2,0.18,6.25,60.0,24.0,1.99045,1,47.7708,24,0.22222,52.5
8,0,1,50.0,9,50.0,10.0,7,2.5,2,0.18,6.25,60.0,32.4,1.55129,1,50.2618,24,0.22222,60.0
8,0,1,50.0,9,50.0,10.0,7,2.5,2,0.18,6.25,60.0,40.3,1.24328,1,50.10418,24,0.22222,59.0
8,0,1,50.0,9,50.0,10.0,7,2.5,2,0.18,6.25,60.0,24.0,2.05575,1,47.51757,34,0.22222,52.5
8,0,1,50.0,9,50.0,10.0,7,5.0,2,0.18,6.25,60.0,24.4,2.05575,1,47.51757,34,0.22222,50.2
8,0,1,50.0,9,50.0,10.0,7,7.5,2,0.18,6.25,60.0,24.1,2.04392,1,48.8507,34,0.22222,51.8
8,0,1,50.0,9,50.0,10.0,7,10.0,2,0.18,6.25,60.0,24.1,2.04953,1,48.08526,34,0.22222,51.5
8,0,1,35.0,9,35.0,10.0,5,2.5,2,0.18,6.25,60.0,27.0,1.8811,1,50.7897,36,0.22222,57.7
8,0,1,35.0,9,35.0,10.0,5,9.23077,2,0.18,6.25,60.0,26.0,1.76278,1,45.83228,36,0.22222,63.6
8,0,1,35.0,9,35.0,10.0,5,16.92308,2,0.18,6.25,60.0,26.3,1.55575,1,40.91622,36,0.22222,60.5
8,0,1,35.0,9,35.0,10.0,5,24.61538,2,0.18,6.25,60.0,25.3,1.48814,1,37.64994,36,0.22222,74.6
8,1,0,81.0,0,0.0,0.0,16,0.0,3,16.0,0.0,65.0,14.42029,2.76,0,39.8,6,1.17979,103.982
8,1,0,81.0,0,0.0,0.0,17,8.8,3,16.0,0.0,65.0,15.14815,2.7,0,40.9,6,1.18519,116.847
8,0,1,30.0,0,30.0,0.0,6,0.0,5,0.12,2.56621,66.11478,17.57895,1.94767,0,33.4,6,0.575,97.5734
8,0,1,30.0,0,30.0,0.0,6,5.0,5,0.12,2.56621,66.10548,21.53089,1.94767,0,40.0658,0,0.58474,114.509
8,0,1,30.0,0,30.0,0.0,6,10.0,5,0.12,2.56621,61.41148,16.16662,1.94767,0,36.6105,0,0.59448,127.95
8,0,1,30.0,0,30.0,0.0,6,1.0,5,0.12,2.56621,66.29348,23.23689,1.94767,0,35.63667,9,0.57695,120.961
8,0,1,28.0,0,28.0,0.0,4,0.0,6,0.06,0.36,62.06,17.91,1.95,0,34.9245,6,0.7402,92.191
8,0,1,28.0,0,28.0,0.0,4,10.0,6,0.06,0.36,58.69,18.23,1.96,0,35.7308,34,0.78068,89.9438
6,0,1,56.0,0,56.0,0.0,11,0.0,5,0.1,0.82267,56.03,25.17,1.86,0,46.82,6,0.5,64.17
6,0,1,56.0,0,56.0,0.0,11,10.0,5,0.1,0.86778,55.0,25.17972,1.80701,0,45.5,36,0.5,105.63
6,0,1,56.0,0,56.0,0.0,11,10.0,5,0.1,0.86778,55.0,25.67343,1.77226,0,45.5,18,0.5,98.2
6,0,1,56.0,0,56.0,0.0,11,10.0,5,0.1,0.86778,55.0,25.43875,1.78861,0,45.5,3,0.5,101.85
3,0,1,30.0,4,30.0,40.0,4,0.0,5,0.06,0.3444,53.59,32.46,1.1,1,35.52,6,0.73872,86.0078
3,0,1,30.0,4,30.0,40.0,4,0.0,5,0.06,6.69609,61.283,28.85188,1.67387,1,47.3961,6,0.40351,101.859
3,0,1,30.0,4,30.0,40.0,4,0.0,5,0.06,6.57073,61.283,28.85188,1.72987,1,47.2991,30,0.40351,103.327
3,0,1,30.0,4,30.0,40.0,4,0.0,5,0.06,6.57073,61.283,28.85188,1.72987,1,47.2991,24,0.40351,87.7691
8,0,1,50.0,0,50.0,0.0,5,0.0,5,0.1,0.59444,58.0,25.0,1.8,0,45.0,6,0.5,93.06
8,0,1,50.0,0,50.0,0.0,5,10.0,5,0.1,0.51833,59.0,27.40008,1.66964,0,45.32197,6,0.5,99.34
8,0,1,50.0,0,50.0,0.0,5,10.0,5,0.1,0.51833,59.0,27.40008,1.62118,0,45.33997,36,0.5,98.21
8,0,1,50.0,0,50.0,0.0,5,20.0,5,0.1,0.3,59.0,26.40843,1.53825,0,42.19588,6,0.5,102.41
6,0,1,34.0,0,34.0,0.0,6,0.0,5,0.06,0.27211,65.0,11.37,2.21557,0,33.23298,6,0.58333,103.21
6,0,1,34.0,0,34.0,0.0,6,10.0,5,0.06,0.26291,65.0,11.37,2.21292,0,35.76798,34,0.60375,97.4
6,0,1,34.0,0,34.0,0.0,6,10.28571,5,0.06,0.26265,65.0,11.37,2.21292,0,35.63567,34,0.60433,120.31
6,0,1,34.0,0,34.0,0.0,6,14.57143,5,0.06,0.2589,65.0,11.37,2.25992,0,37.42,34,0.61308,111.0
8,0,1,35.0,0,0.0,0.0,6,0.0,5,0.06,0.25,69.2,18.43351,2.03653,0,37.5404,6,0.37833,98.3399
8,0,1,35.0,0,0.0,0.0,6,9.13414,5,0.06,0.25,63.27932,18.43351,2.03653,0,37.5404,13,0.255,108.142
8,0,1,35.0,0,0.0,0.0,6,4.0,5,0.06,0.25,65.01916,18.43351,2.03653,0,37.5404,34,0.33056,100.553
8,0,1,35.0,0,0.0,0.0,6,9.13414,5,0.06,0.25,63.27932,18.43351,2.03653,0,37.5404,13,0.255,78.419
5,0,1,50.0,0,25.5,0.025,9,0.0,5,0.1,0.065,60.0,31.0074,1.68589,0,44.57341,6,0.5,120.707
5,0,1,50.0,0,21.3,0.025,9,2.0,5,0.1,0.03,60.0,30.0553,1.71673,0,44.57341,10,0.5,127.02
8,0,1,50.0,0,50.0,0.0,9,0.0,5,0.1,0.3,55.0,25.0,2.084,0,52.1,6,0.56915,93.1417
8,0,1,50.0,0,50.0,0.0,9,10.0,5,0.1,0.3,62.41946,25.10433,2.03465,0,43.48709,6,0.52318,99.5483
8,0,1,50.0,0,50.0,0.0,9,20.0,5,0.1,0.3,59.73189,22.14199,2.27241,0,43.60416,6,0.44474,102.259
8,0,1,50.0,0,50.0,0.0,9,20.5,5,0.1,0.3,59.73189,22.14199,2.35764,0,43.60416,6,0.44474,104.723
8,0,1,50.0,0,50.0,0.0,9,21.0,5,0.1,0.3,59.73189,22.14199,2.35764,0,42.85043,6,0.44474,103.737
8,0,1,50.0,0,50.0,0.0,9,22.0,5,0.1,0.3,59.73189,22.14199,2.33658,0,42.85043,6,0.44474,105.955
5,0,1,91.0,0,0.0,0.0,13,0.0,5,0.25,0.0,60.0,20.0,1.99,0,39.8,6,0.40065,77.6786
5,0,1,91.0,0,25.6,0.0,13,12.5,5,0.25,0.14475,60.0,20.0,2.02,0,40.4,6,0.34394,107.143
5,0,1,91.0,0,25.6,0.0,13,12.5,5,0.25,0.14475,60.0,20.0,1.93,0,38.6,12,0.34394,90.5357
5,0,1,44.44706,0,22.85922,3.69595,13,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,6,0.47538,109.286
5,0,1,44.44706,0,22.85922,3.69595,13,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,6,0.47538,84.6429
5,0,1,91.0,0,13.6,0.0,13,12.5,5,0.25,0.07875,60.0,25.0,1.78,0,44.5,6,0.37521,117.321
5,0,1,91.0,0,13.6,0.0,13,12.5,5,0.25,0.07875,60.0,25.0,1.82,0,45.5,12,0.37521,95.8929
5,0,1,44.44706,0,22.85922,3.69595,13,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,6,0.47538,126.429
5,0,1,91.0,0,0.0,0.0,13,0.0,5,0.25,0.0,60.0,30.0,1.67,0,50.1,6,0.42587,96.9643
5,0,1,91.0,0,30.0,0.0,13,12.5,5,0.25,0.41755,60.0,30.0,1.63,0,48.9,6,0.39615,129.643
5,0,1,91.0,0,30.0,0.0,13,12.5,5,0.25,0.41755,60.0,30.0,1.7,0,51.0,12,0.39615,103.393
5,0,1,44.44706,0,22.85922,3.69595,13,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,6,0.47538,130.179
0,0,1,60.0,0,60.0,0.0,5,2.79709,5,0.045,0.22,60.0,16.0,2.3,0,36.9,34,0.56915,57.1649
0,0,1,60.0,0,60.0,0.0,5,3.49709,5,0.045,0.44,60.0,19.0,2.0,0,38.2,34,0.56915,82.0
0,0,1,60.0,0,60.0,0.0,5,4.49709,5,0.045,0.66,60.0,22.0,1.8,0,39.8,34,0.59489,87.0482
0,0,1,60.0,0,60.0,0.0,5,3.66746,5,0.045,0.22,65.0,19.0,2.0,0,38.4,34,0.52672,81.0978
0,0,1,60.0,0,60.0,0.0,5,3.66746,5,0.045,0.44,65.0,22.0,1.8,0,40.4,34,0.53022,86.9231
0,0,1,60.0,0,60.0,0.0,5,2.16746,5,0.045,0.66,65.0,16.0,2.3,0,37.2,34,0.4415,66.8675
0,0,1,60.0,0,60.0,0.0,5,3.35437,5,0.045,0.22,70.0,22.0,1.8,0,40.6,34,0.38834,73.0185
0,0,1,60.0,0,60.0,0.0,5,1.47518,5,0.045,0.44,70.0,16.0,2.3,0,37.5,34,0.32984,58.9231
0,0,1,60.0,0,60.0,0.0,5,2.43345,5,0.045,0.66,70.0,19.0,2.0,0,38.5,34,0.38834,82.0783
8,0,1,37.0,1,37.0,25.0,4,0.0,5,0.06,0.24,65.0,14.5,2.4,1,34.8,6,0.35841,62.2568
8,0,1,37.0,1,37.0,25.0,4,0.0,5,0.06,0.48,65.0,18.09524,2.1,1,38.0,6,0.5307,90.856
8,0,1,37.0,1,37.0,25.0,4,0.0,5,0.06,0.72,65.0,20.73684,1.9,1,39.4,6,0.5882,83.6576
8,0,1,37.0,1,37.0,25.0,4,0.0,5,0.06,0.24,70.0,18.09524,2.1,1,38.0,6,0.56693,81.5175
8,0,1,37.0,1,37.0,25.0,4,0.0,5,0.06,0.48,70.0,21.10526,1.9,1,40.1,6,0.57203,85.7977
8,0,1,37.0,1,37.0,25.0,4,0.0,5,0.06,0.72,70.0,14.66667,2.4,1,35.2,6,0.56968,66.1479
8,0,1,37.0,1,37.0,25.0,4,0.0,5,0.06,0.24,75.0,21.52632,1.9,1,40.9,6,0.4633,73.7354
8,0,1,37.0,1,37.0,25.0,4,0.0,5,0.06,0.48,75.0,14.70833,2.4,1,35.3,6,0.59623,53.3074
8,0,1,37.0,1,37.0,25.0,4,0.0,5,0.06,0.72,75.0,17.90476,2.1,1,37.6,6,0.52435,85.9922
8,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.24,64.1,14.7,2.36,0,34.8,6,0.48579,62.0
8,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.48,65.2,18.3,2.08,0,38.0,6,0.5632,90.9
8,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.72,63.7,20.7,1.9,0,39.4,6,0.60445,83.5
8,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.24,71.3,18.4,2.06,0,38.0,6,0.55183,81.4
8,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.48,70.6,21.1,1.9,0,40.1,6,0.55339,85.7
8,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.72,70.8,15.0,2.35,0,35.2,6,0.58483,66.2
8,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.24,75.7,21.2,1.93,0,40.9,6,0.4633,73.5
8,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.48,76.8,14.9,2.37,0,35.3,6,0.58163,53.2
8,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.72,74.0,18.0,2.09,0,37.6,6,0.51816,86.1
5,2,0,21.0,0,0.0,0.0,14,0.0,0,2.0,0.0,60.0,26.03,1.696,0,44.14688,6,0.41382,83.2288
5,2,0,21.0,0,0.0,0.0,14,18.5,0,2.0,0.0,60.0,26.03,1.696,0,44.14688,24,0.29911,90.7011
5,2,0,21.0,0,0.0,0.0,14,18.5,0,2.0,0.0,60.0,26.03,1.696,0,44.14688,24,0.29911,89.0959
5,2,0,21.0,0,0.0,0.0,14,18.5,0,2.0,0.0,60.0,26.03,1.696,0,44.14688,24,0.29911,94.5756
5,2,0,21.0,0,0.0,0.0,14,18.5,0,2.0,0.0,60.0,26.03,1.696,0,44.14688,24,0.29911,89.1513
5,2,0,21.0,0,0.0,0.0,14,18.5,0,2.0,0.0,60.0,26.03,1.696,0,44.14688,24,0.29911,85.941
5,2,0,21.0,0,0.0,0.0,14,18.5,0,2.0,0.0,60.0,26.03,1.696,0,44.14688,24,0.29911,86.2731
5,2,0,21.0,0,0.0,0.0,14,18.5,0,2.0,0.0,60.0,26.03,1.696,0,44.14688,24,0.29911,84.059
8,1,0,70.0,0,0.0,0.0,15,0.0,5,9.56,0.0,65.7,14.80538,2.2,0,37.9561,6,0.75652,116.483
8,1,1,70.0,0,0.0,0.0,15,0.0,5,9.56,0.0,65.7,14.80538,2.2,0,37.9561,6,0.75652,94.5508
8,1,0,70.0,0,0.0,0.0,10,0.0,5,9.56,0.0,65.7,14.80538,2.2,0,37.9561,6,0.75652,118.588
8,1,1,70.0,0,0.0,0.0,10,0.0,5,9.56,0.0,65.7,14.80538,2.2,0,37.9561,6,0.75652,97.0069
8,1,0,70.0,0,0.0,0.0,0,0.0,5,9.56,0.0,65.7,14.80538,2.2,0,37.9561,6,0.75652,54.0264
8,1,1,70.0,0,0.0,0.0,0,0.0,5,9.56,0.0,65.7,14.80538,2.2,0,37.9561,6,0.75652,60.1649
8,1,0,70.0,0,0.0,0.0,10,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,6,0.44854,85.2
8,1,1,70.0,0,0.0,0.0,10,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,6,0.44854,80.6
8,1,0,70.0,0,0.0,0.0,5,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,6,0.44854,73.5
8,1,1,70.0,0,0.0,0.0,5,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,6,0.44854,70.5
8,1,0,70.0,0,0.0,0.0,0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,6,0.44854,67.4
8,1,1,70.0,0,0.0,0.0,0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,6,0.44854,65.6
6,0,1,35.0,0,35.0,0.0,5,0.0,5,0.06,0.2,72.1,11.37,2.68,0,30.45,6,0.667,97.4
8,0,1,56.0,0,0.0,0.0,7,0.0,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,6,0.475,121.3
8,0,1,56.0,0,0.0,0.0,7,3.3,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,34,0.475,102.0
8,0,1,56.0,0,0.0,0.0,7,6.6,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,34,0.475,112.2
8,0,1,56.0,0,0.0,0.0,7,9.9,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,34,0.475,121.4
8,0,1,56.0,0,0.0,0.0,7,13.2,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,34,0.475,82.5
