Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),N2O-N loss (%)
7,0,1,56.0,0,56.0,0.0,10,12.0,5,0.13,1.11111,55.0,21.13909,2.27717,1,48.1373,4,0.5,0.02
7,0,1,56.0,0,56.0,0.0,10,18.0,5,0.13,1.11111,55.0,20.40002,2.42935,1,49.5588,4,0.5,0.05
8,0,1,35.0,0,35.0,0.0,4,0.0,5,0.06,0.3,69.2,18.4,2.04,0,37.48,4,0.59726,1.5
8,0,1,35.0,0,35.0,0.0,4,0.4968,5,0.06,0.3,69.2,18.4,2.04,0,37.48,13,0.58526,1.4
8,0,1,35.0,0,35.0,0.0,4,0.4968,5,0.06,0.3,69.2,18.4,2.04,0,37.48,14,0.58526,1.2
8,0,1,35.0,0,35.0,0.0,4,0.4968,5,0.06,0.3,69.2,18.4,2.04,0,37.48,5,0.58526,1.3
8,0,1,35.0,0,35.0,0.0,4,0.4968,5,0.06,0.3,69.2,18.4,2.04,0,37.48,13,0.58526,1.0
7,0,1,50.0,6,50.0,20.0,7,0.0,5,0.288,0.07937,67.71,21.24,2.412,1,51.23088,4,0.444,0.6
7,0,1,50.0,6,50.0,20.0,7,12.0,5,0.288,0.275,66.08,21.21,2.53,1,53.6613,4,0.45845,0.47
8,0,1,30.0,0,30.0,0.0,6,5.0,5,0.12,2.56621,66.10548,21.53089,1.94767,0,40.0658,0,0.58474,2.08
8,0,1,30.0,0,30.0,0.0,6,10.0,5,0.12,2.56621,61.41148,16.16662,1.94767,0,36.6105,0,0.59448,1.976
8,0,1,30.0,0,30.0,0.0,6,20.0,5,0.12,2.56621,64.427,17.61059,1.94767,0,36.68272,0,0.61397,1.976
8,0,1,30.0,0,30.0,0.0,6,1.0,5,0.12,2.56621,66.29348,23.23689,1.94767,0,35.63667,8,0.57695,2.132
8,0,1,28.0,0,28.0,0.0,4,0.0,6,0.06,0.36,62.06,17.91,1.95,0,34.9245,4,0.7402,0.0025
8,0,1,28.0,0,28.0,0.0,4,10.0,6,0.06,0.36,58.69,18.23,1.96,0,35.7308,26,0.78068,0.0149
8,2,0,26.0,0,0.0,0.0,7,0.0,5,1.2,0.0,65.0,22.46154,1.69,0,37.96,4,0.375,1.37
8,2,0,26.0,0,0.0,0.0,7,15.67944,5,1.2,0.0,65.0,24.96689,1.51,0,37.7,4,0.39375,0.71
8,2,0,26.0,0,0.0,0.0,7,31.35889,5,1.2,0.0,65.0,26.48227,1.41,0,37.34,4,0.4125,0.35
8,2,0,26.0,0,0.0,0.0,7,47.03833,5,1.2,0.0,65.0,29.88889,1.35,0,40.35,4,0.43125,0.38
8,0,1,35.0,5,35.0,30.0,2,0.0,5,0.06,0.38,67.6,17.4312,2.22446,1,38.775,4,0.60134,0.57
8,0,1,35.0,5,35.0,30.0,2,0.408,5,0.06,0.38,65.46,14.83745,2.06768,1,30.6791,20,0.54465,0.79
8,0,1,35.0,5,35.0,30.0,2,0.408,5,0.06,0.38,69.52,16.20429,2.16937,1,35.1531,6,0.53386,0.41
8,0,1,35.0,5,35.0,30.0,2,0.408,5,0.06,0.38,68.756,13.97506,2.27531,1,31.7976,20,0.56773,0.68
8,0,1,28.0,0,28.0,0.0,5,0.0,5,0.06,0.48,57.54093,19.25,2.13,0,38.5,4,0.53267,0.34
8,0,1,28.0,0,28.0,0.0,5,2.44988,5,0.06,0.48,56.61409,26.515,2.14833,0,41.5342,13,0.53821,0.38
8,0,1,28.0,0,28.0,0.0,5,2.45195,5,0.06,0.48,56.61409,26.515,2.15,0,41.5342,12,0.53821,0.47
8,0,1,28.0,0,28.0,0.0,5,4.35435,5,0.06,0.48,57.17409,24.29595,2.16833,0,41.5342,15,0.54251,0.39
7,0,1,34.0,0,34.0,0.0,6,0.0,5,0.06,0.27211,65.0,11.37,2.21557,0,33.23298,4,0.58333,0.88
