Initial GI (%),Initial pH,Additive_3,Turning times,Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),M1_is Enclosed,V4_Ventilation Day, Composting Method,Application Rate (%DW),Additive_2,Additive_4,Material_3,Material_Main,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Initial C/N (%),Material_2,Period (d),Compost volume (m3),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
27.32884658064516,5.0548530830903005,4,28.0,62.059446381316,23.0,0,0.0,0,2.0,8.210501427971666,1.0,1,9.0,0,2,0,0,13.0,0.0,99.0,2.147162565177521,1.596639959668374,20.756319475688862,110.76280000000006,8.389518877016632,0.5466269850730896,0.14460805823749473,1000000.0
27.32884658064516,8.0,4,21.0,54.0,4.0,0,1.0,0,2.0,7.069756742510455,7.0,1,5.0,0,2,0,0,11.245658931909887,2.0,79.0,2.147162565177521,1.596639959668374,17.955268423488892,110.62716000000006,8.389518877016632,0.5882316827774048,0.14045196493339326,22.51842294419524
27.32884658064516,5.186155858421101,4,11.0,59.0,34.0,0,1.0,0,0.0,2.2886838863905314,1.0,1,3.0,0,2,0,0,10.59624757076086,5.0,97.0,2.147162565177521,1.596639959668374,16.918392294015728,110.62585000000007,5.847820641693111,0.9028932452201843,0.1563708976058678,23.771541501708676
27.32884658064516,8.0,4,28.0,60.498108506568045,36.0,0,1.0,0,2.0,8.762404125107025,13.0,1,3.0,0,2,0,0,11.43541997794909,0.0,90.0,2.147162565177521,1.596639959668374,18.258248492383554,110.62716000000006,8.389518877016632,0.5112709999084473,0.15665974162695578,23.15321020999452
27.32884658064516,5.684528581106762,4,14.0,57.0,36.0,0,1.0,0,0.0,2.45898675567996,11.0,1,5.0,0,2,0,0,10.722102713444531,5.0,69.0,2.147162565177521,1.596639959668374,17.11933764395424,110.62585000000007,5.847820641693111,0.9214600324630737,0.165850835699785,22.38602967060259
27.32884658064516,5.094419414786984,4,27.0,69.0,21.0,0,0.0,0,1.0,9.41604981049846,6.0,1,4.0,0,2,0,0,13.388796009351484,4.0,84.0,2.147162565177521,1.596639959668374,21.37708672037904,110.76280000000006,8.389518877016632,0.49177318811416626,0.15378250863773457,21.842670126327736
27.32884658064516,7.0,4,9.0,68.0,16.0,0,1.0,0,0.0,7.568093574011834,12.0,1,5.0,0,2,0,0,13.058634434353827,3.0,36.0,2.147162565177521,1.596639959668374,20.849937556590735,111.12201000000005,8.389518877016632,0.4751253128051758,0.1956675224659589,26.091604806914894
27.32884658064516,6.0,4,3.0,54.0,2.0,0,1.0,0,0.0,3.939570313764529,10.0,1,0.0,0,2,0,0,14.179558252218285,0.0,32.0,2.147162565177521,1.596639959668374,22.639649315937163,110.36117200000007,7.924152834416003,0.8411391377449036,0.21842756750750247,20.492067404886615
27.32884658064516,8.0,4,0.0,51.0,2.0,0,1.0,0,0.0,3.279584399289546,0.0,1,9.0,0,2,0,0,13.575802757377236,4.0,47.0,2.147162565177521,1.596639959668374,21.675669167004592,110.41962800000005,7.3009264647177385,0.93474280834198,0.1959836504050133,20.063212164472148
27.32884658064516,5.435953605763839,4,31.0,57.0,14.0,0,1.0,0,0.0,3.771678625184882,11.0,1,3.0,0,2,0,0,12.862612727679743,6.0,42.0,2.147162565177521,1.596639959668374,20.536961466752498,110.62585000000007,7.0201086433818025,0.9714221954345703,0.16422116310404375,1000000.0
27.32884658064516,6.0,4,0.0,51.0,16.0,0,1.0,0,1.0,7.378559364758256,2.0,1,5.0,0,2,0,0,25.038039754066638,5.0,105.0,2.147162565177521,1.596639959668374,39.9767347831081,109.34022000000003,8.670336698352566,0.480538010597229,0.19807765364488503,18.476762216465193
