Material_Main,V4_Ventilation Day,V2_Ventilation Interval (min),Material_3,Initial C/N (%),Material_2,Compost volume (m3),V3_Ventilation Duration (min),M1_is Enclosed,Additive_1,Application Rate (%DW),Initial pH, Composting Method,Additive_3,Period (d),Turning times,Additive_4,V1_Ventilation Type,Initial GI (%),Additive_2,Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
8,0.0,0.0,9.0,13.631081499583576,2.0,4.210797122302158,0.0,1.0,18.0,3.9291902184005685,8.0,0.0,4.0,47.0,12.0,1.0,2.0,27.32884658064516,0.0,59.0,0.0,2.1457865217391303,29.24939095853405,109.70684100000004,8.034334419423002,0.5399969816207886,0.22632177084039268,27.25794501972178
8,0.0,0.0,3.0,31.45487728901137,12.0,4.210797122302158,0.0,0.0,36.0,8.246511934794006,5.586885868762714,2.0,4.0,18.0,18.0,1.0,2.0,27.32884658064516,2.0,50.50410741100395,0.0,2.1457865217391303,67.49545172971888,108.27876800000004,6.176491696438765,0.5637484192848206,0.17810738502942797,29.15392739729091
8,9.0,0.0,4.0,32.22188195835997,4.0,4.210797122302158,0.0,1.0,4.0,3.532234788816469,5.100431955647568,2.0,4.0,22.0,0.0,1.0,0.0,27.32884658064516,2.0,66.84424583804244,0.4718757402853284,2.1457865217391303,69.14128001131809,109.80104000000003,6.400616342211991,1.341565489768982,0.1382114219327542,25.634597569101267
8,7.0,0.0,0.0,17.228994230391,12.0,4.210797122302158,0.0,1.0,17.0,3.8638058204205814,8.0,1.0,4.0,15.0,6.0,1.0,0.0,27.32884658064516,5.0,59.74391027981818,0.185516721671094,2.1457865217391303,36.969743602694244,110.16813100000003,7.120246316687332,0.6838933825492859,0.1956990390778917,34.12086442128886
8,0.0,0.0,0.0,21.234562073014313,8.0,4.210797122302158,0.0,1.0,24.0,5.188953498543509,6.479879638644449,0.0,4.0,20.0,0.0,1.0,2.0,27.32884658064516,6.0,55.70276703242755,0.0,2.1457865217391303,45.56483709130704,110.77825500000004,9.125307346685114,0.7383249998092651,0.17054670798113322,28.17490742953609
8,0.0,0.0,5.0,33.0,8.0,4.210797122302158,0.0,0.0,17.0,4.605384139984824,6.156487983899331,2.0,4.0,29.0,23.0,1.0,2.0,27.32884658064516,7.0,55.0,0.0,2.1457865217391303,89.4598832790961,108.81453900000002,6.176491696438765,0.8353531360626221,0.19955040752721903,1000000.0
8,20.0,0.0,9.0,21.0,0.0,4.210797122302158,0.0,1.0,31.0,5.567534601634304,6.0,0.0,4.0,35.0,2.0,1.0,0.0,27.32884658064516,1.0,57.20517283303935,0.18036678100783177,2.1457865217391303,13.81744335587795,109.19075200000003,7.922830911463784,0.5482659935951233,0.22630255781255207,1000000.0
8,0.0,0.0,3.0,24.088398993529438,3.0,4.210797122302158,0.0,1.0,16.0,9.553190627084078,5.38968905213023,2.0,4.0,24.0,21.0,1.0,2.0,27.32884658064516,0.0,58.0,0.0,2.1457865217391303,51.6885618905899,108.51585800000002,6.176491696438765,0.5612281560897827,0.22089595733806872,28.308587392661167
8,0.0,0.0,5.0,36.52251746253465,13.0,4.210797122302158,0.0,1.0,24.0,4.227384105687898,5.0,0.0,4.0,14.0,12.0,1.0,2.0,27.32884658064516,1.0,58.59427644707903,0.0,2.1457865217391303,78.36952571108888,109.49765100000005,8.034334419423002,0.5399969816207886,0.23492062328382507,32.3994151257117
8,0.0,0.0,2.0,21.358421024201405,12.0,4.210797122302158,0.0,1.0,30.0,2.547189526934618,6.335564518512379,0.0,4.0,19.0,4.0,1.0,2.0,27.32884658064516,5.0,51.0,0.0,2.1457865217391303,45.83061195936104,109.69346200000001,8.967237893985907,0.7851319909095764,0.203784027343973,28.800492219767136
8,0.0,0.0,5.0,27.614469170911118,8.0,4.210797122302158,0.0,1.0,16.0,5.085399861390042,6.0,0.0,4.0,28.0,20.0,1.0,2.0,27.32884658064516,5.0,55.676243982505,0.0,2.1457865217391303,59.25475575192181,110.20042500000004,7.752330277937793,0.7612061500549316,0.22955420298202972,29.143810922139878
8,0.0,0.0,3.0,27.793124475127144,12.0,4.210797122302158,0.0,1.0,16.0,2.460442115282688,5.0,0.0,4.0,31.0,2.0,1.0,2.0,27.32884658064516,3.0,53.0,0.0,2.1457865217391303,59.638111895745766,110.70900100000003,9.213993006406389,0.7513672113418579,0.19423157099903374,26.35863005586969
8,0.0,0.0,0.0,38.058917281693866,2.0,4.210797122302158,0.0,0.0,4.0,5.425952974293536,6.0,2.0,4.0,24.0,28.0,1.0,2.0,27.32884658064516,0.0,68.34216233061227,0.0,2.1457865217391303,81.66631173504315,108.90615000000004,5.982814154196575,1.0761319398880005,0.22041115982201614,26.613434995162805
8,0.0,0.0,3.0,10.443855807917041,8.0,4.210797122302158,0.0,0.0,36.0,3.301679633180748,6.0,1.0,4.0,32.0,6.0,1.0,2.0,27.32884658064516,0.0,59.0,0.0,2.1457865217391303,22.410285027615323,108.50061600000001,6.840676755967581,0.5598782896995544,0.15262097377948391,27.23454303856949
8,0.0,0.0,3.0,36.99151923538322,0.0,4.210797122302158,0.0,1.0,19.0,8.129053001360642,6.0,0.0,4.0,42.0,2.0,1.0,2.0,27.32884658064516,6.0,59.818950220294965,0.0,2.1457865217391303,79.3759033939391,110.54066500000003,9.213993006406389,0.7784281373023987,0.21296185574692228,22.614520408976222
8,8.0,0.0,9.0,32.4933043268883,14.0,4.210797122302158,0.0,0.0,7.0,8.915766447135361,5.0,1.0,4.0,24.0,0.0,1.0,0.0,27.32884658064516,1.0,59.0,1.755261607659436,2.1457865217391303,69.72369447140468,110.87269600000003,7.774273229174197,1.1245064735412598,0.16573256860839053,26.449266406335937
8,0.0,0.0,2.0,22.124994179000982,2.0,4.210797122302158,0.0,1.0,12.0,4.573698941054648,6.0,0.0,4.0,34.0,13.0,1.0,2.0,27.32884658064516,1.0,62.292449031381835,0.0,2.1457865217391303,47.47551430285702,109.54247500000005,8.034334419423002,1.1578583717346191,0.22921313293844398,26.071351758025845
