Initial Moisture Content (%),Material_Main,Initial GI (%),V3_Ventilation Duration (min),Additive_3,Initial pH,Material_2,Application Rate (%DW),V1_Ventilation Type,V4_Ventilation Day,M1_is Enclosed,Additive_1,Initial C/N (%),Material_3,Turning times,V5_Ventilation rate (L/min/kg iniDW),Period (d),Additive_2, Composting Method,Compost volume (m3),V2_Ventilation Interval (min),Additive_4,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
68.19037943748084,6,27.32884658064516,41.38564672635849,4,7.0,6.0,2.4657541916355896,1,33.0,1.0,31.0,15.0,0.0,19.0,0.10917166998799188,45.0,3.0,2.0,0.15181,1051.0,1,1.411,21.165,119.04624600000007,5.312141265706627,1.1653664112091064,0.10793056478186627,1000000.0
50.18570354699138,6,27.32884658064516,42.36168724290313,4,7.0,8.0,5.658472004863789,1,46.0,1.0,15.0,18.61989595931205,3.0,24.0,0.755068772507578,60.0,2.0,2.0,0.15181,380.0,1,1.411,26.272673198589303,115.31347400000008,5.2794873039519645,0.8662164211273193,0.15157975866875403,26.93149262318474
62.0,6,27.32884658064516,9.041535036079289,4,5.335040968482561,0.0,3.094033679862682,1,36.0,1.0,4.0,39.73784502148784,0.0,25.0,1.4446135299328777,45.0,1.0,1.0,0.15181,943.0,1,1.411,56.07009932531935,116.08514500000003,5.876635009150747,0.7472193241119385,0.152088156358903,24.545146928088183
64.0,6,27.32884658064516,32.17981642359094,4,6.0,0.0,5.872957081720011,1,50.0,1.0,38.0,33.0,0.0,1.0,0.5825298479749774,61.0,1.0,0.0,0.15181,1408.0,1,1.411,46.563,115.79419600000003,3.7330685208117558,0.7081289291381836,0.13991971350250038,1000000.0
56.24154285877474,6,27.32884658064516,39.44226560260071,4,6.0,14.0,2.327752797007218,1,47.0,1.0,23.0,14.0,0.0,27.0,1.0276621901439884,94.0,1.0,1.0,0.15181,588.0,1,1.411,19.754,117.06403800000004,5.780478000388774,0.8027568459510803,0.13926336918425716,1000000.0
62.0,6,27.32884658064516,35.94197153668165,4,6.0,6.0,6.514093912390162,1,41.0,1.0,35.0,24.0,0.0,14.0,1.5251056799558782,54.0,13.0,2.0,0.15181,367.0,1,1.411,33.864000000000004,111.04086300000003,5.528780244188943,1.120252251625061,0.1722319459712025,1000000.0
67.0,6,27.32884658064516,19.240447972040077,4,5.319348166697134,12.0,4.28946583565169,1,35.0,1.0,37.0,13.392806579876652,9.0,29.0,0.8960072849166831,47.0,2.0,0.0,0.15181,1086.0,1,1.411,18.897250084205957,115.40912400000008,2.270541675087077,0.7492369413375854,0.16020348678643895,28.510933446037402
66.10076533614702,6,27.32884658064516,54.84921556417597,4,8.0,12.0,9.739417595857915,1,44.0,1.0,23.0,21.9637188963251,0.0,30.0,0.7219798086229408,52.0,2.0,0.0,0.15181,495.0,1,1.411,30.99080736271472,116.10078100000005,2.9653010175794523,0.7020646929740906,0.14907561291930405,28.407289694746808
69.17496926818589,6,27.32884658064516,9.046887452529266,4,7.000000000000001,3.0,4.300965931454903,1,42.0,0.0,8.0,13.0,2.0,5.0,0.6248430952118382,44.0,0.0,1.0,0.15181,1214.0,1,1.411,18.343,116.34834600000005,2.8781701732317235,1.1511505842208862,0.12573924101684192,1000000.0
61.0,6,27.32884658064516,49.830663712578655,4,6.0,8.0,7.442017353153913,1,17.0,1.0,20.0,36.020589737666306,0.0,11.0,0.5996306998594509,18.0,2.0,1.0,0.15181,809.0,1,1.411,50.82505211984716,118.03755100000004,5.35895082381365,0.7670496702194214,0.167072670126031,1000000.0
68.0,6,27.32884658064516,43.611302579758544,4,6.531763700992786,8.0,6.306492586831674,1,67.0,1.0,38.0,22.0,0.0,25.0,0.48490300799711905,95.0,1.0,1.0,0.15181,412.0,1,1.411,31.042,116.84357900000003,6.064469839062303,0.8063616752624512,0.17266415333503088,1000000.0
63.0,6,27.32884658064516,51.50910511823769,4,7.0,8.0,5.816693680481771,1,74.0,1.0,19.0,23.030320460022338,0.0,14.0,1.9674207844463065,100.0,2.0,0.0,0.15181,1136.0,1,1.411,32.49578216909152,117.32270700000005,3.024354320700547,0.7067902684211731,0.1562292932748468,26.200439793174354
51.0,6,27.32884658064516,39.50220260486493,4,7.159839677690249,6.0,3.0337206313776948,1,10.0,0.0,10.0,37.853472373548804,5.0,28.0,0.36823659643910034,32.0,0.0,1.0,0.15181,300.0,1,1.411,53.411249519077366,116.24193800000005,3.7177843890848323,0.30416354537010193,0.14772103475889717,24.48191336859839
52.82292689749565,6,27.32884658064516,26.021254857617294,4,6.70056103627877,14.0,3.953905135702258,1,29.0,0.0,2.0,28.798938135410395,3.0,16.0,1.959457885224511,40.0,0.0,2.0,0.15181,264.0,1,1.411,40.635301709064066,116.02169500000005,3.6540719920029843,1.1652674674987793,0.14378248678170386,23.45902613625773
53.321631131534666,6,27.32884658064516,40.19093247145607,4,6.10263903210008,13.0,6.501986127464407,1,57.0,1.0,34.0,19.28439587641136,0.0,18.0,0.4676429825400108,95.0,2.0,1.0,0.15181,341.0,1,1.411,27.21028258161643,119.35808300000006,5.312141265706627,0.8034913539886475,0.15435037457562983,26.463534155750015
