V3_Ventilation Duration (min),M1_is Enclosed,Period (d),Additive_2,Material_2,Material_Main,V2_Ventilation Interval (min),Initial Moisture Content (%),V4_Ventilation Day,Additive_4,V5_Ventilation rate (L/min/kg iniDW),Additive_1,V1_Ventilation Type,Application Rate (%DW),Material_3,Initial C/N (%), Composting Method,Turning times,Compost volume (m3),Additive_3,Initial GI (%),Initial pH,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
49.58646932632371,1.0,22.0,10.0,5.0,10,533.0,67.0,12.0,1,1.2855488468024279,4.0,1,3.7573592840421153,0.0,15.928132648375268,1.0,2.0,0.6277154746460176,4,27.32884658064516,6.5713498902677525,2.0952942734506244,33.374125124902626,100.71392299999997,9.256971309052778,1.1939958333969116,0.1706181962313363,22.72155636027093
0.0,1.0,35.0,11.0,12.0,10,0.0,56.0,0.0,1,0.0,27.0,2,2.7425617422351243,9.0,15.088979577679556,2.0,5.0,0.6277154746460176,4,27.32884658064516,6.0,2.0952942734506244,31.615852501325392,100.85162300000002,9.358701910524848,0.08692016452550888,0.20436846970286585,20.433835605283942
0.0,1.0,43.0,2.0,13.0,10,0.0,58.0,0.0,1,0.0,21.0,2,6.117812032808198,2.0,17.0,2.0,13.0,0.6277154746460176,4,27.32884658064516,7.0,2.0952942734506244,35.620002648660616,99.20062,8.50134608559632,0.07660745829343796,0.1823954694563428,1000000.0
0.0,1.0,28.0,7.0,12.0,10,0.0,68.0,14.0,1,1.2539236882811455,15.0,0,8.97583875207254,0.0,20.034240599836295,2.0,4.0,0.6277154746460176,4,27.32884658064516,6.0,2.0952942734506244,41.97762960176899,100.31107899999999,7.73404179609507,0.11512082070112228,0.1745034044090126,23.71509175632446
0.0,1.0,35.0,1.0,13.0,10,0.0,52.0,0.0,1,0.0,33.0,2,6.847149193848282,9.0,29.0,2.0,19.0,0.6277154746460176,4,27.32884658064516,6.332376540157051,2.0952942734506244,60.76353393006811,99.49172200000001,9.076697769039637,0.15902404487133026,0.18736022811303096,1000000.0
0.0,1.0,48.0,8.0,6.0,10,0.0,56.0,22.0,1,1.7029851970286698,6.0,0,2.4413164237577343,5.0,14.750057399291329,2.0,3.0,0.6277154746460176,4,27.32884658064516,8.0,2.0952942734506244,30.90571080180313,99.03223600000001,8.016045937580284,0.18926288187503815,0.1840079952233407,19.213463727527326
0.0,1.0,36.0,11.0,12.0,10,0.0,50.786456244939295,0.0,1,0.0,23.0,2,4.008502670777489,4.0,15.3109379191982,2.0,30.0,0.6277154746460176,4,27.32884658064516,8.0,2.0952942734506244,32.080920543254,99.8308,9.358701910524848,0.11171235144138336,0.17812203629578238,29.334124746582035
0.0,0.0,32.0,9.0,6.0,10,0.0,68.0,0.0,1,0.0,36.0,2,6.366495059489672,5.0,19.206873270833597,2.0,21.0,0.6277154746460176,4,27.32884658064516,6.0,2.0952942734506244,40.2440515752695,99.085391,6.899572074326105,0.11426655948162079,0.19270834155023475,25.912044285987804
0.0,1.0,33.0,5.0,3.0,10,0.0,62.92175109740532,31.0,1,0.2744302263270193,15.0,0,9.969023052989566,3.0,34.0,1.0,2.0,0.6277154746460176,4,27.32884658064516,7.0,2.0952942734506244,71.24000529732123,99.96940500000001,8.269731390968433,0.20820681750774384,0.19983543815034685,1000000.0
40.54672800827929,0.0,24.0,6.0,6.0,10,109.0,58.8836716036699,8.0,1,0.6459411895564924,8.0,1,6.209943146291865,9.0,10.788874376006468,2.0,4.0,0.6277154746460176,4,27.32884658064516,5.530667099307898,2.0952942734506244,22.60586669702453,101.12456699999998,5.034838924248318,1.0753427743911743,0.17086099382790684,23.874532185192464
