Additive_3,Additive_4,Initial Moisture Content (%),Initial GI (%),Application Rate (%DW),Material_2,V3_Ventilation Duration (min),V1_Ventilation Type,Compost volume (m3),Initial C/N (%),Period (d),V4_Ventilation Day,Material_Main,Additive_2,Additive_1,M1_is Enclosed,Turning times,V2_Ventilation Interval (min),Material_3,Initial pH, Composting Method,V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
4,1,64.42070793787327,27.32884658064516,7.987094736017842,3.0,0.0,2,0.08,26.356239679511134,84.0,0.0,4,0.0,19.0,1.0,28.0,0,4.0,7.0,0.0,0.0,0.875,23.061709719572242,107.54283100000002,6.451320790738831,0.8122884035110474,0.18908506286338017,20.916233344987347
4,1,59.9281102395157,27.32884658064516,9.857970109608306,0.0,0.0,2,0.08,29.040621631433382,40.0,0.0,4,6.0,23.0,1.0,11.0,0,0.0,5.675578391586612,0.0,0.0,0.875,25.410543927504207,107.31048200000004,1.3542533171949511,0.9719250798225403,0.17369141078213315,22.576657949703517
4,1,59.0,27.32884658064516,5.987568033353145,0.0,0.0,2,0.08,14.0,94.0,0.0,4,15.0,2.0,1.0,29.0,0,5.0,6.3392813006922895,2.0,0.0,0.875,12.25,106.94164500000002,5.213787367915736,0.8632399439811707,0.1524685890187456,1000000.0
4,1,67.0,27.32884658064516,4.079348498329615,0.0,0.0,0,0.08,11.471156569515763,47.0,18.0,4,10.0,16.0,1.0,23.0,0,2.0,6.0,2.0,0.3701508312428383,0.875,10.037261998326294,107.09552000000005,5.213787367915736,1.0024616718292236,0.1950287482036742,25.059086577684575
4,1,52.78903184525542,27.32884658064516,6.716423264870352,0.0,0.0,2,0.08,24.414364596287555,112.0,0.0,4,8.0,18.0,1.0,31.0,0,3.0,5.316638004227255,2.0,0.0,0.875,21.36256902175161,106.80687900000002,5.213787367915736,0.9392417073249817,0.17983404872879752,19.928363349661954
4,1,63.0,27.32884658064516,2.1775221821570394,0.0,0.0,0,0.08,21.0,118.0,75.0,4,3.0,18.0,1.0,22.0,0,2.0,6.345236019794452,2.0,0.3168202335732613,0.875,35.0,107.32965800000004,5.213787367915736,1.0024616718292236,0.20989230795337,1000000.0
4,1,61.77578162507734,27.32884658064516,9.48628107751771,0.0,0.0,0,0.08,12.07065597955759,17.0,16.0,4,2.0,22.0,1.0,30.0,0,0.0,5.0,2.0,0.9410324935220022,0.875,10.561823982112891,107.83713000000003,1.3127095953446961,1.0024616718292236,0.16960504406029764,28.580774151978083
4,1,61.97782472174823,27.328846580645166,2.8542786308723755,0.0,0.0,0,0.08,11.552865023942445,14.0,14.0,4,3.0,14.0,1.0,16.0,0,4.0,6.137333743555137,0.0,0.33140094147996435,0.875,10.10875689594964,107.54099700000005,6.240760374770738,0.8753015398979187,0.18907261958148136,27.57120546323346
4,1,55.0,27.32884658064516,5.897504110159908,0.0,0.0,2,0.08,25.0,103.0,0.0,4,2.0,10.0,0.0,18.0,0,4.0,7.139277353318562,2.0,0.0,0.875,35.0,105.67583200000003,5.213787367915736,0.7527443766593933,0.15845500204683766,1000000.0
4,1,59.812862284033685,27.32884658064516,9.587593926201865,0.0,0.0,0,0.08,16.218310809074737,126.0,79.0,4,0.0,38.0,1.0,16.0,0,4.0,6.0,2.0,0.2663723468428483,0.875,14.191021957940395,108.559415,4.136899751878351,0.8532512784004211,0.1515873150501626,26.289446294258756
