Material_Main,V1_Ventilation Type,Material_3,Turning times,Additive_3,V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Compost volume (m3),M1_is Enclosed,Material_2,Period (d),Additive_1,Initial pH,Application Rate (%DW),Initial GI (%),Additive_4, Composting Method,Initial C/N (%),V4_Ventilation Day,Additive_2,V2_Ventilation Interval (min),Initial Moisture Content (%),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
3,1,2.0,13.0,4,4.644821553089093,0.019480864013510235,0.0551315789473684,1.0,5.0,120.0,28.0,5.018641668423472,8.582414611630195,27.32884658064516,1,1.0,22.0,77.0,5.0,623.0,57.0,1.938857678018576,42.654868916408674,107.90917800000005,10.266700743212013,0.9062936902046204,0.1018820575767673,1000000.0
3,1,0.0,14.0,4,42.368611817845704,1.4520319627418998,0.0551315789473684,1.0,12.0,100.0,6.0,6.0,6.146663219592461,27.32884658064516,1,2.0,34.03084954900727,62.0,1.0,426.0,52.0,1.938857678018576,65.98097393758775,108.036621,9.92458413803712,1.0197683572769165,0.14638538708999702,26.484777911995117
3,1,4.0,17.0,4,27.75036552349498,1.8889329895295122,0.0551315789473684,0.0,3.0,126.0,6.0,6.979230607812404,6.072092978424504,27.32884658064516,1,2.0,12.0,51.0,0.0,915.0,50.044522707246,1.938857678018576,23.266292136222912,106.141482,7.226781615592358,1.007879376411438,0.13938828094484934,1000000.0
3,1,0.0,1.0,4,31.226097121623894,0.3322697141950124,0.0551315789473684,1.0,4.0,99.0,30.0,5.22894319764576,2.178721059092209,27.32884658064516,1,0.0,32.79603057810941,70.0,3.0,73.0,52.847833431848585,1.938857678018576,63.58683569489943,107.20137500000003,9.4628965497169,0.9102922081947327,0.1459700306809954,22.137745412056304
3,1,5.0,1.0,4,43.08902887512194,0.3205316950248325,0.0551315789473684,0.0,12.0,122.0,38.0,7.0,6.8182512674917435,27.32884658064516,1,2.0,15.864142943141449,56.0,10.0,599.0,55.0,1.938857678018576,30.75831535049401,106.208551,9.606951554201975,0.7062556147575378,0.12138990544917946,25.21406656930017
3,1,4.0,10.0,4,5.982472651232607,1.6833557652981366,0.0551315789473684,1.0,14.0,78.0,35.0,7.217840422630813,6.820279857834303,27.32884658064516,1,0.0,26.51207492605044,76.0,1.0,553.0,59.825465571791696,1.938857678018576,51.403140030576665,106.36811,10.423583533135675,0.4447532594203949,0.1279205072531171,26.940276080595748
3,1,0.0,6.0,4,28.625485456417834,1.0343826449629323,0.0551315789473684,0.0,14.0,92.0,23.0,7.0,8.128210073955616,27.32884658064516,1,2.0,26.833852482240804,68.0,7.0,260.0,64.87669607921825,1.938857678018576,52.02702091601041,108.28776200000001,10.243047541099797,0.6888999342918396,0.14844666332257037,25.613908600952556
3,1,9.0,1.0,4,9.726318119262567,0.2533192112352376,0.0551315789473684,1.0,3.0,82.0,36.0,7.492066634991797,8.545422246489988,27.32884658064516,1,1.0,25.415033558223282,82.0,2.0,130.0,51.0,1.938857678018576,49.27613295146098,108.27331000000004,6.6720174303724535,1.001878261566162,0.15116352093897917,21.551633759502295
3,1,5.0,24.0,4,1.2739170732873495,0.29318009512839904,0.0551315789473684,0.0,6.0,96.0,21.0,8.0,5.349269362444096,27.32884658064516,1,2.0,29.433906977284103,74.0,1.0,428.0,51.130968531603656,1.938857678018576,57.06815653699182,108.27144000000004,10.074148169484463,0.9983208775520325,0.14006529948636515,26.237513908815856
3,1,4.0,14.0,4,27.028223407092828,1.786068016229822,0.0551315789473684,0.0,14.0,97.0,37.0,6.0,9.824998388057075,27.32884658064516,1,1.0,30.650966816635073,78.0,5.0,799.0,59.34650983556149,1.938857678018576,59.427862351125505,107.45307600000002,9.435023053966894,0.6832023859024048,0.12786556753659062,26.191975951753438
3,1,3.0,31.0,4,29.93819187378986,0.9869216206914635,0.0551315789473684,1.0,5.0,129.0,6.0,5.0,3.4818653419399794,27.32884658064516,1,2.0,25.0,66.0,7.0,900.0,59.20108013763996,1.938857678018576,48.4714419504644,108.56507500000004,10.120165840384418,0.9062936902046204,0.1399158630820638,1000000.0
3,1,2.0,14.0,4,59.54865794957836,0.18476175057149757,0.0551315789473684,1.0,5.0,124.0,35.0,6.0,4.632143283377292,27.32884658064516,1,0.0,27.978916755853493,83.0,6.0,252.0,58.0,1.938857678018576,54.24713757472913,106.57679500000002,10.586191513965831,0.8904890418052673,0.12718188634967958,23.999310278616093
3,1,0.0,19.0,4,0.7649640078575626,0.061713625199794064,0.0551315789473684,0.0,4.0,94.0,15.0,5.552324082980285,9.363172844697257,27.32884658064516,1,2.0,39.0,73.0,5.0,491.0,61.71217569120466,1.938857678018576,75.61544944272447,108.45596800000003,8.767371362647825,0.9113486409187317,0.12865419950507942,1000000.0
3,1,9.0,8.0,4,31.367448133639225,1.9228008320953087,0.0551315789473684,0.0,6.0,78.0,37.0,7.0,2.761928007649093,27.32884658064516,1,2.0,20.248352627850522,62.0,7.0,1306.0,58.0,1.938857678018576,39.258673959735596,108.67240500000001,9.499343025127839,0.6950258612632751,0.15264624924909123,1000000.0
3,1,0.0,28.0,4,24.41001316162936,0.2664679897271949,0.0551315789473684,1.0,0.0,114.0,8.0,7.330039594267003,5.98895176488296,27.32884658064516,1,1.0,23.207002130672493,61.0,1.0,446.0,60.0,1.938857678018576,44.995074264847815,107.80964800000004,7.129487922914275,0.9403872489929199,0.1483684457642866,24.35928864999754
3,1,5.0,0.0,4,31.824278717098306,1.301781144431087,0.0551315789473684,0.0,4.0,130.0,16.0,6.0,8.769347910193774,27.32884658064516,1,1.0,36.6686523492651,79.0,7.0,995.0,59.0,1.938857678018576,71.09529814996654,108.98744400000004,8.266205347619135,0.8869574666023254,0.1502662726810676,21.22201065251894
3,1,9.0,6.0,4,22.192643284843882,1.1443530090195386,0.0551315789473684,0.0,4.0,73.0,17.0,7.0,8.583077373210209,27.32884658064516,1,2.0,10.905434371502345,68.0,3.0,671.0,53.0,1.938857678018576,21.144085163315005,108.35992100000003,8.69273655509083,0.9111425280570984,0.14555690792511872,26.019571202580877
3,1,9.0,6.0,4,1.7750950018204215,1.1202541895445939,0.0551315789473684,0.0,13.0,31.0,31.0,6.0,8.313000930967863,27.32884658064516,1,2.0,28.801876335476305,19.0,6.0,864.0,68.12880821121077,1.938857678018576,55.84273907437976,105.793698,9.676546599149798,0.7091584801673889,0.1838478481374596,24.98017792487318
3,1,0.0,18.0,4,44.83914688231631,1.1578773895963987,0.0551315789473684,1.0,0.0,119.0,36.0,6.0,6.1206013770336725,27.32884658064516,1,2.0,13.005091465279857,79.0,2.0,635.0,50.1502518212831,1.938857678018576,25.215021440791705,107.81397100000004,6.918580738164531,0.9166690111160278,0.1242836207004044,26.526681906576496
3,1,3.0,30.0,4,28.289250500110295,0.39000932592801196,0.0551315789473684,0.0,5.0,29.0,23.0,6.0,3.4479496745695473,27.32884658064516,1,2.0,13.0,9.0,7.0,77.0,70.0,1.938857678018576,25.205149814241487,105.69229200000001,10.438629243447094,0.8289483785629272,0.12878313050680673,1000000.0
3,1,0.0,19.0,4,47.54757446127875,1.0462832259025752,0.0551315789473684,0.0,2.0,120.0,4.0,7.0,4.643345270037875,27.32884658064516,1,2.0,27.0,73.0,6.0,1232.0,51.0,1.938857678018576,52.34915730650155,107.86397100000003,7.301416423149356,0.896562397480011,0.15215832955652167,1000000.0
3,1,2.0,0.0,4,43.832233041058885,1.2197721570405986,0.0551315789473684,1.0,14.0,84.0,38.0,7.0,2.5690729212173933,27.32884658064516,1,1.0,34.96225039291669,82.0,7.0,869.0,59.13673142756651,1.938857678018576,67.78682761511449,108.73820200000002,9.18042034673028,0.650346040725708,0.14017548992607864,24.137363669668076
