 Composting Method,Compost volume (m3),V3_Ventilation Duration (min),Turning times,Additive_2,Material_3,Additive_4,V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),V1_Ventilation Type,Material_Main,Initial GI (%),Initial Moisture Content (%),Initial pH,Additive_1,Additive_3,Initial C/N (%),M1_is Enclosed,Material_2,Period (d),V4_Ventilation Day,V2_Ventilation Interval (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,0.045,54.210926933661185,15.0,11.0,4.0,1,1.340182727289801,3.7709952604950834,1,9,27.32884658064516,59.237362988405195,8.0,27.0,4,17.0,1.0,0.0,78.0,33.0,41.0,1.97,33.49,108.14275599999998,6.83314296403823,0.43312978744506836,0.1700987828778408,1000000.0
1.0,0.045,0.0,21.0,13.0,0.0,1,1.1430533173478543,8.70172765057804,0,9,27.32884658064516,55.363203526895425,6.0,33.0,4,34.0,1.0,14.0,88.0,59.0,0.0,1.97,66.98,106.74857,10.756592452945808,0.20705130696296692,0.1974290211331202,1000000.0
0.0,0.045,0.0,8.0,9.0,3.0,1,1.9306066843897365,4.967119551501898,0,9,27.32884658064516,52.049877107579135,5.0,21.0,4,37.15781148760039,1.0,2.0,63.0,31.0,0.0,1.97,73.20088863057276,107.23599899999995,9.492176993326995,0.4436565339565277,0.26826298411501637,25.23195231933045
1.0,0.045,40.77498184874994,0.0,3.0,9.0,1,1.2669453995470115,3.33008654021119,1,9,27.32884658064516,58.0,6.226676730337354,38.0,4,13.0,1.0,13.0,122.0,63.0,11.0,1.97,25.61,107.435706,10.216357849795585,0.11663977056741714,0.17098406530024784,1000000.0
1.0,0.045,0.0,17.0,5.0,3.0,1,1.6365561351609224,6.40576037332003,0,9,27.32884658064516,68.76382082783243,6.0,38.0,4,36.78755472918212,1.0,2.0,97.0,68.0,0.0,1.97,72.47148281648877,109.138164,10.767950114737706,0.2996608316898346,0.1904085956095452,25.85003020937969
0.0,0.045,0.0,6.0,15.0,2.0,1,1.6468142282769822,3.152319755915836,0,9,27.32884658064516,54.66496562512009,7.0,34.0,4,28.56151603630347,1.0,5.0,92.0,54.0,0.0,1.97,56.26618659151784,107.86998399999999,11.07274765803059,0.3610135018825531,0.22302986484998383,22.45221240101628
0.0,0.045,0.0,29.0,1.0,4.0,1,1.521771223883375,2.86594638304073,0,9,27.32884658064516,52.0,5.0,35.0,4,29.0,1.0,12.0,128.0,83.0,0.0,1.97,57.13,107.35705499999999,12.026304012572853,0.37763431668281555,0.22439884620177877,1000000.0
1.0,0.045,50.75426163340477,0.0,6.0,4.0,1,0.5196004417760045,2.383224826752903,1,9,27.328846580645163,64.98170767932963,6.0,36.0,4,28.0,1.0,0.0,62.0,50.0,487.0,1.97,19.7,107.218098,5.252176875546598,0.2277258336544037,0.16076931751947768,1000000.0
0.0,0.045,0.0,24.0,2.0,3.0,1,0.11821365127235639,4.659965120566239,0,9,27.32884658064516,54.0,7.0,15.0,4,26.78480826159781,1.0,2.0,63.0,43.0,0.0,1.97,52.76607227534768,107.08494999999995,9.492176993326995,0.5131891965866089,0.2490603167757095,23.114316589972297
1.0,0.045,32.197757347630144,16.0,3.0,0.0,1,0.3886934281115124,8.866389058431036,1,9,27.32884658064516,52.0,6.0,36.0,4,28.518659289645516,1.0,0.0,52.0,32.0,1357.0,1.97,56.18175880060166,106.87361100000003,4.845099749303073,0.20863847434520721,0.1490033405614627,24.110321150291142
