Material_2, Composting Method,M1_is Enclosed,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),N2O-N loss (%)
15,0,1.0,6,50.0,50.0,1,20.0,60.0,7.0,12.0,0.29,66.08,2,0.25,7,21.21,0.47
18,0,1.0,7,30.0,30.0,0,0.0,0.0,6.0,5.0,0.12,60.76,0,2.57,7,27.17,2.08
18,0,1.0,7,30.0,30.0,0,0.0,0.0,6.0,10.0,0.12,61.18,0,2.57,7,14.51,1.98
18,0,1.0,7,30.0,30.0,0,0.0,0.0,6.0,20.0,0.12,58.78,0,2.57,7,16.71,1.98
18,0,1.0,7,30.0,30.0,0,0.0,0.0,6.0,1.0,0.12,61.74,5,2.57,7,26.22,2.13
19,0,1.0,7,28.0,28.0,0,0.0,0.0,4.0,0.0,0.06,62.06,15,0.36,7,17.91,0.0
19,0,1.0,7,28.0,28.0,0,0.0,0.0,4.0,10.0,0.06,58.69,20,0.36,7,18.23,0.01
12,2,0.0,7,26.0,0.0,2,0.0,0.0,7.0,0.0,1.2,65.0,15,0.0,7,22.46,1.37
12,2,0.0,7,26.0,0.0,2,0.0,0.0,7.0,15.68,1.2,65.0,2,0.0,7,24.97,0.71
12,2,0.0,7,26.0,0.0,2,0.0,0.0,7.0,31.36,1.2,65.0,2,0.0,7,26.48,0.35
12,2,0.75,7,42.74,22.55,2,2.36,13.4,5.45,5.24,1.45,64.48,2,0.49,7,20.51,0.38
1,0,1.0,7,35.0,35.0,1,30.0,30.0,2.0,0.0,0.06,67.6,15,0.38,7,17.43,0.57
1,0,1.0,7,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,65.79,16,0.38,7,14.84,0.79
1,0,1.0,7,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,67.3,4,0.38,7,16.2,0.41
1,0,1.0,7,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,66.1,16,0.38,1,13.98,0.68
1,0,1.0,7,28.0,28.0,0,0.0,0.0,5.0,0.0,0.06,57.54,15,0.48,7,19.25,0.34
1,0,1.0,7,28.0,28.0,0,0.0,0.0,5.0,2.45,0.06,59.41,10,0.48,7,18.57,0.38
1,0,1.0,7,28.0,28.0,0,0.0,0.0,5.0,2.45,0.06,59.41,9,0.48,7,18.57,0.47
1,0,1.0,7,28.0,28.0,0,0.0,0.0,5.0,4.35,0.06,60.3,12,0.48,7,18.97,0.39
1,0,1.0,6,34.0,34.0,0,0.0,0.0,6.0,0.0,0.06,65.0,15,0.27,7,11.37,0.88
1,0,1.0,6,34.0,34.0,0,0.0,0.0,6.0,10.0,0.06,65.0,20,0.26,7,11.37,0.6
1,0,1.0,6,34.0,34.0,0,0.0,0.0,6.0,10.29,0.06,65.0,20,0.26,2,11.37,0.25
1,0,1.0,6,34.0,34.0,0,0.0,0.0,6.0,14.57,0.06,65.0,20,0.26,2,11.37,0.13
1,0,1.0,7,35.0,0.0,0,0.0,0.0,6.0,0.0,0.06,69.2,15,0.25,7,18.43,1.5
1,0,1.0,7,35.0,0.0,0,0.0,0.0,6.0,16.22,0.06,61.69,10,0.25,5,18.43,1.4
1,0,1.0,7,35.0,0.0,0,0.0,0.0,6.0,4.0,0.06,68.85,20,0.25,7,18.43,1.4
1,0,1.0,7,35.0,0.0,0,0.0,0.0,6.0,16.22,0.06,61.69,10,0.25,7,18.43,2.0
18,0,1.0,5,50.0,34.9,0,2.05,50.0,9.0,0.0,0.1,60.0,15,1.37,7,31.01,2.05
18,0,1.0,5,50.0,29.8,0,2.02,49.0,9.0,2.0,0.1,60.0,6,1.42,7,30.06,2.01
18,0,1.0,5,50.0,31.3,0,2.02,49.0,9.0,4.0,0.1,60.0,6,1.4,7,30.33,1.53
18,0,1.0,5,50.0,30.6,0,2.0,48.0,9.0,6.0,0.1,60.0,6,1.35,7,30.55,1.42
18,0,1.0,5,50.0,35.7,0,2.02,49.0,9.0,8.0,0.1,60.0,6,1.34,7,31.04,1.24
18,0,1.0,5,50.0,34.2,0,1.02,25.0,9.0,10.0,0.1,60.0,6,1.29,7,30.79,0.75
18,0,1.0,7,50.0,50.0,0,0.0,0.0,9.0,0.0,0.1,55.0,15,0.3,7,25.0,0.78
18,0,1.0,7,50.0,50.0,0,0.0,0.0,9.0,10.0,0.1,60.23,2,0.3,7,25.94,0.3
18,0,1.0,7,50.0,50.0,0,0.0,0.0,9.0,20.0,0.1,59.72,2,0.3,9,17.95,0.2
18,0,1.0,7,50.0,50.0,0,0.0,0.0,9.0,20.5,0.1,59.72,2,0.3,9,17.95,0.19
18,0,1.0,7,50.0,50.0,0,0.0,0.0,9.0,21.0,0.1,59.72,2,0.3,9,17.95,0.17
18,0,1.0,7,50.0,50.0,0,0.0,0.0,9.0,22.0,0.1,59.97,2,0.3,9,18.43,0.17
7,0,0.0,7,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,81.0,15,0.0,7,12.2,0.55
10,0,0.0,7,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,75.8,15,0.0,7,15.3,0.57
