V4_Ventilation Day,V1_Ventilation Type,Additive_3,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Initial C/N (%), Composting Method,Additive_1,Application Rate (%DW),Turning times,Additive_4,Compost volume (m3),Initial GI (%),V5_Ventilation rate (L/min/kg iniDW),Material_Main,Initial Moisture Content (%),M1_is Enclosed,Material_2,Initial pH,Period (d),Additive_2,Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
83.52147731171641,1.0,3.0,45.310642489235946,1146.0,9.909341031207997,0.0,4.0,6.591759209588317,19.0,1.0,8.910153060092512,80.69999999999997,0.44027861355043996,6,84.03641249198456,0.0,4.0,5.282148628831671,29.000000000000007,5.0,3.0,6.208747609812439,58.46005944852439,94.054378,9.586518335344934,0.813025176525116,0.1697804355598026,23.162145926379434
70.0,0.0,6.0,33.791122494675946,374.0,38.763233278906775,1.0,2.0,8.95412136059829,12.0,1.0,11.786478711446012,0.0,0.23057683896999692,6,69.36465911584197,0.0,5.0,11.828007104355287,25.0,15.0,0.0,6.547747935478053,45.63870529386685,94.20152299999997,8.217124092480248,0.6895968914031982,0.17655914343173873,22.437574957649865
64.0,2.0,1.0,3.8115701734854657,315.88818392881035,40.33339365188303,1.0,23.0,13.896252827552846,20.0,1.0,5.248953448728045,0.0,0.32366501133926584,6,72.02006013760722,0.0,3.0,11.239966977402247,60.88296627902676,6.0,4.0,8.1602928084216,61.00549409448433,93.215069,17.33895339296523,0.6576048731803894,0.16615249440297608,23.376047515860744
15.0,2.0,6.0,38.59809186446773,550.0690349176189,29.315404616827006,1.0,20.0,20.91758510121172,1.0,1.0,24.58700585494256,0.05137898445983802,0.022400608114934224,6,54.52921990777692,1.0,5.0,7.181884019843311,52.14704826984462,5.0,9.0,1.1333385001794691,46.07759310371656,94.43600000000002,7.6679717118914805,0.47683489322662354,0.1621712447029919,17.546136740448823
62.0,0.0,6.0,46.71903291697233,324.1460709460799,38.77194708074396,0.0,4.0,22.006408896483332,29.0,1.0,6.801358083869334,80.7,0.26191856860556806,6,54.2398401631224,0.0,2.0,6.605603183515113,77.0,1.0,2.0,2.872035195128775,28.91023471588983,92.644627,13.306570892934404,0.8136311769485474,0.16775848465489682,23.943617320825233
75.0,0.0,1.0,23.069665431704717,318.0,35.35376872157501,1.0,2.0,17.322927071238382,1.0,1.0,19.99583003840623,80.7,0.2023941716670053,6,79.63425393162585,1.0,4.0,7.527052922723198,108.32282125016097,6.0,9.0,7.147291546218266,61.78433345390396,93.41244400000001,8.276267976800012,0.21800528466701508,0.1572422986423198,21.70186394117102
10.0,1.0,4.0,17.827430519351417,47.0,29.91307986371603,2.0,22.0,32.74744965559705,5.0,1.0,6.714431883864037,0.018884358627514128,0.24703746812650082,6,59.543471872312814,1.0,3.0,7.003063497067364,112.0,7.0,3.0,6.475433551946454,40.06663824462855,94.46384599999999,16.579674167105065,1.024307370185852,0.1642042294885804,19.599325256227754
36.0,2.0,5.0,19.62586421440841,879.0981545811826,23.09317064268116,1.0,21.0,0.8598366580393233,9.0,1.0,24.967894728944486,0.0,0.44123766723216495,6,83.21138170863361,1.0,4.0,10.888719070182002,52.0,0.0,5.0,7.261064388983083,55.04731674217928,93.01251300000001,9.483862383835978,0.9481278657913208,0.18591202972522408,23.9621266795977
57.99999999999999,1.0,4.0,56.256149280451474,666.0,22.115928934321857,0.0,4.0,24.919135964794055,27.0,1.0,0.6510572305260931,0.4951730602388627,0.07809612817589295,6,55.947119812087955,0.0,8.0,11.633087892697606,130.0,10.0,9.0,4.15504447724819,39.36524136863354,94.39628099999999,17.06122423499468,0.8950554132461548,0.16131674116208952,21.741683275982496
0.0,2.0,5.0,34.55975944546668,762.7980451284573,14.330377063610525,0.0,2.0,27.238751176071382,14.0,1.0,17.721597206254934,0.0,6.788859271877248,6,82.15066867727036,0.0,12.0,10.699541343393621,45.0,12.0,5.0,2.257541280161332,54.5341301773051,91.78344500000001,8.978502945243799,0.5625573396682739,0.16804531047521154,22.845166019427598
