V4_Ventilation Day,V1_Ventilation Type,Additive_3,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Initial C/N (%), Composting Method,Additive_1,Application Rate (%DW),Turning times,Additive_4,Compost volume (m3),Initial GI (%),V5_Ventilation rate (L/min/kg iniDW),Material_Main,Initial Moisture Content (%),M1_is Enclosed,Material_2,Initial pH,Period (d),Additive_2,Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
83.0,2.0,6.0,7.927679944100284,580.0,16.845107548782845,2.0,6.0,27.420049466462924,20.0,1.0,6.355759808720458,0.0,0.201443745875588,1,56.78435100891512,1.0,14.0,10.544649329180992,70.0,15.0,4.0,4.14996928526341,37.15584250440314,93.67484900000001,15.852365213356617,0.8588558435440063,0.12237690664681924,24.45314376562563
9.0,2.0,1.0,17.4618669154965,236.99999999999997,7.972492052460629,1.0,20.0,31.698698459276947,18.0,1.0,12.323075023031741,0.0,0.29079013810664134,1,45.40301253797939,1.0,4.0,11.38688157738548,46.0,0.0,9.0,4.619004452180537,36.817311765727894,94.11620800000003,8.649045181219144,0.7750847935676575,0.14467585037373368,23.811488075095806
39.0,1.0,6.0,20.368495533575683,691.0,30.286334436468366,1.0,36.0,37.60475835393361,2.0,1.0,2.5603942407474722,0.0,0.3002424908836543,1,51.424582499579564,1.0,5.0,7.806142996022798,91.0,1.0,9.0,4.830088765020614,58.69748425998584,94.27415,8.374940725920183,1.0066860914230347,0.14889127846076095,20.331412703323817
63.43061513139496,2.0,4.0,19.995911266181675,17.88216762373542,41.607919594175286,2.0,8.0,2.185249827891159,0.3142890296561684,1.0,22.88582588387805,80.60580348360098,0.14617104382620433,1,83.47988966083406,1.0,5.0,4.946465964574361,81.14062952671836,2.0,4.0,2.261863700039136,57.14600759484165,93.56187700000004,9.144559665999648,0.4205856919288635,0.10323345801441153,22.774046113107705
23.163880153765717,2.0,1.0,6.7329530716007575,1144.0,17.872206487453468,0.0,10.0,6.938798994478861,5.0,1.0,13.485809897245222,80.7,0.336357490538961,1,82.15616854324821,1.0,4.0,10.153871850290395,114.9167788894967,2.0,0.0,2.2045770959983644,55.33246337037218,92.33660000000002,14.245965446048622,1.0872833728790283,0.1446246793089505,18.133152402981302
8.621106733247704,1.0,4.0,32.25760827805432,738.0,19.438798770096795,1.0,7.0,11.822475079714154,7.129765742700679,1.0,17.9563929663586,0.0,0.1730016694719716,1,44.35745871613918,0.0,0.0,11.716052054787305,34.25720654338709,5.0,2.0,3.374221788631911,28.903446271856794,92.288042,9.60535961925203,0.8847411870956421,0.1367944276552141,23.168149379794336
7.365653197859564,0.0,1.0,32.412609184688165,466.0060238354343,25.744012661198752,2.0,2.0,1.6914012739235034,24.000000000000007,1.0,11.510212011461919,80.69999999999999,1.1205851318139974,1,48.84344194799826,1.0,3.0,8.352001959874514,44.0,12.0,4.0,6.244820899578682,27.070192759484904,92.05502700000001,5.379564481939582,0.6166704893112183,0.18065938839854323,23.648920725363055
16.0,2.0,6.0,52.2529724031021,928.0,11.750386475631444,0.0,38.0,4.577942160001048,6.959239586399649,1.0,4.370124807047831,80.69999999999999,0.39901175467003447,1,57.65538977489001,1.0,8.0,11.706244065368868,28.999257185297886,9.0,4.0,0.7774554194923371,41.062396445694546,92.39891100000001,12.187896624149259,0.8719779253005981,0.14457677251919926,25.34853491258727
51.0,1.0,4.0,48.66775543074067,889.0,9.51445069350278,2.0,34.0,34.84819623243654,1.0,1.0,21.27034630241133,80.7,0.1559666617388511,1,81.56735047451804,0.0,5.0,5.086760429377723,96.0,0.0,0.0,5.162590520134598,30.58073471272234,92.86631400000005,11.262980044833558,0.3923371136188507,0.12303240770171732,21.526219401228445
70.0,0.0,6.0,42.258124947613354,1265.999988678588,34.15593708420728,0.0,23.0,13.369681503732412,1.663510377568593,1.0,0.6895844774561048,0.0286212715893233,0.4733822761183921,1,74.44323814864799,0.0,2.0,6.895563761462943,107.0,2.0,5.0,2.132120523780209,54.14067267392718,94.607927,5.89881720643865,0.4634511470794678,0.16405891154933597,19.473070317330553
