Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),N2O-N loss (%)
8,0,1,28.0,0,28.0,0.0,5,0.0,5,0.06,0.48,57.54093,0.34
8,0,1,28.0,0,28.0,0.0,5,2.44988,5,0.06,0.48,61.3055,0.38
8,0,1,28.0,0,28.0,0.0,5,2.45195,5,0.06,0.48,61.3055,0.47
8,0,1,28.0,0,28.0,0.0,5,4.35435,5,0.06,0.48,62.6171,0.39
7,0,1,34.0,0,34.0,0.0,6,0.0,5,0.06,0.27211,65.0,0.88
7,0,1,34.0,0,34.0,0.0,6,10.0,5,0.06,0.26291,65.0,0.6
7,0,1,34.0,0,34.0,0.0,6,10.28571,5,0.06,0.26265,65.0,0.25
7,0,1,34.0,0,34.0,0.0,6,14.57143,5,0.06,0.2589,65.0,0.13
8,0,1,35.0,0,0.0,0.0,6,0.0,5,0.06,0.25,69.2,1.5
8,0,1,35.0,0,0.0,0.0,6,10.9,5,0.06,0.25,62.673,1.4
8,0,1,35.0,0,0.0,0.0,6,4.0,5,0.06,0.25,62.91953,1.4
8,0,1,35.0,0,0.0,0.0,6,10.9,5,0.06,0.25,62.673,2.0
6,0,1,43.4613,0,23.19054,3.90898,8,4.45139,5,1.00714,0.74405,63.94368,2.05
6,0,1,50.0,0,50.3,6.525,8,2.0,5,0.1,3.31758,60.0,2.01
6,0,1,50.0,0,45.5,9.025,8,4.0,5,0.1,3.75117,60.0,1.53
6,0,1,50.0,0,35.3,6.525,8,6.0,5,0.1,3.75058,60.0,1.42
6,0,1,50.0,0,50.3,3.525,8,8.0,5,0.1,1.99558,60.0,1.24
6,0,1,50.0,0,50.3,3.525,8,10.0,5,0.1,1.40558,60.0,0.75
8,0,1,50.0,0,50.0,0.0,8,0.0,5,0.1,0.3,55.0,0.78311
8,0,1,50.0,0,50.0,0.0,8,10.0,5,0.1,0.3,62.41946,0.29833
8,0,1,50.0,0,50.0,0.0,8,20.0,5,0.1,0.3,59.73189,0.19711
8,0,1,50.0,0,50.0,0.0,8,20.5,5,0.1,0.3,59.73189,0.18645
8,0,1,50.0,0,50.0,0.0,8,21.0,5,0.1,0.3,59.73189,0.17047
8,0,1,50.0,0,50.0,0.0,8,22.0,5,0.1,0.3,59.73189,0.17047
8,0,0,84.0,0,0.0,0.0,0,0.0,5,0.12,0.0,81.0,0.55
8,0,0,84.0,0,0.0,0.0,0,0.0,5,0.12,0.0,75.8,0.57
1,0,0,84.0,0,0.0,0.0,0,0.0,5,0.12,0.0,77.3,0.06
1,0,0,84.0,0,0.0,0.0,0,0.0,5,0.12,0.0,77.0,0.03
1,0,0,84.0,0,0.0,0.0,0,0.0,0,0.12,0.0,80.0,0.01
1,0,0,84.0,0,0.0,0.0,0,22.28321,5,0.12,0.0,84.1,0.12
1,0,0,84.0,0,0.0,0.0,0,9.53373,5,0.12,0.0,80.7,0.02
1,0,0,84.0,0,0.0,0.0,0,15.84383,5,0.12,0.0,81.5,0.07
1,0,1,28.0,0,28.0,0.0,0,0.0,5,0.01,0.28,69.0,0.01619
1,0,1,28.0,0,28.0,0.0,0,0.0,3,0.01,0.28,63.0,0.01181
1,0,1,28.0,0,28.0,0.0,0,0.0,3,0.01,0.28,66.0,0.01812
1,0,1,28.0,0,28.0,0.0,0,0.0,4,0.01,0.28,65.0,0.02763
1,0,1,28.0,0,28.0,0.0,0,0.0,4,0.01,0.28,67.0,0.04223
