Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TN loss (%)
10,0,1,39.0,0,39.0,0.0,5,0.0,11,0.06,0.499,69.75,7.59
10,0,1,35.0,0,35.0,0.0,4,0.0,11,0.06,0.38,70.4,33.01
10,0,1,35.0,0,35.0,0.0,4,4.56,11,0.06,0.38,65.46,31.48
10,0,1,35.0,0,35.0,0.0,4,6.48,11,0.06,0.38,65.69,28.63
10,1,0,43.4613,0,23.19054,3.90898,5,4.45139,7,1.00714,0.74405,63.94368,36.8
10,1,0,43.4613,0,23.19054,3.90898,5,4.45139,7,1.00714,0.74405,63.94368,26.4
10,1,0,56.0,0,21.0,0.0,5,16.52893,7,0.4,0.333,63.7,16.5
10,1,0,56.0,0,21.0,0.0,5,23.93612,7,0.4,0.333,62.4,12.7
10,0,1,43.4613,0,23.19054,3.90898,6,4.45139,7,1.00714,0.74405,63.94368,27.8
10,0,1,43.4613,0,23.19054,3.90898,6,4.45139,7,1.00714,0.74405,63.94368,13.3
10,0,1,51.0,2,51.0,0.25,1,17.3,7,0.0318,0.3,60.6289,11.069
10,0,1,51.0,2,51.0,0.25,1,10.25,7,0.0318,2.21762,64.9057,6.384
10,0,1,51.0,2,51.0,0.25,1,0.0,7,0.0318,2.69317,61.8868,14.682
7,0,1,43.4613,0,23.19054,3.90898,14,4.45139,11,1.00714,0.74405,63.94368,16.0
7,0,1,43.4613,0,23.19054,3.90898,14,4.45139,11,1.00714,0.74405,63.94368,53.0
7,0,1,43.4613,0,23.19054,3.90898,14,4.45139,11,1.00714,0.74405,63.94368,26.0
7,0,1,43.4613,0,23.19054,3.90898,14,4.45139,11,1.00714,0.74405,63.94368,42.0
0,2,0,43.4613,0,23.19054,3.90898,5,4.45139,11,1.00714,0.74405,63.94368,22.39929
0,2,0,43.4613,0,23.19054,3.90898,5,4.45139,11,1.00714,0.74405,63.94368,20.7
0,2,0,43.4613,0,23.19054,3.90898,5,4.45139,11,1.00714,0.74405,63.94368,17.09545
0,2,0,43.4613,0,23.19054,3.90898,5,4.45139,11,1.00714,0.74405,63.94368,24.38837
0,2,0,43.4613,0,23.19054,3.90898,5,4.45139,11,1.00714,0.74405,63.94368,12.70853
0,2,0,43.4613,0,23.19054,3.90898,5,4.45139,11,1.00714,0.74405,63.94368,15.03571
0,2,0,43.4613,0,23.19054,3.90898,5,4.45139,11,1.00714,0.74405,63.94368,21.34472
8,0,1,16.0,0,16.0,0.0,0,0.0,7,0.1,0.233,61.7,22.49666
8,0,1,14.0,0,14.0,0.0,0,10.0,7,0.1,0.233,64.2,10.31193
10,0,1,18.0,0,18.0,0.0,2,0.0,7,0.012,0.31,63.74,22.8
10,0,1,18.0,0,18.0,0.0,2,3.05,7,0.012,0.31,63.74,17.6
0,0,1,15.0,0,15.0,0.0,0,0.0,11,0.17,0.2885,70.5,24.57547
0,0,1,15.0,0,15.0,0.0,0,3.62976,11,0.17,0.29038,71.0,15.09375
0,0,1,15.0,0,15.0,0.0,0,7.30994,11,0.17,0.2924,71.5,15.4871
0,0,1,15.0,0,15.0,0.0,0,9.97672,11,0.17,0.26605,69.0,12.09124
0,0,1,15.0,0,15.0,0.0,0,0.0,11,0.17,0.26377,70.0,15.91628
0,0,1,15.0,0,15.0,0.0,0,13.09719,11,0.17,0.28166,71.8,16.07952
0,0,1,15.0,0,15.0,0.0,0,24.36647,11,0.17,0.26201,69.6,17.38228
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,11,1.00714,0.74405,63.94368,21.42857
0,0,1,15.0,0,6.0,0.0,0,0.0,11,0.17,0.28948,70.6,20.97044
0,0,1,15.0,0,6.0,0.0,0,3.10479,11,0.17,0.28882,70.8,15.50064
0,0,1,15.0,0,6.0,0.0,0,3.43688,11,0.17,0.28171,70.1,16.72387
0,0,1,15.0,0,6.0,0.0,0,3.68545,11,0.17,0.27867,69.8,15.46387
0,0,1,15.0,0,15.0,0.0,0,0.0,11,0.17,0.27765,71.5,20.20988
0,0,1,15.0,0,15.0,0.0,0,3.66885,11,0.17,0.28276,72.3,17.13333
0,0,1,15.0,0,15.0,0.0,0,7.0174,11,0.17,0.27016,71.3,14.74046
0,0,1,15.0,0,15.0,0.0,0,10.35227,11,0.17,0.26561,71.1,16.0
10,1,0,70.0,0,0.0,0.0,10,0.0,11,1.2,0.0,64.934,40.1
10,1,0,70.0,0,0.0,0.0,10,3.3,11,1.2,0.0,68.97,36.4
10,1,0,70.0,0,0.0,0.0,10,6.6,11,1.2,0.0,65.85171,34.3
10,1,0,70.0,0,0.0,0.0,10,9.9,11,1.2,0.0,62.58171,28.1
10,1,0,70.0,0,0.0,0.0,10,13.2,11,1.2,0.0,63.88171,21.7
10,1,0,70.0,0,0.0,0.0,10,16.5,11,1.2,0.0,65.42171,11.5
8,0,1,43.4613,0,23.19054,3.90898,0,4.45139,0,1.00714,0.74405,63.94368,40.7
8,0,1,43.4613,0,23.19054,3.90898,0,4.45139,0,1.00714,0.74405,63.94368,38.3
8,0,1,43.4613,0,23.19054,3.90898,0,4.45139,0,1.00714,0.74405,63.94368,32.2
8,0,1,43.4613,0,23.19054,3.90898,0,4.45139,0,1.00714,0.74405,63.94368,26.7
8,0,1,42.0,0,21.0,0.0,0,24.7,0,0.4,0.31827,59.331,20.4
8,0,1,42.0,0,21.0,0.0,0,31.8,0,0.4,0.2485,60.782,14.6
8,0,1,22.0,0,22.0,0.0,11,0.00258,7,0.0035,0.44633,57.9,3.76
8,0,1,22.0,0,22.0,0.0,11,0.00258,7,0.0035,0.44633,58.2,4.01
8,0,1,22.0,0,22.0,0.0,11,0.00258,7,0.0035,0.44633,59.4,24.8
8,0,1,22.0,0,22.0,0.0,11,0.00258,7,0.0035,0.38033,57.5,28.1
8,0,1,22.0,0,22.0,0.0,11,0.0,7,0.0035,0.36184,58.2,44.7
8,0,1,16.0,0,16.0,0.0,3,0.0,7,0.045,0.51546,70.9,24.4
8,0,1,16.0,0,16.0,0.0,3,14.0,7,0.045,0.53004,71.7,9.2
8,0,1,16.0,0,16.0,0.0,3,14.0,7,0.045,0.47319,68.3,8.5
3,0,1,19.0,0,19.0,0.0,9,0.0,4,0.019,10.0,70.0,49.1
3,0,1,19.0,0,19.0,0.0,9,3.0,4,0.019,10.0,70.0,40.5
3,0,1,19.0,0,19.0,0.0,9,6.9,4,0.0143,10.0,70.0,40.5
3,0,1,19.0,0,19.0,0.0,9,9.9,4,0.0143,10.0,70.0,18.9
10,0,1,35.0,8,35.0,10.0,6,2.38663,4,0.187,5.96659,58.1,33.01
10,0,1,35.0,8,35.0,10.0,6,14.31981,4,0.187,5.96659,58.1,28.94
10,0,1,35.0,8,35.0,10.0,6,26.25298,4,0.187,5.96659,58.1,21.28
10,0,1,43.4613,8,23.19054,3.90898,6,4.45139,4,1.00714,0.74405,63.94368,17.39
5,1,0,35.0,0,0.0,0.0,7,3.01629,11,1.0,0.0,66.8467,15.2
