Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),CH4-C loss (%)
2,0,1,28.0,5,28.0,30.0,4,0.0,0,0.06,0.85547,53.1,0.2
2,0,1,28.0,5,28.0,30.0,4,0.0,0,0.06,0.76023,47.5,0.12
7,2,1,56.0,0,56.0,0.0,0,0.32468,5,1.37,0.108,69.2,0.06
7,2,1,56.0,0,56.0,0.0,0,2.06897,4,1.37,0.108,71.0,0.05
7,2,1,56.0,0,56.0,0.0,0,0.0,5,1.37,0.108,70.3,0.02
7,2,1,56.0,0,56.0,0.0,0,2.83688,4,1.18,0.108,71.8,0.03
0,1,0,64.0,0,0.0,0.0,0,0.0,5,1.1,0.0,74.27405,0.197
0,1,1,64.0,0,0.0,0.0,0,0.0,5,1.1,0.0,74.27405,0.296
0,1,1,64.0,0,0.0,0.0,10,0.0,5,1.1,0.0,74.27405,0.428
0,1,1,43.4613,8,23.19054,3.90898,10,4.45139,5,1.00714,0.74405,63.94368,0.164
5,0,1,30.0,7,30.0,10.0,4,0.0,5,0.1,0.00833,60.0,0.049
5,0,1,30.0,7,30.0,10.0,4,10.0,5,0.1,0.00833,60.0,0.05
5,0,1,30.0,7,30.0,10.0,4,10.0,5,0.1,0.00833,60.0,0.028
0,0,1,20.0,0,20.0,0.0,0,0.0,5,0.06,0.21,60.22,0.15
0,0,1,20.0,2,20.0,10.0,0,0.0,5,0.06,0.42,60.22,0.13
0,0,1,20.0,3,20.0,5.0,0,0.0,5,0.06,0.84,60.22,0.21
0,0,1,21.0,0,21.0,0.0,0,0.0,5,0.06,0.21,55.0,0.00012
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,4e-05
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,4e-05
0,0,1,31.0,0,31.0,0.0,2,0.0,5,0.06,0.09384,65.4,0.05
0,0,1,31.0,0,31.0,0.0,2,0.0,5,0.06,0.15639,65.4,0.04
0,0,1,31.0,4,31.0,10.0,2,0.0,5,0.06,0.28151,65.4,0.05
7,0,1,21.0,0,21.0,0.0,1,0.0,5,1.2096,0.24,59.81,0.38
7,0,1,21.0,0,21.0,0.0,1,0.0,0,1.2096,0.24,60.21,0.43
5,0,1,15.0,0,15.0,0.0,11,0.0,4,0.018,0.9532,65.03,0.38776
5,0,1,15.0,0,15.0,0.0,11,29.0,4,0.018,0.90506,63.17,0.2855
5,0,1,15.0,0,15.0,0.0,11,29.0,4,0.018,0.88629,62.39,0.32892
5,0,1,15.0,0,15.0,0.0,11,29.0,4,0.018,0.89127,62.6,0.30074
5,0,1,15.0,0,15.0,0.0,11,29.0,4,0.018,0.8765,61.97,0.34662
5,0,1,15.0,0,15.0,0.0,11,29.0,4,0.018,0.91149,63.43,0.30362
4,0,0,45.0,0,0.0,0.0,7,0.0,5,0.06,0.0,66.014,0.22
