Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),CO2-C loss (%)
6,2,1,56.0,0,56.0,0.0,0,2.83688,4,1.18,0.108,71.8,42.5
0,1,0,64.0,0,0.0,0.0,0,0.0,5,1.1,0.0,74.27405,5.167
0,1,1,64.0,0,0.0,0.0,0,0.0,5,1.1,0.0,74.27405,9.629
0,1,1,64.0,0,0.0,0.0,8,0.0,5,1.1,0.0,74.27405,12.943
0,1,1,43.4613,5,23.19054,3.90898,8,4.45139,5,1.00714,0.74405,63.94368,13.648
4,0,1,30.0,4,30.0,10.0,3,0.0,5,0.1,0.00833,60.0,13.9
4,0,1,30.0,4,30.0,10.0,3,10.0,5,0.1,0.00833,60.0,13.9
4,0,1,30.0,4,30.0,10.0,3,10.0,5,0.1,0.00833,60.0,13.7
0,0,1,20.0,0,20.0,0.0,0,0.0,5,0.06,0.21,60.22,40.99
0,0,1,20.0,1,20.0,10.0,0,0.0,5,0.06,0.42,60.22,36.4
0,0,1,20.0,2,20.0,5.0,0,0.0,5,0.06,0.84,60.22,32.5
0,0,1,21.0,0,21.0,0.0,0,0.0,5,0.06,0.21,55.0,28.58548
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,18.60004
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,16.72771
0,0,1,31.0,0,31.0,0.0,2,0.0,5,0.06,0.09384,65.4,31.5
0,0,1,31.0,0,31.0,0.0,2,0.0,5,0.06,0.15639,65.4,46.1
0,0,1,31.0,3,31.0,10.0,2,0.0,5,0.06,0.28151,65.4,40.9
5,0,1,35.0,0,35.0,0.0,4,0.0,5,0.06,0.2,72.1,39.47
5,0,1,35.0,0,35.0,0.0,4,10.0,5,0.06,0.2,72.1,36.49
5,0,1,35.0,0,35.0,0.0,4,10.0,5,0.06,0.2,72.1,33.38
5,0,1,35.0,0,35.0,0.0,4,12.5,5,0.06,0.2,72.1,35.91
5,0,1,35.0,0,35.0,0.0,4,12.5,5,0.06,0.2,72.1,31.42
6,0,1,21.0,0,21.0,0.0,1,0.0,5,1.2096,0.24,59.81,48.02
6,0,1,21.0,0,21.0,0.0,1,0.0,0,1.2096,0.24,60.21,43.43
3,0,0,45.0,0,0.0,0.0,6,0.0,5,0.06,0.0,66.014,30.3
3,0,0,45.0,0,0.0,0.0,6,0.0,5,0.06,0.0,66.014,25.0
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,21.6763
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,19.7495
4,0,1,31.0,0,31.0,0.0,0,0.0,5,0.01,0.48,71.0,22.5
4,0,1,31.0,0,31.0,0.0,0,0.0,5,0.01,0.23,71.0,19.8077
4,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,12.4038
4,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,11.3942
6,1,0,54.0,0,0.0,0.0,6,0.0,5,0.13,0.0,67.214,37.9
6,1,0,54.0,0,0.0,0.0,6,15.0,5,0.13,0.0,61.36171,34.8
6,1,0,54.0,0,0.0,0.0,6,15.0,5,0.13,0.0,61.36171,33.6
6,1,0,54.0,0,0.0,0.0,6,0.0,5,0.13,0.0,67.214,39.1
6,1,0,54.0,0,0.0,0.0,6,6.0,5,0.13,0.0,61.88,36.5
6,1,0,54.0,0,0.0,0.0,6,6.0,5,0.13,0.0,61.88,36.0
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,3.25563
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,3.86842
5,0,1,35.0,0,35.0,0.0,4,0.0,5,0.06,0.1,72.86,41.0
5,0,1,35.0,0,35.0,0.0,4,0.0,5,0.06,0.2,72.86,35.4
5,0,1,35.0,0,35.0,0.0,4,0.0,5,0.06,0.3,72.86,37.1
0,2,0,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,6.19
0,2,0,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,6.01
0,2,0,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,8.49
0,2,0,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,3.36
0,2,0,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,10.0
0,2,0,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,4.3
0,2,0,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,2.88
0,1,0,90.0,0,0.0,0.0,0,0.0,5,0.02069,0.0,69.014,2.64
0,1,0,90.0,0,0.0,0.0,0,0.0,4,0.02069,0.0,69.014,13.17
0,1,0,90.0,0,0.0,0.0,0,0.0,4,0.02069,0.0,69.014,12.83
