Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),NH3-N loss (%)
3,0,1,25.0,0,25.0,0.0,17,2.22035,5,0.03,0.80596,66.0,32.8
3,0,1,25.0,0,25.0,0.0,17,1.82166,5,0.03,0.80912,66.0,12.6
3,0,1,25.0,0,25.0,0.0,17,1.42297,5,0.03,0.8123,66.0,3.5
4,1,0,69.0,0,0.0,0.0,18,0.0,1,0.08,0.0,80.7,11.4
4,1,0,69.0,0,0.0,0.0,18,3.0,1,0.08,0.0,80.7,8.13793
4,1,0,69.0,0,0.0,0.0,18,4.0,1,0.08,0.0,80.7,4.22508
4,1,0,69.0,0,0.0,0.0,18,3.0,1,0.08,0.0,80.7,7.9278
9,0,1,35.0,0,35.0,0.0,4,0.0,5,0.06,0.3,69.2,32.5
9,0,1,35.0,0,35.0,0.0,4,2.54816,5,0.06,0.3,69.2,14.5
9,0,1,35.0,0,35.0,0.0,4,2.54816,5,0.06,0.3,69.2,16.0
9,0,1,35.0,0,35.0,0.0,4,2.54816,5,0.06,0.3,69.2,13.3
9,0,1,35.0,0,35.0,0.0,4,2.54816,5,0.06,0.3,69.2,5.9
9,0,1,30.0,0,30.0,0.0,6,0.0,5,0.12,2.56621,66.11478,1.6
9,0,1,30.0,0,30.0,0.0,6,5.0,5,0.12,2.56621,63.78948,1.184
9,0,1,30.0,0,30.0,0.0,6,10.0,5,0.12,2.56621,62.339,0.864
9,0,1,30.0,0,30.0,0.0,6,20.0,5,0.12,2.56621,61.507,0.688
9,0,1,30.0,0,30.0,0.0,6,1.0,5,0.12,2.56621,59.53648,0.848
9,0,1,28.0,0,28.0,0.0,4,0.0,6,0.06,0.36,62.06,13.18
9,0,1,28.0,0,28.0,0.0,4,10.0,6,0.06,0.36,58.69,11.36
3,0,1,30.0,4,30.0,40.0,4,0.0,5,0.06,0.51157,53.59,23.17
3,0,1,30.0,4,30.0,40.0,4,0.0,5,0.06,6.69609,61.283,14.5
3,0,1,30.0,4,30.0,40.0,4,0.0,5,0.06,6.57073,61.283,12.31
3,0,1,30.0,4,30.0,40.0,4,0.0,5,0.06,6.57073,61.283,20.84
9,2,0,26.0,0,0.0,0.0,7,0.0,5,1.2,0.0,65.0,26.82
9,2,0,26.0,0,0.0,0.0,7,15.67944,5,1.2,0.0,65.0,21.65
9,2,0,26.0,0,0.0,0.0,7,31.35889,5,1.2,0.0,65.0,7.31
9,2,0,43.4613,0,23.19054,3.90898,7,4.45139,5,1.00714,0.74405,63.94368,5.47
9,0,1,35.0,5,35.0,30.0,2,0.0,5,0.06,0.38,67.6,29.26
9,0,1,35.0,5,35.0,30.0,2,0.408,5,0.06,0.38,59.65,16.11
9,0,1,35.0,5,35.0,30.0,2,0.408,5,0.06,0.38,59.65,30.93
9,0,1,35.0,5,35.0,30.0,2,0.408,5,0.06,0.38,59.65,16.12
9,0,1,28.0,0,28.0,0.0,5,0.0,5,0.06,0.48,57.54093,24.95
9,0,1,28.0,0,28.0,0.0,5,2.44988,5,0.06,0.48,61.3055,11.23
9,0,1,28.0,0,28.0,0.0,5,2.45195,5,0.06,0.48,61.3055,22.85
9,0,1,28.0,0,28.0,0.0,5,4.35435,5,0.06,0.48,62.6171,26.71
8,0,1,34.0,0,34.0,0.0,6,0.0,5,0.06,0.27211,65.0,31.52
8,0,1,34.0,0,34.0,0.0,6,10.0,5,0.06,0.26291,65.0,21.26
8,0,1,34.0,0,34.0,0.0,6,10.28571,5,0.06,0.26265,65.0,16.22
8,0,1,34.0,0,34.0,0.0,6,14.57143,5,0.06,0.2589,65.0,14.88
9,0,1,35.0,0,0.0,0.0,6,0.0,5,0.06,0.25,69.2,32.5
9,0,1,35.0,0,0.0,0.0,6,10.9,5,0.06,0.25,62.673,14.5
9,0,1,35.0,0,0.0,0.0,6,4.0,5,0.06,0.25,62.91953,20.3
9,0,1,35.0,0,0.0,0.0,6,10.9,5,0.06,0.25,62.673,12.4
7,0,1,43.4613,0,23.19054,3.90898,8,4.45139,5,1.00714,0.74405,63.94368,36.3
7,0,1,50.0,0,50.3,6.525,8,2.0,5,0.1,3.31758,60.0,33.2
7,0,1,50.0,0,45.5,9.025,8,4.0,5,0.1,3.75117,60.0,26.6
7,0,1,50.0,0,35.3,6.525,8,6.0,5,0.1,3.75058,60.0,20.4
7,0,1,50.0,0,50.3,3.525,8,8.0,5,0.1,1.99558,60.0,14.9
7,0,1,50.0,0,50.3,3.525,8,10.0,5,0.1,1.40558,60.0,10.7
9,0,1,50.0,0,50.0,0.0,8,0.0,5,0.1,0.3,55.0,2.49315
9,0,1,50.0,0,50.0,0.0,8,10.0,5,0.1,0.3,62.41946,1.56621
9,0,1,50.0,0,50.0,0.0,8,20.0,5,0.1,0.3,59.73189,0.86301
9,0,1,50.0,0,50.0,0.0,8,20.5,5,0.1,0.3,59.73189,0.83105
9,0,1,50.0,0,50.0,0.0,8,21.0,5,0.1,0.3,59.73189,0.67656
9,0,1,50.0,0,50.0,0.0,8,22.0,5,0.1,0.3,59.73189,0.58067
8,0,1,34.0,0,34.0,0.0,7,0.0,4,0.005,0.03367,67.6,8.7
8,0,1,34.0,0,34.0,0.0,7,7.73359,4,0.005,0.03367,67.3,7.87
8,0,1,34.0,0,34.0,0.0,7,7.12828,4,0.005,0.03367,66.8,6.6
8,0,1,34.0,0,34.0,0.0,7,6.05043,4,0.005,0.03367,66.0,3.5
7,0,1,91.0,0,0.0,0.0,12,0.0,5,0.25,0.0,60.0,12.9281
7,0,1,91.0,0,17.6,0.0,12,12.5,5,0.25,0.01275,60.0,9.06668
7,0,1,91.0,0,17.6,0.0,12,12.5,5,0.25,0.01275,60.0,4.30644
7,0,1,43.4613,0,23.19054,3.90898,12,4.45139,5,1.00714,0.74405,63.94368,2.61249
7,0,1,91.0,0,0.0,0.0,12,0.0,5,0.25,0.0,60.0,10.7421
7,0,1,91.0,0,17.6,0.0,12,12.5,5,0.25,0.01275,60.0,7.72635
7,0,1,91.0,0,17.6,0.0,12,12.5,5,0.25,0.01275,60.0,3.65344
7,0,1,43.4613,0,23.19054,3.90898,12,4.45139,5,1.00714,0.74405,63.94368,2.32943
7,0,1,91.0,0,0.0,0.0,12,0.0,5,0.25,0.0,60.0,7.81575
7,0,1,91.0,0,17.6,0.0,12,12.5,5,0.25,0.01275,60.0,4.11289
7,0,1,91.0,0,17.6,0.0,12,12.5,5,0.25,0.01275,60.0,3.05309
7,0,1,43.4613,0,23.19054,3.90898,12,4.45139,5,1.00714,0.74405,63.94368,2.04637
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,5,1.00714,0.74405,63.94368,23.37209
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,5,1.00714,0.74405,63.94368,14.48837
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,5,1.00714,0.74405,63.94368,16.25581
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,5,1.00714,0.74405,63.94368,19.37209
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,5,1.00714,0.74405,63.94368,9.98214
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,5,1.00714,0.74405,63.94368,13.01724
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,5,1.00714,0.74405,63.94368,11.78571
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,5,1.00714,0.74405,63.94368,10.94737
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,4,1.00714,0.74405,63.94368,6.04167
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,4,1.00714,0.74405,63.94368,14.4898
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,4,1.00714,0.74405,63.94368,10.1875
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,4,1.00714,0.74405,63.94368,16.33333
1,0,1,28.0,0,28.0,0.0,0,0.0,5,0.01,0.28,69.0,12.68381
1,0,1,28.0,0,28.0,0.0,0,0.0,3,0.01,0.28,63.0,12.08819
1,0,1,28.0,0,28.0,0.0,0,0.0,3,0.01,0.28,66.0,12.98188
1,0,1,28.0,0,28.0,0.0,0,0.0,4,0.01,0.28,65.0,10.27237
1,0,1,28.0,0,28.0,0.0,0,0.0,4,0.01,0.28,67.0,10.55777
1,0,1,28.0,0,28.0,0.0,0,25.0,5,0.01,0.28,65.0,9.08721
1,0,1,28.0,0,28.0,0.0,0,14.28571,5,0.01,0.28,67.0,9.48959
1,0,1,28.0,0,28.0,0.0,0,0.0,5,0.01,0.28,65.0,9.09293
1,0,1,28.0,0,28.0,0.0,0,0.0,1,0.01,0.28,65.0,11.69221
9,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.24,64.1,13.9
9,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.48,65.2,18.7
9,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.72,63.7,20.6
9,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.24,71.3,12.7
9,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.48,70.6,16.9
9,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.72,70.8,32.4
9,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.24,75.7,9.6
9,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.48,76.8,27.7
9,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.72,74.0,24.9
0,1,1,21.0,0,21.0,0.0,0,0.0,5,0.0286,0.0,71.66,5.37
0,1,1,21.0,0,21.0,0.0,0,0.0,5,0.0286,0.0,69.89,2.589
9,0,1,31.0,0,30.0,0.0,1,1.49932,5,0.95,0.312,69.47,23.81
0,0,1,35.0,0,35.0,0.0,8,0.0,4,0.1559,0.39258,66.03,12.59
0,0,1,35.0,0,35.0,0.0,8,0.0,4,0.2984,0.43721,65.69,16.16
0,0,1,35.0,0,35.0,0.0,8,0.0,4,0.5697,0.39258,66.14,17.44
9,1,0,70.0,0,0.0,0.0,9,0.0,5,1.2,0.0,64.0,29.5
9,1,1,70.0,0,0.0,0.0,9,0.0,5,1.2,0.0,64.0,26.6
9,1,0,70.0,0,0.0,0.0,5,0.0,5,1.2,0.0,64.0,27.9
9,1,1,70.0,0,0.0,0.0,5,0.0,5,1.2,0.0,64.0,23.7
9,1,0,70.0,0,0.0,0.0,0,0.0,5,1.2,0.0,64.0,12.8
9,1,1,70.0,0,0.0,0.0,0,0.0,5,1.2,0.0,64.0,10.3
9,2,0,55.0,0,0.0,0.0,7,0.0,0,11.25,0.0,60.04,4.51
9,2,0,55.0,0,0.0,0.0,14,0.0,0,11.25,0.0,60.04,2.502
8,2,0,43.4613,0,23.19054,3.90898,11,4.45139,0,1.00714,0.74405,63.94368,4.44
8,2,0,43.4613,9,23.19054,3.90898,6,4.45139,0,1.00714,0.74405,63.94368,2.18
8,0,1,35.0,0,35.0,0.0,5,0.0,5,0.06,0.2,72.1,21.16
9,0,1,56.0,0,0.0,0.0,7,0.0,5,1.2,0.0,67.6,35.7
9,0,1,56.0,0,0.0,0.0,7,3.3,5,1.2,0.0,67.6,27.4
9,0,1,56.0,0,0.0,0.0,7,6.6,5,1.2,0.0,67.6,20.7
9,0,1,56.0,0,0.0,0.0,7,9.9,5,1.2,0.0,67.6,15.7
9,0,1,56.0,0,0.0,0.0,7,13.2,5,1.2,0.0,67.6,12.9
7,0,1,28.0,0,0.0,0.0,8,0.0,5,0.13,0.0,61.4561,36.3
7,0,1,28.0,0,0.0,0.0,8,2.0,5,0.13,0.0,60.661,33.2
7,0,1,28.0,0,0.0,0.0,8,4.0,5,0.13,0.0,59.7109,26.6
7,0,1,28.0,0,0.0,0.0,8,6.0,5,0.13,0.0,60.4548,20.4
7,0,1,28.0,0,0.0,0.0,8,8.0,5,0.13,0.0,60.0684,14.9
7,0,1,28.0,0,0.0,0.0,8,10.0,5,0.13,0.0,59.4546,10.7
0,1,0,64.0,0,0.0,0.0,11,0.0,5,1.0,0.0,74.0,8.12
0,1,1,64.0,0,0.0,0.0,11,0.0,5,1.0,0.0,74.0,7.47
0,1,1,64.0,0,0.0,0.0,11,0.0,5,1.0,0.0,74.0,16.56
0,1,1,64.0,0,64.0,0.0,11,0.0,5,1.0,1.157,74.0,22.51
7,0,1,25.0,5,25.0,30.0,0,0.0,5,0.06,0.08242,60.0,0.04311
7,0,1,25.0,5,25.0,30.0,0,0.0,5,0.06,0.82645,60.0,10.75926
7,0,1,25.0,5,25.0,30.0,0,0.0,5,0.06,1.64384,60.0,19.90911
9,1,0,109.6,0,0.0,0.0,0,0.0,5,0.4,0.0,77.53,2.6
9,1,0,109.6,0,0.0,0.0,0,0.0,0,0.4,0.0,66.71,1.2
9,1,0,109.6,0,0.0,0.0,0,0.0,0,0.4,0.0,66.36,0.55
9,1,0,53.1,0,0.0,0.0,0,0.0,0,2.39681,0.0,67.68,0.15
9,1,0,78.9,0,0.0,0.0,0,0.0,0,0.07908,0.0,66.26,0.25
8,0,1,50.0,0,50.0,0.0,0,0.0,4,0.03,0.22286,72.13,19.05908
8,0,1,50.0,0,50.0,0.0,0,0.0,5,0.03,0.20526,69.74,13.69849
8,0,1,50.0,0,50.0,0.0,0,0.0,2,0.03,0.21455,71.05,11.68199
9,0,1,28.0,5,28.0,30.0,2,0.0,5,0.07122,0.8589,60.0,18.35
9,0,1,28.0,5,28.0,30.0,2,0.0,5,0.07122,0.92562,60.0,20.72
9,0,1,28.0,5,28.0,30.0,2,0.0,5,0.07122,0.90323,60.0,25.05
9,0,1,28.0,5,28.0,30.0,2,0.0,5,0.07122,0.90909,60.0,25.95
2,0,1,28.0,7,28.0,30.0,4,0.0,5,0.06,1.20727,66.9,34.9
2,0,1,28.0,7,28.0,30.0,4,0.0,0,0.06,0.96434,58.6,18.2
2,0,1,28.0,7,28.0,30.0,4,0.0,0,0.06,0.85547,53.1,6.5
2,0,1,28.0,7,28.0,30.0,4,0.0,0,0.06,0.76023,47.5,1.4
0,2,0,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,16.06
0,2,0,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,7.55
7,0,1,50.0,0,50.0,0.0,0,0.0,4,0.02,0.2,73.67,13.53
9,1,0,65.0,0,0.0,0.0,15,0.0,5,6.988,0.0,80.3,35.57169
9,1,0,65.0,0,0.0,0.0,15,0.0,5,7.002,0.0,70.4,27.93045
9,1,0,65.0,0,0.0,0.0,15,0.0,5,7.002,0.0,71.6,25.76586
9,1,0,65.0,0,0.0,0.0,15,0.0,0,7.002,0.0,70.1,11.02662
0,2,0,88.0,0,0.0,0.0,1,0.0,5,10.0,0.0,72.5,11.0
0,2,0,88.0,0,0.0,0.0,1,0.0,5,10.0,0.0,72.5,17.0
0,2,0,88.0,0,0.0,0.0,3,0.0,5,10.0,0.0,72.5,18.0
0,2,0,85.0,0,0.0,0.0,0,0.0,5,10.0,0.0,74.8,1.0
0,2,0,85.0,0,0.0,0.0,1,0.0,5,10.0,0.0,74.8,2.0
0,2,0,85.0,0,0.0,0.0,3,0.0,5,10.0,0.0,74.8,2.0
8,1,0,37.0,6,37.0,20.0,5,0.0,0,1.0,0.452,65.0,19.13405
8,1,0,37.0,6,37.0,20.0,5,5.0,0,1.0,0.40137,65.0,14.06262
8,1,0,37.0,6,37.0,20.0,5,10.0,0,1.0,0.26455,65.0,16.01476
0,2,0,51.0,0,0.0,0.0,13,20.2,5,2.364,0.0,65.0,9.74576
0,2,0,51.0,0,0.0,0.0,13,0.0,5,2.386,0.0,65.0,6.61589
0,2,0,51.0,0,0.0,0.0,13,0.0,5,2.386,0.0,65.0,4.66473
0,2,0,51.0,0,0.0,0.0,13,0.0,5,2.386,0.0,65.0,4.133
0,2,0,51.0,0,0.0,0.0,13,0.0,5,2.386,0.0,65.0,3.11185
8,1,0,26.0,6,26.0,20.0,0,0.0,0,1.3,1.43388,70.0,11.57481
8,1,0,26.0,6,26.0,20.0,0,0.0,0,1.3,1.43388,70.0,14.23691
8,1,0,26.0,6,26.0,20.0,0,0.0,0,1.3,1.43388,70.0,18.31547
8,0,1,22.0,0,22.0,0.0,0,0.0,4,0.002,0.48423,63.453,18.382
8,0,1,22.0,0,22.0,0.0,0,0.0,4,0.002,0.56367,62.8218,18.095
8,0,1,22.0,0,22.0,0.0,0,0.0,4,0.002,0.62861,63.5272,28.3484
8,0,1,22.0,0,22.0,0.0,0,0.0,4,0.002,0.57657,61.745,20.6739
8,0,1,22.0,0,22.0,0.0,0,0.0,4,0.002,0.55667,62.5248,13.8777
8,0,1,22.0,0,22.0,0.0,0,0.0,4,0.002,0.61067,62.0792,29.4174
8,0,1,22.0,0,22.0,0.0,0,0.0,5,0.002,0.3883,60.3523,22.7325
8,0,1,22.0,0,22.0,0.0,0,0.0,5,0.002,0.52375,61.1092,20.3273
8,0,1,22.0,0,22.0,0.0,0,0.0,5,0.002,0.61067,62.0116,17.2198
