Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
6,0,1,32.0,0,32.0,0.0,0,0.0,8,0.1,0.43196,69.37,43.09
6,0,1,32.0,0,32.0,0.0,0,0.0,8,0.1,0.70163,66.06,49.76
0,0,1,32.0,0,32.0,0.0,0,0.0,8,0.1,6.48662,76.28,23.45
0,0,1,32.0,0,32.0,0.0,0,0.0,8,0.1,0.43275,72.85,37.55
0,0,1,32.0,0,32.0,0.0,0,0.0,8,0.1,0.49454,63.45,57.58
6,0,1,32.0,0,32.0,0.0,0,0.0,8,0.1,0.41413,67.86,32.63
0,0,1,32.0,0,32.0,0.0,0,0.0,8,0.1,6.48662,76.28,36.19
6,2,0,70.0,0,0.0,0.0,5,0.0,2,22.5,0.0,67.014,34.44421
6,2,0,70.0,0,0.0,0.0,5,0.6,2,22.5,0.0,68.004,28.30697
6,2,0,70.0,0,0.0,0.0,5,1.0,2,22.5,0.0,67.884,29.97245
6,2,0,70.0,0,0.0,0.0,5,1.7,2,22.5,0.0,67.884,30.68183
6,2,0,56.0,0,0.0,0.0,7,0.0,2,22.5,0.0,66.594,46.88991
6,2,0,56.0,0,0.0,0.0,7,4.0,2,22.5,0.0,66.594,34.85462
6,2,0,56.0,0,0.0,0.0,7,7.3,2,22.5,0.0,66.374,33.33327
6,2,0,43.4613,0,23.19054,3.90898,7,4.45139,2,1.00714,0.74405,63.94368,23.79163
6,2,0,43.4613,0,23.19054,3.90898,7,4.45139,2,1.00714,0.74405,63.94368,13.35194
6,2,0,43.4613,0,23.19054,3.90898,7,4.45139,2,1.00714,0.74405,63.94368,21.21206
4,0,1,28.0,0,28.0,0.0,0,0.0,8,0.1,0.62205,58.4,36.77
4,0,1,28.0,0,28.0,0.0,0,0.0,8,0.1,0.54562,56.2,45.06
4,0,1,28.0,0,28.0,0.0,0,0.0,8,0.1,0.62205,58.8,43.65
4,0,1,28.0,0,28.0,0.0,0,0.0,8,0.1,0.53362,60.9,50.1
4,0,1,28.0,0,28.0,0.0,0,0.0,8,0.1,0.43909,61.9,53.43
5,0,1,28.0,0,28.0,0.0,0,0.0,0,0.1,0.43909,61.9,56.34
5,0,1,28.0,0,28.0,0.0,0,0.0,0,0.1,0.28676,64.5,54.84
5,0,1,28.0,0,28.0,0.0,0,0.0,8,0.1,0.294,65.3,56.57
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,8,1.00714,0.74405,63.94368,67.8621
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,8,1.00714,0.74405,63.94368,68.5241
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,8,1.00714,0.74405,63.94368,65.7655
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,8,1.00714,0.74405,63.94368,68.0828
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,8,1.00714,0.74405,63.94368,64.5517
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,8,1.00714,0.74405,63.94368,59.3655
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,8,1.00714,0.74405,63.94368,55.7241
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,8,1.00714,0.74405,63.94368,59.3655
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,5,1.00714,0.74405,63.94368,61.6828
