V3_Ventilation Duration (min),Additive_2,Turning times,Material_2,M1_is Enclosed,Additive_4,Initial GI (%),Material_3,V2_Ventilation Interval (min), Composting Method,Application Rate (%DW),Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Period (d),Initial pH,Initial Moisture Content (%),Additive_1,Material_Main,Initial C/N (%),V1_Ventilation Type,V4_Ventilation Day,Additive_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,DCD,19.0,None,1.0,None,27.32884658064516,Mature compost,0.0,Windrow,7.182727383982971,0.0551315789473684,1.12398187171164,107.0,6.0,69.0,Sand,Food waste,11.0,Continuous,56.0,None,1.938857678018576,35.87215214156268,116.50010900000008,7.874696642416249,0.6436477899551392,0.1593076234335006,1000000.0
45.56966417994192,Mg(OH)₂,26.0,Straw,1.0,None,27.32884658064516,Mature compost,3.0,Reactor,5.767201523979402,0.0551315789473684,0.5436744100895927,69.0,7.0,60.0,Sodium phosphates,Food waste,14.0,Intermittent ,53.0,None,1.938857678018576,62.7035359592704,115.96023600000008,7.801129698719438,1.112440586090088,0.158337249930428,1000000.0
0.0,MgO,30.0,Green waste,1.0,None,27.32884658064516,Byproduct,0.0,Trough,2.097480792186108,0.0551315789473684,1.395694576208207,76.0,10.103142938166547,73.93409122567232,Sodium salt,Food waste,32.0,Continuous,57.0,None,1.938857678018576,24.129847333814062,113.747958,7.538010086097869,0.7341638803482056,0.1874560182573862,1000000.0
0.0,MgO,26.0,Straw,1.0,None,27.32884658064516,Mature compost,0.0,Reactor,4.705886861716084,0.0551315789473684,0.0976422756367267,84.0,8.94395196133145,59.0,Organic acid,Food waste,24.0,Continuous,60.0,None,1.938857678018576,41.99291305186437,114.60682200000004,9.087338693378904,0.6605403423309326,0.1670410325600067,1000000.0
1.5267547231089824,Biochar,13.0,Soil,1.0,None,27.328846580645163,Mature compost,0.0,Reactor,2.631017894100516,0.0551315789473684,0.1672072196154357,43.0,10.414955712280433,71.98412156398695,Lignite,Food waste,41.17183734947617,Continuous,34.0,None,1.938857678018576,79.82633296316385,111.07326100000004,5.218837098838256,0.861611545085907,0.1955180565563627,27.507602990048746
0.0,Mg(OH)₂,1.0,Green Waste,1.0,None,27.32884658064516,None,0.0,Windrow,7.871411941679295,0.0551315789473684,0.8749871285989175,101.0,9.90104534251186,82.27683483479396,Phosphogypsum,Food waste,35.0,Continuous,33.0,None,1.938857678018576,12.932458576034158,115.49093400000004,7.8826138730601345,0.6862634420394897,0.1782188014722781,1000000.0
0.0,Gypsum,25.0,Plastic tube pieces,1.0,None,27.32884658064516,None,0.0,Reactor,5.551329219727144,0.0551315789473684,0.7358903719225707,113.0,6.0,58.27162329884377,Labile carbon source,Food waste,21.0,Continuous,33.0,None,1.938857678018576,46.60117304472483,116.65312400000003,6.989314036333929,0.4331972897052765,0.1993365691532299,1000000.0
0.0,Biochar,14.0,Woody peat,1.0,None,27.32884658064516,None,0.0,Reactor,9.99555182398895,0.0551315789473684,0.7009767103321753,70.0,11.941797133165776,79.7849609350464,Zeolite,Food waste,26.0,Continuous,55.0,None,1.938857678018576,56.974379160416014,114.17493300000004,5.714724186314246,0.6668567061424255,0.1903294548225818,1000000.0
0.0,Potassium phosphate,25.0,Sawdust,1.0,None,27.32884658064516,None,0.0,Reactor,9.7449205649739,0.0551315789473684,0.7197555054540299,76.0,12.038587602471942,71.6710187206675,Urea,Food waste,12.0,Continuous,64.0,None,1.938857678018576,20.11384717369013,114.90409000000004,7.52180227583417,0.6238754391670227,0.1742208754013079,1000000.0
0.0,Gypsum,8.0,Woody peat,1.0,None,27.32884658064516,Byproduct,0.0,Reactor,9.437919388513636,0.0551315789473684,0.5422259234667826,67.0,6.0,81.19665303830891,LB Culture,Food waste,16.0,Continuous,49.0,None,1.938857678018576,21.28473392270258,115.55453800000004,6.989314036333929,0.3986859619617462,0.1836521277706874,1000000.0
