M1_is Enclosed,Initial Moisture Content (%),Material_2,V4_Ventilation Day,V2_Ventilation Interval (min),V1_Ventilation Type, Composting Method,V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),Compost volume (m3),Additive_4,Additive_2,Period (d),Initial pH,Material_Main,Additive_3,Additive_1,Turning times,Material_3,V3_Ventilation Duration (min),Application Rate (%DW),Initial GI (%),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
1.0,64.0,Soil,34.0,0.0,Continuous,Windrow,0.1765363686772341,20.0,0.15181,None,Organic acid,36.0,6.0,OFMSW,None,Organic acid,0.0,Byproduct,0.0,4.451230722961006,27.32884658064516,1.411,40.66625684986202,95.263695,2.901601024805676,0.3494983911514282,0.1658635689283441,1000000.0
0.0,56.99999999999999,Soil,0.0,1192.0,Intermittent ,Windrow,1.5504627601221794,38.0,0.15181,None,MgSO₄,24.0,9.059913310156842,OFMSW,None,Organic acid,3.0,Straw,32.11371015749689,5.786840293997221,27.32884658064516,1.411,38.18378259868229,94.50615399999998,5.2485867291680295,0.366982638835907,0.1567513727499503,1000000.0
1.0,50.0,Straw,0.0,0.0,None,Reactor,0.0,13.0,0.15181,None,MgSO₄,59.0,6.0,OFMSW,None,Microbiological agent,0.0,Straw,0.0,9.48312671591129,27.32884658064516,1.411,11.77463532755924,94.39948900000005,2.9218161620917296,0.4698814749717712,0.1339340632443241,1000000.0
1.0,65.0,Woody peat,7.0,0.0,Continuous,Trough,0.1944157468007641,16.922578884364025,0.15181,None,Zeolite,39.0,8.842705200342927,OFMSW,None,Lime,0.0,Poultry manure,0.0,5.564845023446285,27.32884658064516,1.411,12.849898115273616,94.707879,2.901601024805676,0.4180163443088531,0.1566721032320228,1000000.0
0.0,50.0,None,12.0,555.0,Intermittent ,Windrow,1.2222072273313325,36.0,0.15181,None,Organic acid,76.0,6.0,OFMSW,None,Potassium phosphate,4.0,Straw,4.800557633586111,6.02388193484158,27.32884658064516,1.411,38.30845252139711,94.329375,5.936805542232583,0.2007365375757217,0.1725140803919359,1000000.0
1.0,61.0,Green Waste,0.0,0.0,None,Windrow,0.0,19.0,0.15181,None,Potassium phosphate,120.0,10.2301001929857,OFMSW,None,Sand,4.0,Byproduct,0.0,6.190575018298826,27.32884658064516,1.411,37.04975087388653,93.63403500000004,6.412717690442143,0.2766692340373993,0.1913915805729191,1000000.0
0.0,57.00000000000001,Sawdust,1.0,1284.0,Intermittent ,Trough,1.4493273418083852,27.0,0.15181,None,Biochar,29.0,11.838357178926806,OFMSW,None,Organic acid,4.0,Mature compost,5.555451342885041,9.9763353547143,27.69595035752429,1.411,55.95918465985165,94.87403900000002,5.692428589243822,0.0420186668634414,0.1540714726561561,1000000.0
1.0,66.0,Green waste,0.0,0.0,None,Trough,1.203794303870217,10.0,0.15181,None,Zeolite,95.0,8.0,OFMSW,None,MgO,4.0,Green waste,0.0,8.598813371103024,27.32884658064516,1.411,22.351104006480465,93.58364900000004,6.412717690442143,0.4278294742107391,0.2180065485066392,1000000.0
0.0,74.89892338518675,Soil,9.0,491.0,Intermittent ,Trough,0.9147127476254712,42.05320805360458,0.15181,None,Organic acid,19.0,11.023401780367642,OFMSW,None,Sodium phosphates,4.0,Byproduct,53.34924129074229,5.621519839746248,27.32884658064516,1.411,59.33707656363606,94.902434,5.692428589243822,0.3217345476150512,0.1412939595603936,25.656648729978457
1.0,59.0,Plastic tube pieces,43.0,489.0,Intermittent ,Windrow,1.8575133073607584,33.0,0.15181,None,None,62.0,6.0,OFMSW,None,Carbonatite,4.0,Byproduct,29.047316516510143,7.956351341064542,27.32884658064516,1.411,41.29530468463022,94.850194,5.936805542232583,0.1579561829566955,0.140742555200737,1000000.0
1.0,73.94214670913856,Soil,41.0,754.0,Intermittent ,Reactor,0.1837058402213984,23.0,0.15181,None,None,92.0,6.821100868073544,OFMSW,None,None,0.0,Green waste,18.76317737123549,2.4947541195430114,27.32884658064516,1.411,21.416356107950183,94.40764399999996,2.33010909121024,0.3284334242343902,0.1498769101537087,1000000.0
1.0,55.0,None,27.0,0.0,Continuous,Windrow,1.9376187186942464,25.0,0.15181,None,Gypsum,31.0,5.0,OFMSW,None,Sand,0.0,Byproduct,0.0,3.894857789966857,27.32884658064516,1.411,19.09546751882568,94.84315600000004,2.901601024805676,0.3430489897727966,0.1892981006717947,1000000.0
0.0,58.0,Green waste,14.0,0.0,Continuous,Windrow,1.4475895212381702,29.0,0.15181,None,DCD,112.0,5.0,OFMSW,None,Sand,4.0,Mature compost,0.0,5.565013321908648,27.328846580645163,1.411,54.38592241074565,94.91985200000003,6.856559550517936,0.2689949572086334,0.181003055326409,1000000.0
1.0,68.22516983982116,Woody peat,45.0,0.0,Continuous,Reactor,1.59068981123596,40.0,0.15181,None,Potassium phosphate,117.0,9.98853035135858,OFMSW,None,Sulfur,4.0,Poultry manure,0.0,8.693212383772705,27.328846580645163,1.411,54.43312421968194,94.04781300000002,6.856559550517936,0.2979592680931091,0.1975859014130293,1000000.0
1.0,55.0,Husk,0.0,0.0,None,Windrow,0.0,18.0,0.15181,None,MgO,77.0,5.0,OFMSW,None,Organic acid,4.0,Straw,0.0,5.1593395530712005,27.328846580645163,1.411,28.777637616674596,94.03523100000004,6.412717690442143,0.3287318646907806,0.1864557376580245,1000000.0
0.0,60.99999999999999,Plastic tube pieces,21.0,0.0,Continuous,Trough,1.121415420526264,41.46680186023392,0.15181,None,Mg(OH)₂,59.0,8.430022358059823,OFMSW,None,Potassium phosphate,4.0,Poultry manure,0.0,5.117465074189909,27.32884658064516,1.411,58.50965742479006,94.04781300000002,6.856559550517936,0.2691316306591034,0.1981646012372454,22.07640946728087
0.0,59.0,Sawdust,41.0,1040.0,Intermittent ,Windrow,1.1706915653146133,25.0,0.15181,None,Zeolite,66.0,8.928880125210837,OFMSW,None,MgSO₄,0.0,Green waste,50.34913456350312,3.658445477487872,27.32884658064516,1.411,56.15240188733561,94.39367299999998,2.33010909121024,0.4987094104290008,0.1455919357155564,1000000.0
1.0,56.0,Woody peat,28.0,1318.0,Intermittent ,Windrow,0.1999824504653306,33.0,0.15181,None,Ca-superphosphate,129.0,5.0,OFMSW,None,Gypsum,2.0,Byproduct,41.33396680218911,7.622428465965317,27.328846580645163,1.411,9.444298956039392,94.004098,5.692428589243822,0.3903670907020569,0.1108188923222089,1000000.0
1.0,70.63700245192045,Plastic tube pieces,3.0,0.0,Continuous,Trough,0.5555900826737807,12.0,0.15181,None,MgO,71.0,9.622796837254636,OFMSW,None,Urea,2.0,Green waste,0.0,4.843069600060795,27.32884658064516,1.411,29.758713629688657,94.49154100000004,6.856559550517936,0.4264751970767975,0.167189979042603,1000000.0
1.0,62.810327981439286,Soil,0.0,0.0,None,Reactor,0.0,19.0,0.15181,None,Biochar,113.0,6.999999999999999,OFMSW,None,Zeolite,4.0,Straw,0.0,3.997185252287079,28.51544957151892,1.411,34.6756961938085,94.40109500000004,6.412717690442143,0.3287318646907806,0.2116785074069442,1000000.0
1.0,51.0,Husk,30.0,0.0,Continuous,Reactor,0.016185132395684,19.0,0.15181,None,Inorganic acid,113.0,10.550028755620168,OFMSW,None,Microbiological agent,0.0,Byproduct,0.0,5.481644485701747,27.32884658064516,1.411,20.68186382560244,95.263695,2.901601024805676,0.3430489897727966,0.1823094540300214,1000000.0
1.0,54.0,Straw,34.0,954.0,Intermittent ,Trough,0.0613224675047301,30.0,0.15181,None,MgSO₄,131.0,6.0,OFMSW,None,Sodium phosphates,2.0,Straw,47.37486288227445,5.751615788658979,27.32884658064516,1.411,9.965594553117736,94.56166399999998,5.692428589243822,0.3626852333545685,0.1461148981770288,1000000.0
1.0,69.0,Husk,18.0,0.0,Continuous,Reactor,1.4772685041933271,35.0,0.15181,None,Calcium magnesium phosphate fertilizer,27.0,10.337542413827665,OFMSW,None,Lime,0.0,None,0.0,2.8754250182908745,27.32884658064516,1.411,8.893646371026394,94.61413500000002,2.901601024805676,0.3920819461345672,0.2099102169613709,1000000.0
0.0,75.02790753633488,Husk,23.0,1078.0,Intermittent ,Windrow,0.2715405029985205,19.0,0.15181,None,Inorganic acid,124.0,8.285667866771611,OFMSW,None,Gypsum,3.0,Straw,59.72362762478695,8.504635277767768,27.32884658064516,1.411,8.205025466317197,94.426838,5.936805542232583,0.3680247664451599,0.1383237137023701,1000000.0
