M1_is Enclosed,Additive_4,Compost volume (m3),V1_Ventilation Type,V2_Ventilation Interval (min),Initial Moisture Content (%),Application Rate (%DW),V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),Material_Main,Material_3,Additive_3,Initial pH, Composting Method,Additive_2,Initial C/N (%),Material_2,Additive_1,Initial GI (%),Period (d),Turning times,V3_Ventilation Duration (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
1.0,None,2.147162565177521,None,0.0,61.0,9.323022125658415,0.0,0.0,Cattle manure,Green waste,None,8.113769730419387,Reactor,Zeolite,24.0,Straw,Labile carbon source,27.32884658064516,87.0,27.0,0.0,1.596639959668374,17.41455851096298,104.346122,11.318319620378874,0.4304073452949524,0.2173568242010498,1000000.0
1.0,None,2.147162565177521,Intermittent ,1289.0,55.0,7.212182039782029,39.0,1.6224960911379105,Cattle manure,Mature compost,None,11.742324923712085,Trough,Inorganic acid,16.0,Husk,K₂SO₄,27.32884658064516,98.0,31.0,53.305146306607256,1.596639959668374,25.135805571083413,105.616883,10.13129682754992,0.1601856350898742,0.1688036753480167,1000000.0
1.0,None,2.147162565177521,Continuous,0.0,65.0,2.8417622640692386,2.0,1.061929155271336,Cattle manure,Byproduct,None,12.057614383262187,Reactor,Potassium phosphate,21.0,Soil,Sodium salt,27.32884658064516,78.0,27.0,0.0,1.596639959668374,21.45173047638372,104.39191600000002,10.3355472785402,0.258730947971344,0.2321206318477988,1000000.0
1.0,None,2.147162565177521,None,0.0,80.10216361889515,3.011214576672686,0.0,0.0,Cattle manure,Green waste,None,7.0,Reactor,MgO,23.0,Soil,Phosphogypsum,27.32884658064516,59.0,30.0,0.0,1.596639959668374,55.81187977469992,106.31836200000002,9.660782104488002,0.444494217634201,0.2746435155101689,1000000.0
1.0,None,2.147162565177521,None,0.0,62.0,5.303043052358046,0.0,0.0,Cattle manure,Byproduct,None,6.0,Reactor,Zeolite,29.89430547710564,Straw,MgCl₂,27.32884658064516,62.0,31.0,0.0,1.596639959668374,36.142028866159166,106.35168600000002,10.143480431083155,0.3740804493427276,0.24679532929439,1000000.0
0.0,None,2.147162565177521,Intermittent ,407.0,63.0,8.988402799238735,2.0,0.5775937234532784,Cattle manure,Poultry manure,None,11.601427872542452,Trough,Zeolite,32.0,Plastic tube pieces,MgO,27.32884658064516,39.0,31.0,31.674432548666093,1.596639959668374,56.62190545969212,107.28309500000002,7.493724277942237,0.5138890743255615,0.1700564987728131,1000000.0
1.0,None,2.147162565177521,None,0.0,68.0,3.359268844762447,0.0,0.0,Cattle manure,Green waste,None,7.0,Reactor,Gypsum,40.0,Straw,Biochar,27.32884658064516,108.0,26.0,0.0,1.596639959668374,25.45849111068667,105.58072500000002,10.35733894120812,0.4127592742443084,0.1515891744464655,1000000.0
1.0,None,2.147162565177521,Intermittent ,23.0,54.0,3.2423259597584413,68.0,1.984163570105792,Cattle manure,Poultry manure,None,5.0,Windrow,Mg(OH)₂,14.0,Straw,Phosphogypsum,27.32884658064516,102.0,30.0,51.49897183215584,1.596639959668374,22.27614391699044,105.24561200000002,10.13129682754992,0.1657189130783081,0.184524047234215,1000000.0
1.0,None,2.147162565177521,Intermittent ,148.0,66.0,3.859100344454143,10.0,0.8987328406542097,Cattle manure,Mature compost,None,10.1105354100779,Reactor,MgSO₄,21.0,Plastic tube pieces,Forsterite,27.32884658064516,102.0,31.0,39.51019557867626,1.596639959668374,31.70825586441656,106.214997,7.866375963755047,0.1915676742792129,0.2314460764555923,1000000.0
1.0,None,2.147162565177521,Intermittent ,1353.0,53.0,6.802402572947385,74.0,0.8447173181801564,Cattle manure,None,None,8.992452171481911,Reactor,Inorganic acid,35.0,Straw,MgCl₂,27.32884658064516,98.0,26.0,43.06006397769341,1.596639959668374,52.54349914555769,103.95765400000002,9.84929268606471,0.2588421106338501,0.1491120461472365,1000000.0
0.0,None,2.147162565177521,Intermittent ,138.0,81.8430814604096,4.545514906184545,35.0,1.225011754753117,Cattle manure,Green waste,None,7.000000000000002,Trough,Microbiological agent,23.49800643272065,Green Waste,Lignite,27.328846580645163,55.0,31.0,37.31273738733052,1.596639959668374,34.8175462977946,105.639823,7.477127470919319,0.3911874890327453,0.2067078537789874,1000000.0
1.0,None,2.147162565177521,None,0.0,64.0,9.644684177580707,0.0,0.0,Cattle manure,Mature compost,None,5.0,Reactor,None,32.0,Woody peat,Clay,27.32884658064516,95.0,30.0,0.0,1.596639959668374,44.02398785043464,106.74941000000004,10.896269422971002,0.3854707479476928,0.213992052629909,1000000.0
1.0,None,2.147162565177521,Intermittent ,555.0,81.38001480271186,9.647364694661563,26.0,0.8745357692862425,Cattle manure,Mature compost,None,6.0,Reactor,Ca-superphosphate,33.0,Straw,Gypsum,27.32884658064516,29.0,27.0,41.3662489474714,1.596639959668374,21.388552379253277,105.674211,7.897633392137656,0.4586775004863739,0.1831406539336329,1000000.0
1.0,None,2.147162565177521,Intermittent ,749.0,76.7296553544794,7.747149883286378,36.0,0.4852192256489174,Cattle manure,Poultry manure,None,10.018676424640656,Reactor,Organic acid,45.09550522729801,Green waste,Organic acid,27.32884658064516,36.0,29.0,22.98066581490431,1.596639959668374,72.00128564733805,103.67588800000004,8.200254407486828,0.2756344377994537,0.1604972081027769,23.897919256029432
0.0,None,2.147162565177521,None,0.0,60.0,3.171299890435733,0.0,0.0,Cattle manure,Mature compost,None,9.530464175470884,Trough,DCD,24.13237655451898,Woody peat,Potassium phosphate,27.32884658064516,70.0,30.0,0.0964922171754812,1.596639959668374,42.51491077617965,104.62377500000002,9.594489240698032,0.6284687519073486,0.1791499540593833,1000000.0
1.0,None,2.147162565177521,None,0.0,81.78773583797535,7.033243650026039,0.0,0.0,Cattle manure,Straw,None,8.0,Reactor,None,39.0,Sawdust,Lignite,27.32884658064516,27.0,31.0,0.0,1.596639959668374,30.926854210508395,104.41156200000005,7.792050638939739,0.4252126216888428,0.2360994288473787,1000000.0
1.0,None,2.147162565177521,Intermittent ,1293.0,53.0,6.322038366441864,0.0,0.5179320973966175,Cattle manure,Mature compost,None,10.139207109394956,Trough,Gypsum,27.0,Green waste,Sodium phosphates,27.32884658064516,84.0,30.0,28.74254275283865,1.596639959668374,30.94295801235576,104.97289400000004,9.18170882568463,0.3951877355575561,0.1540217750947771,1000000.0
1.0,None,2.147162565177521,Intermittent ,648.0,66.0,8.658278595594084,34.0,1.1953418027942788,Cattle manure,Straw,None,8.023745932883438,Reactor,Zeolite,20.0,Husk,Inorganic acid,27.32884658064516,114.0,30.0,5.416689221324615,1.596639959668374,45.9040114409455,104.90707500000003,11.322270754065231,0.1419333815574646,0.1928385662440903,1000000.0
1.0,None,2.147162565177521,Intermittent ,393.0,82.27094508995826,8.947920769567872,2.0,0.236500195465676,Cattle manure,None,None,8.133858462382314,Reactor,Potassium phosphate,24.0,Green waste,Potassium phosphate,27.32884658064516,17.0,27.0,47.55216559800528,1.596639959668374,55.40641285133011,102.62380300000004,7.493724277942237,0.4155325591564178,0.1869576143195187,1000000.0
0.0,None,2.147162565177521,Continuous,0.0,63.0,6.205684088694637,4.0,0.0799609446535063,Cattle manure,None,None,5.0,Trough,DCD,18.0,Woody peat,Forsterite,27.32884658064516,122.0,31.0,0.0,1.596639959668374,24.47965019828504,105.268828,9.913497081132329,0.4103277027606964,0.1815979159318749,1000000.0
1.0,None,2.147162565177521,None,0.0,56.0,3.957413762874364,0.0,0.0,Cattle manure,Green waste,None,8.910948662376708,Reactor,Biochar,38.0,Soil,Potassium phosphate,27.32884658064516,31.0,26.0,0.0,1.596639959668374,30.42728070979509,103.595422,7.792050638939739,0.3740681111812591,0.2061178132062094,1000000.0
1.0,None,2.147162565177521,Intermittent ,464.0,77.70943014843638,6.109355310530766,50.0,0.9550002119145906,Cattle manure,Mature compost,None,11.788513127708512,Reactor,None,24.0,Sawdust,Mg(OH)₂,27.32884658064516,96.0,30.0,46.3607576877064,1.596639959668374,43.13173855570519,105.21264600000002,9.84929268606471,0.3290326297283172,0.2029291286837263,1000000.0
1.0,None,2.147162565177521,Intermittent ,1396.0,50.0,9.589683210496691,69.0,0.5362999712638379,Cattle manure,Byproduct,None,8.7432338060637,Reactor,MgO,42.21207464028395,Woody peat,Inorganic acid,27.32884658064516,110.0,29.0,50.15137410371185,1.596639959668374,67.39748515118136,108.13359800000006,10.388223167827592,0.2278225868940353,0.1350887046080459,26.092096525679185
1.0,None,2.147162565177521,None,0.0,58.0,3.024351253565156,0.0,0.0,Cattle manure,Poultry manure,None,8.0,Reactor,Gypsum,25.0,Straw,Ferric salt,27.32884658064516,98.0,28.0,0.0,1.596639959668374,40.10544427816921,106.297787,10.35733894120812,0.433511734008789,0.2140033237717201,1000000.0
1.0,None,2.147162565177521,Continuous,0.0,75.70968676792779,2.7410646421237583,41.0,0.5468330681217293,Cattle manure,None,None,8.0,Reactor,None,42.0676930794907,Soil,MgCl₂,27.32884658064516,133.0,30.0,0.0,1.596639959668374,67.16695978177957,103.83649800000003,11.211954772696194,0.4045352041721344,0.2918368658602507,24.560097276317325
0.0,None,2.147162565177521,None,0.0,54.0,4.616920749587584,0.0,0.0,Cattle manure,Green waste,None,10.79979677915901,Trough,Ca-superphosphate,21.0,Soil,Organic acid,27.32884658064516,92.0,31.0,0.0,1.596639959668374,41.415426023143645,104.881869,10.35733894120812,0.4406990110874176,0.1660402951880079,1000000.0
0.0,None,2.147162565177521,Intermittent ,612.0,60.0,2.349547917272891,0.0,0.2421580695218128,Cattle manure,Byproduct,None,8.0,Trough,Microbiological agent,22.0,Soil,K₂SO₄,27.32884658064516,94.0,31.0,14.621100471113817,1.596639959668374,59.90095717802288,108.618275,8.82397901785263,0.3360025584697723,0.1714450878598445,1000000.0
1.0,None,2.147162565177521,None,0.0,53.0,2.873556462335348,0.0,0.0,Cattle manure,Green waste,None,6.0,Reactor,None,16.0,Soil,Clay,27.32884658064516,108.0,31.0,0.0,1.596639959668374,16.285240464839315,106.445969,10.639343082693332,0.2440000176429748,0.1877314760805874,1000000.0
1.0,None,2.147162565177521,None,0.0,72.00081635255302,4.899224916051707,0.0,0.0,Cattle manure,Straw,None,11.186758955119524,Reactor,DCD,18.0,Husk,Forsterite,27.32884658064516,124.0,30.0,0.0,1.596639959668374,56.6259291332491,102.76900900000004,10.35733894120812,0.2655922174453735,0.2022288427952127,1000000.0
1.0,None,2.147162565177521,Intermittent ,941.0,72.02108893838914,7.388460852565727,5.0,0.1181040851135821,Cattle manure,Straw,None,10.361982707318749,Reactor,Organic acid,37.0,Sawdust,Clay,27.32884658064516,104.0,31.0,46.44111494812951,1.596639959668374,10.607936222328116,108.30526800000004,8.569783566623844,0.3161252439022064,0.1659481363575387,1000000.0
0.0,None,2.147162565177521,Intermittent ,929.0,60.0,9.182371911190286,1.0,0.9113961812031486,Cattle manure,Green waste,None,7.0,Trough,DCD,28.0,Soil,Mature compost,27.32884658064516,103.0,31.0,46.36563026994494,1.596639959668374,36.51551362675564,109.103361,9.089765476263723,0.4893927574157715,0.1588299686233398,1000000.0
1.0,None,2.147162565177521,None,0.0,60.0,7.646398604360882,0.0,0.0,Cattle manure,Green waste,None,10.041922211793151,Reactor,MgO,32.0,Woody peat,Sodium salt,27.32884658064516,126.0,31.0,0.0,1.596639959668374,36.37832226884979,106.68946800000002,10.35733894120812,0.3958438038825989,0.1947935716173711,1000000.0
1.0,None,2.147162565177521,Intermittent ,387.0,69.0,8.15281326968065,7.0,0.7277210097726772,Cattle manure,Poultry manure,None,9.266598077908004,Windrow,Organic acid,16.380818779471653,Woody peat,Gypsum,27.32884658064516,109.0,29.0,13.403363261171208,1.596639959668374,33.785714216947696,105.72248500000002,8.810101712345615,0.2142027616500854,0.1621157579328027,1000000.0
1.0,None,2.147162565177521,Intermittent ,1259.0,52.0,9.84655728514738,2.0,1.5043964058064667,Cattle manure,Straw,None,8.662624558854034,Trough,Mg(OH)₂,16.0,Green waste,Labile carbon source,27.32884658064516,16.0,31.0,39.0486089522089,1.596639959668374,36.64950387865259,106.20752500000002,7.756779847304446,0.22112637758255,0.166791422306723,1000000.0
1.0,None,2.147162565177521,Intermittent ,672.0,50.0,3.3930102092690757,55.0,1.5299333500122223,Cattle manure,Green waste,None,9.517907592026226,Reactor,Microbiological agent,30.0,Woody peat,Microbiological agent,27.32884658064516,105.0,29.0,8.960683351304901,1.596639959668374,43.065008164571545,108.07787800000006,10.764391700179347,0.2443277984857559,0.1587452382664581,1000000.0
0.0,None,2.147162565177521,None,0.0,76.70990367952761,4.1549551041735375,0.0,0.0,Cattle manure,Straw,None,9.140312975035242,Trough,None,14.0,Soil,Mg(OH)₂,27.32884658064516,93.0,29.0,0.0,1.596639959668374,60.605520498816645,104.29603500000002,10.639343082693332,0.4702354967594147,0.1571686601193203,1000000.0
