Material_Main,Turning times,Application Rate (%DW),V3_Ventilation Duration (min), Composting Method,Initial pH,V1_Ventilation Type,Compost volume (m3),Additive_4,Initial Moisture Content (%),V2_Ventilation Interval (min),Additive_3,Initial GI (%),Material_2,Material_3,Period (d),V4_Ventilation Day,Additive_1,Initial C/N (%),M1_is Enclosed,Additive_2,V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Sewage sludge,5.0,3.0072705402223727,0.0,Reactor,8.027340770923887,Continuous,4.210797122302158,None,64.0,0.0,None,27.32884658064516,Byproduct,Straw,61.0,58.0,MgHPO₄,36.0,1.0,Zeolite,1.6970324957774294,2.1457865217391303,16.066561192119256,101.45205200000002,6.68685068464466,0.4384390413761139,0.2208553154519179,1000000.0
Sewage sludge,0.0,5.79699210001843,56.959931858976006,Trough,8.628781241149062,Intermittent ,4.210797122302158,None,50.0,342.0,None,27.32884658064516,Byproduct,Poultry manure,35.0,22.0,Potassium phosphate,42.113825970010126,0.0,Ca-superphosphate,1.108923374038896,2.1457865217391303,90.36728014531508,102.00922500000004,8.747010829901484,0.4613038003444671,0.1452561515445564,25.53055951489029
Sewage sludge,4.0,6.744815356534731,54.63436804621098,Reactor,6.0,Intermittent ,4.210797122302158,None,52.0,1262.0,None,27.32884658064516,Byproduct,Byproduct,71.0,65.0,Ca-superphosphate,28.0,1.0,Potassium phosphate,0.4399730660632917,2.1457865217391303,62.22843759366621,102.35035700000005,8.205736364657415,0.4562982618808746,0.1115733833628509,1000000.0
Sewage sludge,9.0,8.611420581645659,0.0,Windrow,8.279431437679525,Continuous,4.210797122302158,None,72.98930259865652,0.0,None,27.32884658064516,None,Byproduct,119.0,58.0,MgHPO₄,14.0,0.0,Mg(OH)₂,0.6613268292081462,2.1457865217391303,53.23491987233193,96.734986,7.525859138230022,0.4136694371700287,0.1847853316345225,1000000.0
Sewage sludge,4.0,3.771678625184882,37.88148163415008,Trough,11.807230370545993,Intermittent ,4.210797122302158,None,70.0,703.0,None,27.32884658064516,Byproduct,Green waste,81.0,68.0,Gypsum,28.0,0.0,Ca-superphosphate,1.02362470425179,2.1457865217391303,32.06542229843113,101.31641300000004,9.167910121273264,0.4617609679698944,0.1490651870547996,1000000.0
Sewage sludge,4.0,8.713031852654865,0.0,Reactor,6.887008936472375,Continuous,4.210797122302158,None,59.57338432200201,0.0,None,27.32884658064516,Byproduct,Straw,68.0,60.0,Calcium magnesium phosphate fertilizer,44.06197266770113,1.0,Gypsum,1.0607558661693643,2.1457865217391303,94.54758707159102,100.01728400000005,7.811976839497036,0.4495203197002411,0.2057845525070216,26.03001110547937
Sewage sludge,0.0,7.402005266204681,0.0,Trough,11.749100304612316,Continuous,4.210797122302158,None,50.0,0.0,None,27.32884658064516,None,Straw,79.0,16.0,Ferric salt,33.0,0.0,Organic acid,0.7348981499440281,2.1457865217391303,65.19759199785717,99.54878600000004,5.668234125604596,0.3141021430492401,0.1807454590398994,1000000.0
Sewage sludge,4.0,4.101145110535729,0.0,Trough,10.61894087676593,Continuous,4.210797122302158,None,69.0,0.0,None,27.328846580645163,Byproduct,Byproduct,95.0,80.0,Carbonatite,37.0,0.0,Ca-superphosphate,0.4271645623946282,2.1457865217391303,21.272188611604285,101.52058100000004,8.73686572170383,0.4449515640735626,0.2026989726507748,1000000.0
Sewage sludge,0.0,2.9730444355833794,0.0,Trough,7.362553482435807,Continuous,4.210797122302158,None,71.01352579953296,0.0,None,27.32884658064516,Woody peat,Mature compost,93.0,16.0,LB Culture,44.667519891558726,1.0,Calcium magnesium phosphate fertilizer,1.1091933421927205,2.1457865217391303,95.8469621428212,99.55885100000005,4.635924372086866,0.4548949301242828,0.1533580294875896,23.655337624674196
Sewage sludge,6.0,8.552597052172874,36.54539415762187,Windrow,5.0,Intermittent ,4.210797122302158,None,68.0,1148.0,None,27.32884658064516,Straw,Mature compost,114.0,80.0,Urea,30.0,0.0,Zeolite,1.6722841223289997,2.1457865217391303,67.75156751050295,98.37749300000004,7.618966894184092,0.5805019736289978,0.1447404203147072,1000000.0
