M1_is Enclosed,Period (d), Composting Method,Turning times,V2_Ventilation Interval (min),Compost volume (m3),Initial GI (%),Material_2,Additive_2,Initial Moisture Content (%),Material_3,Additive_1,V5_Ventilation rate (L/min/kg iniDW),Initial pH,Material_Main,Additive_3,Additive_4,V4_Ventilation Day,Application Rate (%DW),Initial C/N (%),V1_Ventilation Type,V3_Ventilation Duration (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
1.0,17.0,Reactor,18.0,0.0,0.314,27.32884658064516,Green Waste,DCD,54.0,Straw,Phosphogypsum,1.7818278774171048,10.91891779046944,Green waste,None,None,4.0,8.405992242924206,15.0,Continuous,0.0,1.4280600332415827,17.690769175197136,91.47082399999998,8.095283393685236,0.7054442763328552,0.2047331544758933,1000000.0
0.0,24.0,Windrow,20.0,1374.0,0.314,27.32884658064516,None,None,77.83675256821363,Green waste,None,2.5204989600955754,9.56042601331882,Green waste,None,None,2.0,9.705861482774122,33.0,Intermittent ,43.08249182653776,1.4280600332415827,52.98755541916233,92.50709599999996,6.18860605521249,0.3288295865058899,0.1688971594954573,1000000.0
0.0,20.0,Trough,25.0,0.0,0.314,27.32884658064516,Husk,Calcium magnesium phosphate fertilizer,81.36832279681136,Byproduct,Mature compost,1.3687324605187157,7.000000000000001,Green waste,None,None,3.0,2.4945167458589976,39.0,Continuous,0.0,1.4280600332415827,13.718389507498271,92.03205799999998,6.71705487455194,0.6777790188789368,0.2156842979723941,1000000.0
0.0,110.0,Trough,26.0,0.0,0.314,27.32884658064516,Husk,DCD,62.0,Green waste,Labile carbon source,0.0,5.0,Green waste,None,None,0.0,9.633718125503169,10.0,None,0.0,1.4280600332415827,37.943074684012124,90.49521699999994,3.1828114943831767,0.4224470853805542,0.1571588568928286,1000000.0
1.0,115.0,Trough,30.0,0.0,0.314,27.32884658064516,Byproduct,DCD,74.09811756493681,Byproduct,Ca-superphosphate,0.0,6.0,Green waste,None,None,0.0,4.805751436274947,41.787853100989786,None,0.0,1.4280600332415827,59.67556288849385,90.33963799999994,3.1828114943831767,0.3492525219917297,0.1948371647656934,17.808922120669404
1.0,38.0,Windrow,16.0,197.0,0.314,27.32884658064516,None,Calcium magnesium phosphate fertilizer,65.0,Green waste,Urea,1.3030301574646246,11.267846533243253,Green waste,None,None,2.0,5.210383483454373,22.0,Intermittent ,52.8085993702752,1.4280600332415827,36.87341884382819,92.44404099999998,6.18860605521249,0.3931199014186859,0.170377949739097,1000000.0
1.0,75.0,Reactor,8.0,969.0,0.314,27.328846580645163,Green waste,Mg(OH)₂,54.0,Mature compost,Sodium salt,1.0720581141140662,6.101456817466108,Green waste,None,None,3.0,2.7625339912865368,37.0,Intermittent ,18.12472872491869,1.4280600332415827,18.15513524485454,92.89249800000002,8.57075413016531,0.3843661248683929,0.171728187201134,1000000.0
0.0,59.0,Windrow,8.0,1264.0,0.314,27.32884658064516,Byproduct,Potassium phosphate,71.14130809007153,Green waste,K₂SO₄,0.114806740465136,8.640635121946824,Green waste,None,None,2.0,3.2012502502554767,23.0,Intermittent ,34.09375868591,1.4280600332415827,21.777413553217556,91.097956,5.934117028190946,0.3846298456192016,0.1152926601180599,1000000.0
1.0,62.0,Reactor,19.0,0.0,0.314,27.32884658064516,Green Waste,Inorganic acid,70.0,None,MgO,0.0,9.126775297642766,Green waste,None,None,0.0,3.73689674704689,35.0,None,0.0,1.4280600332415827,11.397083225007252,90.61159599999996,4.023864901726808,0.503227174282074,0.2048478180607829,1000000.0
0.0,29.0,Windrow,25.0,0.0,0.314,27.32884658064516,Byproduct,Calcium magnesium phosphate fertilizer,71.65799685890003,Mature compost,Potassium phosphate,0.0,9.426181925068471,Green waste,None,None,0.0,7.701000018299107,19.0,None,0.0,1.4280600332415827,49.74307800377238,90.49521699999994,3.1828114943831767,0.4287934005260467,0.1803692055724792,1000000.0
0.0,28.0,Trough,27.0,0.0,0.314,27.328846580645163,Husk,Inorganic acid,67.0,Green waste,Phosphogypsum,0.0,7.000000000000001,Green waste,None,None,0.0,2.47951275713917,19.0,None,0.0,1.4280600332415827,26.109506060877447,90.59659599999996,3.1828114943831767,0.5283910632133484,0.1957467831025301,1000000.0
1.0,36.0,Reactor,22.0,0.0,0.314,27.32884658064516,Green waste,Inorganic acid,70.66053397293511,Straw,Potassium phosphate,0.0,11.055174451535542,Green waste,None,None,0.0,2.792429843494729,39.0,None,0.0,1.4280600332415827,50.979533818155794,90.59659599999996,4.758268085394209,0.5172825455665588,0.1952964258327953,1000000.0
1.0,110.0,Trough,23.0,0.0,0.314,27.32884658064516,Byproduct,DCD,62.0,Straw,Gypsum,0.969577816817694,8.518576811315603,Green waste,None,None,3.0,2.370590983933411,30.0,Continuous,0.0,1.4280600332415827,40.467702325024526,91.908368,8.095283393685236,0.3963105976581573,0.2280230800838919,1000000.0
1.0,57.0,Reactor,7.0,1017.0,0.314,27.32884658064517,None,Ca-superphosphate,57.35104906818398,Byproduct,Microbiological agent,0.4658382791059857,7.0,Green waste,None,None,3.0,4.392342239119763,10.0,Intermittent ,5.320421718376793,1.4280600332415827,31.07681896963865,92.03238500000002,6.1887299436505305,0.1994983255863189,0.135614404566584,1000000.0
1.0,73.0,Windrow,22.0,0.0,0.314,27.328846580645163,Byproduct,Biochar,76.34094997505443,Byproduct,Inorganic acid,0.0,12.022549273914285,Green waste,None,None,0.0,4.499252859435288,31.0,None,0.0,1.4280600332415827,42.67878508694764,90.79324899999996,3.1828114943831767,0.3506599962711334,0.177889809283018,1000000.0
1.0,75.0,Reactor,7.0,885.0,0.314,27.32884658064516,Green waste,Potassium phosphate,51.0,Mature compost,Microbiological agent,1.590940568412351,8.0,Green waste,None,None,3.0,5.4363191791300025,12.0,Intermittent ,35.614508167347566,1.4280600332415827,24.32078978817612,91.950983,5.934117028190946,0.2832908928394317,0.1677360501041666,1000000.0
1.0,109.0,Windrow,14.0,0.0,0.314,29.02907580955277,Byproduct,Gypsum,80.54761391711247,Mature compost,K₂SO₄,0.0,11.977929954667218,Green waste,None,None,0.0,2.250461320770299,11.0,None,0.0,1.4280600332415827,48.56352475644509,90.94441599999996,3.1828114943831767,0.5310296416282654,0.2041198674119521,1000000.0
1.0,43.0,Trough,8.0,0.0,0.314,27.32884658064516,Green Waste,DCD,72.4066707890593,Straw,Phosphogypsum,0.4773090546214065,8.145619771883977,Green waste,None,None,0.0,4.534678067155473,25.09208695723402,Continuous,0.0,1.4280600332415827,34.33647705053055,90.85999999999996,6.184569608429239,0.4315501451492309,0.23046959621849,1000000.0
1.0,106.0,Reactor,9.0,0.0,0.314,27.328846580645163,Green Waste,Biochar,79.05984974256468,Byproduct,Potassium phosphate,0.0,5.0,Green waste,None,None,0.0,2.3441143252571197,28.815340559310677,None,0.0,1.4280600332415827,49.81328054727052,90.73754899999996,3.3006477751250656,0.4511410892009735,0.2009406650412901,1000000.0
