Material_2,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),V2_Ventilation Interval (min),Additive_3,Period (d),V1_Ventilation Type,Material_3,Application Rate (%DW),Additive_1,Initial GI (%),M1_is Enclosed,Material_Main,Compost volume (m3), Composting Method,V4_Ventilation Day,Additive_4,Turning times,V3_Ventilation Duration (min),Initial Moisture Content (%),Initial pH,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Woody peat,0.317529850268778,Zeolite,43.2755666191506,23.0,None,94.0,Intermittent ,Straw,8.896861675372616,Phosphogypsum,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Trough,33.0,None,23.0,6.827972872837678,51.0,6.0,2.4967368849582217,108.04770339550008,110.39926500000004,8.783803447532907,0.6078858375549316,0.1849878551667449,23.038070394560684
Green Waste,1.8991828944617644,Microbiological agent,14.167031478050792,1072.0,None,35.0,Intermittent ,Mature compost,2.1281596272525096,Microbiological agent,27.32884658064517,0.0,Poultry manure,0.6292491869918699,Windrow,34.0,None,1.0,20.69468999304661,53.0,11.097013009479266,2.4967368849582217,92.74468912772008,111.498509,7.551450539463313,1.087315797805786,0.1348354863936593,1000000.0
Green waste,0.1048579104375346,Gypsum,14.0,28.0,None,82.0,Intermittent ,Byproduct,4.253937222404917,Potassium phosphate,27.328846580645163,1.0,Poultry manure,0.6292491869918699,Trough,67.0,None,8.0,2.9180257698763774,52.00000000000001,8.890191603258398,2.4967368849582217,14.339937427107513,114.03075400000004,9.00668437407155,0.8349604606628418,0.1555639706399816,1000000.0
Husk,0.600836363683706,Zeolite,33.0,1269.0,None,62.0,Intermittent ,Mature compost,6.932677677840027,Biochar,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Reactor,58.0,None,24.0,6.427813352576102,66.0,9.681692763656086,2.4967368849582217,81.8774301815883,113.71431000000004,8.954324830266781,0.3973463475704193,0.1732469520675235,1000000.0
Plastic tube pieces,0.5278781870217037,MgSO₄,33.0,1347.0,None,108.0,Intermittent ,None,4.240201268428496,Lime,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Reactor,64.0,None,10.0,7.33491174362912,64.0,8.0,2.4967368849582217,50.05986204290879,114.31886100000004,8.76230742108279,0.4432614147663116,0.1702475045376757,1000000.0
None,0.7498917726322969,Potassium phosphate,24.0,1091.0,None,133.0,Intermittent ,Green waste,8.471313795121633,Forsterite,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Trough,32.0,None,7.0,7.117644793921471,51.0,9.904987889448035,2.4967368849582217,46.55034572250407,115.24920400000002,8.954324830266781,0.6124027371406555,0.1695542963268037,1000000.0
Straw,0.3098861289231986,Calcium magnesium phosphate fertilizer,18.0,651.0,None,77.0,Intermittent ,Mature compost,7.624698967702028,LB Culture,27.32884658064516,0.0,Poultry manure,0.6292491869918699,Trough,62.0,None,3.0,5.215526354798932,74.0969114612475,10.945521942963715,2.4967368849582217,98.9195671793962,113.70494200000005,9.028180400521668,0.606050968170166,0.1201090592735939,1000000.0
Byproduct,0.326253372015818,Inorganic acid,15.0,2.0,None,109.0,Intermittent ,Poultry manure,5.219043493925892,Microbiological agent,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Trough,26.0,None,15.0,4.873622439552056,50.0,7.0,2.4967368849582217,64.22731535227172,113.33724800000006,10.211103090797035,0.6341936588287354,0.2140442987413033,1000000.0
Green Waste,0.240811662579657,Potassium phosphate,36.0,769.0,None,110.0,Intermittent ,Byproduct,9.416499775913714,Zeolite,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Trough,40.0,None,2.0,4.31205143595111,50.0,8.0,2.4967368849582217,40.68398247672702,114.96010000000004,8.558612629523415,0.8155590295791626,0.1359470434783035,1000000.0
Husk,1.4599874674963893,DCD,22.0,285.0,None,69.0,Intermittent ,Mature compost,5.216895237944272,Zeolite,27.32884658064516,0.0,Poultry manure,0.6292491869918699,Trough,47.0,None,24.0,8.827447610872301,67.0,6.0,2.4967368849582217,82.57567808279046,110.599055,10.150097521676395,0.8835286498069763,0.1654400290175244,1000000.0
Green waste,0.1581268488828471,Gypsum,28.0,886.0,None,79.0,Intermittent ,None,7.973392341199535,Sodium phosphates,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Trough,62.0,None,14.0,6.695096291348117,62.0,11.67035517764339,2.4967368849582217,59.39951098797881,113.80726800000006,9.198701783255542,0.6389143466949463,0.14519646842343,1000000.0
Plastic tube pieces,0.2828229663276738,Zeolite,43.40498626842567,1099.0,None,120.0,Intermittent ,Poultry manure,8.957934787206629,Sulfur,27.32884658064516,0.0,Poultry manure,0.6292491869918699,Trough,33.0,None,4.0,39.27430236935095,81.0561176463736,9.251454154037754,2.4967368849582217,108.37083020748348,111.77453200000002,8.954324830266781,0.5601549744606018,0.150992024825018,21.075510742659105
Woody peat,1.2037516892905404,Calcium magnesium phosphate fertilizer,37.0,374.0,None,78.0,Intermittent ,Green waste,4.052735928492255,Forsterite,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Windrow,54.0,None,27.0,2.461459611907808,73.16485028698777,10.625003706372286,2.4967368849582217,62.58277475211376,112.35679200000004,8.671373959548466,0.6711677312850952,0.1434518039809608,1000000.0
