V5_Ventilation rate (L/min/kg iniDW),Additive_3,Application Rate (%DW),Additive_1,V2_Ventilation Interval (min),V3_Ventilation Duration (min),V4_Ventilation Day,M1_is Enclosed,Turning times,Material_2,Material_Main, Composting Method,Additive_2,Compost volume (m3),Period (d),Initial GI (%),Additive_4,Initial C/N (%),Initial pH,Material_3,Initial Moisture Content (%),V1_Ventilation Type,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.4059955591800501,None,9.533437813511227,K₂SO₄,129.0,6.3328608707623175,50.0,1.0,2.0,Soil,Swine manure,Trough,DCD,0.6277154746460176,50.0,27.32884658064516,None,40.27277660527568,9.297380665348468,Green waste,61.0,Intermittent ,2.0952942734506244,84.38331819699042,105.79017100000002,8.393159843725842,0.600075900554657,0.1343543690060597,25.38132657281896
0.7629415395839183,None,7.11877508661483,MgSO₄,1313.0,53.65831066918859,11.0,1.0,2.0,None,Swine manure,Reactor,Inorganic acid,0.6277154746460176,27.0,27.32884658064516,None,37.0,8.794586955896936,Mature compost,77.5043186702878,Intermittent ,2.0952942734506244,29.90938998403785,107.84427200000002,10.45641576352977,0.4835668206214905,0.1362481555530074,1000000.0
1.6770723840259076,None,5.595239330991694,Mg(OH)₂,462.0,2.881124375755077,26.0,1.0,0.0,Green waste,Swine manure,Reactor,Mg(OH)₂,0.6277154746460176,34.0,27.328846580645163,None,15.0,9.140170969803547,Poultry manure,65.0,Intermittent ,2.0952942734506244,13.522357451234091,108.047272,7.159864620652119,1.0410197973251345,0.1759574010866284,1000000.0
0.5377655487302933,None,9.76861720723644,Microbiological agent,463.0,3.2508454682535826,15.0,1.0,27.0,Byproduct,Swine manure,Reactor,Potassium phosphate,0.6277154746460176,39.0,27.32884658064516,None,44.110146851491045,10.948904653339136,Byproduct,63.0,Intermittent ,2.0952942734506244,92.42373809899529,104.894002,7.031535442289691,0.3544801771640777,0.1799748051391038,27.826175503884343
1.9533871617998049,None,2.2892039197375635,LB Culture,1338.0,37.0093574810973,1.0,1.0,3.0,Green Waste,Swine manure,Windrow,Gypsum,0.6277154746460176,33.0,27.32884658064516,None,34.0,9.03979664290057,Byproduct,73.35041770024989,Intermittent ,2.0952942734506244,76.06377049370091,107.58312600000004,7.164801712506877,1.1132099628448486,0.1502520878812563,1000000.0
1.8220213059659207,None,4.029400720358981,Forsterite,1147.0,18.81469174744489,4.0,1.0,31.0,Plastic tube pieces,Swine manure,Reactor,Zeolite,0.6277154746460176,38.0,27.32884658064516,None,18.0,11.204406746058096,None,60.0,Intermittent ,2.0952942734506244,56.43338654988624,104.78739500000005,9.145653805908614,0.6561511158943176,0.1807239812731982,1000000.0
0.9165588087580556,None,4.550528243798101,Potassium phosphate,85.0,21.46395393688296,5.0,1.0,4.0,Soil,Swine manure,Trough,Gypsum,0.6277154746460176,24.0,27.32884658064516,None,16.0,8.255398614330135,None,50.0,Intermittent ,2.0952942734506244,13.131795097454294,106.45962600000004,8.51907531009814,0.4375758469104767,0.1680145727964446,1000000.0
0.6897370006472492,None,3.8704571441424536,Ca-superphosphate,833.0,31.615382542653972,18.0,1.0,3.0,Woody peat,Swine manure,Reactor,DCD,0.6277154746460176,25.0,27.32884658064516,None,38.0,5.0,None,62.0,Intermittent ,2.0952942734506244,82.32141165947974,107.06219300000002,8.355874969316792,0.3950248062610626,0.1120205648859217,1000000.0
0.4798643175495414,None,3.3427307918639317,Sulfur,730.0,54.41778295648688,16.0,1.0,2.0,Woody peat,Swine manure,Trough,Zeolite,0.6277154746460176,39.0,27.32884658064516,None,18.0,5.0,Byproduct,76.481497819219,Intermittent ,2.0952942734506244,59.43038229892964,107.09101300000002,8.355874969316792,0.5551092028617859,0.1139410510672542,1000000.0
0.9484161222034656,None,3.642943124146023,Organic acid,0.0,0.0,24.0,1.0,9.0,Green waste,Swine manure,Trough,Mg(OH)₂,0.6277154746460176,39.0,27.32884658064516,None,13.0,8.0,Green waste,60.0,Continuous,2.0952942734506244,60.78586158435073,104.40320600000008,7.7970148797456575,0.5774158835411072,0.244116321052247,1000000.0
