Additive_3,V4_Ventilation Day,V2_Ventilation Interval (min),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Turning times,Additive_2,M1_is Enclosed,Material_Main,Material_2,Initial C/N (%),Additive_4,Application Rate (%DW),V1_Ventilation Type,Initial pH,Compost volume (m3),Material_3,Period (d),Initial Moisture Content (%),V3_Ventilation Duration (min),Initial GI (%), Composting Method,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,0.0,0.0,Gypsum,0.6727924555452682,24.0,Microbiological agent,0.0,Sheep manure,None,25.0,None,6.961872152420993,None,8.725982559182754,0.045,Straw,87.0,76.66623015416339,0.0,27.32884658064516,Windrow,1.97,13.998730051864928,103.56787400000002,14.887017044579702,0.9752561450004578,0.1906632322161537,1000000.0
None,5.0,0.0,Organic acid,1.018471337559708,13.0,Inorganic acid,1.0,Sheep manure,Green Waste,11.0,None,3.444854665042378,Continuous,7.000000000000001,0.045,Green waste,103.0,58.99999999999999,0.0,27.32884658064516,Reactor,1.97,61.02081065030724,104.58209800000004,9.581176364235176,1.0467257499694824,0.2101026871849273,1000000.0
None,2.0,0.0,Urea,0.7803634976206892,15.0,Mg(OH)₂,1.0,Sheep manure,Green Waste,33.0,None,7.918825226140981,Continuous,10.8037986746292,0.045,Straw,32.0,71.95358410101542,0.0,27.32884658064516,Windrow,1.97,43.5384060686258,107.99484700000002,11.98433810392002,0.9517364501953124,0.2047030175164223,1000000.0
None,4.0,877.0,Labile carbon source,1.7120439951479982,25.0,Mg(OH)₂,1.0,Sheep manure,Sawdust,39.0,None,8.454416385778522,Intermittent ,6.0,0.045,Straw,104.0,56.0,37.23197197012937,27.32884658064516,Windrow,1.97,67.48387757236301,101.75332099999996,13.683288091306515,0.7586376667022705,0.1568363471336086,1000000.0
None,2.0,0.0,MgO,1.4832339306357325,22.0,Gypsum,0.0,Sheep manure,None,30.0,None,7.471247345123611,Continuous,5.0,0.045,None,120.0,63.0,0.0,27.32884658064516,Trough,1.97,26.071308646323928,104.017934,17.47717946558785,0.9407141208648682,0.2080070382334394,1000000.0
None,3.0,0.0,Microbiological agent,0.5820830800527654,31.0,None,1.0,Sheep manure,Green waste,44.47278065698204,None,5.650728450320563,Continuous,7.0,0.045,Straw,89.0,70.0,0.0,27.32884658064516,Reactor,1.97,87.61137789425462,107.47900700000002,12.55063291987693,1.0217360258102417,0.2400299981430871,22.36636920253847
None,7.0,0.0,LB Culture,0.6764359814211198,12.0,Inorganic acid,0.0,Sheep manure,Green waste,28.0,None,6.173359667878407,Continuous,6.12843662359567,0.045,None,50.0,71.60868383447102,0.157488047499273,29.022745322802315,Windrow,0.858436072922643,48.054922080913855,104.90745200000003,1000000.0,1000000.0,1000000.0,1000000.0
None,1.0,0.0,MgHPO₄,0.8373181341820066,5.0,Inorganic acid,1.0,Sheep manure,Soil,30.0,None,6.878045062432392,Continuous,10.49450481342218,0.045,Straw,128.0,62.0,0.0,27.32884658064516,Reactor,1.97,47.14472584383475,108.605977,17.024904037587003,0.7555630207061768,0.2419069744986496,1000000.0
None,5.0,0.0,Zeolite,1.6623541934275083,26.0,Organic acid,1.0,Sheep manure,Straw,23.0,None,9.885642027224185,Continuous,9.731105920868425,0.045,Mature compost,132.0,73.12665907532259,0.0,27.328846580645163,Trough,1.97,49.84223227485933,103.69404400000002,17.340901364003514,0.8172035813331604,0.2357267599478253,1000000.0
None,16.0,0.0,LB Culture,1.766484490308564,17.0,Zeolite,1.0,Sheep manure,None,12.0,None,8.795115301822797,Continuous,10.474662040889331,0.045,Straw,37.0,65.0,0.0,27.32884658064516,Reactor,1.97,68.86086283515888,101.09278100000004,18.39741992053476,0.8313646912574768,0.2164547510492766,1000000.0
None,0.0,0.0,Mg(OH)₂,1.3322073678072988,1.0,Organic acid,1.0,Sheep manure,Sawdust,19.0,None,7.236138474836432,Continuous,10.01881846657368,0.045,Straw,124.0,62.0,0.0,27.32884658064516,Windrow,1.97,42.37066089088552,107.378583,13.983580943799648,0.7548680901527405,0.201970567571198,1000000.0
None,4.0,0.0,Biochar,1.7031269012840562,29.0,Microbiological agent,1.0,Sheep manure,Sawdust,28.0,None,6.72038419229307,Continuous,5.0,0.045,None,49.0,56.0,0.0,27.32884658064516,Reactor,1.97,11.064439030683422,103.434342,16.212809824268906,0.7606225609779358,0.2515281495539851,1000000.0
None,6.0,0.0,Zeolite,1.6865469076201225,28.0,None,1.0,Sheep manure,Husk,39.0,None,6.349670834218692,Continuous,5.0,0.045,Straw,40.0,69.0,0.0,27.32884658064516,Trough,1.97,73.64801452576427,107.63128400000004,15.311893658566108,1.045629620552063,0.2090336803836813,1000000.0
None,3.0,0.0,Carbonatite,1.56025420263885,9.0,None,0.0,Sheep manure,Byproduct,14.0,None,2.642530258353574,Continuous,6.0,0.045,Straw,109.0,75.47028144612199,0.0,27.32884658064516,Trough,1.97,76.66368310836994,107.429007,11.98745439441516,0.5480883121490479,0.2011143215756458,1000000.0
None,1.0,0.0,Mature compost,1.354483994694592,31.0,Microbiological agent,0.0,Sheep manure,Green waste,30.0,None,6.096003260168773,Continuous,7.0,0.045,Straw,76.0,79.46819786999251,0.0,28.49435600649678,Trough,1.97,53.2050926207843,108.57000700000002,13.179477392028216,0.9454450011253356,0.2028212010455334,1000000.0
None,0.0,0.0,Carbonatite,0.6298936159406305,12.0,None,1.0,Sheep manure,Straw,40.6456139829153,None,9.908492860758845,Continuous,11.357140610603562,0.045,Mature compost,42.0,70.97510429745515,0.0,27.32884658064516,Reactor,1.97,80.07185954634313,102.543431,13.968142632394812,0.78298020362854,0.2415758640353881,31.44682472330624
None,3.0,0.0,Calcium magnesium phosphate fertilizer,1.6872114161512315,22.0,MgO,1.0,Sheep manure,Husk,33.0,None,9.516613718042343,Continuous,8.644239064423692,0.045,Mature compost,114.0,59.0,0.0,27.32884658064516,Reactor,1.97,11.39458276806741,103.92150400000004,11.756512392964028,1.0101577043533323,0.237040336371437,1000000.0
None,3.0,0.0,MgO,1.9816781439649365,27.0,DCD,1.0,Sheep manure,Plastic tube pieces,16.0,None,2.2980254850364776,Continuous,5.0,0.045,None,95.0,61.0,0.0,27.32884658064516,Trough,1.97,59.66961866980292,103.580024,15.960327339533112,0.7255762219429016,0.2310341752540825,1000000.0
None,9.0,0.0,Sand,0.8488905960924986,9.0,Zeolite,1.0,Sheep manure,Woody peat,20.0,None,3.801913253539537,Continuous,8.0,0.045,Green waste,132.0,70.0,0.0,27.32884658064516,Reactor,1.97,35.2231179357089,101.631462,20.75357567316796,0.8713122010231018,0.2737090339739276,1000000.0
None,54.0,0.0,Labile carbon source,1.9737529167969992,22.0,Potassium phosphate,1.0,Sheep manure,None,18.0,None,3.4219743548635035,Continuous,10.254384673074934,0.045,Straw,96.0,59.0,0.0,27.32884658064516,Reactor,1.97,47.86601139517015,101.04099400000004,16.55903105855142,0.8326848745346069,0.212587065347901,1000000.0
None,8.0,0.0,Zeolite,1.7808262618226467,9.0,MgSO₄,1.0,Sheep manure,Green waste,39.0,None,4.527836407656185,Continuous,8.281888858161324,0.045,Green waste,60.0,71.33317597841882,0.0,27.32884658064516,Trough,1.97,22.776409712717538,102.24957500000002,13.677513355765932,1.089652419090271,0.2274465879862212,1000000.0
None,0.0,0.0,Sand,0.0,10.0,Ca-superphosphate,1.0,Sheep manure,Straw,34.69497673203588,None,5.27494093508964,None,8.0,0.045,Straw,46.0,60.0,0.0,27.32884658064516,Reactor,1.97,61.02099764004346,99.67139000000002,12.183359412264569,0.7539331912994385,0.2005910564178738,1000000.0
None,4.0,0.0,Mg(OH)₂,1.299748510783988,30.0,Organic acid,0.0,Sheep manure,Plastic tube pieces,26.0,None,2.6392301536494327,Continuous,10.587670195608297,0.045,Poultry manure,102.0,70.0,0.0,27.32884658064516,Windrow,1.97,78.72421657947164,103.8379,18.116472265801814,0.7681514620780945,0.2023064423015504,1000000.0
None,2.0,0.0,Sodium salt,0.679124692671824,9.0,Inorganic acid,0.0,Sheep manure,Green waste,25.0,None,6.917493789042092,Continuous,10.16571114211202,0.045,Green waste,37.0,70.0,0.0,27.32884658064516,Trough,1.97,29.42878728111225,104.56803800000004,11.247805271257516,0.9549738764762878,0.2168282626267467,1000000.0
None,9.0,0.0,MgCl₂,0.7639107426174301,9.0,Organic acid,1.0,Sheep manure,Green Waste,28.0,None,9.169517799510617,Continuous,9.607548803029388,0.045,Straw,65.0,77.28622250584947,0.0,27.32884658064516,Trough,1.97,19.073030520860232,104.91781700000008,15.308049796843632,1.0175265073776243,0.2333802718921919,1000000.0
None,0.0,0.0,Sodium phosphates,0.5512528744501303,31.0,Ca-superphosphate,1.0,Sheep manure,Soil,13.0,None,8.453905374852374,None,7.0,0.045,Straw,41.0,63.0,0.0,27.32884658064516,Windrow,1.97,20.7949315490181,103.34305099999996,12.203220224939104,0.757132887840271,0.2052235343361934,1000000.0
None,3.0,0.0,MgCl₂,1.2041294601889476,24.0,Ca-superphosphate,1.0,Sheep manure,None,33.0,None,9.978632484989678,Continuous,9.896720278203476,0.045,Straw,56.0,69.0,0.0,27.32884658064516,Trough,1.97,20.44451163111039,107.18627400000004,17.899169727053835,0.9407141208648682,0.2262242184438942,1000000.0
None,8.0,0.0,Sand,1.8826186817385069,18.0,Ca-superphosphate,1.0,Sheep manure,Byproduct,17.0,None,3.993762796791094,Continuous,8.414515670418563,0.045,Mature compost,58.0,54.0,0.0,27.32884658064516,Windrow,1.97,40.31984072551512,101.033556,7.307247455959358,0.5586987733840942,0.2109004339837659,1000000.0
None,9.0,0.0,Clay,0.7836886112659096,20.0,MgSO₄,0.0,Sheep manure,None,22.0,None,4.195380702681058,Continuous,5.0,0.045,Straw,121.0,57.0,0.0,27.32884658064516,Trough,1.97,26.1098350620433,105.16209500000002,19.53900405599043,0.9700347781181335,0.1909281095335536,1000000.0
None,3.0,0.0,Labile carbon source,1.3881093850466095,2.0,Gypsum,1.0,Sheep manure,Woody peat,19.0,None,5.947527677767138,Continuous,8.722174616833012,0.045,Mature compost,50.0,70.0,0.0,27.32884658064516,Reactor,1.97,51.08790640323316,103.01652200000002,17.16033721511257,0.6983427405357361,0.2281292035277092,1000000.0
None,2.0,950.0,Phosphogypsum,0.7682035816115326,19.0,Gypsum,0.0,Sheep manure,Byproduct,33.0,None,9.93649073817467,Intermittent ,5.0,0.045,Straw,133.0,68.0,2.726304969263289,27.32884658064516,Windrow,1.97,23.220178505468425,104.383685,11.680094876322796,0.6017572283744812,0.1543157051502159,1000000.0
None,60.0,0.0,Ferric salt,1.773773107110966,13.0,Inorganic acid,1.0,Sheep manure,None,27.0,None,6.483947390734143,Continuous,8.475835980057557,0.045,Straw,118.0,57.0,0.0,27.32884658064516,Windrow,1.97,28.640103983963517,101.06193400000002,15.284900122111376,0.7948300242424011,0.2006352637385633,1000000.0
None,11.0,0.0,Mature compost,1.3475097049737694,11.0,Ca-superphosphate,1.0,Sheep manure,Sawdust,23.0,None,4.025101042076884,Continuous,8.0,0.045,Straw,125.0,66.0,0.0,27.32884658064516,Reactor,1.97,25.53807235957345,100.94175000000004,18.85566257092512,0.9094980359077454,0.2662244187362002,1000000.0
None,0.0,0.0,MgHPO₄,0.7151960667155051,1.0,Inorganic acid,1.0,Sheep manure,Sawdust,29.368572232898146,None,5.499370997835622,Continuous,10.215739562287268,0.045,None,101.0,74.11114228199466,0.0,27.32884658064516,Reactor,1.97,24.32057115063234,102.66531600000002,13.29680074426182,0.7346129417419434,0.2134626795831337,1000000.0
None,12.0,0.0,Sodium phosphates,1.5657719406399384,2.0,MgSO₄,1.0,Sheep manure,Green Waste,13.0,None,5.52608454852964,Continuous,5.0,0.045,Straw,27.0,67.0,0.0,27.32884658064516,Trough,1.97,44.755102945188575,100.84481300000004,12.64929284681386,0.9978769421577454,0.2032538183459334,1000000.0
None,0.0,0.0,Sand,1.7186216756673232,29.0,Calcium magnesium phosphate fertilizer,0.0,Sheep manure,Straw,23.0,None,7.943002492161201,Continuous,11.65028552007458,0.045,Green waste,35.0,78.53303382271869,0.0,27.32884658064516,Windrow,1.97,68.03435393901704,102.314702,12.93956180810517,0.7791250944137573,0.211799597596907,1000000.0
None,2.0,0.0,MgHPO₄,1.6600461414238157,14.0,DCD,1.0,Sheep manure,Husk,17.0,None,4.311121402579458,Continuous,10.358114591793598,0.045,Straw,131.0,72.60220510050007,0.0,27.32884658064516,Reactor,1.97,47.89573260506975,107.98394700000004,12.906262698928169,0.9163788557052612,0.2354939556491759,1000000.0
None,2.0,0.0,Ferric salt,0.5909275713184909,17.0,MgSO₄,1.0,Sheep manure,Woody peat,40.0,None,3.219154869063055,Continuous,8.0,0.045,Straw,99.0,57.0,0.0,27.32884658064516,Windrow,1.97,75.35505161079497,107.947305,18.732321434647076,0.7039416432380676,0.2207365264499346,1000000.0
