Additive_2,Additive_3,Material_3,Initial Moisture Content (%),Additive_4,Turning times,Initial GI (%),V2_Ventilation Interval (min), Composting Method,Material_2,V3_Ventilation Duration (min),Additive_1,M1_is Enclosed,Material_Main,V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),V1_Ventilation Type,Application Rate (%DW),Compost volume (m3),Initial pH,Initial C/N (%),Period (d),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
MgO,None,Poultry manure,62.0,None,25.0,27.32884658064516,0.0,Trough,Green Waste,0.0,Organic acid,0.0,Green waste,0.0,0.0,None,4.844807232570757,0.314,5.0,38.0,15.0,1.4280600332415827,26.39625607440628,108.93312600000004,5.730278896983255,0.6664850115776062,0.1830862085779334,1000000.0
None,None,Straw,56.0,None,23.0,27.32884658064516,0.0,Reactor,Plastic tube pieces,0.0,K₂SO₄,1.0,Green waste,44.0,0.1009172599774863,Continuous,3.1856034703238025,0.314,6.0,30.0,51.0,1.4280600332415827,48.97176330780995,105.21525600000002,5.1128538434931405,0.6761401891708374,0.2348403506602791,1000000.0
Biochar,None,Straw,57.0,None,8.0,27.32884658064516,902.0,Windrow,Sawdust,30.07028628546801,Urea,0.0,Green waste,13.0,0.0554136123988415,Intermittent ,3.802705820032816,0.314,5.0,35.0,122.0,1.4280600332415827,51.24254178189122,107.483818,8.925303261507526,0.5901351571083069,0.1340526653998625,1000000.0
Inorganic acid,None,Straw,70.0,None,21.0,27.32884658064516,0.0,Reactor,Green Waste,0.0,Sulfur,1.0,Green waste,81.0,0.1188395774616069,Continuous,3.417395529396789,0.314,5.0,32.0,117.0,1.4280600332415827,7.515786466400843,104.296108,6.7787356808719865,0.6527686715126038,0.2066866115467778,1000000.0
Gypsum,None,Byproduct,56.0,None,2.0,27.32884658064516,0.0,Windrow,Soil,0.0,Microbiological agent,0.0,Green waste,0.0,0.0,None,3.683754819186486,0.314,7.0,36.0,109.0,1.4280600332415827,31.050353397705937,108.757415,6.642142840338956,0.5684486031532288,0.1668890087812095,1000000.0
None,None,Poultry manure,78.9435138167627,None,17.0,27.32884658064516,752.0,Windrow,Soil,34.42020603626953,Sulfur,0.0,Green waste,4.0,1.7526948734562882,Intermittent ,2.682732570398848,0.314,6.0,40.94231779408411,30.0,1.4280600332415827,58.4680877100072,109.64323700000004,11.246702115833628,0.8329366445541382,0.1788579317316494,24.31760274039835
Mg(OH)₂,None,Mature compost,71.38840088740758,None,5.0,27.32884658064516,0.0,Windrow,Sawdust,0.0,Ca-superphosphate,0.0,Green waste,0.0,0.0,None,4.158409092654401,0.314,6.0,34.0,14.0,1.4280600332415827,37.89999524478432,110.92962800000004,5.542543232831523,0.6587847471237183,0.1643699194527462,1000000.0
Calcium magnesium phosphate fertilizer,None,Byproduct,50.0,None,30.0,27.32884658064516,0.0,Windrow,Byproduct,0.0,Potassium phosphate,0.0,Green waste,0.0,0.0,None,2.6918455344507537,0.314,5.0,36.0,122.0,1.4280600332415827,30.12423465538657,108.43146300000002,6.642142840338956,0.5664579272270203,0.1642915519993485,1000000.0
MgO,None,Poultry manure,67.0,None,29.0,27.32884658064516,0.0,Windrow,Green Waste,0.0,Lignite,0.0,Green waste,0.0,0.0,None,3.4038612977601312,0.314,7.0,37.0,52.0,1.4280600332415827,51.96179483349537,110.63697800000006,6.565161149340946,0.6664850115776062,0.1790515914243253,1000000.0
Zeolite,None,Byproduct,73.32584225587156,None,22.0,27.32884658064516,0.0,Trough,Plastic tube pieces,0.0,Mg(OH)₂,1.0,Green waste,0.0,0.0,None,3.587081362036159,0.314,6.0,43.38054675450637,118.0,1.4280600332415827,61.9500250402784,107.226701,6.690532827595431,0.6020774245262146,0.2223552560315102,17.915638542309306
