Additive_3,Additive_4,Material_3,V4_Ventilation Day,Initial GI (%),Material_Main,V3_Ventilation Duration (min), Composting Method,Compost volume (m3),M1_is Enclosed,Turning times,Period (d),Initial Moisture Content (%),Application Rate (%DW),Initial pH,V1_Ventilation Type,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Material_2,V2_Ventilation Interval (min),Additive_1,Initial C/N (%),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,None,None,0.0,27.328846580645163,Sewage sludge,0.0,Reactor,4.210797122302158,1.0,5.0,99.0,80.00359175594863,4.096768440679869,11.457578509197027,None,0.0,Biochar,None,0.0,Sand,21.0,2.1457865217391303,11.88033209679254,108.49548500000004,9.478563533823024,0.2044801265001297,0.2201610989965927,1000000.0
None,None,None,16.0,27.32884658064516,Sewage sludge,0.0,Reactor,4.210797122302158,1.0,30.0,82.0,61.0,4.53006440415913,11.42452156604837,Continuous,0.4496672751050115,Ca-superphosphate,Green waste,0.0,Sand,39.0,2.1457865217391303,83.72860863274785,107.40237000000003,10.095396050816984,0.3862492442131042,0.2382243497100121,1000000.0
None,None,Poultry manure,0.0,27.32884658064516,Sewage sludge,0.0,Reactor,4.210797122302158,1.0,0.0,128.0,67.34588562949502,9.468775543468478,4.38033209123871,None,0.0,Calcium magnesium phosphate fertilizer,Green waste,0.0,Sand,19.0,2.1457865217391303,41.1858874277293,108.52827800000004,9.116682578016432,0.8504465818405151,0.2174481624947394,1000000.0
None,None,Straw,0.0,27.32884658064516,Sewage sludge,0.0,Reactor,4.210797122302158,1.0,19.0,14.0,54.0,9.642377775552047,8.0,None,0.0,Calcium magnesium phosphate fertilizer,Soil,0.0,Sodium salt,32.0,2.1457865217391303,37.1037952563721,108.52251800000003,10.029683952339951,0.2512461245059967,0.2145062351181065,1000000.0
None,None,Poultry manure,0.0,27.32884658064516,Sewage sludge,0.0,Windrow,4.210797122302158,0.0,22.0,89.0,69.0,6.633439574280325,11.22916756336129,None,0.0,Calcium magnesium phosphate fertilizer,Plastic tube pieces,0.0,Sulfur,40.0,2.1457865217391303,65.311609829285,108.52827800000004,10.029683952339951,0.1873388439416885,0.199983275911779,1000000.0
None,None,Mature compost,0.0,27.328846580645163,Sewage sludge,0.0,Trough,4.210797122302158,0.0,6.0,92.0,80.44087829395431,8.973677351842682,7.0,None,0.0,MgO,Plastic tube pieces,0.0,Sulfur,21.0,2.1457865217391303,85.21436018177984,101.935784,9.712107013885891,0.9312559962272644,0.2156268095844557,1000000.0
None,None,Mature compost,0.0,27.32884658064516,Sewage sludge,0.0,Trough,4.210797122302158,0.0,2.0,104.0,79.29304683706118,8.06981693379834,8.0,None,0.0,DCD,Plastic tube pieces,0.0,Potassium phosphate,35.0,2.1457865217391303,12.560338190480516,107.46938700000004,7.00784413095851,0.9317488074302672,0.2166325688173655,1000000.0
None,None,Byproduct,14.0,27.32884658064516,Sewage sludge,0.0,Trough,4.210797122302158,1.0,11.0,19.0,72.41740254349475,5.895026922445611,8.0,Continuous,1.0876681879282233,Calcium magnesium phosphate fertilizer,Woody peat,0.0,Sand,44.18121419815191,2.1457865217391303,94.80345394046384,109.77978600000002,9.439956032912605,0.8491272926330566,0.2353260853427926,30.74651363909336
None,None,Straw,13.0,27.32884658064516,Sewage sludge,0.0,Trough,4.210797122302158,0.0,24.0,122.0,62.0,5.647437741446328,8.866184937821547,Continuous,1.588424706503946,Biochar,Green waste,0.0,Urea,16.0,2.1457865217391303,84.56943382553065,109.95379400000002,8.034649351559723,0.3998880088329315,0.1969670921823147,1000000.0
None,None,None,0.0,27.32884658064516,Sewage sludge,0.0,Reactor,4.210797122302158,1.0,16.0,83.0,78.7646757291044,7.045874128835413,7.0,None,0.0,Calcium magnesium phosphate fertilizer,Green Waste,0.0,Urea,20.0,2.1457865217391303,65.05861097516191,108.52827800000004,9.816280622679717,0.5097139477729797,0.2635429244742516,1000000.0
None,None,None,0.0,27.32884658064516,Sewage sludge,0.0,Trough,4.210797122302158,1.0,27.0,45.0,70.0,4.482049198736041,5.0,None,0.0,Biochar,Sawdust,0.0,Urea,43.30792658240416,2.1457865217391303,92.92956514499063,108.49548500000004,9.50291529164978,0.1435463577508926,0.2199884222449035,30.51212452886226
None,None,Mature compost,7.0,27.32884658064516,Sewage sludge,0.0,Windrow,4.210797122302158,0.0,25.0,71.0,79.1844448935583,6.3556532092729725,10.707006774042895,Continuous,1.419412490276013,Gypsum,Soil,0.0,Sulfur,28.0,2.1457865217391303,49.19955685720306,108.16903000000003,9.748334416826998,0.2915612757205963,0.1778817297615682,1000000.0
None,None,None,3.0,27.32884658064516,Sewage sludge,0.0,Reactor,4.210797122302158,1.0,16.0,101.0,67.0,7.540240805899627,9.514689690129238,Continuous,0.6275711281829144,DCD,Plastic tube pieces,0.0,Zeolite,17.0,2.1457865217391303,62.32801564445424,108.70741600000004,11.573344997165076,0.2766182422637939,0.1926052741189657,1000000.0
None,None,Straw,0.0,27.32884658064516,Sewage sludge,0.0,Trough,4.210797122302158,1.0,11.0,94.0,68.0,5.164122412253621,5.0,None,0.0,DCD,Woody peat,0.0,Sodium salt,26.0,2.1457865217391303,41.88062418382671,108.56659000000003,10.574745223469154,0.976248562335968,0.2211737356269145,1000000.0
None,None,Mature compost,19.0,27.32884658064516,Sewage sludge,0.0,Reactor,4.210797122302158,1.0,7.0,88.0,72.54638459656327,7.541060612334058,7.0,Continuous,1.9911657622420904,Ca-superphosphate,None,0.0,Sulfur,41.1409324784257,2.1457865217391303,88.27965840398551,108.86498000000005,9.633423942141578,0.8375338912010193,0.2064873991804535,21.565978849930406
None,None,Mature compost,19.0,27.32884658064516,Sewage sludge,0.0,Windrow,4.210797122302158,1.0,30.0,120.0,73.08961734344462,5.413848912056277,11.55672328936905,Continuous,1.5320674270163064,Ca-superphosphate,Straw,0.0,Zeolite,39.0,2.1457865217391303,74.21846067724833,107.86766000000004,9.569103970980631,0.1370208263397216,0.186522151042373,1000000.0
None,None,Straw,0.0,27.328846580645163,Sewage sludge,0.0,Windrow,4.210797122302158,0.0,14.0,27.0,53.0,3.031423386658348,5.0,None,0.0,Ca-superphosphate,Plastic tube pieces,0.0,Urea,13.0,2.1457865217391303,68.72408600739229,107.19588200000004,9.289540016551182,0.2042313814163208,0.1600662068215329,1000000.0
