M1_is Enclosed,Additive_1,Initial GI (%),Additive_3,V2_Ventilation Interval (min),Additive_2,Initial Moisture Content (%),Material_2,Period (d),V3_Ventilation Duration (min),Additive_4,V4_Ventilation Day,Turning times, Composting Method,Initial pH,V5_Ventilation rate (L/min/kg iniDW),Material_Main,Initial C/N (%),Application Rate (%DW),V1_Ventilation Type,Compost volume (m3),Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
1.0,Biochar,27.328846580645163,None,1018.0,Biochar,52.6651038987439,Sawdust,32.0,11.663792179175577,None,21.0,17.0,Trough,6.0,1.2328773658332517,Digestate,35.0,1.7749396089032308,Intermittent ,0.0996875,Poultry manure,2.754411318174137,42.5885819400275,92.60517900000004,6.387887499282152,0.3171944320201874,0.162704815472293,1000000.0
1.0,Calcium magnesium phosphate fertilizer,27.32884658064516,None,822.0,Gypsum,76.316491414756,Husk,31.0,10.871286840778524,None,18.0,30.0,Reactor,5.0,0.4505830395656929,Digestate,27.0,3.766310328139196,Intermittent ,0.0996875,Poultry manure,2.754411318174137,80.18564183427247,92.29964800000002,7.0694224754665305,-0.013212819583714,0.1629818145094794,1000000.0
0.0,Sand,27.328846580645163,None,531.0,MgSO₄,65.0,Green Waste,124.0,53.23159323872753,None,11.0,29.0,Trough,11.979547532022533,0.2453547179257051,Digestate,20.0,9.729730121706451,Intermittent ,0.0996875,Byproduct,2.754411318174137,101.91983797881228,88.254218,7.096496321516396,0.0960899963974952,0.1265470840875628,1000000.0
0.0,Biochar,27.32884658064516,None,912.0,Potassium phosphate,53.0,Plastic tube pieces,90.0,18.491374176156874,None,11.0,14.0,Trough,6.0,1.9380613157970263,Digestate,42.48131963257919,2.919523407195584,Intermittent ,0.0996875,Green waste,2.754411318174137,117.0110276069493,92.17710900000006,5.859562568380741,0.357060968875885,0.150404095040035,19.82751677686612
1.0,Calcium magnesium phosphate fertilizer,27.32884658064516,None,781.0,MgO,63.0,Sawdust,21.0,32.796994366652825,None,6.0,12.0,Trough,5.0,0.2833955572746882,Digestate,44.25384716175616,5.039513946584455,Intermittent ,0.0996875,None,2.754411318174137,121.89329749508956,89.53115600000002,6.032236410380159,0.283646672964096,0.1162857575493143,24.299793837504136
1.0,Biochar,27.32884658064516,None,33.0,Calcium magnesium phosphate fertilizer,66.62571291017251,Green Waste,106.0,55.354458942238274,None,77.0,30.0,Reactor,11.072143769429353,0.537101598705362,Digestate,45.11351272923456,2.675146974762338,Intermittent ,0.0996875,None,2.754411318174137,124.26117006399669,92.81971500000004,8.3949721456315,0.1072845980525016,0.1746094473838944,22.73272485855192
1.0,Carbonatite,27.32884658064516,None,1225.0,DCD,73.28356565823674,Husk,97.0,33.952799164360805,None,77.0,10.0,Trough,5.0,1.0649412026811989,Digestate,29.0,9.53176587439544,Intermittent ,0.0996875,Poultry manure,2.754411318174137,90.14781777993174,91.18708800000002,6.289899486898885,0.2445964217185974,0.1633450495532329,1000000.0
1.0,Ca-superphosphate,27.32884658064516,None,238.0,Mg(OH)₂,51.0,Green Waste,56.0,36.75113038595968,None,24.0,21.0,Reactor,6.0,0.0342514170002772,Digestate,29.0,9.568375106590508,Intermittent ,0.0996875,None,2.754411318174137,14.45279550657604,93.12716400000004,6.77839635630936,0.0254883114248514,0.1322450530584367,1000000.0
1.0,Ca-superphosphate,27.32884658064516,None,560.0,Microbiological agent,70.0,Husk,129.0,1.5764661792122658,None,58.0,20.0,Trough,9.393647932057169,1.8735899554824984,Digestate,33.0,3.193614957272029,Intermittent ,0.0996875,Poultry manure,2.754411318174137,27.392661786369175,91.25222000000004,4.818338462501911,0.3360804915428161,0.1505840205086064,1000000.0
0.0,Biochar,27.32884658064516,None,0.0,Calcium magnesium phosphate fertilizer,63.0,Husk,77.0,0.0,None,0.0,18.0,Windrow,8.0,0.0,Digestate,19.0,9.328473136091745,None,0.0996875,Poultry manure,2.754411318174137,41.51502508959705,88.98883900000003,5.415720708304948,0.3899393081665039,0.1694728895335167,1000000.0
0.0,Calcium magnesium phosphate fertilizer,27.32884658064516,None,0.0,Biochar,57.0,Soil,78.0,0.0,None,54.0,21.0,Trough,10.542231230973574,1.2283397811240029,Digestate,25.25833287713688,8.53371122120848,Continuous,0.0996875,Mature compost,2.754411318174137,81.6818773996232,88.82515000000001,8.860604426961173,0.1680733859539032,0.1480327567352435,1000000.0
1.0,Biochar,27.32884658064516,None,156.0,Microbiological agent,75.08646898878467,Husk,127.0,29.64908080167969,None,34.0,17.0,Reactor,9.77498377861701,1.4283388642272064,Digestate,10.0,9.213195308966162,Intermittent ,0.0996875,Green waste,2.754411318174137,49.91892817618435,93.63648100000002,6.992148432429166,0.2447843700647354,0.1683540954793591,1000000.0
0.0,Calcium magnesium phosphate fertilizer,27.32884658064516,None,854.0,Microbiological agent,50.0,Sawdust,128.0,19.80881306039875,None,24.0,18.0,Trough,8.314528665713166,1.7445745668651147,Digestate,38.0,2.619331648186378,Intermittent ,0.0996875,Mature compost,2.754411318174137,56.71409392951465,91.10500200000004,5.79166810206523,0.3293371498584747,0.1310565564545482,1000000.0
1.0,Biochar,27.32884658064516,None,0.0,MgO,61.0,Green waste,35.0,0.0,None,21.0,7.0,Windrow,8.0,1.8569550520346123,Digestate,29.0,8.785869290917915,Continuous,0.0996875,Green waste,2.754411318174137,91.89949880299854,89.10887800000002,5.415720708304948,0.2910080850124359,0.2300236724655565,1000000.0
1.0,Calcium magnesium phosphate fertilizer,27.32884658064516,None,1094.0,Calcium magnesium phosphate fertilizer,52.0,Woody peat,34.0,31.433873955673604,None,8.0,21.0,Trough,6.0,0.7380492168916253,Digestate,28.0,8.917113577515678,Intermittent ,0.0996875,Green waste,2.754411318174137,100.09204499976032,90.61849500000002,8.783343802569755,-0.0234983060508966,0.1187017404498772,1000000.0
0.0,Biochar,27.32884658064516,None,1270.0,Inorganic acid,53.0,Green Waste,104.0,51.54669082672918,None,23.0,16.0,Trough,6.0,1.2349496936592437,Digestate,29.0,3.763319710686329,Intermittent ,0.0996875,Poultry manure,2.754411318174137,64.68822380237448,93.08344100000004,5.859562568380741,0.2311109900474548,0.1565911843428976,1000000.0
0.0,Ca-superphosphate,27.32884658064516,None,679.0,Gypsum,51.0,Plastic tube pieces,54.0,33.048982256662406,None,51.0,13.0,Windrow,10.286901870880156,1.2103553284532351,Digestate,16.0,4.732500470087458,Intermittent ,0.0996875,Byproduct,2.754411318174137,51.20339806092096,90.14143200000004,4.818338462501911,0.2475816905498504,0.1405221043367797,1000000.0
1.0,Calcium magnesium phosphate fertilizer,27.32884658064516,None,0.0,Zeolite,50.0,Green Waste,70.0,0.0,None,0.0,21.0,Trough,5.0,0.0,Digestate,31.87907138920211,7.010888698307879,None,0.0996875,Poultry manure,2.754411318174137,109.26465261684632,89.54279800000002,6.175298271748462,0.2292976975440979,0.168850131172609,1000000.0
1.0,Calcium magnesium phosphate fertilizer,27.32884658064516,None,1116.0,Inorganic acid,66.0,Green waste,63.0,47.77988733705254,None,10.0,23.0,Windrow,8.0,1.2990311571436308,Digestate,32.0,8.532135905125273,Intermittent ,0.0996875,Byproduct,2.754411318174137,68.48418401683465,90.94491700000002,7.19449181526757,-0.0093912119045853,0.169972934963636,1000000.0
1.0,Biochar,27.32884658064516,None,509.0,Ca-superphosphate,78.056771892014,Byproduct,64.0,57.4133354964895,None,28.0,0.0,Reactor,11.965298796127616,1.4480760740072445,Digestate,23.0,7.689237125986684,Intermittent ,0.0996875,Mature compost,2.754411318174137,84.16219297651978,92.52919200000004,7.520473363330569,0.2577638924121856,0.1525903301683156,1000000.0
1.0,Ca-superphosphate,27.32884658064516,None,1208.0,Gypsum,51.0,Husk,123.0,5.805550256304228,None,35.0,5.0,Trough,11.93022537549584,0.5895672274567221,Digestate,41.08591166147144,2.207321631333538,Intermittent ,0.0996875,Poultry manure,2.754411318174137,113.16750009785969,91.66460000000006,4.818338462501911,0.3670089840888977,0.1516478555113713,19.24229672630909
1.0,Carbonatite,27.32884658064516,None,290.0,Zeolite,75.34069835689449,Husk,79.0,21.06726498589129,None,62.0,14.0,Reactor,8.0,1.1645762526575556,Digestate,16.0,9.258882692276838,Intermittent ,0.0996875,Poultry manure,2.754411318174137,107.43731578927274,91.15004300000004,6.164830147097844,0.2441883683204651,0.1856235216057258,1000000.0
0.0,Biochar,27.328846580645163,None,352.0,Microbiological agent,70.56699157203924,Green waste,89.0,4.992250414231729,None,26.0,12.0,Trough,7.0,0.3998909212009731,Digestate,20.0,4.50448438647487,Intermittent ,0.0996875,Byproduct,2.754411318174137,104.01455504947204,92.27337700000004,5.859562568380741,0.2794409394264221,0.1644020545831166,1000000.0
1.0,Clay,27.328846580645163,None,13.0,Potassium phosphate,55.0,Byproduct,128.0,5.2854748017697855,None,40.0,3.0,Reactor,5.0,1.9169974007216408,Digestate,34.15896836636321,6.539388257881916,Intermittent ,0.0996875,None,2.754411318174137,24.67868849804369,90.20302600000002,6.326642137222288,0.2512059509754181,0.1623436303031953,1000000.0
0.0,Carbonatite,27.32884658064516,None,1214.0,Calcium magnesium phosphate fertilizer,69.0,Byproduct,128.0,40.66767566744341,None,21.0,27.0,Trough,8.074990363001627,0.488108005961092,Digestate,13.0,5.197056032702981,Intermittent ,0.0996875,Poultry manure,2.754411318174137,66.64051498772876,89.38432900000004,7.692723200101222,0.0142743894830346,0.1279084990786267,1000000.0
0.0,Calcium magnesium phosphate fertilizer,27.91266404551668,None,0.0,Organic acid,67.0,None,28.0,0.0,None,0.0,27.0,Trough,7.796233643616533,0.0,Digestate,11.0,6.100800582095632,None,0.0996875,Green waste,2.754411318174137,23.703058515659404,88.34484400000001,6.216713425293337,0.3169660568237304,0.1009084087481701,1000000.0
1.0,Biochar,27.32884658064516,None,0.0,Inorganic acid,79.7238549643937,None,101.0,0.0,None,0.0,11.0,Reactor,6.0,0.0,Digestate,16.0,4.064785280342489,None,0.0996875,Mature compost,2.754411318174137,66.33488893068466,89.619043,6.548306572353371,0.3883945345878601,0.149083157916065,1000000.0
