Additive_3,V4_Ventilation Day,Additive_4,Initial C/N (%),Additive_2,Application Rate (%DW),M1_is Enclosed,Turning times,Initial GI (%),Material_3,Initial Moisture Content (%),Compost volume (m3),Period (d),V2_Ventilation Interval (min),V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Additive_1, Composting Method,Material_Main,Material_2,Initial pH,V1_Ventilation Type,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,0.0,None,16.0,Mg(OH)₂,2.042000878505667,0.0,7.0,27.32884658064516,Straw,59.0,0.15181,43.0,0.0,0.0,0.0,Sand,Windrow,OFMSW,Husk,8.689698879749923,None,1.411,10.886974903585708,104.24613100000003,6.921499524856194,0.2011764049530029,0.1192719455288301,1000000.0
None,0.0,None,33.0,MgSO₄,2.43937764462226,1.0,4.0,27.32884658064516,None,70.31301642264486,0.15181,106.0,0.0,0.0,0.0,Ferric salt,Windrow,OFMSW,Green waste,5.0,None,1.411,21.215517142506748,103.50620100000002,6.322064246220466,0.4764730930328369,0.1888297652850332,1000000.0
None,0.0,None,10.0,Organic acid,3.5896789605552906,1.0,1.0,27.32884658064516,Green waste,69.0,0.15181,118.0,0.0,0.0,0.0,Sodium salt,Reactor,OFMSW,Green waste,6.0,None,1.411,38.74160547044749,103.35501600000003,4.726859462766296,0.1731038689613342,0.1621959720298356,1000000.0
None,0.0,None,28.000000000000004,Ca-superphosphate,5.27774187651494,0.0,29.0,27.32884658064516,Byproduct,78.26109527489699,0.15181,110.0,0.0,0.0,0.0,MgHPO₄,Windrow,OFMSW,None,8.445507216112155,None,1.411,22.35809133558453,101.11830866666668,8.53089170461461,-0.0250750202685594,0.1442105471848511,1000000.0
None,0.0,None,33.0,Microbiological agent,2.150326976613764,0.0,3.0,27.32884658064516,None,73.764720359105,0.15181,38.0,0.0,0.0,0.0,Gypsum,Windrow,OFMSW,Plastic tube pieces,10.550936104635335,None,1.411,29.30495484876166,104.76847500000004,7.307688708188448,0.1690886616706848,0.1393969848006385,1000000.0
None,0.0,None,16.0,Ca-superphosphate,6.251178750497351,1.0,11.0,27.90100690701568,Byproduct,70.0,0.15181,94.0,0.0,0.0,0.0,Organic acid,Windrow,OFMSW,Byproduct,5.0,None,1.411,31.864903548869066,102.0655926666667,7.115439670769715,0.3151689767837524,0.1547473585811829,1000000.0
None,0.0,None,32.0,MgSO₄,4.004088445317505,1.0,2.0,27.32884658064516,Straw,79.77455639007528,0.15181,21.0,0.0,0.0,0.0,Mature compost,Windrow,OFMSW,Soil,5.0,None,1.411,26.59700219339904,101.82651300000002,7.28684913665075,0.4674386084079742,0.2177931279283136,1000000.0
None,0.0,None,45.214289761868734,MgSO₄,6.96004860354671,0.0,14.0,27.32884658064516,Straw,70.0,0.15181,13.0,0.0,0.0,0.0,Lignite,Windrow,OFMSW,Green Waste,6.0,None,1.411,63.79736285399679,101.4107996666667,7.1610067764940855,0.173231229186058,0.1610291230953117,26.36187438563961
None,0.0,None,26.0,MgO,3.3405873355542,0.0,1.0,27.328846580645163,Poultry manure,58.0,0.15181,111.0,0.0,0.0,0.0,Forsterite,Windrow,OFMSW,None,8.0,None,1.411,53.71122678010798,104.74601600000004,6.322064246220466,0.057639792561531,0.1557591426015457,1000000.0
None,2.0,None,23.0,Inorganic acid,3.936393623254747,1.0,0.0,27.32884658064516,None,64.0,0.15181,105.0,0.0,0.0,1.813226690121472,K₂SO₄,Windrow,OFMSW,Byproduct,8.94190597392965,Continuous,1.411,41.92834632826706,103.55362700000003,8.410755914315187,0.1432541310787201,0.1952487803982319,1000000.0
