V5_Ventilation rate (L/min/kg iniDW),Material_2,V1_Ventilation Type,Compost volume (m3),Additive_1,Additive_3,V2_Ventilation Interval (min),Material_Main,M1_is Enclosed,Additive_4, Composting Method,Initial pH,Turning times,V4_Ventilation Day,Material_3,Additive_2,Initial C/N (%),Period (d),V3_Ventilation Duration (min),Initial Moisture Content (%),Application Rate (%DW),Initial GI (%),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,5.0,2.0,1.144422970477169,6.0,1.0,0.0,2,1.0,1.0,1.0,9.775409116633195,24.0,0.0,5.0,6.0,22.93785988650763,114.0,0.0,72.22898417935433,32.61937873231076,27.32884658064516,7.11452919176849,58.099913006720904,106.92546299999998,3.990290484400983,0.4762989580631256,0.19109947163020008,18.64014112580712
0.7189467161862706,4.0,1.0,5.058098169391332,14.0,1.0,781.0,2,0.0,1.0,2.0,7.256323768070614,4.0,72.0,5.0,2.0,35.20990739501919,90.0,23.08132500732224,82.42637590500856,31.08369484266949,27.32884658064516,4.891684116783656,58.66422346570822,107.19518599999999,6.483056998427072,0.4255579113960266,0.16196199043150375,21.45180155957444
0.0,6.0,2.0,4.65051100701992,13.0,1.0,0.0,2,1.0,1.0,1.0,6.785585055698219,9.0,0.0,4.0,12.0,43.86431997843351,18.0,0.0,79.25733716500021,36.13455569585869,27.32884658064516,6.331975518616799,35.72175574709935,106.71613899999998,5.64439481510505,0.3729300796985626,0.18837185357650796,26.278214615985704
6.590055022378874,2.0,1.0,12.598163045833767,31.0,6.0,668.0,2,0.0,1.0,1.0,12.0319478788447,8.0,30.0,0.0,15.0,23.795824705298593,36.0,2.6938366800071067,69.06742203599632,33.56080745326501,27.32884658064516,3.276052157186836,53.32531547767329,107.04386099999999,6.998937137700354,0.3171689808368683,0.15070836687452743,23.671614812061446
5.641444827433585,0.0,1.0,22.17485741986878,38.0,1.0,1067.0,2,1.0,1.0,2.0,10.583164858397513,22.0,0.0,4.0,10.0,25.077085213088154,115.0,15.65286288434071,74.027864244205,28.475890597034798,27.32884658064516,8.40381217962803,34.26648342875279,107.65927600000005,4.551529268767444,0.43766069412231445,0.1491738297781122,21.703802735869694
0.0,5.0,2.0,9.992464875688368,22.0,1.0,0.0,2,1.0,1.0,2.0,10.76386989955396,21.0,0.0,4.0,6.0,44.010973390723706,116.0,0.4227762948334605,78.45243521436353,28.000162659971252,27.32884658064516,1.6653572158822456,47.33607554851664,106.679892,5.226058784830816,0.3633950650691986,0.18382676142119508,18.865829047500103
7.611488320958024,2.0,1.0,18.343705423641605,23.0,3.0,1357.0,2,0.0,1.0,2.0,9.991481946018881,18.0,8.0,9.0,12.0,31.206018211679954,46.0,57.925924608727854,82.06130400403654,37.28233020627499,27.32884658064516,5.4740924287158155,50.81819732685981,106.76138700000001,8.96463288402891,0.371977835893631,0.15381458346999186,22.75913979582274
0.0,5.0,2.0,26.105796565851808,37.0,1.0,0.0,2,1.0,1.0,0.0,8.812522681179953,14.0,0.0,0.0,6.0,28.454513852255598,95.0,0.0,52.26371463445715,36.215570176456644,27.32884658064516,4.391002610689604,60.69614330422402,107.15105299999999,4.49089130003519,0.3757847249507904,0.18130339007171795,19.86392046612126
0.0,8.0,2.0,23.90973324850413,12.0,3.0,0.0,2,1.0,1.0,2.0,5.802330796441522,21.0,0.0,4.0,15.0,31.131677696883752,102.0,0.0,75.01104069497221,28.65408849134539,27.32884658064516,1.719738405713087,28.047441231043628,107.91175499999997,6.956089887559544,0.3920895755290985,0.18358953190753707,20.836360448846094
3.4466905684712543,3.0,1.0,4.78350533782474,19.0,5.0,727.0,2,0.0,1.0,1.0,6.505175475387844,17.0,81.0,3.0,9.0,45.17832887670816,107.0,55.021877162532526,51.716077600267425,34.42445684181218,27.32884658064516,5.3500477538348274,54.95808018970763,107.58487700000003,7.367941814819902,0.36570268869400024,0.16001377809268752,22.22704827448802
