V5_Ventilation rate (L/min/kg iniDW),Material_2,V1_Ventilation Type,Compost volume (m3),Additive_1,Additive_3,V2_Ventilation Interval (min),Material_Main,M1_is Enclosed,Additive_4, Composting Method,Initial pH,Turning times,V4_Ventilation Day,Material_3,Additive_2,Initial C/N (%),Period (d),V3_Ventilation Duration (min),Initial Moisture Content (%),Application Rate (%DW),Initial GI (%),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,6.0,2.0,3.4436993568850567,37.0,6.0,0.0,1,1.0,1.0,2.0,7.062763766992607,1.0,0.0,9.0,15.0,36.20640617823134,69.0,1.0231387748978418,45.04114159073316,31.933523397273003,27.32884658064516,6.2495453987416445,43.19691658897,108.21551999999998,4.846585359963388,0.3647941052913666,0.1793980152668965,18.595819121741865
0.0,5.0,2.0,12.595420172320802,17.0,1.0,0.0,1,1.0,1.0,2.0,9.53834418204735,21.0,0.0,5.0,15.0,25.82628260411191,128.0,0.0,81.60842675959907,27.690002373478446,27.32884658064516,6.300789175325166,61.728591560192655,107.98647299999998,4.941577818668334,0.3633950650691986,0.1842550703344847,20.44698456806187
0.0,5.0,2.0,1.925300276400889,36.0,4.0,0.0,1,0.0,1.0,1.0,4.972046805302783,14.0,0.0,2.0,1.0,41.411111056273526,17.0,0.0,67.8381346961382,31.527345628653087,27.32884658064516,7.402747329631572,53.50769858300343,107.093633,4.10932366563757,0.6560506224632263,0.16104337104491814,25.063028079928028
5.775152381104796,4.0,1.0,22.183960212042123,30.0,4.0,1372.0,1,1.0,1.0,0.0,5.225574555325897,23.0,36.0,2.0,5.0,43.28586504896081,117.0,54.7633371489504,52.038890063702965,32.48464006097264,27.32884658064516,2.0762328784322115,58.57791253162212,107.30564399999999,5.088148630976048,0.366972416639328,0.1579042481579147,21.57797861465193
0.0,2.0,2.0,20.015944618920024,28.0,5.0,0.0,1,1.0,1.0,2.0,7.2819964032953575,24.0,0.0,0.0,15.0,27.580696228309264,32.0,0.0,67.70347245254732,37.587684733526594,27.32884658064516,8.412061724260035,47.65347934518189,108.19679699999999,6.59053305320819,0.5687235593795776,0.1999953466336628,23.87669197362652
8.374136998709726,4.0,0.0,19.738763408833968,33.0,5.0,0.0,1,0.0,1.0,1.0,5.586815834001398,17.0,0.0,4.0,13.0,43.30081777107658,75.0,55.304041973142404,78.18306825814318,37.66397214222141,27.32884658064516,2.2205707613164933,44.16970669634954,109.91272400000004,7.183870593644172,0.366755872964859,0.17225972009624452,19.66685421903993
0.0,6.0,2.0,21.51979252767086,35.0,1.0,0.0,1,1.0,1.0,0.0,5.264098163251337,28.0,0.0,5.0,6.0,22.697231131577436,77.0,0.0,83.03095565398431,31.03195496275341,27.32884658064516,6.1325004155609,52.84575442169567,107.02314499999999,4.465058802643496,0.3647941052913666,0.2013031641315627,21.612461924845316
0.0,6.0,2.0,6.862626205651657,33.0,3.0,0.0,1,1.0,1.0,2.0,5.7612445776361545,1.0,0.0,5.0,15.0,38.336136030894224,108.0,2.3913372354722218,46.29445520965761,36.90607357706186,27.32884658064516,2.7459704793288275,37.02257236897742,108.54537699999999,5.512592883445763,0.33557751774787903,0.17372534932975445,17.02663767624242
9.628411198826987,8.0,1.0,24.34179440836162,37.0,4.0,1351.0,1,1.0,1.0,1.0,10.296081031234078,11.0,0.0,0.0,8.0,24.90507536166412,119.0,4.9318067046728515,84.00830485286457,29.99718605643133,27.32884658064516,3.4107139249008807,47.54228124727391,106.81705200000002,6.0471901219739665,0.4673176407814026,0.16087912786515385,22.09378432760016
1.2109516563728122,2.0,1.0,16.884817708600266,33.0,1.0,298.0,1,1.0,1.0,1.0,11.843846741713177,0.0,12.0,5.0,13.0,27.595175428291434,38.0,56.39384122208556,78.91119130084162,34.56015079278389,27.32884658064516,7.114653585059028,32.182622052113196,108.10752800000004,9.489848361338531,0.20681849122047424,0.15973734793162056,20.215865893819412
