Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),Compost volume (m3),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Initial pH,Initial GI (%),Initial C/N (%),Initial Moisture Content (%),Final GI (%)
10,13,4,27,11,4,1,0,1.0,5.0,4.0,37.0,0.06,1.0,37.0,25.0,0.0,0.48,7.06079,37.7432,21.10526,70.0,85.7977
10,13,4,27,11,4,1,0,1.0,5.0,4.0,37.0,0.06,1.0,37.0,25.0,0.0,0.72,7.06079,41.6342,14.66667,70.0,66.1479
10,13,4,27,11,4,1,0,1.0,5.0,4.0,37.0,0.06,1.0,37.0,25.0,0.0,0.24,8.03614,43.7743,21.52632,75.0,73.7354
10,13,4,27,11,4,1,0,1.0,5.0,4.0,37.0,0.06,1.0,37.0,25.0,0.0,0.48,7.98302,42.4125,14.70833,75.0,53.3074
10,13,4,27,11,4,1,0,1.0,5.0,4.0,37.0,0.06,1.0,37.0,25.0,0.0,0.72,7.89742,46.6926,17.90476,75.0,85.9922
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,37.0,0.0,0.0,0.24,8.6,37.6,14.7,64.1,62.0
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,37.0,0.0,0.0,0.48,8.5,32.8,18.3,65.2,90.9
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,37.0,0.0,0.0,0.72,8.3,43.6,20.7,63.7,83.5
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,37.0,0.0,0.0,0.24,8.5,40.7,18.4,71.3,81.4
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,37.0,0.0,0.0,0.48,8.3,37.6,21.1,70.6,85.7
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,37.0,0.0,0.0,0.72,8.7,41.4,15.0,70.8,66.2
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,37.0,0.0,0.0,0.24,8.4,43.7,21.2,75.7,73.5
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,37.0,0.0,0.0,0.48,8.6,42.4,14.9,76.8,53.2
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,37.0,0.0,0.0,0.72,8.6,46.5,18.0,74.0,86.1
7,0,4,27,11,4,1,2,0.0,0.0,14.0,21.0,2.0,2.0,0.0,0.0,0.0,0.0,7.24116,33.68381,26.03,60.0,83.2288
7,0,4,25,11,4,1,2,0.0,0.0,14.0,21.0,2.0,2.0,0.0,0.0,3.0,0.0,7.46543,30.3009,26.03,60.0,90.7011
7,0,4,25,11,4,1,2,0.0,0.0,14.0,21.0,2.0,2.0,0.0,0.0,3.0,0.0,7.32671,30.3009,26.03,60.0,89.0959
7,0,4,25,11,4,1,2,0.0,0.0,14.0,21.0,2.0,2.0,0.0,0.0,3.0,0.0,7.39607,30.3009,26.03,60.0,94.5756
7,0,4,25,11,4,1,2,0.0,0.0,14.0,21.0,2.0,2.0,0.0,0.0,3.0,0.0,7.43075,30.3009,26.03,60.0,89.1513
7,0,4,25,11,4,1,2,0.0,0.0,14.0,21.0,2.0,2.0,0.0,0.0,3.0,0.0,7.50243,30.3009,26.03,60.0,85.941
7,0,4,25,11,4,1,2,0.0,0.0,14.0,21.0,2.0,2.0,0.0,0.0,3.0,0.0,7.18798,30.3009,26.03,60.0,86.2731
7,0,4,25,11,4,1,2,0.0,0.0,14.0,21.0,2.0,2.0,0.0,0.0,3.0,0.0,7.2296,30.3009,26.03,60.0,84.059
10,13,4,27,11,4,1,1,0.0,0.0,20.0,70.0,1.046,2.0,0.0,0.0,0.0,0.0,8.58,46.3494,21.09164,65.7,116.483
10,13,4,27,11,4,1,1,1.0,0.0,20.0,70.0,1.036,2.0,0.0,0.0,0.0,0.0,8.58,37.7002,20.00523,65.7,94.5508
10,13,4,27,11,4,1,1,0.0,0.0,10.0,70.0,0.929,2.0,0.0,0.0,0.0,0.0,8.58,28.4546,20.16346,65.7,118.588
10,13,4,27,11,4,1,1,1.0,0.0,10.0,70.0,1.113,2.0,0.0,0.0,0.0,0.0,8.58,41.7938,21.40811,65.7,97.0069
10,13,4,27,11,4,1,1,0.0,0.0,0.0,70.0,3.395,2.0,0.0,0.0,0.0,0.0,8.58,27.4015,20.16151,65.7,54.0264
10,13,4,27,11,4,1,1,1.0,0.0,0.0,70.0,0.912,2.0,0.0,0.0,0.0,0.0,8.58,46.706,21.70559,65.7,60.1649
10,13,4,27,11,4,1,1,0.0,0.0,10.0,70.0,1.2,2.0,0.0,0.0,0.0,0.0,7.4,39.3,17.4,64.0,85.2
10,13,4,27,11,4,1,1,1.0,0.0,10.0,70.0,1.2,2.0,0.0,0.0,0.0,0.0,7.4,39.3,17.4,64.0,80.6
10,13,4,27,11,4,1,1,0.0,0.0,5.0,70.0,1.2,2.0,0.0,0.0,0.0,0.0,7.4,39.3,17.4,64.0,73.5
10,13,4,27,11,4,1,1,1.0,0.0,5.0,70.0,1.2,2.0,0.0,0.0,0.0,0.0,7.4,39.3,17.4,64.0,70.5
10,13,4,27,11,4,1,1,0.0,0.0,0.0,70.0,1.2,2.0,0.0,0.0,0.0,0.0,7.4,39.3,17.4,64.0,67.4
10,13,4,27,11,4,1,1,1.0,0.0,0.0,70.0,1.2,2.0,0.0,0.0,0.0,0.0,7.4,39.3,17.4,64.0,65.6
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,0.06,0.0,35.0,0.0,0.0,0.2,7.78,38.6,11.37,72.1,97.4
10,13,4,27,11,4,1,0,1.0,0.0,7.0,56.0,1.2,2.0,0.0,0.0,0.0,0.0,7.89425,33.75425,18.98238,67.6,121.3
10,13,4,4,11,4,1,0,1.0,0.0,7.0,56.0,1.2,2.0,0.0,0.0,3.3,0.0,7.84081,30.94543,18.98238,67.6,102.0
10,13,4,4,11,4,1,0,1.0,0.0,7.0,56.0,1.2,2.0,0.0,0.0,6.6,0.0,7.56281,31.15648,18.98238,67.6,112.2
10,13,4,4,11,4,1,0,1.0,0.0,7.0,56.0,1.2,2.0,0.0,0.0,9.9,0.0,7.34205,27.69723,18.98238,67.6,121.4
10,13,4,4,11,4,1,0,1.0,0.0,7.0,56.0,1.2,2.0,0.0,0.0,13.2,0.0,7.32895,27.69723,18.98238,67.6,82.5
7,13,4,27,11,4,1,0,1.0,0.0,9.0,28.0,0.13,2.0,0.0,0.0,0.0,0.0,6.54514,22.0588,30.8801,61.4561,121.0
7,13,4,8,11,4,1,0,1.0,0.0,9.0,28.0,0.13,2.0,0.0,0.0,2.0,0.0,6.85143,14.4118,30.0375,60.661,127.0
7,13,4,8,11,4,1,0,1.0,0.0,9.0,28.0,0.13,2.0,0.0,0.0,4.0,0.0,6.44457,19.7059,30.3496,59.7109,138.0
7,13,4,8,11,4,1,0,1.0,0.0,9.0,28.0,0.13,2.0,0.0,0.0,6.0,0.0,6.54057,15.5882,30.568,60.4548,148.0
7,13,4,8,11,4,1,0,1.0,0.0,9.0,28.0,0.13,2.0,0.0,0.0,8.0,0.0,6.49486,22.6471,30.8801,60.0684,170.0
7,13,4,8,11,4,1,0,1.0,0.0,9.0,28.0,0.13,2.0,0.0,0.0,10.0,0.0,6.55429,20.5882,31.0362,59.4546,178.0
0,13,4,27,11,4,1,1,0.0,0.0,12.0,64.0,1.0,2.0,0.0,0.0,0.0,0.0,7.9,29.47002,21.05429,74.0,65.9
0,13,4,27,11,4,1,1,1.0,0.0,12.0,64.0,1.0,2.0,0.0,0.0,0.0,0.0,7.9,29.47002,21.05429,74.0,84.8
0,13,4,27,11,4,1,1,1.0,0.0,12.0,64.0,1.0,2.0,0.0,0.0,0.0,0.0,7.9,29.47002,21.05429,74.0,110.4
0,13,4,27,11,4,1,1,1.0,0.0,12.0,64.0,1.0,0.0,64.0,0.0,0.0,1.157,7.9,36.06254,20.6,74.0,117.9
7,13,2,27,11,4,1,0,1.0,30.0,0.0,25.0,0.06,1.0,25.0,30.0,0.0,0.08242,6.99231,31.54192,19.76844,60.0,42.0
7,13,2,27,11,4,1,0,1.0,30.0,0.0,25.0,0.06,1.0,25.0,30.0,0.0,0.82645,7.1,31.54192,20.12346,60.0,97.0
7,13,2,27,11,4,1,0,1.0,30.0,0.0,25.0,0.06,1.0,25.0,30.0,0.0,1.64384,6.9,33.77192,20.01965,60.0,106.28
10,13,4,27,11,4,1,0,1.0,30.0,2.0,28.0,0.07122,1.0,28.0,30.0,0.0,0.8589,7.2692,18.448,15.04166,60.0,75.0
10,13,4,27,11,4,1,0,1.0,30.0,2.0,28.0,0.07122,1.0,28.0,30.0,0.0,0.92562,7.2692,21.0835,19.96354,60.0,88.5
10,13,4,27,11,4,1,0,1.0,30.0,2.0,28.0,0.07122,1.0,28.0,30.0,0.0,0.90323,7.14183,33.47,24.98683,60.0,116.05
10,13,4,27,11,4,1,0,1.0,30.0,2.0,28.0,0.07122,1.0,28.0,30.0,0.0,0.90909,6.9768,36.896,30.22585,60.0,146.91
2,5,4,27,11,4,1,0,1.0,60.0,4.0,28.0,0.06,1.0,28.0,30.0,0.0,1.20727,5.75,44.4,25.0,66.9,70.8
2,0,4,27,11,4,1,0,1.0,60.0,4.0,28.0,0.06,1.0,28.0,30.0,0.0,0.96434,5.36,51.4,20.9,58.6,121.4
2,0,4,27,11,4,1,0,1.0,60.0,4.0,28.0,0.06,1.0,28.0,30.0,0.0,0.85547,5.13,55.0,18.7,53.1,150.0
2,0,4,27,11,4,1,0,1.0,60.0,4.0,28.0,0.06,1.0,28.0,30.0,0.0,0.76023,5.04,58.3,16.8,47.5,152.2
7,8,4,27,11,4,1,2,1.0,30.0,0.0,21.0,0.06,1.0,21.0,30.0,0.0,0.15543,8.89,31.09347,30.3,59.79,107.576
7,8,4,27,11,4,1,2,1.0,30.0,0.0,21.0,0.06,1.0,21.0,30.0,0.0,0.31087,8.89,31.09347,30.3,59.79,117.677
7,8,4,27,11,4,1,2,1.0,30.0,0.0,21.0,0.06,1.0,21.0,30.0,0.0,0.15543,8.89,31.09347,30.3,59.79,88.3838
8,8,4,27,11,4,1,0,1.0,120.0,0.0,20.0,0.004,1.0,20.0,60.0,0.0,0.83817,7.43,69.0167,16.4,71.2,101.1
8,8,4,24,11,4,1,0,1.0,120.0,0.0,20.0,0.004,1.0,20.0,60.0,3.0,0.776,7.19,37.2913,12.5,69.1,65.5
8,8,4,24,13,4,1,0,1.0,120.0,0.0,20.0,0.004,1.0,20.0,60.0,0.0,0.83817,7.1,77.7365,13.8,69.8,85.7143
8,8,4,31,11,4,1,0,1.0,120.0,0.0,20.0,0.004,1.0,20.0,60.0,1.55,0.82263,7.45,49.3506,13.3,70.0,48.3
0,5,4,27,11,4,1,0,1.0,0.0,11.0,66.0,0.028,0.0,66.0,0.0,0.0,0.4,7.55687,34.4262,18.0,72.7,97.7459
0,5,4,27,11,4,1,0,1.0,0.0,11.0,66.0,0.028,0.0,66.0,0.0,0.0,0.4,7.55687,34.4262,18.0,71.7,93.2377
0,5,4,27,11,4,1,0,1.0,0.0,11.0,66.0,0.028,0.0,66.0,0.0,0.0,0.2,7.55687,34.4262,18.0,71.7,49.1803
0,8,4,27,11,4,1,0,1.0,0.0,11.0,66.0,0.028,0.0,66.0,0.0,0.0,0.2,6.99087,32.0833,22.0,68.8,95.0
0,8,4,27,11,4,1,0,1.0,0.0,11.0,66.0,0.028,0.0,66.0,0.0,0.0,0.2,6.99087,31.6667,26.0,69.5,86.875
0,8,4,27,11,4,1,0,1.0,0.0,11.0,66.0,0.028,0.0,66.0,0.0,0.0,0.2,7.40391,35.0,29.0,67.3,91.6667
0,5,4,27,11,4,1,0,1.0,0.0,11.0,66.0,0.028,0.0,66.0,0.0,0.0,0.2,8.43,34.4262,18.0,71.8,112.295
0,13,4,27,11,4,1,1,0.0,0.0,0.0,64.0,1.1,2.0,0.0,0.0,0.0,0.0,7.9,38.7423,23.2134,74.27405,65.7975
0,13,4,27,11,4,1,1,1.0,0.0,0.0,64.0,1.1,2.0,0.0,0.0,0.0,0.0,7.9,38.7423,23.2134,74.27405,84.2945
0,13,4,27,11,4,1,1,1.0,0.0,12.0,64.0,1.1,2.0,0.0,0.0,0.0,0.0,7.9,38.7423,21.05429,74.27405,109.969
0,13,4,27,11,4,1,1,1.0,1410.0,12.0,64.0,1.1,1.0,64.0,30.0,0.0,2.5,7.9,38.7423,19.52418,74.27405,117.975
1,13,4,27,11,4,1,1,1.0,0.0,9.0,40.0,0.2,2.0,0.0,0.0,0.0,0.0,7.6376,50.3571,29.7094,65.0,97.619
1,13,4,25,11,4,1,1,1.0,0.0,9.0,40.0,0.2,2.0,0.0,0.0,1.0,0.0,7.74491,52.381,29.8465,65.0,130.595
1,13,4,2,11,4,1,1,1.0,0.0,9.0,40.0,0.2,2.0,0.0,0.0,5.0,0.0,7.65293,49.7619,33.0811,65.0,105.714
1,13,4,2,10,4,1,1,1.0,0.0,9.0,40.0,0.2,2.0,0.0,0.0,6.0,0.0,7.61269,50.7143,33.4375,65.0,131.786
0,13,4,27,11,4,1,0,1.0,0.0,0.0,20.0,0.06,0.0,20.0,0.0,0.0,0.21,7.53,42.5336,29.35,60.22,90.14
0,13,4,27,11,4,1,0,1.0,10.0,0.0,20.0,0.06,1.0,20.0,10.0,0.0,0.42,7.53,42.5336,29.35,60.22,94.79
0,13,4,27,11,4,1,0,1.0,15.0,0.0,20.0,0.06,1.0,20.0,5.0,0.0,0.84,7.53,42.5336,29.35,60.22,88.56
7,13,4,27,11,4,1,1,0.0,0.0,10.0,30.0,0.1458,2.0,0.0,0.0,0.0,0.0,7.50003,55.8948,20.0,61.0,87.5514
7,13,4,27,11,4,1,1,0.0,0.0,10.0,30.0,0.1458,2.0,0.0,0.0,0.0,0.0,7.45559,55.6409,25.0,61.0,86.1971
7,13,4,27,11,4,1,1,0.0,0.0,10.0,30.0,0.1458,2.0,0.0,0.0,0.0,0.0,7.41485,50.9855,30.0,61.0,83.8271
10,13,4,27,11,4,1,0,1.0,0.0,9.0,56.0,0.1,2.0,0.0,0.0,0.0,0.0,7.694,27.2527,24.8781,68.51741,114.286
10,13,4,28,11,4,1,0,1.0,0.0,9.0,56.0,0.1,2.0,0.0,0.0,15.0,0.0,7.01357,25.8462,22.8873,62.2323,139.253
10,13,4,2,11,4,1,0,1.0,0.0,9.0,56.0,0.1,2.0,0.0,0.0,10.0,0.0,6.73299,24.2637,26.366,62.9923,123.429
10,13,4,2,12,4,1,0,1.0,0.0,9.0,56.0,0.1,2.0,0.0,0.0,25.0,0.0,7.33823,22.8571,24.4799,60.0,152.264
0,5,4,27,11,4,1,0,1.0,0.0,0.0,21.0,0.06,0.0,21.0,0.0,0.0,0.21,7.26,27.0292,11.5,55.0,70.9552
0,5,4,17,11,4,1,0,1.0,0.0,0.0,21.0,0.06,0.0,21.0,0.0,20.0,0.21,7.36,52.3342,14.7,55.0,90.0531
0,5,4,17,11,4,1,0,1.0,0.0,0.0,21.0,0.06,0.0,21.0,0.0,20.0,0.21,7.21,68.5675,14.0,55.0,113.607
0,13,4,27,11,4,1,0,1.0,0.0,2.0,31.0,0.06,0.0,31.0,0.0,0.0,0.09384,9.1,36.12385,14.2,65.4,84.4
0,13,4,27,11,4,1,0,1.0,0.0,2.0,31.0,0.06,0.0,31.0,0.0,0.0,0.15639,9.1,36.12385,14.2,65.4,70.1
0,13,4,27,11,4,1,0,1.0,20.0,2.0,31.0,0.06,1.0,31.0,10.0,0.0,0.28151,9.1,43.50719,14.2,65.4,80.4
10,3,4,27,11,4,1,0,1.0,0.0,0.0,48.0,0.045,0.0,48.0,0.0,0.0,0.3279,8.82,54.5,17.07927,50.0,126.4
7,3,4,27,11,4,1,0,1.0,0.0,0.0,48.0,0.045,0.0,48.0,0.0,0.0,0.34666,8.08,9.4,17.32857,50.0,89.3
9,3,4,27,11,4,1,0,1.0,0.0,0.0,48.0,0.045,0.0,48.0,0.0,0.0,0.38698,8.66,34.3,19.33299,50.0,118.3
5,12,4,27,11,4,1,0,1.0,0.0,0.0,48.0,0.045,0.0,48.0,0.0,0.0,0.32143,8.19,23.2,21.56792,50.0,102.3
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,0.06,0.0,35.0,0.0,0.0,0.2,7.82186,38.6235,10.57997,72.1,113.314
8,13,4,30,11,4,1,0,1.0,0.0,5.0,35.0,0.06,0.0,35.0,0.0,10.0,0.2,7.57287,43.0769,11.30095,72.1,103.193
8,13,4,4,11,4,1,0,1.0,0.0,5.0,35.0,0.06,0.0,35.0,0.0,10.0,0.2,7.78543,38.8262,10.89254,72.1,105.622
8,13,4,30,3,4,1,0,1.0,0.0,5.0,35.0,0.06,0.0,35.0,0.0,12.5,0.2,7.75506,47.3282,11.19228,72.1,108.658
8,13,4,4,3,4,1,0,1.0,0.0,5.0,35.0,0.06,0.0,35.0,0.0,12.5,0.2,7.69433,58.6643,11.3794,72.1,118.375
10,13,4,27,11,4,1,0,1.0,0.0,1.0,21.0,1.2096,0.0,21.0,0.0,0.0,0.24,7.3,48.12,19.9,59.81,93.25
10,0,4,27,11,4,1,0,1.0,0.0,1.0,21.0,1.2096,0.0,21.0,0.0,0.0,0.24,7.86,52.34,19.9,60.21,105.78
10,13,4,27,11,4,1,0,1.0,0.0,4.0,70.0,1.2096,2.0,0.0,0.0,0.0,0.0,8.11709,12.7221,17.26269,63.6,112.278
10,13,4,27,11,4,1,0,1.0,0.0,4.0,70.0,1.2096,0.0,70.0,0.0,0.0,0.18,8.11709,12.7221,17.26269,63.6,98.748
10,13,4,27,11,4,1,0,1.0,0.0,4.0,70.0,1.2096,0.0,70.0,0.0,0.0,0.36,8.11709,12.7221,17.26269,63.6,100.969
10,13,4,27,11,4,1,0,1.0,0.0,4.0,70.0,1.2096,0.0,70.0,0.0,0.0,0.54,8.11709,12.7221,17.26269,63.6,93.0937
10,13,4,27,11,4,1,0,1.0,20.0,4.0,70.0,1.2096,1.0,70.0,40.0,0.0,0.54,8.11709,12.7221,17.26269,63.6,106.624
10,13,4,27,11,4,1,0,1.0,5.0,4.0,30.0,0.06,1.0,30.0,25.0,0.0,0.48,7.8444,22.1,17.86175,65.9,100.7
10,13,4,30,11,4,1,0,1.0,5.0,4.0,30.0,0.06,1.0,30.0,25.0,10.0,0.48,7.85581,43.2,18.73469,64.289,105.9
10,13,4,30,3,4,1,0,1.0,5.0,4.0,30.0,0.06,1.0,30.0,25.0,10.2,0.48,7.79357,45.4,17.73301,65.499,112.4
10,13,4,30,3,4,1,0,1.0,5.0,4.0,30.0,0.06,1.0,30.0,25.0,5.2,0.48,7.8112,37.1,17.80952,66.59,107.9
7,13,2,27,11,4,1,0,1.0,30.0,2.0,25.0,0.06,1.0,25.0,30.0,0.0,0.08242,7.00477,18.3578,20.0,65.0,42.1089
7,13,2,27,11,4,1,0,1.0,30.0,2.0,25.0,0.06,1.0,25.0,30.0,0.0,0.82645,7.10083,21.6768,20.0,65.0,97.0787
7,13,2,27,11,4,1,0,1.0,30.0,2.0,25.0,0.06,1.0,25.0,30.0,0.0,1.64384,6.88782,15.2463,20.0,65.0,105.583
7,8,0,27,11,4,1,2,0.0,0.0,20.0,83.0,2.0,2.0,0.0,0.0,0.0,0.0,8.3,37.63776,23.5,72.4,46.0
7,8,0,27,11,4,1,2,0.0,0.0,20.0,83.0,2.0,2.0,0.0,0.0,0.0,0.0,7.9,37.63776,14.4,71.9,26.0
10,13,4,27,11,4,1,1,0.0,0.0,7.0,54.0,0.13,2.0,0.0,0.0,0.0,0.0,7.482,14.7958,23.88997,67.05,84.196
10,13,4,4,11,4,1,1,0.0,0.0,7.0,54.0,0.13,2.0,0.0,0.0,15.0,0.0,6.99747,17.9891,25.44271,62.77778,91.2548
10,13,4,4,11,4,1,1,0.0,0.0,7.0,54.0,0.13,2.0,0.0,0.0,15.0,0.0,6.91509,22.8632,25.44271,62.77778,76.2968
10,13,4,27,11,4,1,1,0.0,0.0,7.0,54.0,0.13,2.0,0.0,0.0,0.0,0.0,7.482,23.3193,23.88997,68.11741,111.975
10,13,4,28,11,4,1,1,0.0,0.0,7.0,54.0,0.13,2.0,0.0,0.0,6.0,0.0,7.17006,20.5882,26.09554,64.44,83.6134
10,13,4,28,11,4,1,1,0.0,0.0,7.0,54.0,0.13,2.0,0.0,0.0,6.0,0.0,7.17006,22.2689,24.98825,64.44,86.7647
0,5,4,27,11,4,1,0,1.0,0.0,0.0,21.0,0.007,0.0,21.0,0.0,0.0,16.43192,9.19,12.39538,126.63202,71.66,112.09
0,0,4,27,11,4,1,0,1.0,0.0,0.0,21.0,0.007,0.0,21.0,0.0,0.0,2.47443,8.01468,22.27305,36.1165,61.98909,105.78
0,0,4,27,11,4,1,0,1.0,0.0,0.0,21.0,0.007,0.0,21.0,0.0,0.0,2.47443,8.01468,22.27305,36.1165,61.98909,117.35
0,0,4,27,11,4,1,0,1.0,0.0,0.0,21.0,0.007,0.0,21.0,0.0,0.0,2.47443,8.01468,22.27305,36.1165,61.98909,119.45
8,13,4,27,11,4,1,0,1.0,720.0,9.0,45.0,0.12,1.0,45.0,20.0,0.0,1.91742,7.26608,25.4785,20.85195,65.0,92.0
8,13,4,28,11,4,1,0,1.0,720.0,9.0,45.0,0.12,1.0,45.0,20.0,5.0,2.78971,6.76797,23.5407,25.68378,65.0,114.0
8,13,4,28,11,4,1,0,1.0,720.0,9.0,45.0,0.12,1.0,45.0,20.0,1.0,4.55625,6.57881,3.30144,20.65631,65.0,103.0
8,13,4,36,11,4,1,0,1.0,720.0,9.0,45.0,0.12,1.0,45.0,20.0,1.0,2.87465,6.9256,15.5742,19.16872,65.0,52.0
8,13,4,13,11,4,1,0,1.0,720.0,9.0,45.0,0.12,1.0,45.0,20.0,3.0,4.55625,6.13745,10.622,22.88208,65.0,74.0
8,13,4,22,11,4,1,0,1.0,720.0,9.0,45.0,0.12,1.0,45.0,20.0,3.0,3.30742,7.07692,16.0048,20.94962,65.0,112.0
8,13,4,4,11,4,1,0,1.0,720.0,9.0,45.0,0.12,1.0,45.0,20.0,5.0,4.03855,6.70492,16.0048,23.30187,65.0,81.0
8,8,4,27,11,4,1,0,1.0,90.0,104.0,52.0,0.1,1.0,52.0,15.0,0.0,0.00583,6.85069,20.9537,24.0367,59.0,87.0
8,8,4,8,11,4,1,0,1.0,90.0,104.0,52.0,0.1,1.0,52.0,15.0,2.0,0.00583,7.02885,23.0194,24.25967,59.5,96.0
8,8,4,8,11,4,1,0,1.0,90.0,104.0,52.0,0.1,1.0,52.0,15.0,5.0,0.00583,7.10357,33.8492,24.13938,58.0,92.0
8,8,4,8,11,4,1,0,1.0,90.0,104.0,52.0,0.1,1.0,52.0,15.0,10.0,0.00583,7.0461,34.365,24.09582,58.0,97.0
10,13,4,27,11,4,1,0,1.0,0.0,0.0,50.0,0.1,0.0,50.0,0.0,0.0,0.3,7.7,17.02512,25.0,60.0,93.06
10,13,4,2,11,4,1,0,1.0,0.0,0.0,50.0,0.1,0.0,50.0,0.0,10.0,0.3,7.7,19.00608,25.0,60.0,99.34
10,13,4,38,11,4,1,0,1.0,0.0,0.0,50.0,0.1,0.0,50.0,0.0,10.0,0.3,7.7,19.00608,25.0,60.0,98.21
10,13,4,2,15,4,1,0,1.0,0.0,0.0,50.0,0.1,0.0,50.0,0.0,20.0,0.3,7.7,19.0671,25.0,60.0,102.41
10,13,4,27,11,4,1,0,1.0,0.0,9.0,50.0,0.1,0.0,50.0,0.0,0.0,0.3,7.74554,30.71407,25.28504,59.723,93.4361
10,13,4,2,11,4,1,0,1.0,0.0,9.0,50.0,0.1,0.0,50.0,0.0,10.0,0.3,8.21429,36.32043,21.45731,58.21,99.6662
10,13,4,2,15,4,1,0,1.0,0.0,9.0,50.0,0.1,0.0,50.0,0.0,20.0,0.3,8.14732,25.12525,20.20431,64.18,102.617
10,13,4,2,15,5,1,0,1.0,0.0,9.0,50.0,0.1,0.0,50.0,0.0,20.5,0.3,8.01897,24.29101,20.20431,64.18,104.912
10,13,4,2,15,5,1,0,1.0,0.0,9.0,50.0,0.1,0.0,50.0,0.0,21.0,0.3,7.8404,24.74981,20.20766,64.18,104.256
10,13,4,2,15,5,1,0,1.0,0.0,9.0,50.0,0.1,0.0,50.0,0.0,22.0,0.3,7.82924,24.74981,20.20766,64.68,106.224
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,0.06,0.0,35.0,0.0,0.0,0.1,7.84398,48.4194,11.37,72.86,110.091
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,0.06,0.0,35.0,0.0,0.0,0.2,7.7688,48.1839,11.37,72.86,97.1194
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,0.06,0.0,35.0,0.0,0.0,0.3,7.89098,54.08,11.37,72.86,87.0957
10,13,4,27,11,4,1,0,1.0,0.0,3.0,28.0,0.06,0.0,28.0,0.0,0.0,0.25,8.56244,20.3539,24.8,52.2,116.999
10,13,4,13,8,4,1,0,1.0,0.0,3.0,28.0,0.06,0.0,28.0,0.0,1.15122,0.25,8.07981,19.1053,21.18859,62.0,107.259
10,13,4,13,8,1,1,0,1.0,0.0,3.0,28.0,0.06,0.0,28.0,0.0,1.15122,0.25,8.03662,21.7647,21.18859,62.0,108.235
10,13,4,13,8,1,1,0,1.0,0.0,3.0,28.0,0.06,0.0,28.0,0.0,0.75122,0.25,7.99718,25.6863,21.22,62.14,88.2353
10,13,4,13,8,1,1,0,1.0,0.0,3.0,28.0,0.06,0.0,28.0,0.0,1.75122,0.25,7.94273,29.2157,21.22,62.14,90.7843
10,13,4,13,8,1,1,0,1.0,0.0,3.0,28.0,0.06,0.0,28.0,0.0,0.75122,0.25,7.99343,23.6005,20.95335,62.0,81.9101
0,13,4,27,11,4,1,2,0.0,0.0,0.0,45.0,6.48,2.0,0.0,0.0,0.0,0.0,7.60329,26.7073,25.0,60.0,94.3902
0,13,4,4,11,4,1,2,0.0,0.0,0.0,45.0,6.48,2.0,0.0,0.0,10.0,0.0,6.22852,25.6911,25.0,60.0,110.447
0,13,0,27,11,4,1,2,0.0,0.0,0.0,45.0,6.48,2.0,0.0,0.0,0.0,0.0,7.51554,25.4878,25.0,60.0,104.756
0,13,4,27,11,4,1,2,0.0,0.0,0.0,35.0,26.25,2.0,0.0,0.0,0.0,0.0,8.96646,21.6867,19.2334,62.672,57.6305
0,13,0,27,11,4,1,2,0.0,0.0,0.0,35.0,26.25,2.0,0.0,0.0,0.0,0.0,8.73049,23.8956,20.3833,59.7839,71.4859
0,13,0,27,11,4,1,2,0.0,0.0,0.0,35.0,26.25,2.0,0.0,0.0,0.0,0.0,8.51646,26.506,21.4286,56.0294,76.1044
0,13,0,27,11,4,1,2,0.0,0.0,0.0,35.0,26.25,2.0,0.0,0.0,0.0,0.0,8.33537,30.1205,22.7875,53.7189,82.5301
0,5,4,27,11,4,1,0,1.0,180.0,0.0,30.0,0.09,1.0,30.0,30.0,0.0,2.0,8.7367,51.0553,15.8894,77.67,28.5427
0,5,4,27,11,4,1,0,1.0,180.0,0.0,30.0,0.09,1.0,30.0,30.0,0.0,2.0,8.7367,51.0553,15.8894,77.67,38.191
