Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),Compost volume (m3),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Initial pH,Initial GI (%),Initial C/N (%),Initial Moisture Content (%),Final GI (%)
7,13,4,2,11,4,1,2,0.0,0.0,11.0,135.0,4.5,2.0,0.0,0.0,3.0,0.0,6.54776,0.09852,9.71875,66.989,52.9064
8,13,4,27,11,4,1,0,1.0,0.0,0.0,56.0,0.13,2.0,0.0,0.0,0.0,0.0,8.03025,41.69798,25.0236,66.93481,56.41
8,13,4,8,11,4,1,0,1.0,0.0,0.0,56.0,0.13,2.0,0.0,0.0,2.0,0.0,8.03025,41.69798,25.2437,66.93481,63.78
8,13,4,8,11,4,1,0,1.0,0.0,0.0,56.0,0.13,2.0,0.0,0.0,4.0,0.0,7.93505,42.07495,27.68296,66.86481,74.46
8,13,4,8,11,4,1,0,1.0,0.0,0.0,56.0,0.13,2.0,0.0,0.0,6.0,0.0,7.60611,36.89036,27.80003,65.84713,85.47
8,13,4,8,11,4,1,0,1.0,0.0,0.0,56.0,0.13,2.0,0.0,0.0,10.0,0.0,7.05387,27.47561,28.84589,60.99778,93.15
7,4,0,27,11,4,1,0,1.0,30.0,180.0,45.0,2.4,1.0,45.0,17.0,0.0,6.67,7.87459,18.9917,30.4875,55.0,98.9221
7,4,0,8,11,4,1,0,1.0,30.0,180.0,45.0,2.4,1.0,45.0,17.0,0.44444,6.67,7.73601,19.4087,29.153,55.0,120.626
7,4,0,8,11,4,1,0,1.0,30.0,180.0,45.0,2.4,1.0,45.0,17.0,0.44444,6.67,7.7218,16.9045,31.2883,55.0,114.157
3,4,4,27,11,4,1,0,1.0,0.0,4.0,30.0,0.06,0.0,30.0,0.0,0.0,0.2,6.1837,9.74889,20.0,60.59701,93.0576
3,4,4,20,6,4,1,0,1.0,0.0,4.0,30.0,0.06,0.0,30.0,0.0,2.1383,0.2,4.77333,17.1344,22.76333,61.81118,100.295
3,4,4,4,11,4,1,0,1.0,0.0,4.0,30.0,0.06,0.0,30.0,0.0,3.20088,0.2,4.41037,6.49926,21.50538,62.39118,106.056
3,4,4,10,11,4,1,0,1.0,0.0,4.0,30.0,0.06,0.0,30.0,0.0,2.216,0.2,5.00148,9.45347,23.97465,60.53118,90.9897
3,4,4,16,11,4,1,0,1.0,0.0,4.0,30.0,0.06,0.0,30.0,0.0,2.53615,0.2,5.58222,9.15805,25.31765,60.53118,80.3545
10,8,0,27,11,4,1,0,1.0,360.0,8.0,34.0,0.06,1.0,34.0,30.0,0.0,0.0,8.26949,21.4231,20.8683,60.0,75.7692
10,8,0,38,11,4,1,0,1.0,360.0,8.0,34.0,0.06,1.0,34.0,30.0,7.5,0.0,7.98373,36.4231,19.9837,60.0,84.5385
10,8,0,4,11,4,1,0,1.0,360.0,8.0,34.0,0.06,1.0,34.0,30.0,7.5,0.0,7.86487,16.4615,20.2439,60.0,77.8462
10,8,0,20,6,4,1,0,1.0,360.0,8.0,34.0,0.06,1.0,34.0,30.0,7.5,0.0,7.18207,45.4231,20.2959,60.0,94.4615
10,8,3,27,11,4,1,1,1.0,0.0,8.0,56.0,0.4,0.0,28.0,0.0,0.0,5e-05,7.98471,1.14007,22.43201,65.0,70.4558
10,8,3,2,11,4,1,1,1.0,0.0,8.0,56.0,0.4,0.0,28.0,0.0,8.4771,5e-05,8.02,1.14007,24.87619,65.0,83.6808
10,8,3,2,11,4,1,1,1.0,0.0,8.0,56.0,0.4,0.0,28.0,0.0,16.95419,5e-05,7.90706,1.14007,22.65348,65.0,130.879
10,8,3,2,11,4,1,1,1.0,0.0,8.0,56.0,0.4,0.0,28.0,0.0,25.43129,4e-05,7.93882,1.14007,21.46182,65.0,136.58
10,8,3,2,12,4,1,1,1.0,0.0,8.0,56.0,0.4,0.0,28.0,0.0,9.04224,5e-05,7.97765,1.14007,24.37066,65.0,88.4688
10,8,3,2,12,4,1,1,1.0,0.0,8.0,56.0,0.4,0.0,28.0,0.0,9.60738,5e-05,8.03059,1.14007,24.37066,65.0,147.524
10,8,3,2,12,4,1,1,1.0,0.0,8.0,56.0,0.4,0.0,28.0,0.0,10.17252,5e-05,8.00941,1.14007,25.68731,65.0,98.5016
3,8,4,18,11,4,1,0,1.0,0.0,9.0,35.0,0.02,0.0,35.0,0.0,2.25,0.5,11.9607,10.0885,29.0076,60.16,115.9
3,8,4,18,8,6,1,0,1.0,0.0,9.0,35.0,0.02,0.0,35.0,0.0,1.8209,0.5,6.47344,20.4425,32.0229,63.01118,11.3
3,8,4,18,8,6,1,0,1.0,0.0,9.0,35.0,0.02,0.0,35.0,0.0,2.5709,0.5,8.34411,13.2743,30.3435,59.33148,24.2
3,8,4,18,8,6,1,0,1.0,0.0,9.0,35.0,0.02,0.0,35.0,0.0,3.3209,0.5,11.5866,15.9292,26.9466,59.82,109.7
3,8,4,18,8,6,1,0,1.0,0.0,9.0,35.0,0.02,0.0,35.0,0.0,4.0709,0.5,12.0647,22.5664,29.0458,61.16,125.1
10,13,4,27,11,4,1,0,1.0,690.0,6.0,40.0,0.099,1.0,30.0,30.0,0.0,7.69231,6.8098,23.3491,16.53936,64.54545,94.3868
10,13,4,4,11,4,1,0,1.0,690.0,6.0,40.0,0.095,1.0,30.0,30.0,6.0,7.31707,5.99866,19.6698,16.39658,63.55556,84.1981
10,13,4,28,11,4,1,0,1.0,690.0,6.0,40.0,0.105,1.0,30.0,30.0,15.0,6.81818,6.19841,26.0377,15.97083,62.06897,102.028
10,13,4,28,11,4,1,0,1.0,690.0,6.0,40.0,0.09,1.0,30.0,30.0,1.46082,7.79221,6.11367,18.2547,16.34774,65.17413,94.1038
8,13,4,27,11,4,1,0,1.0,0.0,11.0,56.0,0.13,1.0,56.0,4.5,0.0,1.11111,7.4,16.9733,25.02125,55.0,56.41
8,13,4,2,11,4,1,0,1.0,0.0,11.0,56.0,0.13,1.0,56.0,4.5,2.0,1.11111,7.8,16.11794,25.08996,55.0,65.5
8,13,4,2,11,4,1,0,1.0,0.0,11.0,56.0,0.13,1.0,56.0,3.0,4.0,1.11111,7.8,15.5003,25.00167,55.0,72.85
8,13,4,2,11,4,1,0,1.0,0.0,11.0,56.0,0.13,1.0,56.0,1.5,6.0,1.11111,8.0,16.60198,23.99361,55.0,81.34
8,13,4,2,11,4,1,0,1.0,0.0,11.0,56.0,0.13,1.0,56.0,3.0,8.0,1.11111,8.0,17.13228,22.31769,55.0,87.63
8,13,4,2,11,4,1,0,1.0,0.0,11.0,56.0,0.13,1.0,56.0,1.5,12.0,1.11111,8.1,19.98933,21.13909,55.0,98.63
