Minimum,Maximum
0.0,9.0
0.0,7.0
0.0,4.0
0.0,44.0
0.0,15.0
0.0,3.0
0.0,0.0
0.0,2.0
0.0,1.0
14.0,112.0
0.0,66.0
0.0,2.0
0.0,40.0
0.0,11.0
0.0,20.0
0.0,31.36
0.0,13.55
43.4,80.7
0.0,10.0
5.22,45.58
0.0,36.3
