Additive_3,V3_Ventilation Duration (min),Initial GI (%),Initial pH,Additive_4,Additive_1,Additive_2, Composting Method,Application Rate (%DW),Compost volume (m3),Period (d),V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),Turning times,V1_Ventilation Type,Material_2,M1_is Enclosed,Material_3,Material_Main,Initial Moisture Content (%),Initial C/N (%),V2_Ventilation Interval (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
4,0.0,27.32884658064516,5.561401663457437,1,28.0,12.0,0.0,6.765339923450092,0.0996875,126.0,0.0,0.0,13.0,2,14.0,1.0,3.0,1,62.0,33.0,0.0,2.754411318174137,90.89557349974652,108.47771900000002,10.03369945807502,1.1066763401031494,0.1520941076612291,1000000.0
4,0.0,27.32884658064516,6.0,1,31.0,10.0,0.0,7.648224965720417,0.0996875,17.0,0.0,0.0,15.0,2,8.0,1.0,4.0,1,63.0,34.66315609563059,0.0,2.754411318174137,95.47658947344172,108.61894700000005,9.856192177051037,1.0430235862731934,0.15274401097441423,27.95328740728598
4,0.0,27.32884658064516,6.788250038032033,1,17.0,8.0,2.0,4.38685267933927,0.0996875,41.0,0.0,0.0,28.0,2,8.0,1.0,2.0,1,55.0,32.31350752562663,0.0,2.754411318174137,89.00469085849114,108.38052700000006,5.631134021767335,0.9485270977020264,0.16092779276323096,23.92924658948308
4,0.0,27.32884658064516,6.252357619231679,1,24.0,13.0,0.0,5.060374794326555,0.0996875,71.0,0.0,0.0,9.0,2,4.0,1.0,4.0,1,63.80122793554853,32.4829533784668,0.0,2.754411318174137,89.47141443337178,108.80861200000002,10.026630873805773,1.1066763401031494,0.1628618536975932,18.86392330322485
4,0.0,27.32884658064516,5.0,1,35.0,8.0,1.0,8.01853288024768,0.0996875,30.0,0.0,0.0,1.0,2,5.0,1.0,4.0,1,62.0,33.98067065647397,0.0,2.754411318174137,93.59674385533968,110.50156000000004,10.07098433248407,1.0430235862731934,0.16325586652952676,18.171162457244467
4,0.0,27.32884658064516,5.497958972356038,1,33.0,2.0,2.0,6.98374954869828,0.0996875,112.0,0.0,0.0,23.0,2,2.0,1.0,4.0,1,61.69480229726422,36.230468727052376,0.0,2.754411318174137,99.79361312454718,108.159347,10.03369945807502,1.1066763401031494,0.16221549829848242,17.359582265320263
4,0.0,27.32884658064516,5.15781466198642,1,24.0,8.0,1.0,8.75826881409534,0.0996875,85.0,0.0,0.0,8.0,2,13.0,1.0,3.0,1,51.0,32.5103816690904,0.0,2.754411318174137,89.54696322750358,108.47771900000002,5.598308144137319,0.9805616140365601,0.1367054885680113,23.80255352109167
4,41.48598821144456,27.32884658064516,7.0,1,12.0,7.0,0.0,3.3101654685756663,0.0996875,90.0,66.0,0.13529742102177122,29.0,1,3.0,1.0,4.0,1,61.0,31.0,1280.0,2.754411318174137,85.38675086339825,107.66049700000002,13.02264454406789,1.3483108282089233,0.13002682299805227,1000000.0
4,0.0,27.32884658064516,5.402084047736709,1,6.0,13.0,1.0,5.163383278655795,0.0996875,48.0,0.0,0.0,5.0,2,8.0,1.0,4.0,1,62.90089874355728,34.0,0.0,2.754411318174137,93.64998481792065,108.89454100000005,9.818907302641987,1.1066763401031494,0.1644116601764074,1000000.0
4,0.0,27.32884658064516,6.0,1,4.0,11.0,0.0,5.388762692446062,0.0996875,85.0,0.0,0.0,3.0,2,8.0,1.0,3.0,1,53.917233697932886,35.190672514580086,0.0,2.754411318174137,96.9295866683189,108.41083900000004,5.598308144137319,1.1066763401031494,0.16903792930180003,12.86042913534348
4,0.0,27.32884658064516,7.013733813470134,1,38.0,11.0,0.0,3.6327440450850563,0.0996875,120.0,0.0,0.0,10.0,2,2.0,1.0,3.0,1,55.13315725364657,38.081100240759625,0.0,2.754411318174137,104.89101351167217,108.63621800000003,9.967794634215105,1.1066763401031494,0.15063640732936628,17.674966812579484
