Turning times,V1_Ventilation Type,Period (d),V3_Ventilation Duration (min),Material_2,Compost volume (m3),Initial Moisture Content (%),Additive_3,Material_3, Composting Method,Initial GI (%),Additive_4,Material_Main,V5_Ventilation rate (L/min/kg iniDW),V2_Ventilation Interval (min),Initial C/N (%),Additive_1,Initial pH,Additive_2,V4_Ventilation Day,M1_is Enclosed,Application Rate (%DW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
7.0,2,128.0,0,14.0,0.6277154746460176,51.0,4,4.0,0.0,27.328846580645163,1,10,0.0,0,20.535524482678408,23.0,8.0,11.0,0.0,1.0,6.080700084387894,2.0952942734506244,43.02796685086116,106.08004300000002,8.123568617030536,1.2132141590118408,0.19058330220237724,22.695239052257822
13.0,0,48.0,0,3.0,0.6277154746460176,64.0,4,3.0,0.0,27.32884658064516,1,10,0.10028909025028909,0,22.186436365005346,33.0,5.215826010469385,3.0,30.0,1.0,7.666407745669092,2.0952942734506244,46.487113063872386,105.06515299999995,4.94094326854178,0.6298543214797974,0.19851107738241697,26.905746556002857
13.0,2,28.0,0,3.0,0.6277154746460176,69.0,4,4.0,1.0,27.32884658064516,1,10,0.0,0,13.230113880904053,31.0,5.0,11.0,0.0,1.0,9.88362047640689,2.0952942734506244,27.720981851757877,105.439511,8.123568617030536,1.1565260887145996,0.21275074722720533,27.225334135300425
17.0,2,47.0,0,14.0,0.6277154746460176,60.0,4,2.0,2.0,27.32884658064516,1,10,0.0,0,21.527402665863132,36.0,5.112647940755584,11.0,0.0,1.0,9.189291429186063,2.0952942734506244,45.10624352804872,107.05038300000004,8.123568617030536,1.1655399799346924,0.18421638525575026,29.492573501833792
8.0,2,75.0,0,2.0,0.6277154746460176,69.48619743463583,4,3.0,1.0,27.32884658064516,1,10,0.0,0,17.423180177938878,34.0,5.0,9.0,0.0,1.0,6.383395293347066,2.0952942734506244,36.50668965213376,107.13748600000002,8.123568617030536,1.2167304754257202,0.22062365132425502,23.311934536398507
24.0,2,36.0,0,12.0,0.6277154746460176,65.02738878078773,4,0.0,1.0,27.32884658064516,1,10,0.0,0,22.0,21.0,5.0,3.0,0.0,0.0,9.875282988641866,2.0952942734506244,46.096474015913735,106.520746,8.123568617030536,1.1934376955032349,0.17985778816985057,1000000.0
1.0,2,95.0,0,5.0,0.6277154746460176,65.0,4,0.0,2.0,27.32884658064516,1,10,0.0,0,17.599574169794657,34.0,8.0,9.0,0.0,0.0,9.874170532619193,2.0952942734506244,36.876286973140274,107.70623700000002,8.221346339753,0.26365363597869873,0.17855166196028877,15.035748506370364
3.0,2,66.0,0,6.0,0.6277154746460176,67.21325456390296,4,3.0,0.0,27.32884658064516,1,10,0.0,0,26.421361743763526,15.0,8.0,11.0,0.0,1.0,4.655265704403409,2.0952942734506244,55.36052795847512,105.990906,8.405572758515747,1.1463379859924316,0.2421940117757,16.637283747594523
24.0,2,118.0,0,5.0,0.6277154746460176,65.26942988359369,4,4.0,0.0,27.32884658064516,1,10,0.0,0,28.269861180467828,33.0,7.0,10.0,0.0,1.0,4.491452807193242,2.0952942734506244,59.233678242678344,104.82627900000006,8.123568617030536,1.1565260887145996,0.22080520002423965,22.438905373903538
25.0,2,85.0,0,8.0,0.6277154746460176,53.0,4,0.0,1.0,27.32884658064516,1,10,0.0,0,23.47179974185409,18.0,7.0,9.0,0.0,1.0,7.509481677165821,2.0952942734506244,49.180327586686715,104.70654300000004,8.123568617030536,1.114025354385376,0.2397574869921379,23.31863050468378
30.0,2,113.0,0,4.0,0.6277154746460176,59.62494852053533,4,2.0,1.0,27.32884658064516,1,10,0.0,0,37.70228427456353,31.0,7.0,9.0,0.0,0.0,2.3668319571573426,2.0952942734506244,78.9973803365005,106.90242000000003,8.123568617030536,1.158782720565796,0.22073522866860928,22.77075264445672
