Period (d),Initial pH,M1_is Enclosed, Composting Method,Turning times,Material_Main,V2_Ventilation Interval (min),Additive_1,Additive_4,Compost volume (m3),Application Rate (%DW),V3_Ventilation Duration (min),Additive_2,Material_2,Initial C/N (%),V1_Ventilation Type,V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Additive_3,Initial GI (%),V4_Ventilation Day,Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
107.0,6.748750502357705,0.0,2.0,6.0,8,0.0,36.0,1,4.210797122302158,7.902219804548039,0.0,5.0,0.0,29.775012318312562,0,1.0959728559566446,51.0,4,27.32884658064516,53.0,0.0,2.1457865217391303,63.89082011725167,102.16523299999999,10.71940625256433,1.0513800382614136,0.18657633215554992,24.977805446227073
130.0,6.0,1.0,0.0,3.0,8,813.0,15.0,1,4.210797122302158,4.59283134162101,26.101346457667304,9.0,0.0,26.661592667430845,1,1.2674391856276137,53.445408968897056,4,27.32884658064516,46.0,0.0,2.1457865217391303,57.21008619387194,102.382086,9.84125285471321,1.019951581954956,0.12043887138512001,22.733017093560207
131.0,7.0,0.0,2.0,3.0,8,502.0,11.0,1,4.210797122302158,2.57475840945296,13.829170198420027,3.0,2.0,24.391578695462268,1,1.8376768716639116,58.32574553339309,4,27.32884658064516,78.0,3.0,2.1457865217391303,52.33912080866225,100.20914899999998,8.466958063556472,1.0787115097045898,0.11264244856489528,25.911171240360833
93.0,7.0,1.0,1.0,3.0,8,1252.0,36.0,1,4.210797122302158,6.980560845585988,18.06076486163633,15.0,0.0,12.078517123497303,1,1.6099957918156276,58.7625659253178,4,27.32884658064516,70.0,9.0,2.1457865217391303,25.917919246195805,102.636751,9.057532110823251,1.0665758848190308,0.15782414573953035,25.56047222407582
103.0,6.378275549217019,1.0,2.0,18.0,8,0.0,15.0,1,4.210797122302158,9.688250333942594,0.0,5.0,0.0,31.0,0,0.7801969256169299,60.300323143037474,4,27.32884658064516,75.0,3.0,2.1457865217391303,66.51938217391304,102.39523299999999,9.257141457298294,1.0319420099258423,0.20552872449312815,1000000.0
79.0,8.0,1.0,2.0,24.0,8,0.0,13.0,1,4.210797122302158,9.702730712463417,0.0,7.0,12.0,30.23103323924666,0,1.1690068736492798,52.92459310228135,4,27.32884658064516,36.0,2.0,2.1457865217391303,64.86934366302313,100.33136699999997,9.187367762678628,1.0132015943527222,0.18117894919716993,26.57998320460231
96.0,6.717909676019785,0.0,2.0,16.0,8,1289.0,8.0,1,4.210797122302158,2.1895003796192416,10.383745213001955,10.0,0.0,28.56786520145655,1,0.6585047267806505,67.65938194094072,4,27.32884658064516,33.0,9.0,2.1457865217391303,61.30054010414579,103.29848900000003,5.230787608952822,1.0928378105163574,0.16487375250131453,24.785588025037594
36.0,5.846912797833815,1.0,0.0,5.0,8,0.0,17.0,1,4.210797122302158,9.721357484750193,0.0,8.0,0.0,22.56420931318761,0,1.5751436568952242,69.15920396897673,4,27.32884658064516,32.0,5.0,2.1457865217391303,48.41797621793853,102.36091799999998,8.278402623102389,0.9884465932846069,0.2160465227589845,23.044711265748308
101.0,6.0,1.0,0.0,10.0,8,1192.0,8.0,1,4.210797122302158,2.661361105376116,45.90999750936565,7.0,0.0,31.761049921962957,1,1.0225095637163215,60.96488332337633,4,27.32884658064516,48.0,5.0,2.1457865217391303,68.15243283883177,103.27096400000002,8.865716061629861,1.0510616302490234,0.16756100169464205,25.320010104406425
66.0,7.0,0.0,2.0,23.0,8,0.0,12.0,1,4.210797122302158,8.79897710618558,0.0,10.0,0.0,31.546599910930084,0,1.601612983482753,65.76238293773434,4,27.32884658064516,42.0,9.0,2.1457865217391303,67.69226889557062,102.23375899999998,9.287464214994758,1.021575689315796,0.2040887237374033,25.554994754127037
