Material_2,Initial pH,Additive_3,Additive_2,Initial Moisture Content (%),V2_Ventilation Interval (min),Material_3,Application Rate (%DW), Composting Method,Additive_4,V1_Ventilation Type,Initial C/N (%),Compost volume (m3),Material_Main,Period (d),V3_Ventilation Duration (min),Additive_1,V4_Ventilation Day,M1_is Enclosed,Initial GI (%),Turning times,V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
12.0,7.0,4,10.0,68.0,0.0,5.0,9.846201269859595,2.0,1,2,12.223918441854565,2.147162565177521,0,29.0,0.0,33.0,0.0,1.0,27.32884658064516,28.0,0.0,1.596639959668374,19.517196647992165,107.80581800000002,4.01306203017928,1.088757038116455,0.1584307260400829,29.13849419863954
13.0,5.623866327732397,4,2.0,64.53075367740375,0.0,3.0,3.9022420521951284,1.0,1,2,27.0,2.147162565177521,0,91.0,0.0,23.0,0.0,0.0,27.32884658064516,29.0,0.0,1.596639959668374,43.1092789110461,105.74924500000002,3.3899756363703424,1.0303146839141846,0.209197195692859,1000000.0
6.0,6.823123323235535,4,11.0,56.0,0.0,0.0,6.8822436028254375,0.0,1,2,22.45197297102513,2.147162565177521,0,101.0,0.0,27.0,0.0,1.0,27.32884658064516,29.0,0.0,1.596639959668374,35.847717218932985,104.84902900000003,2.985092098773723,1.1139123439788818,0.23735221831977943,21.771134641177635
4.0,6.575554696088183,4,10.0,54.0,0.0,9.0,3.911143853707965,0.0,1,2,27.232870406634696,2.147162565177521,0,31.0,0.0,38.0,0.0,1.0,27.32884658064516,20.0,0.0,1.596639959668374,43.481089107703276,108.023967,3.1637030866013225,1.0801677703857422,0.2114159521304148,26.911429061892406
5.0,8.0,4,5.0,53.0,0.0,4.0,3.224178584344119,1.0,1,0,19.07401660002316,2.147162565177521,0,44.0,0.0,11.0,34.0,1.0,27.32884658064516,29.0,1.4981239609700894,1.596639959668374,30.454337094974875,107.39052900000003,6.6032525118999,0.9155445098876953,0.24748357400834955,26.57649489555002
5.0,7.0,4,2.0,67.0,0.0,0.0,7.306056385944115,0.0,1,2,23.767914098211822,2.147162565177521,0,38.0,0.0,12.0,0.0,1.0,27.32884658064516,31.0,0.0,1.596639959668374,37.9488014071703,107.85059650000005,3.4833234836073763,1.1192383766174316,0.2420502755388238,25.214061717390276
14.0,6.0,4,6.0,61.14707788698318,0.0,2.0,9.458574631574194,1.0,1,2,16.787150729192078,2.147162565177521,0,38.0,0.0,37.0,0.0,0.0,27.32884658064516,28.0,0.0,1.596639959668374,26.803035663204156,107.79133000000003,3.445056950725959,1.0743284225463867,0.14556983967461873,1000000.0
4.0,5.0,4,8.0,51.0,0.0,2.0,3.936721032051139,0.0,1,2,10.742901573440513,2.147162565177521,0,47.0,0.0,22.0,0.0,1.0,27.32884658064516,29.0,0.0,1.596639959668374,17.152545934939372,108.72539800000003,3.6738302478426896,1.1200382709503174,0.1972163532383701,25.48992060001842
0.0,6.0,4,12.0,65.18373725696463,0.0,5.0,6.466162389719408,1.0,1,2,25.163040729964802,2.147162565177521,0,31.0,0.0,21.0,0.0,1.0,27.32884658064516,29.0,0.0,1.596639959668374,40.17631633622465,110.18620100000004,3.1011398734000553,0.39318257570266724,0.2381493910660425,26.23714553494258
6.0,6.661329682660187,4,6.0,63.97796298208284,0.0,0.0,6.000617850173509,2.0,1,2,18.0,2.147162565177521,0,29.0,0.0,19.0,0.0,1.0,27.32884658064516,28.0,0.0,1.596639959668374,28.739519274030734,108.69662300000006,3.14277298537902,1.095672369003296,0.21014340388040886,1000000.0
13.0,7.0,4,15.0,56.0,0.0,9.0,4.076937774944264,2.0,1,2,16.763608262724585,2.147162565177521,0,75.0,0.0,37.0,0.0,0.0,27.32884658064516,31.0,0.0,1.596639959668374,26.765446820493004,105.12727050000001,4.344848861835668,1.037926197052002,0.14759863308005525,24.574501143004184
12.0,7.0578115253889075,4,11.0,52.68864234351847,0.0,5.0,3.056423855440926,2.0,1,2,38.63089301256567,2.147162565177521,0,53.0,0.0,24.0,0.0,1.0,27.32884658064516,30.0,0.0,1.596639959668374,61.67962746153613,106.6172885,3.278658030086814,1.0432446002960205,0.21336754380481418,26.56565386354267
2.0,6.0,4,3.0,58.0,0.0,0.0,3.7868684213570862,2.0,1,0,15.772168912166922,2.147162565177521,0,40.0,0.0,21.0,19.0,1.0,27.32884658064516,31.0,0.3524680097273567,1.596639959668374,25.182475135804978,108.38401400000002,6.673026206519566,0.9253490567207336,0.19546701629168117,28.2756263323832
2.0,6.966097831129642,4,2.0,62.0,0.0,9.0,5.442245543351982,2.0,1,2,30.631982184458355,2.147162565177521,0,32.0,0.0,28.0,0.0,0.0,27.32884658064516,20.0,0.0,1.596639959668374,48.90824679955594,107.58922700000001,3.497003825256272,1.0962672233581543,0.20022408549264326,26.55988261228174
12.0,6.0,4,7.0,69.0,0.0,2.0,7.212423687661663,1.0,1,2,29.0,2.147162565177521,0,39.0,0.0,20.0,0.0,1.0,27.32884658064516,30.0,0.0,1.596639959668374,46.30255883038285,108.51835550000001,3.3571497587403267,1.02888822555542,0.2576730215604875,1000000.0
4.0,6.0,4,13.0,66.2523564776495,0.0,3.0,7.4317570221059075,1.0,1,0,17.0,2.147162565177521,0,40.0,0.0,30.0,16.0,0.0,27.32884658064516,28.0,1.0961765589945223,1.596639959668374,27.142879314362357,106.77475600000004,6.64020032888955,0.8745450377464294,0.20270033486252828,1000000.0
3.0,8.0,4,1.0,60.16182090209081,0.0,0.0,6.202373517210947,1.0,1,0,28.942049599665292,2.147162565177521,0,42.0,0.0,33.0,41.0,0.0,27.32884658064516,30.0,0.2938439791926317,1.596639959668374,46.21003290552967,107.19208100000002,7.324407336597656,0.9140195846557617,0.22428977970016897,26.507500595253674
6.0,6.0,4,7.0,69.0,0.0,4.0,6.407968625003758,2.0,1,2,19.525085486134778,2.147162565177521,0,46.0,0.0,23.0,0.0,1.0,27.32884658064516,31.0,0.0,1.596639959668374,31.174531703103785,109.82897350000003,3.14277298537902,1.0943846702575684,0.22678684359623494,24.52036717228131
2.0,6.0,4,12.0,67.22325931698774,0.0,3.0,3.6105522824736083,2.0,1,2,29.0,2.147162565177521,0,36.0,0.0,37.0,0.0,0.0,27.32884658064516,26.0,0.0,1.596639959668374,46.30255883038285,109.491541,3.0179179764037385,1.0904498100280762,0.189837485489524,1000000.0
14.0,7.01557739903559,4,5.0,60.52792236395252,0.0,0.0,2.006776852738872,2.0,1,2,15.104492715129993,2.147162565177521,0,31.0,0.0,37.0,0.0,0.0,27.32884658064516,22.0,0.0,1.596639959668374,24.116436639496403,107.121322,4.045887907809296,1.0535762310028076,0.15988947489403496,29.388868805619595
