Material_Main,V3_Ventilation Duration (min),Additive_4,Initial pH,V2_Ventilation Interval (min),M1_is Enclosed,Turning times,Compost volume (m3),Material_3,Application Rate (%DW),Additive_1,Material_2,V4_Ventilation Day,Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW), Composting Method,Initial GI (%),Period (d),Additive_3,Initial C/N (%),Additive_2,V1_Ventilation Type,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
2,0.626320143653718,1,7.733073547890248,1214.0,1.0,20.0,0.06,3.0,3.0628559324392777,13.0,3.0,76.0,64.0,0.3545205267013636,2.0,27.32884658064516,80.0,4,14.538424030638573,1.0,1,1.775,25.805702654383467,97.46908699999996,9.120690175361059,0.9128314852714539,0.12501444541986426,26.004506355115684
2,0.0,1,6.0,0.0,0.0,20.0,0.06,3.0,9.124790300179122,7.0,0.0,0.0,61.0,0.0,2.0,27.32884658064516,124.0,4,28.751531999053732,2.0,2,1.775,51.03396929832037,95.99758399999995,9.609789018793116,0.6125074625015259,0.15405210913659026,18.558277981009365
2,5.475481037251302,1,5.0,482.0,1.0,10.0,0.06,5.0,2.1489579502883855,17.0,0.0,59.0,63.0,1.7869197500903198,2.0,27.32884658064516,68.0,4,12.580207431118152,0.0,1,1.775,22.32986819023472,96.62860599999996,6.9836723561748,1.0698407888412476,0.14582671900184235,28.31699423708384
2,1.8087465287567461,1,6.0,186.0,0.0,26.0,0.06,2.0,6.357619937618929,38.0,13.0,70.0,65.20614848965786,0.8954831221900137,1.0,27.32884658064516,88.0,4,29.0,13.0,1,1.775,51.474999999999994,98.24715199999999,9.288975627273159,0.607413649559021,0.15662101156326738,1000000.0
2,0.0,1,6.793198192967105,0.0,1.0,13.0,0.06,0.0,6.804836244443372,8.0,0.0,0.0,53.73120764135716,0.0,0.0,27.32884658064516,15.0,4,26.0,11.0,2,1.775,46.15,96.15890499999999,10.00258345480866,0.40963292121887207,0.19989867754233734,1000000.0
2,6.449445135192655,1,5.0,39.0,1.0,31.0,0.06,0.0,4.907107549816483,7.0,8.0,32.0,57.499249981752854,1.8779963305338612,2.0,27.32884658064516,79.0,4,27.619463301335966,0.0,1,1.775,49.024547359871335,98.32667299999997,10.507213139537303,1.009338617324829,0.2003065166118616,25.4360181923102
2,3.0172837132806696,1,7.0,943.0,1.0,29.0,0.06,2.0,4.037888009250179,14.0,4.0,39.0,65.0,0.15620647428129186,1.0,27.32884658064516,99.0,4,40.0,13.0,1,1.775,71.0,97.824682,9.703800292830515,0.5974744558334351,0.13908912633662973,1000000.0
2,2.7863481226719156,1,7.0,657.0,1.0,6.0,0.06,2.0,4.073599837097768,8.0,2.0,82.0,59.0,0.7487542915944772,1.0,27.32884658064516,92.0,4,31.44008822896766,6.0,1,1.775,55.806156606417595,97.79320599999997,9.380756604176904,0.5999137759208679,0.14735686138217674,23.376313673716144
2,2.109225399560337,1,5.0,226.0,1.0,15.0,0.06,3.0,5.859458177292576,36.0,4.0,6.0,67.01402110270476,0.05812903604836239,1.0,27.32884658064516,19.0,4,36.13348159580372,7.0,1,1.775,64.1369298325516,98.42356799999997,9.288975627273159,0.3020381033420563,0.14579061492043233,25.12838868341543
2,3.2690224383831845,1,8.0,1134.0,1.0,17.0,0.06,0.0,4.9415447112715505,23.0,8.0,45.0,60.84716303832895,1.0239888753393236,0.0,27.32884658064516,127.0,4,30.428391578525734,8.0,1,1.775,54.01039505188317,98.36055200000001,11.457512490265447,0.6947318315505981,0.1674047958974402,1000000.0
