V5_Ventilation rate (L/min/kg iniDW),Additive_4,Initial C/N (%),Compost volume (m3),Additive_1,Material_2,Additive_2,Initial pH,Application Rate (%DW),V2_Ventilation Interval (min),Initial GI (%),V4_Ventilation Day,M1_is Enclosed,V3_Ventilation Duration (min), Composting Method,Initial Moisture Content (%),Turning times,Material_3,Additive_3,Period (d),V1_Ventilation Type,Material_Main,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,1,17.114659349064457,0.08,11.0,0.0,6.0,6.011994619800458,4.037415008415959,0,27.32884658064516,0.0,0.0,0,2.0,65.0,10.0,4.0,4,69.0,2,4,0.875,14.9753269304314,102.64605299999995,7.896234669444625,0.2562926411628723,0.14583898004841067,18.28915814099819
0.0,1,37.495330071857346,0.08,37.0,8.0,11.0,5.0,8.163379065930094,0,27.32884658064516,0.0,0.0,0,1.0,64.33634262401745,26.0,4.0,4,84.0,2,4,0.875,32.80841381287518,102.86852899999998,8.93578876411219,0.3248925507068634,0.14304985900541609,19.494844004989755
1.25186604292612,1,21.85675607376022,0.08,6.0,2.0,1.0,5.0,2.639213214028487,0,27.32884658064516,19.0,0.0,0,1.0,53.0,27.0,4.0,4,36.0,0,4,0.875,19.124661564540194,103.32224399999994,7.240227297829762,0.3486986458301544,0.21485972458428676,26.92354103236122
1.3096953524948647,1,30.222377600861734,0.08,33.0,0.0,15.0,7.0,6.539302410080641,0,27.32884658064516,81.0,0.0,0,2.0,54.0,31.0,2.0,4,93.0,0,4,0.875,26.444580400754017,103.37185899999994,10.122104023939658,0.3882533609867096,0.1808234721699274,25.145804480168362
1.9934209335608228,1,36.8382533446387,0.08,11.0,13.0,11.0,6.0,5.998093744605033,0,27.32884658064516,22.0,0.0,0,2.0,69.36110301881214,31.0,4.0,4,39.0,0,4,0.875,32.233471676558864,103.74880499999998,8.286887479549428,0.553727388381958,0.18654440973565556,27.22288005558579
0.0,1,36.45074606991019,0.08,14.0,0.0,3.0,6.0,3.48018989703414,0,27.32884658064516,0.0,0.0,0,2.0,56.68488931062513,15.0,3.0,4,38.0,2,4,0.875,31.894402811171414,104.28201699999995,6.952413324779317,0.2562454342842102,0.16507940887764935,22.07741924098988
0.0,1,38.0,0.08,11.0,0.0,5.0,7.0,3.337477213787734,0,27.32884658064516,0.0,1.0,0,1.0,64.0,27.0,3.0,4,90.0,2,4,0.875,33.25,103.51603499999999,8.84826032163788,0.3010028600692749,0.1982907171373021,1000000.0
0.8547187617960852,1,36.110411192472704,0.08,38.0,14.0,3.0,7.0,2.4792918359000398,0,27.32884658064516,35.0,0.0,0,1.0,64.0,14.0,3.0,4,90.0,0,4,0.875,31.596609793413617,103.35597999999996,9.094058070371254,0.2901006042957306,0.20419833971385537,25.77169385668471
0.0,1,39.14110065672142,0.08,10.0,5.0,11.0,5.275632704788067,4.1547319098348146,0,27.32884658064516,0.0,1.0,0,2.0,55.66464234272647,26.0,3.0,4,35.0,2,4,0.875,34.248463074631246,103.33107599999998,6.757937625768416,0.3371332883834839,0.17225884423382654,23.246416122941543
0.0,1,34.11595206953529,0.08,35.0,0.0,15.0,7.505366393593892,6.28523675503667,0,27.32884658064516,0.0,0.0,0,1.0,60.0,29.0,4.0,4,32.0,2,4,0.875,29.851458060843377,104.58761599999997,6.757937625768416,0.32773080468177795,0.16568796129810587,22.71933523223203
0.0,1,25.959081600716573,0.08,14.0,13.0,12.0,6.0,4.373195220373269,0,27.32884658064516,0.0,1.0,0,0.0,59.0,28.0,4.0,4,79.0,2,4,0.875,22.714196400627003,101.58967799999996,8.93578876411219,0.33254846930503845,0.18743961360720343,19.74974646733387
1.256479108199879,1,18.93598207264339,0.08,36.0,0.0,7.0,5.457355184822037,5.6465490087049695,0,27.32884658064516,43.0,0.0,0,1.0,66.0,10.0,4.0,4,62.0,0,4,0.875,16.568984313562968,103.92331799999994,8.509804228041897,0.3260633647441864,0.19435806751191265,25.238615033759338
0.0,1,17.931942717892014,0.08,35.0,2.0,7.0,8.0,2.5211687309788777,0,27.32884658064516,0.0,1.0,0,0.0,64.0,21.0,3.0,4,105.0,2,4,0.875,15.690449878155512,102.75293099999995,9.013872512249362,0.2899627983570099,0.19037928512103497,20.188985295790832
1.8362038236181106,1,36.08032535404569,0.08,33.0,0.0,13.0,7.709190258325969,3.7298490541743368,0,27.32884658064516,38.0,0.0,0,2.0,59.0,13.0,5.0,4,80.0,0,4,0.875,31.57028468478998,104.77263899999997,10.392599485955326,0.5041071176528931,0.19089626032248513,24.334528753473386
0.0,1,17.0,0.08,24.0,6.0,15.0,5.40429561822879,3.2544514054410767,0,27.32884658064516,0.0,1.0,0,0.0,61.08290519686717,23.0,4.0,4,126.0,2,4,0.875,14.875,102.19761299999996,8.93578876411219,0.3323628306388855,0.16729754586498255,1000000.0
0.0,1,16.831496172022725,0.08,25.0,3.0,5.0,5.413067248335486,6.380293194493192,0,27.32884658064516,0.0,1.0,0,2.0,66.69580256336263,27.0,4.0,4,86.0,2,4,0.875,14.727559150519884,102.45028299999996,8.84826032163788,0.30563491582870483,0.1698270321805041,18.58595256110915
0.0,1,29.0,0.08,4.0,5.0,10.0,6.0,4.4571140285538045,0,27.32884658064516,0.0,1.0,0,0.0,52.0,16.0,3.0,4,55.0,2,4,0.875,25.375,102.30968299999996,7.20555395786511,0.2923758327960968,0.1950193161167344,1000000.0
0.0,1,12.12138703673888,0.08,21.0,13.0,6.0,7.0,2.5879033582192674,0,27.32884658064516,0.0,0.0,0,2.0,55.0,27.0,4.0,4,50.0,2,4,0.875,10.60621365714652,103.12893899999996,6.670409183294106,0.29339414834976196,0.10270951198164885,24.38039423237551
0.0,1,21.498466066482358,0.08,17.0,0.0,10.0,5.390225663068648,2.9126911108903286,0,27.32884658064516,0.0,0.0,0,1.0,50.78727678181089,25.0,2.0,4,28.0,2,4,0.875,18.811157808172062,105.20223799999994,6.757937625768416,0.36320027709007263,0.19913582462741597,23.459600837839197
0.0,1,35.05306259963096,0.08,14.0,8.0,9.0,6.0,4.497418473865905,0,27.32884658064516,0.0,0.0,0,1.0,63.0,12.0,3.0,4,41.0,2,4,0.875,30.671429774677094,104.19482599999996,7.20555395786511,0.2931729555130005,0.14674126222326145,26.017905041067607
0.0,1,32.761556351479655,0.08,8.0,3.0,6.0,7.0,6.657401738587138,0,27.32884658064516,0.0,0.0,0,1.0,51.7305650320732,18.0,3.0,4,74.0,2,4,0.875,28.666361807544696,104.08621899999994,9.013872512249362,0.2684861719608307,0.1498096405148341,20.167029189883444
0.5512436299282872,1,13.729011377038756,0.08,33.0,8.0,6.0,5.32544007674435,3.6546599929246133,0,27.32884658064516,52.0,0.0,0,2.0,57.12294191964302,17.0,4.0,4,87.0,0,4,0.875,12.01288495490891,103.45810899999995,8.812053928886042,0.29697802662849426,0.14591348419720973,26.491198996985794
0.0,1,37.0,0.08,36.0,13.0,9.0,6.0,6.206287278957318,0,27.32884658064516,0.0,0.0,0,2.0,69.39414108639988,26.0,5.0,4,124.0,2,4,0.875,32.375,102.94639399999997,8.93578876411219,0.33334559202194214,0.1535041456371127,1000000.0
