V4_Ventilation Day,V2_Ventilation Interval (min),M1_is Enclosed,Additive_4,Additive_2,Material_2,Additive_3, Composting Method,Initial C/N (%),Application Rate (%DW),Initial pH,Turning times,Initial Moisture Content (%),Additive_1,Compost volume (m3),Initial GI (%),Material_Main,Period (d),V3_Ventilation Duration (min),V1_Ventilation Type,Material_3,V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
40.0,1072.0,0.0,1,7.0,3.0,4,1.0,19.0,2.208771407138178,6.37272019200296,25.0,67.0,34.0,0.045,27.32884658064516,9,42.0,59.883830866522956,1,3.0,0.02835760051562164,1.97,37.43,95.75735899999997,6.847117273740646,1.1587910652160645,0.12893882147745966,1000000.0
61.0,378.0,1.0,1,3.0,5.0,4,1.0,13.091030436107442,6.565757504555938,6.0,23.0,63.0,14.0,0.045,27.32884658064516,9,106.0,57.717584845496,1,0.0,1.815138550903862,1.97,25.78932995913166,95.81728199999998,8.019742471650087,1.1010640859603882,0.15823084207319976,27.11077010181861
40.0,895.0,0.0,1,12.0,12.0,4,1.0,38.102355759345194,9.026909044213514,7.0,18.0,50.0,19.0,0.045,27.32884658064516,9,70.0,59.63885080156253,1,4.0,0.1172117231838794,1.97,75.06164084591003,95.47653399999999,6.348810495390601,1.1010640859603882,0.09920234938718701,25.680922442305608
68.0,307.0,1.0,1,15.0,0.0,4,1.0,38.0,9.380246186936954,7.0,8.0,68.55860775706319,36.0,0.045,27.32884658064516,9,104.0,59.234136095062375,1,4.0,0.6482873986285629,1.97,74.86,95.76597899999997,6.495804379168804,1.0859261751174927,0.1520788708858105,1000000.0
75.0,0.0,1.0,1,2.0,0.0,4,2.0,26.41294431528594,7.023714242110888,6.0,31.0,54.0,21.0,0.045,27.32884658064516,9,96.0,0.0,0,0.0,0.9397335353665914,1.97,52.0335003011133,94.94490199999998,1.2259637484961854,1.293746829032898,0.20141604576633493,25.044969172810276
43.0,0.0,1.0,1,5.0,0.0,4,2.0,25.0,9.576872127165409,8.0,21.0,61.0,33.0,0.045,27.32884658064516,9,71.0,0.0,0,9.0,0.5868200992627581,1.97,49.25,95.43235200000001,2.7145691906139433,1.2671558856964111,0.20906962834466908,1000000.0
7.0,0.0,0.0,1,3.0,0.0,4,2.0,25.795882162827088,6.425716372562814,7.1406573167771565,0.0,59.0,10.0,0.045,27.32884658064516,9,17.0,0.0,0,4.0,0.3207852978752683,1.97,50.81788786076936,95.484215,3.088198167362078,1.3131424188613892,0.18847469651833892,24.359049951935322
17.0,46.0,0.0,1,5.0,4.0,4,1.0,32.01611406006441,8.042946660140082,5.19176388803935,21.0,57.0,15.0,0.045,27.32884658064516,9,53.0,56.25797294136132,1,0.0,1.8297627263015575,1.97,63.07174469832689,94.32208399999996,8.243998930686402,1.1010640859603882,0.19164472150831116,24.510438323451364
43.0,652.0,1.0,1,2.0,0.0,4,2.0,25.0,5.217166539638269,6.0,17.0,51.0,4.0,0.045,27.516417534740967,9,56.0,58.33798584208655,1,5.0,1.2008505169994743,1.97,49.25,96.17649899999995,6.866689123253294,1.105205774307251,0.14221662063683269,1000000.0
0.0,0.0,1.0,1,1.0,0.0,4,0.0,33.80777007101514,9.803740723242477,7.70857783158015,29.0,67.2385639257883,25.0,0.045,27.32884658064516,9,73.0,0.0,2,2.0,0.0,1.97,66.60130703989982,94.946684,0.5210602137828695,0.4190538823604584,0.2624563789677474,1000000.0
0.0,0.0,1.0,1,1.0,0.0,4,0.0,32.0,9.408389419001008,7.221210989231396,2.0,54.53015514007289,6.0,0.045,27.32884658064516,9,68.0,0.0,2,4.0,0.0,1.97,63.04,95.29615300000002,1.95485446998388,0.4179472029209137,0.1964715712865816,1000000.0
0.0,0.0,1.0,1,2.0,0.0,4,2.0,35.55312804907154,9.773188949435765,6.97555462280555,29.0,68.8449434006404,30.0,0.045,27.32884658064516,9,132.0,0.0,2,4.0,0.0,1.97,70.03966225667094,94.946684,1.7807278552657304,0.47231045365333557,0.2298237650956213,21.41614576576668
58.0,0.0,1.0,1,6.0,0.0,4,2.0,37.0,3.2626833639980237,6.688412798301032,27.0,59.95582681284813,17.0,0.045,27.32884658064516,9,81.0,0.0,0,9.0,0.42153177309824796,1.97,72.89,95.11184200000001,2.2545699344233903,1.2151196002960205,0.20933474931273013,1000000.0
9.0,0.0,1.0,1,7.0,0.0,4,0.0,35.86599071113253,5.380676057094688,6.950535937357904,1.0,59.098730121035906,11.0,0.045,27.32884658064516,9,22.0,0.0,0,5.0,1.2015673199224048,1.97,70.65600170093109,95.98024900000001,3.622256551865034,1.2951544523239136,0.2548403266910738,23.835590793012432
84.0,797.0,1.0,1,7.0,0.0,4,1.0,22.322418433739582,6.684119688704154,6.0,20.0,58.588594569387325,19.0,0.045,27.32884658064516,9,103.0,51.78507105391563,1,0.0,0.41586413788783805,1.97,43.97516431446697,95.09196999999995,8.019800091682063,1.1010640859603882,0.15024893873837267,27.17781342457006
78.0,1166.0,1.0,1,12.0,6.0,4,1.0,23.46028283881901,8.775999720934461,6.0,7.0,58.789225569516034,8.0,0.045,27.32884658064516,9,87.0,57.068730812831056,1,4.0,0.37693319752846044,1.97,46.216757192473445,95.53669399999997,6.1404141408259125,1.1010640859603882,0.11138931636297997,24.410399701333745
63.0,215.0,1.0,1,12.0,8.0,4,2.0,26.77006190160181,4.934935174820605,7.6787852383208,11.0,67.94569106557923,12.0,0.045,27.32884658064516,9,107.0,57.89427643578739,1,2.0,1.5441197664791126,1.97,52.737021946155565,95.83243999999995,6.495431224066562,1.1083029508590698,0.18049009337664015,27.854877809208666
27.0,1405.0,1.0,1,5.0,14.0,4,0.0,13.354744758119644,3.932953997082369,5.372113690261659,20.0,68.0,14.0,0.045,27.32884658064516,9,60.0,59.283812480970845,1,4.0,0.9679755184666561,1.97,26.308847173495696,95.80939999999995,5.820975608373748,1.1608786582946777,0.14931220414417526,28.335942782889674
35.0,0.0,1.0,1,7.0,0.0,4,0.0,17.954578837288217,8.023838400069046,5.349158842939685,1.0,58.64708718761666,17.0,0.045,27.32884658064516,9,48.0,0.0,0,2.0,0.7062611444609723,1.97,35.37052030945779,95.30511900000002,1.2626818630420373,1.293746829032898,0.1904376015285565,19.39840054672227
74.0,0.0,1.0,1,13.0,0.0,4,0.0,15.670931917554718,2.5653799077626704,7.0,1.0,51.372816660326734,6.0,0.045,27.32884658064516,9,88.0,0.0,0,0.0,0.15493092965016042,1.97,30.871735877582793,95.31560000000002,0.9239539177389806,1.2653614282608032,0.17957931744168287,21.09538407265829
21.0,202.0,0.0,1,8.0,5.0,4,2.0,37.70074820735978,8.715487988299783,7.0,9.0,53.209045018384366,13.0,0.045,27.32884658064516,9,57.0,57.85242095161696,1,2.0,1.43057502720891,1.97,74.27047396849876,95.40950399999998,5.958357379598312,1.1010640859603882,0.1583173568631586,24.041698189934998
46.0,226.0,0.0,1,7.0,6.0,4,2.0,25.0,2.8313134698718936,6.0,28.0,66.0,24.0,0.045,27.32884658064516,9,69.0,57.74673227686941,1,2.0,1.7722497363655483,1.97,49.25,95.70857199999995,4.890213019445323,1.1608786582946777,0.15353330937051765,1000000.0
17.0,0.0,0.0,1,3.0,0.0,4,2.0,36.71883162237758,6.15085964625193,7.0,25.0,69.7424215902101,8.0,0.045,27.32884658064516,9,43.0,0.0,0,4.0,0.035604238150824585,1.97,72.33609829608383,95.52712200000002,3.358956872945011,1.2908185720443726,0.2101410442300042,24.644333851138835
33.0,1212.0,0.0,1,15.0,5.0,4,2.0,22.13637487199607,3.6382102372658913,6.0,29.0,58.57611087158437,22.0,0.045,27.32884658064516,9,69.0,59.347350939131445,1,3.0,0.8721690142616221,1.97,43.60865849783225,95.77991899999994,7.339196955277009,1.1608786582946777,0.14399346013972322,24.654181733582934
27.0,1192.0,1.0,1,15.0,8.0,4,1.0,18.0,9.22865561448013,6.0,22.0,62.52722778295632,13.0,0.045,27.32884658064516,9,48.0,59.74567155333767,1,4.0,1.0738258142128887,1.97,35.46,96.14157099999997,6.458877543888587,1.1010640859603882,0.1557680475484555,1000000.0
23.0,1154.0,1.0,1,11.0,0.0,4,1.0,38.79792788993769,8.826444648851323,7.0,20.0,61.30827328170608,27.0,0.045,27.32884658064516,9,42.0,58.51452627426478,1,5.0,0.8191045824927061,1.97,76.43191794317725,95.69894899999996,6.066639368463862,1.0981645584106445,0.1652395735545602,26.11511344154547
11.0,942.0,0.0,1,3.0,12.0,4,1.0,20.050065588758923,6.16980838011647,7.235249660095342,13.0,57.0,22.0,0.045,27.32884658064516,9,24.0,56.75912619190393,1,9.0,1.0265442917729093,1.97,39.498629209855075,95.51626699999996,6.342388583219766,0.8462948799133301,0.16731718980409982,1000000.0
31.0,0.0,0.0,1,11.0,0.0,4,1.0,32.82162999288152,6.157267007657761,7.8258837759358615,7.0,55.34694419789645,27.0,0.045,27.32884658064516,9,52.0,0.0,0,9.0,0.9564373417553462,1.97,64.65861108597659,95.52712200000002,3.054610725541975,1.234438180923462,0.2531166367775584,24.543210761485753
74.0,0.0,1.0,1,3.0,0.0,4,0.0,30.12950674987005,6.281645140534216,7.0,25.0,66.70369670006892,37.0,0.045,27.32884658064516,9,129.0,0.0,0,2.0,1.7471883528828036,1.97,59.355128297244,95.87626600000002,0.3552910819453958,1.3758702278137207,0.2220779193520501,26.14959140690701
51.0,860.0,1.0,1,8.0,6.0,4,1.0,14.195836707420863,5.542669216065836,6.0,20.0,57.88259922751422,24.0,0.045,27.32884658064516,9,52.0,57.0617843628125,1,9.0,0.5477332383012377,1.97,27.9657983136191,95.56830799999994,6.133992228655078,0.8462948799133301,0.14279292149997252,28.700904273015798
44.0,0.0,0.0,1,3.0,0.0,4,1.0,29.367475482641765,7.561056792471822,7.0,2.0,57.82706808300708,18.0,0.045,27.32884658064516,9,132.0,0.0,0,3.0,0.2614695755690466,1.97,57.85392670080428,96.22573500000003,2.6858803951087986,1.293746829032898,0.18725238519117388,18.282262191952476
0.0,0.0,1.0,1,9.0,0.0,4,1.0,34.3953011142921,7.691484702031341,7.0,3.0,57.339890968097805,4.0,0.045,27.32884658064516,9,61.0,0.0,2,4.0,0.0,1.97,67.75874319515545,94.963862,2.102700957827827,0.4179472029209137,0.2214804988215247,16.30561772359713
37.0,0.0,1.0,1,3.0,0.0,4,0.0,29.45933726826129,3.6560712607278187,6.743915624691271,9.0,64.59007202889734,14.0,0.045,27.32884658064516,9,103.0,0.0,0,2.0,1.395212698452045,1.97,58.03489441847474,95.460986,0.510358925104031,1.2653614282608032,0.23600916381115739,23.593893844927713
8.0,876.0,0.0,1,2.0,6.0,4,2.0,33.094146515850376,5.634608562075034,6.0,16.0,61.9646495407778,17.0,0.045,27.32884658064516,9,18.0,57.75656532772807,1,3.0,0.3181282858609118,1.97,65.19546863622524,95.68803199999996,7.340172084666496,1.1277248859405518,0.13841108192890797,26.866736608593385
37.0,36.0,1.0,1,12.0,12.0,4,2.0,26.991287068580487,4.292083826051325,7.0,19.0,64.95268367543284,16.0,0.045,27.32884658064516,9,105.0,58.80252832209266,1,5.0,0.3926054447592955,1.97,53.17283552510356,95.58447199999995,5.820975608373748,1.1577814817428589,0.18268025091787005,26.15907041454195
54.0,0.0,1.0,1,10.0,0.0,4,2.0,33.43702474526363,8.50976598482349,7.0,9.0,59.640617903297304,8.0,0.045,27.328846580645163,9,56.0,0.0,0,5.0,0.8217931759527071,1.97,65.87093874816935,95.89047200000003,2.8959815694376565,1.293746829032898,0.23008110927912293,26.60428647500592
74.0,481.0,1.0,1,5.0,3.0,4,1.0,23.12519582597741,4.9090931005005105,7.0,2.0,68.0,38.0,0.045,27.32884658064516,9,107.0,59.29034405738685,1,3.0,1.930648710126639,1.97,45.5566357771755,95.66800099999995,7.6998722026661595,1.0931650400161743,0.14222101507479998,1000000.0
