Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),TN loss (%)
4,5,3,28,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,41.19
4,5,3,7,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,38.64
4,5,3,7,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,31.45
4,5,3,7,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,25.78
4,5,3,7,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,18.48
4,5,3,7,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,12.39
6,5,3,28,13,2,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,0.0,0.1,55.0,0.3,3.28
6,5,3,3,13,2,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,10.0,0.1,60.23,0.3,1.86
5,4,3,28,13,2,0,0,1.0,34.0,0,34.0,0.0,0.0,7.0,0.0,0.01,67.6,0.03,20.9
5,4,3,22,7,2,0,0,1.0,34.0,0,34.0,0.0,0.0,7.0,7.73,0.01,67.3,0.03,14.7
5,4,3,16,6,2,0,0,1.0,34.0,0,34.0,0.0,0.0,7.0,7.13,0.01,66.8,0.03,17.3
5,4,3,22,6,2,0,0,1.0,34.0,0,34.0,0.0,0.0,7.0,6.05,0.01,66.0,0.03,5.7
6,3,3,28,13,2,0,2,0.0,52.0,2,0.0,0.0,0.0,13.0,0.0,21.21,65.0,0.0,22.64
6,3,3,3,13,2,0,2,0.0,52.0,2,0.0,0.0,0.0,13.0,23.0,7.38,65.0,0.0,15.38
6,3,3,3,13,2,0,2,0.76,43.24,2,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,8.88
6,3,3,3,13,2,0,2,0.76,43.24,2,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,11.28
4,5,3,28,13,2,0,0,1.0,91.0,0,68.8,0.0,0.0,13.0,0.0,0.25,60.0,0.7,38.73
4,5,3,3,13,2,0,0,1.0,91.0,0,69.6,0.0,0.0,13.0,12.5,0.25,60.0,0.56,30.59
4,5,3,11,13,2,0,0,1.0,91.0,0,69.6,0.0,0.0,13.0,12.5,0.25,60.0,0.56,28.31
4,5,3,3,4,2,0,0,1.0,91.0,0,89.0,0.0,0.0,13.0,25.0,0.25,60.0,0.79,20.46
4,5,3,28,13,2,0,0,1.0,91.0,0,68.8,0.0,0.0,13.0,0.0,0.25,60.0,0.7,31.92
4,5,3,3,13,2,0,0,1.0,91.0,0,69.6,0.0,0.0,13.0,12.5,0.25,60.0,0.56,21.78
4,5,3,11,13,2,0,0,1.0,91.0,0,69.6,0.0,0.0,13.0,12.5,0.25,60.0,0.56,19.07
4,5,3,3,4,2,0,0,1.0,91.0,0,89.0,0.0,0.0,13.0,25.0,0.25,60.0,0.79,8.8
4,5,3,28,13,2,0,0,1.0,91.0,0,68.8,0.0,0.0,13.0,0.0,0.25,60.0,0.7,26.11
4,5,3,3,13,2,0,0,1.0,91.0,0,69.6,0.0,0.0,13.0,12.5,0.25,60.0,0.56,19.97
4,5,3,11,13,2,0,0,1.0,91.0,0,69.6,0.0,0.0,13.0,12.5,0.25,60.0,0.56,13.27
4,5,3,3,4,2,0,0,1.0,91.0,0,89.0,0.0,0.0,13.0,25.0,0.25,60.0,0.79,9.99
5,5,0,28,13,2,0,0,1.0,32.0,0,32.0,0.0,0.0,0.0,0.0,0.1,75.32,0.52,17.06
5,5,0,28,13,2,0,0,1.0,32.0,0,32.0,0.0,0.0,0.0,0.0,0.1,69.37,0.23,37.71
5,5,0,28,13,2,0,0,1.0,32.0,0,32.0,0.0,0.0,0.0,0.0,0.1,66.06,0.73,33.42
0,5,4,28,13,2,0,0,1.0,32.0,0,32.0,0.0,0.0,0.0,0.0,0.1,76.28,0.55,23.26
0,5,4,28,13,2,0,0,1.0,32.0,0,32.0,0.0,0.0,0.0,0.0,0.1,72.85,0.49,31.6
0,5,4,28,13,2,0,0,1.0,32.0,0,32.0,0.0,0.0,0.0,0.0,0.1,63.45,0.49,34.13
5,5,3,28,13,2,0,0,1.0,32.0,0,32.0,0.0,0.0,0.0,0.0,0.1,67.86,0.42,52.0
0,5,3,28,13,2,0,0,1.0,32.0,0,32.0,0.0,0.0,0.0,0.0,0.1,76.28,0.55,26.68
4,0,5,28,13,2,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.1,61.9,0.65,42.17
4,0,5,28,13,2,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.1,64.5,0.57,44.85
0,3,3,31,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,47.07
0,3,3,46,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,50.0
0,3,3,31,15,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,46.72
0,5,3,31,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,49.31
0,5,3,46,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,46.55
0,5,3,31,15,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,48.45
0,4,3,28,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,44.31
0,4,3,31,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,26.9
0,4,3,46,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,28.28
0,4,3,31,15,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,33.79
6,3,3,28,13,2,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,81.0,0.0,39.9
6,5,3,28,13,2,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,75.8,0.0,30.9
0,5,3,39,13,2,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,8.0,0.04,60.0,0.22,22.0
0,5,3,39,13,2,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,8.0,0.04,60.0,0.44,28.0
0,5,3,39,13,2,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,5.8,0.04,60.0,0.66,32.0
0,5,3,39,13,2,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,7.49,0.04,65.0,0.22,23.0
0,5,3,39,13,2,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,7.49,0.04,65.0,0.44,29.0
0,5,3,39,13,2,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,7.49,0.04,65.0,0.66,45.0
0,5,3,39,13,2,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,1.17,0.04,70.0,0.22,19.0
0,5,3,39,13,2,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,1.17,0.04,70.0,0.44,40.0
0,5,3,39,13,2,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,1.17,0.04,70.0,0.66,36.0
6,5,3,28,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,21.0
6,5,3,28,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,27.0
6,5,3,28,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,31.0
6,5,3,28,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,22.0
6,5,3,28,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,28.0
6,5,3,28,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,46.0
6,5,3,28,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,18.0
6,5,3,28,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,40.0
6,5,3,28,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,35.0
6,5,3,28,13,2,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,64.1,0.24,21.3
6,5,3,28,13,2,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,65.2,0.48,26.6
6,5,3,28,13,2,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,63.7,0.72,30.6
6,5,3,28,13,2,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,71.3,0.24,22.0
6,5,3,28,13,2,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,70.6,0.48,28.4
6,5,3,28,13,2,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,70.8,0.72,45.9
6,5,3,28,13,2,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,75.7,0.24,18.4
6,5,3,28,13,2,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,76.8,0.48,40.3
6,5,3,28,13,2,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,74.0,0.72,35.3
0,4,3,28,13,2,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,0.0,0.16,66.03,0.45,42.26
0,4,3,28,13,2,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,0.0,0.3,65.69,0.47,44.09
0,4,3,28,13,2,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,0.0,0.57,66.14,0.45,43.14
6,5,3,28,13,2,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,32.15
6,5,3,28,13,2,0,1,1.0,70.0,2,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,31.59
6,5,3,28,13,2,0,1,0.0,70.0,2,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,29.96
6,5,3,28,13,2,0,1,1.0,70.0,2,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,26.24
6,5,3,28,13,2,0,1,0.0,70.0,2,0.0,0.0,0.0,0.0,0.0,1.2,64.0,0.0,18.22
6,5,3,28,13,2,0,1,1.0,70.0,2,0.0,0.0,0.0,0.0,0.0,1.2,64.0,0.0,14.66
5,5,3,28,13,2,0,0,1.0,35.0,0,35.0,0.0,0.0,5.0,0.0,0.06,72.1,0.2,28.22
6,5,3,28,13,2,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,0.0,1.2,67.6,0.0,39.2
6,5,3,39,13,2,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,3.3,1.2,67.6,0.0,33.8
6,5,3,39,13,2,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,6.6,1.2,67.6,0.0,28.9
6,5,3,39,13,2,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,9.9,1.2,67.6,0.0,21.8
6,5,3,39,13,2,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,13.2,1.2,67.6,0.0,14.3
4,5,3,7,13,2,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,2.0,0.13,60.66,0.0,52.14
4,5,3,7,13,2,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,4.0,0.13,59.71,0.0,48.82
4,5,3,7,13,2,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,6.0,0.13,60.45,0.0,42.31
4,5,3,7,13,2,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,8.0,0.13,60.07,0.0,39.54
4,5,3,7,13,2,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,10.0,0.13,59.45,0.0,38.67
0,5,3,28,13,2,0,1,0.0,64.0,2,0.0,0.0,0.0,12.0,0.0,1.0,74.0,0.0,27.86
0,5,3,28,13,2,0,1,1.0,64.0,2,0.0,0.0,0.0,12.0,0.0,1.0,74.0,0.0,27.01
0,5,3,28,13,2,0,1,1.0,64.0,2,0.0,0.0,0.0,12.0,0.0,1.0,74.0,0.0,29.97
0,5,3,28,13,2,0,1,1.0,64.0,0,64.0,0.0,0.0,12.0,0.0,1.0,74.0,1.16,25.05
4,5,1,28,13,2,0,0,1.0,25.0,1,25.0,30.0,30.0,0.0,0.0,0.06,60.0,0.08,1.74
4,5,1,28,13,2,0,0,1.0,25.0,1,25.0,30.0,30.0,0.0,0.0,0.06,60.0,0.83,14.65
4,5,1,28,13,2,0,0,1.0,25.0,1,25.0,30.0,30.0,0.0,0.0,0.06,60.0,1.64,24.93
6,5,3,28,13,2,0,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.86,42.34
6,5,3,28,13,2,0,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.93,29.04
6,5,3,28,13,2,0,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.9,25.46
6,5,3,28,13,2,0,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.91,25.75
1,3,3,28,13,2,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,66.9,1.21,37.9
1,0,3,28,13,2,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,58.6,0.96,20.9
1,0,3,28,13,2,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,53.1,0.86,8.8
1,0,3,28,13,2,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,47.5,0.76,5.4
0,5,3,43,13,2,0,2,0.0,51.0,2,0.0,0.0,0.0,14.0,20.2,13.72,65.0,0.0,24.06
0,5,3,28,13,2,0,2,0.0,51.0,2,0.0,0.0,0.0,14.0,0.0,21.21,65.0,0.0,16.75
0,5,3,28,13,2,0,2,0.0,51.0,2,0.0,0.0,0.0,14.0,0.0,21.21,65.0,0.0,12.08
0,5,3,28,13,2,0,2,0.0,51.0,2,0.0,0.0,0.0,14.0,0.0,21.21,65.0,0.0,12.08
0,5,3,28,13,2,0,2,0.0,51.0,2,0.0,0.0,0.0,14.0,0.0,21.21,65.0,0.0,10.07
5,0,3,28,13,2,0,1,0.0,26.0,1,26.0,20.0,40.0,0.0,0.0,1.3,70.0,0.1,16.9
5,0,3,28,13,2,0,1,0.0,26.0,1,26.0,20.0,40.0,0.0,0.0,1.3,70.0,0.1,20.12
5,0,3,28,13,2,0,1,0.0,26.0,1,26.0,20.0,40.0,0.0,0.0,1.3,70.0,0.1,25.1
5,4,5,10,13,2,0,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,63.45,0.54,36.4
5,4,3,37,13,2,0,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,62.82,0.51,35.0
5,4,5,28,13,2,0,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,63.53,0.55,52.4
5,4,3,10,13,2,0,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,61.75,0.62,40.3
5,4,5,37,13,2,0,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,62.52,0.53,27.7
5,4,3,28,13,2,0,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,62.08,0.46,53.1
5,5,3,28,13,2,0,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,60.35,0.38,43.3
5,5,3,37,13,2,0,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,61.11,0.41,40.9
5,5,3,37,13,2,0,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,62.01,0.46,35.8
5,5,3,37,13,2,0,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,62.56,0.53,24.9
5,0,3,37,13,2,0,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,61.58,0.62,30.2
5,4,3,28,13,2,0,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,63.18,0.54,51.1
5,5,3,37,13,2,0,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,57.57,0.36,18.4
5,5,3,37,13,2,0,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,61.18,0.41,16.7
5,5,3,37,13,2,0,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,60.59,0.38,10.8
5,5,3,37,13,2,0,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,59.92,0.38,29.4
5,5,3,37,13,2,0,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,61.03,0.41,40.5
0,3,3,28,13,2,0,0,1.0,66.0,0,66.0,0.0,0.0,11.0,0.0,0.03,72.7,0.4,27.97
0,3,3,28,13,2,0,0,1.0,66.0,0,66.0,0.0,0.0,11.0,0.0,0.03,71.7,0.4,24.21
0,3,3,28,13,2,0,0,1.0,66.0,0,66.0,0.0,0.0,11.0,0.0,0.03,71.7,0.2,19.47
0,4,3,28,13,2,0,0,1.0,66.0,0,66.0,0.0,0.0,11.0,0.0,0.03,68.8,0.2,13.02
0,4,3,28,13,2,0,0,1.0,66.0,0,66.0,0.0,0.0,11.0,0.0,0.03,69.5,0.2,9.67
0,4,3,28,13,2,0,0,1.0,66.0,0,66.0,0.0,0.0,11.0,0.0,0.03,67.3,0.2,14.47
0,3,3,28,13,2,0,0,1.0,66.0,0,66.0,0.0,0.0,11.0,0.0,0.03,71.8,0.2,20.84
